Date, Close/Last, Volume, Open, High, Low
03/24/2021, $194.12, 285653, $193.21, $199.09, $193.185
03/23/2021, $191.48, 462842, $193.39, $195.215, $190.11
03/22/2021, $196.07, 298124, $196.54, $197.23, $193.06
03/19/2021, $197.26, 594877, $198.06, $198.06, $194.16
03/18/2021, $198.47, 333834, $198.33, $200.28, $196.917
03/17/2021, $197.94, 287083, $195.62, $199.23, $193.88
03/16/2021, $195.13, 422010, $197.53, $197.93, $193.8
03/15/2021, $198.28, 438472, $195.7, $198.85, $195.14
03/12/2021, $195.09, 335099, $193.29, $196.14, $192.545
03/11/2021, $189.91, 391393, $187.22, $190.58, $186.75
03/10/2021, $187.86, 310376, $184.53, $189.4, $183.4
03/09/2021, $185.09, 442507, $189.74, $190.27, $184.07
03/08/2021, $191.1, 364047, $187.89, $194.1, $187.415
03/05/2021, $185.61, 354390, $180.96, $186.855, $179.11
03/04/2021, $179.37, 465425, $183.14, $184.61, $177.57
03/03/2021, $182.23, 398542, $180.35, $183.58, $179
03/02/2021, $179.63, 283318, $178.3, $180.39, $177.33
03/01/2021, $178.41, 473052, $178.08, $180.69, $177.83
02/26/2021, $175.91, 579420, $181.14, $182.02, $175.78
02/25/2021, $183.23, 288620, $187.07, $188.41, $182.1
02/24/2021, $188.1, 341833, $187.04, $190.23, $187.04
02/23/2021, $186.42, 587479, $191.37, $191.81, $183.05
02/22/2021, $190.64, 665201, $183.14, $192.5, $182.2
02/19/2021, $182.13, 418364, $179.11, $182.23, $178.81
02/18/2021, $178.43, 372310, $177.34, $178.675, $176.54
02/17/2021, $178.42, 431574, $174.9, $179.27, $173.4
02/16/2021, $175.16, 616737, $177.63, $179, $174.8
02/12/2021, $176.13, 429082, $170.73, $176.8, $170.415
02/11/2021, $170.53, 742353, $170.5, $179.75, $169.53
02/10/2021, $167.77, 321734, $168.13, $169.1, $166.91
02/09/2021, $167.22, 346214, $165.33, $167.24, $164.5
02/08/2021, $165.02, 296563, $165.15, $166.25, $163.84
02/05/2021, $163.9, 405383, $162.8, $165.77, $162
02/04/2021, $161.25, 549379, $161.88, $162.4, $159.98
02/03/2021, $161.2, 309634, $159.62, $161.66, $158.97
02/02/2021, $159.62, 448789, $159.91, $161.39, $158
02/01/2021, $157.77, 421806, $158.01, $159.73, $156.36
01/29/2021, $157.33, 346207, $161.28, $162.03, $157.1
01/28/2021, $161.95, 379929, $163.95, $164.62, $161.28
01/27/2021, $163.2, 757992, $160, $166.41, $159.85
01/26/2021, $160.88, 466417, $168.65, $169.685, $160.8
01/25/2021, $166.51, 280838, $167.09, $169.17, $165.48
01/22/2021, $167.64, 312021, $166.57, $168.57, $164.48
01/21/2021, $166.89, 295797, $167.85, $170.17, $166.73
01/20/2021, $168.46, 280914, $170.24, $170.835, $168.27
01/19/2021, $170.57, 309978, $173.16, $173.75, $170.31
01/15/2021, $171.47, 297070, $171.25, $172.58, $168.12
01/14/2021, $172.02, 377142, $172.61, $175.35, $171.68
01/13/2021, $171.3, 223592, $171.59, $173, $170.26
01/12/2021, $172.21, 271215, $169.8, $173.32, $169.12
01/11/2021, $169.2, 262160, $167.76, $171.11, $167.76
01/08/2021, $169.09, 404190, $170.96, $172.9, $167.03
01/07/2021, $169.74, 471044, $171.65, $171.65, $168.595
01/06/2021, $170.98, 463288, $163.22, $171.46, $163.22
01/05/2021, $165.56, 392128, $164.18, $167.03, $164.03
01/04/2021, $164.05, 473605, $169.64, $169.87, $162.18
12/31/2020, $170.48, 286701, $168.04, $171.08, $167.545
12/30/2020, $168.54, 198804, $166.61, $169.4034, $166.37
12/29/2020, $166.58, 252761, $167.96, $168.02, $164.81
12/28/2020, $166.89, 178771, $166.37, $169.17, $166.04
12/24/2020, $165.4, 94666, $166.6, $166.6, $163.875
12/23/2020, $166.55, 177176, $164.56, $167.18, $163.98
12/22/2020, $163.63, 298832, $164.99, $165.865, $163.0286
12/21/2020, $165.27, 420838, $166.87, $168.09, $163.44
12/18/2020, $169.62, 977075, $170.56, $172.51, $168.5
12/17/2020, $170.47, 414717, $174.63, $174.91, $170.4
12/16/2020, $174.62, 310390, $176.45, $177.14, $173.12
12/15/2020, $176.07, 316454, $175.4, $177.27, $173.78
12/14/2020, $174.98, 412512, $179, $179.9, $174.06
12/11/2020, $177.7, 446845, $173.97, $179.28, $173.97
12/10/2020, $174.46, 479762, $171.54, $176.27, $171.54
12/09/2020, $173.44, 457969, $172.84, $174.93, $172.4
12/08/2020, $171.59, 420043, $169.24, $172.74, $169.24
12/07/2020, $170.04, 461112, $167.4, $170.38, $165.11
12/04/2020, $167.69, 284570, $164.12, $169.62, $163.56
12/03/2020, $163.73, 314482, $164.04, $166.09, $163.14
12/02/2020, $163.17, 359351, $162.69, $164.905, $160.3
12/01/2020, $164.42, 373644, $162.95, $166.55, $162.335
11/30/2020, $160.19, 612963, $163.2, $164.38, $159
11/27/2020, $164.53, 139476, $165.63, $165.63, $163.4
11/25/2020, $165.53, 284924, $169.13, $169.5, $165.134
11/24/2020, $170.87, 398206, $166.82, $172.54, $166.82
11/23/2020, $165.11, 424367, $160.1, $165.26, $160
11/20/2020, $158.74, 530079, $162.2, $162.92, $157.71
11/19/2020, $162.21, 275277, $162.26, $163.4, $160.69
11/18/2020, $163.02, 258233, $164.74, $165.08, $163
11/17/2020, $162.82, 311960, $162.01, $165.27, $161.56
11/16/2020, $163.26, 488468, $165.27, $166.73, $162.67
11/13/2020, $164.01, 378565, $160.14, $165.19, $159.58
11/12/2020, $158.53, 314404, $157.16, $159.48, $156.06
11/11/2020, $158.04, 448981, $161.53, $162.1, $157.92
11/10/2020, $161.54, 488738, $157.2, $164.4, $157.135
11/09/2020, $155.97, 632081, $160, $164.69, $155.24
11/06/2020, $152.72, 323606, $151.5, $154.82, $151.5
11/05/2020, $151.81, 794494, $151.99, $159.45, $148.85
11/04/2020, $150.72, 566945, $157.89, $158.74, $150.66
11/03/2020, $156.9, 392716, $152.28, $158, $151.595
11/02/2020, $149.5, 397336, $149.43, $152.12, $147.32
10/30/2020, $147.48, 301324, $142.64, $147.66, $142.64
10/29/2020, $142.97, 324118, $140.56, $143.47, $138.8
10/28/2020, $141.46, 352444, $144.05, $146.3795, $140.93
10/27/2020, $146.51, 284139, $148.81, $149.23, $146.175
10/26/2020, $149.71, 341633, $151.45, $151.77, $148.8579
10/23/2020, $152.82, 258899, $153.25, $153.845, $152.11
10/22/2020, $152.23, 233122, $149.94, $152.53, $149.2
10/21/2020, $149.52, 295193, $147.7, $150.15, $146.65
10/20/2020, $147.7, 229137, $147.68, $149.475, $146.15
10/19/2020, $146.96, 215723, $148.43, $149.98, $146.5
10/16/2020, $148, 376595, $147.79, $150.43, $146.245
10/15/2020, $147.55, 379766, $150.48, $150.48, $146.85
10/14/2020, $151.53, 237672, $147.37, $152.88, $147.37
10/13/2020, $148.46, 261962, $148, $150.08, $147.575
