Date, Close/Last, Volume, Open, High, Low
03/24/2021, $5.03, 137598, $5.02, $5.04, $5.02
03/23/2021, $5.01, 134831, $5.04, $5.04, $5.01
03/22/2021, $5.05, 165440, $5.02, $5.05, $5.01
03/19/2021, $5.01, 457341, $5.03, $5.03, $5
03/18/2021, $5.01, 180890, $5.03, $5.05, $5.01
03/17/2021, $5.05, 130359, $5.05, $5.05, $5.03
03/16/2021, $5.04, 361978, $5.05, $5.06, $5.03
03/15/2021, $5.03, 739135, $5.04, $5.05, $5.01
03/12/2021, $5.01, 147392, $5.02, $5.03, $5.01
03/11/2021, $5.02, 181320, $5.02, $5.04, $5.01
03/10/2021, $5.015, 141173, $4.98, $5.02, $4.98
03/09/2021, $4.97, 143481, $4.99, $4.999, $4.97
03/08/2021, $4.96, 485810, $4.99, $5.02, $4.96
03/05/2021, $4.99, 213150, $4.99, $5.0001, $4.96
03/04/2021, $4.97, 274874, $5.01, $5.04, $4.97
03/03/2021, $5.01, 146049, $5.02, $5.02, $5
03/02/2021, $5.02, 306016, $4.98, $5.03, $4.97
03/01/2021, $5, 260958, $4.95, $5, $4.9401
02/26/2021, $4.92, 285470, $4.93, $4.95, $4.92
02/25/2021, $4.92, 362000, $4.98, $4.99, $4.92
02/24/2021, $4.97, 249575, $4.96, $4.99, $4.95
02/23/2021, $4.95, 285935, $4.98, $4.98, $4.9434
02/22/2021, $4.98, 90310, $4.97, $4.98, $4.96
02/19/2021, $4.98, 207110, $4.98, $5, $4.96
02/18/2021, $4.98, 253336, $4.99, $4.99, $4.96
02/17/2021, $5.01, 341345, $5.07, $5.07, $4.99
02/16/2021, $5.07, 408491, $5.07, $5.07, $5.03
02/12/2021, $5.05, 257491, $5.04, $5.07, $5.04
02/11/2021, $5.06, 225400, $5.04, $5.06, $5.025
02/10/2021, $5.03, 231704, $5.02, $5.04, $5.015
02/09/2021, $5.01, 295893, $4.97, $5.01, $4.97
02/08/2021, $4.98, 290581, $4.99, $5, $4.97
02/05/2021, $4.98, 370784, $4.99, $4.99, $4.96
02/04/2021, $4.97, 335808, $4.94, $4.97, $4.93
02/03/2021, $4.94, 655185, $4.93, $4.94, $4.91
02/02/2021, $4.93, 390511, $4.93, $4.945, $4.92
02/01/2021, $4.93, 304021, $4.92, $4.96, $4.92
01/29/2021, $4.91, 261652, $4.9, $4.92, $4.9
01/28/2021, $4.91, 204912, $4.9, $4.92, $4.9
01/27/2021, $4.89, 279144, $4.9, $4.91, $4.88
01/26/2021, $4.89, 295710, $4.9, $4.92, $4.89
01/25/2021, $4.9, 306300, $4.92, $4.92, $4.89
01/22/2021, $4.91, 146526, $4.93, $4.93, $4.9
01/21/2021, $4.92, 174049, $4.93, $4.93, $4.91
01/20/2021, $4.95, 182047, $4.93, $4.96, $4.93
01/19/2021, $4.93, 334995, $4.92, $4.94, $4.92
01/15/2021, $4.91, 470452, $4.93, $4.94, $4.91
01/14/2021, $4.95, 413789, $4.94, $4.96, $4.93
01/13/2021, $4.93, 397968, $4.92, $4.94, $4.9
01/12/2021, $4.9, 452909, $4.93, $4.94, $4.9
01/11/2021, $4.93, 435407, $4.96, $4.97, $4.93
01/08/2021, $4.96, 664991, $4.97, $4.97, $4.95
01/07/2021, $4.96, 830968, $4.96, $4.99, $4.95
01/06/2021, $4.95, 922737, $4.97, $4.98, $4.94
01/05/2021, $4.97, 1266363, $4.92, $4.97, $4.92
01/04/2021, $4.94, 910901, $4.98, $4.98, $4.91
12/31/2020, $4.95, 968944, $4.99, $4.995, $4.95
12/30/2020, $4.98, 963362, $4.97, $5, $4.95
12/29/2020, $4.97, 885575, $4.99, $5, $4.96
12/28/2020, $4.97, 995885, $4.99, $5, $4.95
12/24/2020, $4.98, 267728, $5.01, $5.01, $4.97
12/23/2020, $4.99, 253282, $4.99, $5, $4.98
12/22/2020, $4.99, 398756, $4.98, $5, $4.97
12/21/2020, $5.01, 565101, $5.02, $5.02, $4.98
12/18/2020, $5.02, 497077, $5.02, $5.03, $4.99
12/17/2020, $5.02, 314875, $5.02, $5.04, $5.02
12/16/2020, $5.02, 729139, $5.06, $5.06, $4.99
12/15/2020, $5.06, 457219, $5.02, $5.06, $5.02
12/14/2020, $5.02, 1226610, $5, $5.06, $5
12/11/2020, $5, 771454, $5, $5.02, $4.99
12/10/2020, $5.02, 384530, $5, $5.03, $4.995
12/09/2020, $5.04, 715130, $5.02, $5.04, $5.01
12/08/2020, $5.01, 643015, $5.02, $5.03, $5
12/07/2020, $5.02, 570306, $5.04, $5.06, $5.015
12/04/2020, $5.05, 447402, $5.04, $5.05, $5.025
12/03/2020, $5.025, 665231, $5.06, $5.07, $5.02
12/02/2020, $5.05, 2033359, $5.03, $5.08, $5.01
12/01/2020, $5.02, 834192, $5.05, $5.07, $5.01
11/30/2020, $5.04, 599340, $5.07, $5.09, $5.0298
11/27/2020, $5.0407, 316580, $5.02, $5.06, $5.02
11/25/2020, $5.01, 161946, $4.99, $5.02, $4.99
11/24/2020, $5, 469272, $5, $5.02, $4.99
11/23/2020, $4.98, 1384726, $4.96, $5, $4.95
11/20/2020, $4.96, 1283666, $5.02, $5.02, $4.96
11/19/2020, $5.05, 153797, $5, $5.0639, $5
11/18/2020, $5.04, 279019, $5.02, $5.07, $5.02
11/17/2020, $5.02, 353245, $4.99, $5.02, $4.96
11/16/2020, $5, 891518, $4.95, $5, $4.95
11/13/2020, $4.95, 584882, $4.98, $4.99, $4.92
11/12/2020, $4.99, 958748, $5, $5.01, $4.98
11/11/2020, $5, 1718516, $5.01, $5.02, $4.99
11/10/2020, $5, 751857, $4.99, $5.02, $4.99
11/09/2020, $4.99, 352691, $5.03, $5.0451, $4.98
11/06/2020, $4.97, 192003, $5.02, $5.02, $4.95
11/05/2020, $5, 379185, $4.97, $5.03, $4.97
11/04/2020, $4.96, 396629, $4.93, $4.97, $4.9
11/03/2020, $4.9, 633344, $4.88, $4.92, $4.87
11/02/2020, $4.86, 338291, $4.91, $4.92, $4.86
10/30/2020, $4.88, 267233, $4.9, $4.94, $4.88
10/29/2020, $4.9, 213214, $4.86, $4.92, $4.86
10/28/2020, $4.87, 485082, $4.91, $4.93, $4.87
10/27/2020, $4.94, 101777, $4.93, $4.96, $4.93
10/26/2020, $4.93, 457475, $4.97, $4.98, $4.9173
10/23/2020, $4.99, 177558, $5.01, $5.01, $4.9683
10/22/2020, $5, 379628, $4.97, $5, $4.95
10/21/2020, $4.98, 214618, $4.98, $5.01, $4.963
10/20/2020, $4.98, 212486, $4.91, $4.98, $4.9075
10/19/2020, $4.9, 285128, $4.91, $4.92, $4.88
10/16/2020, $4.91, 296751, $4.96, $4.97, $4.91
10/15/2020, $4.95, 266079, $4.96, $4.965, $4.93
10/14/2020, $4.97, 145313, $5, $5.02, $4.97
10/13/2020, $5, 204459, $5, $5.01, $4.98
10/12/2020, $5.02, 161251, $5.03, $5.03, $5.01
10/09/2020, $5, 343310, $4.98, $5.03, $4.97
10/08/2020, $4.98, 279233, $5, $5, $4.98
10/07/2020, $4.98, 159330, $4.99, $5.01, $4.98
10/06/2020, $4.97, 99924, $5, $5, $4.97
10/05/2020, $4.99, 129203, $4.97, $5, $4.97
10/02/2020, $4.94, 245899, $4.93, $5, $4.925
10/01/2020, $4.94, 163996, $4.93, $4.96, $4.9282
09/30/2020, $4.9, 731461, $4.91, $4.93, $4.89
09/29/2020, $4.89, 219415, $4.94, $4.95, $4.89
09/28/2020, $4.93, 140272, $4.94, $4.94, $4.91
09/25/2020, $4.91, 292800, $4.88, $4.93, $4.87
09/24/2020, $4.89, 645963, $4.9, $4.92, $4.87
09/23/2020, $4.9, 301459, $4.99, $4.99, $4.88
09/22/2020, $4.99, 109880, $5.01, $5.02, $4.98
09/21/2020, $5.03, 278058, $5.04, $5.05, $5
09/18/2020, $5.07, 257242, $5.05, $5.07, $5.04
09/17/2020, $5.04, 401909, $5.03, $5.06, $5.03
09/16/2020, $5.04, 396665, $5.04, $5.06, $5.04
09/15/2020, $5.04, 289401, $5.06, $5.06, $5.04
09/14/2020, $5.05, 641249, $5.05, $5.05, $5.03
09/11/2020, $5.04, 298627, $5.05, $5.07, $5.03
09/10/2020, $5.04, 410559, $5.05, $5.07, $5.02
09/09/2020, $5.04, 261393, $5.03, $5.05, $5.02
09/08/2020, $5, 442313, $4.95, $5.01, $4.91
09/04/2020, $4.99, 157426, $5.03, $5.03, $4.985
09/03/2020, $5.03, 320069, $5.01, $5.05, $4.98
09/02/2020, $5.04, 432275, $5.09, $5.1, $5.03
09/01/2020, $5.09, 371426, $5.04, $5.1, $5.035
08/31/2020, $5.04, 169090, $5.02, $5.04, $5.02
08/28/2020, $5.01, 247628, $5.02, $5.05, $5.01
08/27/2020, $5, 312484, $5.03, $5.05, $5
08/26/2020, $5.03, 418926, $5.01, $5.03, $5
08/25/2020, $5.01, 259624, $5.01, $5.03, $5
08/24/2020, $5.03, 367168, $5, $5.03, $4.9901
08/21/2020, $5, 807111, $4.97, $5.01, $4.97
08/20/2020, $5.01, 1393224, $4.92, $5.01, $4.915
08/19/2020, $4.96, 663158, $4.94, $4.96, $4.89
08/18/2020, $4.94, 289882, $4.96, $4.97, $4.92
08/17/2020, $4.95, 504448, $4.96, $4.98, $4.94
08/14/2020, $4.95, 191655, $4.94, $4.96, $4.94
08/13/2020, $4.95, 544339, $4.95, $4.98, $4.935
08/12/2020, $4.98, 333711, $4.95, $4.99, $4.95
08/11/2020, $4.91, 305557, $5.01, $5.01, $4.905
08/10/2020, $5.01, 156450, $5.02, $5.02, $5
08/07/2020, $4.99, 210775, $5, $5.02, $4.98
08/06/2020, $5, 966012, $4.99, $5.01, $4.9502
08/05/2020, $4.96, 139169, $4.92, $4.96, $4.91
08/04/2020, $4.92, 456713, $4.9, $4.92, $4.89
08/03/2020, $4.89, 138773, $4.9, $4.92, $4.89
07/31/2020, $4.88, 117759, $4.85, $4.89, $4.85
07/30/2020, $4.86, 129264, $4.87, $4.88, $4.86
07/29/2020, $4.89, 277290, $4.85, $4.89, $4.84
07/28/2020, $4.83, 237765, $4.83, $4.84, $4.82
07/27/2020, $4.82, 300380, $4.82, $4.83, $4.79
07/24/2020, $4.81, 317164, $4.8, $4.83, $4.8
07/23/2020, $4.81, 339766, $4.76, $4.81, $4.76
07/22/2020, $4.82, 468594, $4.83, $4.83, $4.8
07/21/2020, $4.82, 578128, $4.8, $4.82, $4.79
07/20/2020, $4.78, 225298, $4.75, $4.79, $4.75
07/17/2020, $4.76, 248534, $4.75, $4.8, $4.741
07/16/2020, $4.74, 387679, $4.74, $4.75, $4.7398
07/15/2020, $4.74, 487100, $4.73, $4.76, $4.725
