Date, Close/Last, Volume, Open, High, Low
03/24/2021, $1.5699, 2820071, $2.41, $2.45, $1.48
03/23/2021, $0.86, 1608084, $1.1, $1.145, $0.83
03/22/2021, $1.1699, 1304849, $0.94, $1.22, $0.9
03/19/2021, $0.93, 1232738, $0.75, $1, $0.6201
03/18/2021, $0.6999, 207230, $0.72, $0.79, $0.6912
03/17/2021, $0.6597, 43227, $0.6, $0.6599, $0.5921
03/16/2021, $0.6463, 106163, $0.66, $0.71, $0.6301
03/15/2021, $0.6499, 159861, $0.6001, $0.7, $0.6001
03/12/2021, $0.598, 197584, $0.5774, $0.6665, $0.53
03/11/2021, $0.52, 210987, $0.5849, $0.5987, $0.47
03/10/2021, $0.543, 179256, $0.55, $0.55, $0.4699
03/09/2021, $0.55, 54605, $0.4895, $0.6463, $0.4895
03/08/2021, $0.5135, 20868, $0.6286, $0.6286, $0.4601
03/05/2021, $0.5456, 75805, $0.5031, $0.5488, $0.4501
03/04/2021, $0.549, 71293, $0.57, $0.5854, $0.5
03/03/2021, $0.595, 26614, $0.67, $0.67, $0.5612
03/02/2021, $0.6269, 36348, $0.66, $0.66, $0.58
03/01/2021, $0.6201, 27498, $0.6324, $0.6849, $0.62
02/26/2021, $0.59, 104705, $0.5612, $0.65, $0.5611
02/25/2021, $0.622, 166801, $0.605, $0.72, $0.605
02/24/2021, $0.66, 40023, $0.63, $0.66, $0.63
02/23/2021, $0.67, 102190, $0.6999, $0.6999, $0.6
02/22/2021, $0.7199, 66298, $0.739, $0.739, $0.6901
02/19/2021, $0.695, 56584, $0.6517, $0.695, $0.6502
02/18/2021, $0.6849, 69854, $0.7199, $0.7199, $0.6401
02/17/2021, $0.7009, 133249, $0.75, $0.75, $0.6306
02/16/2021, $0.73, 187459, $0.75, $0.8, $0.7102
02/12/2021, $0.74, 87243, $0.8, $0.8002, $0.68
02/11/2021, $0.76, 85826, $0.81, $0.83, $0.7201
02/10/2021, $0.81, 109818, $0.78, $0.8478, $0.7301
02/09/2021, $0.87, 175622, $0.86, $0.9569, $0.83
02/08/2021, $0.86, 282695, $0.99, $0.99, $0.78
02/05/2021, $0.98, 166105, $1.05, $1.07, $0.9018
02/04/2021, $1.04, 741719, $0.942, $1.06, $0.76
02/03/2021, $0.887, 409099, $0.71, $0.887, $0.6911
02/02/2021, $0.69, 61520, $0.71, $0.71, $0.66
02/01/2021, $0.705, 114124, $0.65, $0.73, $0.6101
01/29/2021, $0.6835, 159374, $0.6109, $0.6835, $0.6
01/28/2021, $0.6207, 106967, $0.61, $0.719, $0.6
01/27/2021, $0.6801, 283706, $0.69, $0.74, $0.61
01/26/2021, $0.6893, 780219, $0.65, $0.7124, $0.64
01/25/2021, $0.62, 339822, $0.6, $0.639, $0.6
01/22/2021, $0.6, 125364, $0.59, $0.61, $0.5611
01/21/2021, $0.6349, 232706, $0.61, $0.6495, $0.54
01/20/2021, $0.58, 296018, $0.59, $0.62, $0.55
01/19/2021, $0.5213, 131603, $0.539, $0.549, $0.5
01/15/2021, $0.5, 79700, $0.5386, $0.5386, $0.49
01/14/2021, $0.5355, 145428, $0.5581, $0.5615, $0.505
01/13/2021, $0.56, 108543, $0.57, $0.57, $0.52
01/12/2021, $0.56, 309156, $0.52, $0.59, $0.5
01/11/2021, $0.5011, 402099, $0.56, $0.6075, $0.4208
01/08/2021, $0.52, 804145, $0.44, $0.5769, $0.4399
01/07/2021, $0.4201, 208828, $0.36, $0.45, $0.36
01/06/2021, $0.34, 116804, $0.311, $0.39, $0.311
01/05/2021, $0.373, 134436, $0.325, $0.395, $0.325
01/04/2021, $0.389, 564811, $0.3301, $0.39, $0.3
12/31/2020, $0.2596, 413748, $0.27, $0.2765, $0.24
12/30/2020, $0.255, 189867, $0.251, $0.2943, $0.25
12/29/2020, $0.2575, 155891, $0.275, $0.3, $0.25
12/28/2020, $0.28, 185785, $0.3, $0.31, $0.27
12/24/2020, $0.31, 44143, $0.3, $0.31, $0.29
12/23/2020, $0.31, 176652, $0.29, $0.3103, $0.28
12/22/2020, $0.29, 89126, $0.34, $0.34, $0.29
12/21/2020, $0.295, 98518, $0.2993, $0.31, $0.295
12/18/2020, $0.2957, 96355, $0.31, $0.32, $0.29
12/17/2020, $0.3057, 37113, $0.2806, $0.33, $0.2806
12/16/2020, $0.32, 68289, $0.33, $0.33, $0.2805
12/15/2020, $0.3025, 149750, $0.331, $0.362, $0.3
12/14/2020, $0.3382, 24006, $0.369, $0.369, $0.3264
12/11/2020, $0.3316, 90953, $0.3453, $0.38, $0.3201
12/10/2020, $0.3405, 54789, $0.3443, $0.35, $0.3322
12/09/2020, $0.3442, 105609, $0.3601, $0.377, $0.3432
12/08/2020, $0.3505, 103058, $0.352, $0.3799, $0.33
12/07/2020, $0.3668, 108262, $0.3799, $0.38, $0.36
12/04/2020, $0.38, 112674, $0.37, $0.38, $0.351
12/03/2020, $0.3681, 174401, $0.32, $0.38, $0.32
12/02/2020, $0.33, 192270, $0.3, $0.35, $0.29
12/01/2020, $0.3, 202665, $0.31, $0.34, $0.3
11/30/2020, $0.3, 163069, $0.254, $0.3, $0.254
11/27/2020, $0.275, 171664, $0.2607, $0.28, $0.2501
11/25/2020, $0.288, 142091, $0.279, $0.2999, $0.25
11/24/2020, $0.2817, 115344, $0.3, $0.3, $0.26
