Date, Close/Last, Volume, Open, High, Low
03/24/2021, $2.21, 5081637, $2.41, $2.43, $2.2
03/23/2021, $2.51, 80438900, $3.06, $3.15, $2.33
03/22/2021, $2.18, 478410, $2.24, $2.29, $2.175
03/19/2021, $2.21, 771402, $2.15, $2.23, $2.11
03/18/2021, $2.16, 1234237, $2.17, $2.25, $2.1
03/17/2021, $2.18, 1676194, $2.15, $2.31, $2.08
03/16/2021, $2.12, 1237816, $2.15, $2.2, $2.03
03/15/2021, $2.15, 1165276, $2.1235, $2.1799, $2.073
03/12/2021, $2.15, 1041132, $2.02, $2.19, $1.98
03/11/2021, $2.05, 2553081, $2.13, $2.15, $1.95
03/10/2021, $1.9, 1035682, $1.98, $1.99, $1.81
03/09/2021, $1.97, 3763475, $1.81, $1.9999, $1.75
03/08/2021, $1.93, 385526, $1.87, $1.97, $1.81
03/05/2021, $1.85, 1392250, $1.96, $1.96, $1.71
03/04/2021, $1.93, 1333566, $2.15, $2.15, $1.87
03/03/2021, $2.17, 1200144, $2.26, $2.272, $2.11
03/02/2021, $2.24, 928456, $2.31, $2.35, $2.2
03/01/2021, $2.31, 2590355, $2.35, $2.468, $2.22
02/26/2021, $2.35, 3262861, $2.3, $2.7, $2.21
02/25/2021, $2.32, 3561876, $2.56, $2.56, $2.3
02/24/2021, $2.67, 27408510, $2.422, $3.44, $2.33
02/23/2021, $2.47, 7958837, $2.3, $2.56, $2.0691
02/22/2021, $2.3, 1778309, $2.44, $2.51, $2.27
02/19/2021, $2.54, 1708090, $2.719, $2.75, $2.5
02/18/2021, $2.67, 15802300, $3.07, $3.5, $2.62
02/17/2021, $3.04, 14252480, $2.48, $3.11, $2.39
02/16/2021, $2.49, 902616, $2.43, $2.54, $2.43
02/12/2021, $2.45, 768513, $2.455, $2.5033, $2.4001
02/11/2021, $2.5, 2022828, $2.5, $2.67, $2.39
02/10/2021, $2.49, 4178782, $2.625, $2.75, $2.3
02/09/2021, $2.41, 1686615, $2.47, $2.479, $2.36
02/08/2021, $2.4, 6558462, $2.29, $2.77, $2.25
02/05/2021, $2.24, 730112, $2.26, $2.28, $2.2
02/04/2021, $2.21, 836775, $2.2, $2.3, $2.2
02/03/2021, $2.21, 474727, $2.19, $2.25, $2.18
02/02/2021, $2.19, 491224, $2.2361, $2.2361, $2.15
02/01/2021, $2.13, 432940, $2.2, $2.2, $2.06
01/29/2021, $2.11, 550035, $2.19, $2.21, $2.1
01/28/2021, $2.19, 1304464, $2.26, $2.3, $2
01/27/2021, $2.23, 1198786, $2.34, $2.38, $2.21
01/26/2021, $2.47, 2268189, $2.33, $2.5, $2.33
01/25/2021, $2.32, 933677, $2.35, $2.36, $2.16
01/22/2021, $2.32, 791152, $2.19, $2.32, $2.18
01/21/2021, $2.24, 685945, $2.2, $2.24, $2.15
01/20/2021, $2.24, 2474466, $2.3, $2.35, $2.15
01/19/2021, $2.15, 918067, $2.18, $2.225, $2.11
01/15/2021, $2.2, 446734, $2.21, $2.24, $2.13
01/14/2021, $2.25, 825463, $2.21, $2.27, $2.16
01/13/2021, $2.18, 2651881, $2.37, $2.41, $2.13
01/12/2021, $2.24, 885225, $2.15, $2.26, $2.11
01/11/2021, $2.11, 1154901, $2.06, $2.18, $2
01/08/2021, $2.08, 1150090, $2.24, $2.25, $2.06
01/07/2021, $2.17, 873201, $2.12, $2.25, $2.11
01/06/2021, $2.12, 1567455, $2.25, $2.34, $2.1
01/05/2021, $2.3, 4427241, $2.159, $2.51, $2.06
01/04/2021, $2.51, 13266830, $2.71, $2.7198, $2.35
12/31/2020, $2.37, 113187700, $2.98, $3.1, $2.24
12/30/2020, $1.64, 389007, $1.6, $1.66, $1.58
12/29/2020, $1.58, 350936, $1.65, $1.66, $1.56
12/28/2020, $1.65, 228603, $1.68, $1.68, $1.62
12/24/2020, $1.66, 304490, $1.67, $1.68, $1.6
12/23/2020, $1.65, 871728, $1.65, $1.88, $1.62
12/22/2020, $1.66, 234441, $1.67, $1.676, $1.61
12/21/2020, $1.67, 187800, $1.7, $1.7, $1.64
12/18/2020, $1.66, 271087, $1.67, $1.7, $1.64
12/17/2020, $1.68, 330171, $1.68, $1.7, $1.64
12/16/2020, $1.69, 122592, $1.68, $1.74, $1.67
12/15/2020, $1.69, 220524, $1.71, $1.71, $1.665
12/14/2020, $1.71, 126211, $1.75, $1.75, $1.69
12/11/2020, $1.75, 335305, $1.78, $1.79, $1.68
12/10/2020, $1.84, 2152762, $1.72, $2, $1.7
12/09/2020, $1.65, 504914, $1.68, $1.7, $1.65
12/08/2020, $1.71, 141381, $1.74, $1.74, $1.68
12/07/2020, $1.69, 126631, $1.74, $1.75, $1.65
12/04/2020, $1.73, 133533, $1.77, $1.79, $1.72
12/03/2020, $1.77, 239838, $1.73, $1.82, $1.6846
12/02/2020, $1.72, 145771, $1.71, $1.735, $1.6623
12/01/2020, $1.71, 147266, $1.74, $1.75, $1.68
11/30/2020, $1.72, 163587, $1.69, $1.73, $1.63
11/27/2020, $1.69, 174708, $1.72, $1.72, $1.67
11/25/2020, $1.67, 157283, $1.72, $1.72, $1.6505
11/24/2020, $1.71, 68597, $1.71, $1.73, $1.69
11/23/2020, $1.7, 114025, $1.73, $1.7559, $1.69
11/20/2020, $1.73, 179473, $1.76, $1.76, $1.67
11/19/2020, $1.75, 63941, $1.75, $1.8, $1.72
11/18/2020, $1.77, 147866, $1.75, $1.81, $1.71
11/17/2020, $1.76, 59776, $1.71, $1.77, $1.7082
11/16/2020, $1.71, 60270, $1.75, $1.75, $1.7
11/13/2020, $1.74, 48886, $1.79, $1.79, $1.7
11/12/2020, $1.74, 64450, $1.73, $1.74, $1.69
11/11/2020, $1.699, 76655, $1.78, $1.78, $1.68
11/10/2020, $1.74, 129618, $1.8, $1.8499, $1.65
11/09/2020, $1.78, 106276, $1.85, $1.89, $1.76
11/06/2020, $1.84, 128972, $1.83, $1.9, $1.7916
11/05/2020, $1.83, 145194, $1.74, $1.86, $1.73
11/04/2020, $1.72, 139306, $1.74, $1.76, $1.71
11/03/2020, $1.74, 217783, $1.736, $1.75, $1.7
11/02/2020, $1.65, 434210, $1.64, $1.88, $1.6
10/30/2020, $1.67, 119394, $1.72, $1.7999, $1.63
10/29/2020, $1.75, 77309, $1.7, $1.785, $1.7
10/28/2020, $1.73, 119609, $1.77, $1.79, $1.64
10/27/2020, $1.77, 107597, $1.84, $1.84, $1.75
10/26/2020, $1.8, 85983, $1.87, $1.9, $1.7701
10/23/2020, $1.88, 136454, $1.79, $1.9, $1.79
10/22/2020, $1.79, 84201, $1.83, $1.87, $1.79
10/21/2020, $1.83, 187988, $1.85, $1.88, $1.76
10/20/2020, $1.82, 584346, $1.8, $1.93, $1.77
10/19/2020, $1.8, 187584, $1.77, $1.83, $1.73
10/16/2020, $1.79, 198386, $1.8, $1.82, $1.7681
10/15/2020, $1.8, 234826, $1.85, $1.88, $1.79
10/14/2020, $1.86, 240984, $1.86, $1.96, $1.82
10/13/2020, $1.86, 93890, $1.85, $1.88, $1.85
10/12/2020, $1.86, 105405, $1.86, $1.9, $1.84
10/09/2020, $1.86, 146334, $1.91, $1.92, $1.83
10/08/2020, $1.92, 72223, $1.92, $1.95, $1.9
10/07/2020, $1.92, 83237, $1.93, $1.984, $1.9
10/06/2020, $1.91, 223470, $1.9, $1.98, $1.84
10/05/2020, $1.87, 79241, $1.91, $1.92, $1.86
10/02/2020, $1.9, 79153, $1.84, $1.94, $1.84
10/01/2020, $1.95, 72102, $1.96, $1.97, $1.92
09/30/2020, $1.97, 92251, $1.96, $2.02, $1.9425
09/29/2020, $1.99, 165419, $1.85, $1.99, $1.83
09/28/2020, $1.86, 247248, $1.96, $1.984, $1.7666
09/25/2020, $1.95, 117101, $1.98, $2.04, $1.91
09/24/2020, $1.97, 315350, $2.07, $2.072, $1.87
09/23/2020, $2.06, 257242, $2.2, $2.201, $2.06
09/22/2020, $2.21, 164273, $2.28, $2.28, $2.17
09/21/2020, $2.28, 1089377, $2.31, $2.74, $2.22
09/18/2020, $2.35, 82792, $2.38, $2.4, $2.31
09/17/2020, $2.41, 388607, $2.31, $2.42, $2.23
09/16/2020, $2.34, 476883, $2.21, $2.38, $2.21
09/15/2020, $2.25, 142643, $2.3, $2.3757, $2.25
09/14/2020, $2.33, 153672, $2.29, $2.3692, $2.25
09/11/2020, $2.29, 315182, $2.18, $2.32, $2.165
09/10/2020, $2.19, 186414, $2.23, $2.2353, $2.15
09/09/2020, $2.25, 223516, $2.29, $2.3528, $2.14
09/08/2020, $2.28, 132311, $2.27, $2.38, $2.2297
09/04/2020, $2.31, 414619, $2.38, $2.415, $2.1949
09/03/2020, $2.41, 245246, $2.46, $2.57, $2.41
09/02/2020, $2.47, 227788, $2.55, $2.57, $2.43
09/01/2020, $2.57, 295111, $2.65, $2.67, $2.53
08/31/2020, $2.65, 330450, $2.66, $2.75, $2.55
08/28/2020, $2.62, 291753, $2.54, $2.627, $2.5014
08/27/2020, $2.51, 246731, $2.52, $2.565, $2.48
08/26/2020, $2.59, 212379, $2.5, $2.5901, $2.48
08/25/2020, $2.54, 365507, $2.45, $2.64, $2.435
08/24/2020, $2.48, 575743, $2.45, $2.56, $2.3
08/21/2020, $2.47, 336291, $2.48, $2.5, $2.42
08/20/2020, $2.48, 568279, $2.59, $2.6, $2.41
08/19/2020, $2.62, 1038564, $2.74, $2.77, $2.595
08/18/2020, $2.78, 1028305, $2.63, $2.89, $2.6
08/17/2020, $2.65, 277847, $2.67, $2.67, $2.6
08/14/2020, $2.69, 269972, $2.7, $2.7, $2.57
08/13/2020, $2.66, 247396, $2.73, $2.73, $2.65
08/12/2020, $2.66, 927213, $2.9, $2.9, $2.64
08/11/2020, $2.94, 1307805, $3.03, $3.1, $2.88
08/10/2020, $3.13, 12323170, $3.255, $3.48, $2.91
08/07/2020, $2.76, 123573, $2.77, $2.7807, $2.735
08/06/2020, $2.79, 230186, $2.82, $2.85, $2.745
08/05/2020, $2.81, 460000, $2.76, $2.89, $2.71
08/04/2020, $2.77, 188449, $2.76, $2.785, $2.7
08/03/2020, $2.79, 614394, $2.76, $2.83, $2.64
07/31/2020, $2.73, 1803996, $2.91, $3.04, $2.64
07/30/2020, $2.72, 207039, $2.65, $2.7618, $2.62
07/29/2020, $2.69, 261438, $2.82, $2.82, $2.6153
07/28/2020, $2.8, 302149, $2.73, $2.8264, $2.7
07/27/2020, $2.77, 727793, $2.95, $3.02, $2.66
07/24/2020, $2.92, 1171800, $2.81, $3.06, $2.8
07/23/2020, $2.85, 403683, $3, $3, $2.79
07/22/2020, $2.97, 378766, $3.04, $3.08, $2.96
07/21/2020, $3.05, 1055957, $3.19, $3.34, $2.96
07/20/2020, $3.15, 2047087, $3.09, $3.28, $2.84
07/17/2020, $2.99, 6356385, $2.82, $3.89, $2.78
07/16/2020, $2.77, 454809, $2.75, $2.77, $2.64
07/15/2020, $2.74, 871639, $2.6, $2.79, $2.55
07/14/2020, $2.62, 377621, $2.61, $2.62, $2.5
07/13/2020, $2.51, 461741, $2.58, $2.64, $2.5
07/10/2020, $2.58, 172461, $2.55, $2.59, $2.5
07/09/2020, $2.52, 460826, $2.7, $2.74, $2.52
07/08/2020, $2.65, 1469898, $2.72, $2.74, $2.45
07/07/2020, $2.54, 388389, $2.45, $2.57, $2.33
07/06/2020, $2.44, 146603, $2.48, $2.49, $2.42
07/02/2020, $2.5, 153141, $2.5, $2.53, $2.46
07/01/2020, $2.58, 781779, $2.52, $2.6, $2.31
06/30/2020, $2.58, 1974099, $2.65, $2.8, $2.54
06/29/2020, $2.53, 172574, $2.52, $2.55, $2.5
06/26/2020, $2.56, 379994, $2.58, $2.58, $2.5
06/25/2020, $2.58, 318429, $2.52, $2.6, $2.5
06/24/2020, $2.54, 304161, $2.62, $2.62, $2.5
06/23/2020, $2.6, 208204, $2.61, $2.64, $2.55
06/22/2020, $2.61, 130499, $2.6, $2.64, $2.56
06/19/2020, $2.62, 172501, $2.64, $2.66, $2.6001
06/18/2020, $2.64, 203617, $2.62, $2.68, $2.6
06/17/2020, $2.65, 360155, $2.7, $2.711, $2.5
06/16/2020, $2.71, 503616, $2.7, $2.76, $2.63
06/15/2020, $2.71, 452413, $2.64, $2.7352, $2.52
06/12/2020, $2.63, 347863, $2.73, $2.74, $2.52
06/11/2020, $2.63, 658684, $2.78, $2.78, $2.56
06/10/2020, $2.84, 311835, $2.81, $2.85, $2.76
06/09/2020, $2.82, 356740, $2.9, $2.9, $2.79
06/08/2020, $2.9, 975562, $2.88, $2.95, $2.81
06/05/2020, $2.8, 423321, $2.8, $2.85, $2.77
06/04/2020, $2.8, 344178, $2.82, $2.87, $2.76
06/03/2020, $2.87, 681136, $2.87, $2.89, $2.77
06/02/2020, $2.9, 311629, $2.81, $2.9, $2.7883
06/01/2020, $2.86, 334101, $2.82, $2.88, $2.79
05/29/2020, $2.89, 635435, $2.9, $3, $2.86
05/28/2020, $2.84, 554431, $2.9, $2.94, $2.82
05/27/2020, $2.94, 1224133, $2.9, $2.96, $2.75
05/26/2020, $2.87, 1337461, $2.9, $2.98, $2.8
05/22/2020, $2.8, 1746187, $2.8, $2.9, $2.75
05/21/2020, $3.17, 1304199, $3.44, $3.46, $2.95
05/20/2020, $3.4, 1787421, $3.68, $3.68, $3.21
05/19/2020, $3.35, 6003063, $4.02, $4.96, $3.3
05/18/2020, $3.86, 108612, $4.1, $4.15, $3.78
05/15/2020, $3.9201, 33334, $3.8, $4.06, $3.59
05/14/2020, $3.8, 31576, $3.78, $3.895, $3.7009
05/13/2020, $3.9, 15373, $3.95, $4.0857, $3.7501
05/12/2020, $3.95, 45373, $3.88, $4.03, $3.7658
05/11/2020, $3.92, 79416, $3.65, $3.92, $3.3946
05/08/2020, $3.68, 70662, $3.64, $3.7453, $3.4915
05/07/2020, $3.54, 39467, $3.59, $3.64, $3.46
05/06/2020, $3.595, 49693, $3.5, $3.65, $3.36
05/05/2020, $3.51, 102251, $3.31, $3.9, $3.31
05/04/2020, $3.36, 45949, $3.52, $3.5725, $3.2
05/01/2020, $3.56, 50775, $3.52, $3.65, $3.3669
04/30/2020, $3.55, 86714, $3.81, $3.89, $3.52
04/29/2020, $3.81, 88995, $3.79, $3.81, $3.71
04/28/2020, $3.7, 126504, $3.69, $3.88, $3.6
04/27/2020, $3.71, 233285, $3.35, $3.82, $3.1101
04/24/2020, $3.41, 910635, $3.15, $4.15, $3.03
04/23/2020, $3.42, 1077800, $4.04, $4.39, $3.21
04/22/2020, $4.08, 1061166, $3.3, $4.25, $3.25
04/21/2020, $3.12, 174190, $3.08, $3.63, $2.95
04/20/2020, $3.12, 83371, $3.02, $3.19, $2.91
04/17/2020, $3.12, 65976, $2.95, $3.13, $2.9303
04/16/2020, $3, 67179, $2.96, $3.1, $2.92
04/15/2020, $3, 38443, $3.05, $3.1315, $2.97
04/14/2020, $3.12, 88334, $3.07, $3.2, $3.02
04/13/2020, $3.08, 36011, $3.21, $3.21, $2.96
04/09/2020, $3.13, 120313, $3.1, $3.25, $3.05
04/08/2020, $3.17, 124862, $3.06, $3.2, $3.06
04/07/2020, $3.11, 61584, $3.26, $3.26, $2.97
04/06/2020, $3.25, 216413, $3.04, $3.35, $3
04/03/2020, $3.03, 90379, $2.97, $3.05, $2.86
04/02/2020, $2.93, 481625, $2.9, $3.74, $2.75
04/01/2020, $3.01, 109580, $2.91, $3.025, $2.7233
03/31/2020, $3.06, 118166, $3, $3.262, $2.83
03/30/2020, $3.04, 130302, $3.43, $3.43, $2.9
03/27/2020, $3.13, 308808, $3.2, $3.37, $2.81
03/26/2020, $2.96, 174159, $2.82, $3.13, $2.8
03/25/2020, $3.12, 270035, $3.17, $3.25, $2.6
03/24/2020, $3.15, 812933, $3.5, $3.6, $3.08
03/23/2020, $3.74, 7993787, $5.73, $7, $3.02
03/20/2020, $2.7, 25031, $2.78, $3.833, $2.63
03/19/2020, $2.62, 17229, $2.8, $3.36, $2.595
03/18/2020, $2.8, 8675, $2.8, $2.82, $2.8
03/17/2020, $2.8, 21287, $3.38, $3.38, $2.8
03/16/2020, $3.5, 17089, $3.5, $3.7, $3
03/13/2020, $3.72, 14692, $3.63, $3.7899, $3.48
03/12/2020, $3.79, 22487, $3.75, $3.8, $3.68
03/11/2020, $3.84, 14760, $4.01, $4.01, $3.76
03/10/2020, $4.0067, 2985, $4.15, $4.1858, $3.97
03/09/2020, $4.15, 16860, $3.97, $4.195, $3.7601
03/06/2020, $4, 20216, $3.8, $4.24, $3.76
03/05/2020, $3.9, 30569, $4.3, $4.3, $3.9
03/04/2020, $4.265, 10863, $4.2, $4.3399, $4.1763
03/03/2020, $4.1, 9947, $4.22, $4.3439, $4.0533
03/02/2020, $4.43, 25930, $4.15, $4.43, $3.91
02/28/2020, $4.1934, 7802, $4.01, $4.3415, $3.8825
02/27/2020, $4.07, 21294, $4.304, $4.34, $4.07
02/26/2020, $4.35, 5651, $4.26, $4.3756, $4.2
02/25/2020, $4.312, 12119, $4.3, $4.51, $4.25
02/24/2020, $4.35, 9027, $4.42, $4.42, $4.3
02/21/2020, $4.52, 5868, $4.41, $4.6572, $4.41
02/20/2020, $4.41, 13522, $4.5245, $4.79, $4.4
02/19/2020, $4.5216, 77887, $4.55, $4.989, $4.455
02/18/2020, $4.7, 23924, $4.64, $4.823, $4.57
02/14/2020, $4.8, 16367, $5.12, $5.12, $4.61
02/13/2020, $4.82, 104632, $4.51, $5.05, $4.35
02/12/2020, $4.9494, 1039802, $6.36, $7.2, $4.51
02/11/2020, $4.96, 23634, $4.91, $5.1099, $4.8354
02/10/2020, $4.88, 15408, $4.71, $5.01, $4.71
02/07/2020, $4.8731, 27589, $4.71, $4.9754, $4.71
02/06/2020, $4.78, 81180, $4.7, $5.09, $4.63
02/05/2020, $4.71, 53661, $4.61, $4.8899, $4.51
02/04/2020, $4.65, 55285, $4.27, $4.65, $3.75
02/03/2020, $4.12, 47471, $4.6, $4.69, $4
01/31/2020, $4.7, 23583, $4.76, $4.899, $4.7
01/30/2020, $4.6985, 8020, $4.71, $4.8154, $4.69
01/29/2020, $4.872, 43357, $5.25, $5.25, $4.66
01/28/2020, $4.955, 30190, $4.73, $5.03, $4.73
01/27/2020, $4.71, 18029, $4.81, $5.05, $4.7055
01/24/2020, $4.86, 14162, $4.9, $4.9928, $4.8597
01/23/2020, $4.91, 15718, $5.06, $5.12, $4.91
01/22/2020, $5.0601, 37640, $5.15, $5.3, $5.031
01/21/2020, $5.15, 55388, $5.15, $5.22, $5
