Date, Close/Last, Volume, Open, High, Low
03/24/2021, $10.12, 282057, $10.33, $10.48, $10.09
03/23/2021, $10.37, 214815, $10.61, $10.78, $10.33
03/22/2021, $10.67, 180798, $10.81, $10.98, $10.62
03/19/2021, $10.62, 135063, $10.93, $10.95, $10.6
03/18/2021, $10.83, 99301, $10.94, $10.99, $10.72
03/17/2021, $10.84, 106861, $10.8, $10.9, $10.67
03/16/2021, $10.93, 127961, $11.2, $11.28, $10.88
03/15/2021, $11.16, 123403, $11.13, $11.16, $10.9
03/12/2021, $10.95, 165763, $10.8, $10.98, $10.65
03/11/2021, $10.9, 292480, $10.99, $11.09, $10.8
03/10/2021, $10.92, 154590, $11.05, $11.1, $10.9
03/09/2021, $10.97, 206577, $10.8, $11, $10.7
03/08/2021, $10.62, 465744, $11.05, $11.22, $10.4101
03/05/2021, $11.29, 598698, $10.6, $11.3, $10.2
03/04/2021, $10.61, 646557, $10.4, $10.7, $10.1
03/03/2021, $10.49, 341393, $11, $11.21, $10.45
03/02/2021, $11.01, 341478, $11.67, $11.82, $10.9
03/01/2021, $11.45, 310903, $11.2, $11.47, $11.15
02/26/2021, $11, 520286, $11.07, $11.3, $10.64
02/25/2021, $10.77, 852834, $11.54, $11.7, $10.6
02/24/2021, $11.54, 569874, $11.9, $12.05, $11.49
02/23/2021, $11.65, 553146, $11.96, $12.06, $11.1
02/22/2021, $12.32, 453499, $12.74, $12.94, $12.25
02/19/2021, $12.76, 422397, $12.95, $12.95, $12.63
02/18/2021, $13.09, 481482, $12.9, $13.09, $12.5
02/17/2021, $12.99, 573646, $13, $13.15, $12.61
02/16/2021, $13, 622253, $13.16, $13.2, $12.96
02/12/2021, $13.02, 448724, $13, $13.2, $12.95
02/11/2021, $13.05, 739831, $13.15, $13.55, $12.9
02/10/2021, $13.11, 1048400, $13.25, $13.35, $12.7
02/09/2021, $13.21, 919884, $13.34, $13.34, $12.85
02/08/2021, $13.25, 962656, $13.55, $13.59, $13.1
02/05/2021, $13.26, 814783, $13.05, $13.48, $12.9
02/04/2021, $12.75, 695483, $13.31, $13.48, $12.71
02/03/2021, $13.22, 780341, $13.96, $13.96, $13.1
02/02/2021, $13.35, 1046444, $13, $13.5, $12.77
02/01/2021, $12.82, 763247, $13.3, $13.4499, $12.77
01/29/2021, $12.95, 631180, $13.24, $13.6, $12.55
01/28/2021, $13.1, 892915, $13.84, $13.9, $12.95
01/27/2021, $13, 1460892, $13.82, $13.92, $12.77
01/26/2021, $13.9, 2696917, $15.69, $15.75, $13.75
01/25/2021, $14.48, 5466659, $16.82, $17.2, $14.039
01/22/2021, $12.65, 171529, $12.3, $12.69, $12.3
01/21/2021, $12.45, 208758, $12.29, $12.66, $12.25
01/20/2021, $12.44, 227320, $11.95, $12.48, $11.86
01/19/2021, $11.88, 140713, $12.08, $12.21, $11.8
01/15/2021, $11.95, 156865, $12.1, $12.1, $11.6401
01/14/2021, $12.1, 129122, $12.16, $12.37, $11.99
01/13/2021, $12.01, 95281, $12.18, $12.399, $12.01
01/12/2021, $12.3, 139047, $12.4, $12.55, $12.19
01/11/2021, $12.52, 89451, $12.34, $12.55, $12.13
01/08/2021, $12.57, 100764, $12.5, $12.7, $12.1414
01/07/2021, $12.38, 249266, $12, $12.5, $11.895
01/06/2021, $11.98, 388873, $11.7, $12.19, $11.7
01/05/2021, $11.88, 196399, $12.45, $12.45, $11.7
01/04/2021, $11.65, 417665, $12.1, $12.1, $11.41
12/31/2020, $11.77, 228888, $12.5, $12.6296, $11.63
12/30/2020, $12.46, 111035, $12.68, $12.85, $12.35
12/29/2020, $12.67, 253380, $13.25, $13.3, $12.51
12/28/2020, $13.4, 566663, $14, $14, $13.26
12/24/2020, $13.25, 324816, $13.8, $14, $12.84
12/23/2020, $13.38, 922970, $13.7, $14.56, $13.03
12/22/2020, $12, 548320, $11.2, $12.75, $11
12/21/2020, $11.12, 33935, $11.12, $11.15, $11.09
12/18/2020, $11.17, 32087, $11.25, $11.34, $11.14
12/17/2020, $11.19, 178013, $11.02, $11.19, $11
12/16/2020, $11, 145352, $10.99, $11.05, $10.9
12/15/2020, $10.9, 190367, $10.84, $11.02, $10.8
12/14/2020, $10.84, 272419, $10.84, $11, $10.84
12/11/2020, $10.76, 244356, $10.59, $10.9, $10.53
12/10/2020, $10.5, 5570, $10.6, $10.6, $10.5
12/09/2020, $10.58, 17802, $10.65, $10.6637, $10.58
12/08/2020, $10.58, 22062, $10.6975, $10.6975, $10.56
12/07/2020, $10.6, 23393, $10.67, $10.72, $10.6
12/04/2020, $10.62, 17342, $10.74, $10.75, $10.55
12/03/2020, $10.65, 16378, $10.74, $10.74, $10.65
12/02/2020, $10.65, 30578, $10.6, $10.65, $10.6
12/01/2020, $10.72, 20106, $11.25, $11.25, $10.5
11/30/2020, $10.71, 7340, $10.8, $10.805, $10.71
11/27/2020, $10.6, 2200, $10.57, $10.61, $10.5
11/25/2020, $10.5742, 934, $10.57, $10.64, $10.51
11/24/2020, $10.45, N/A, $10.45, $10.45, $10.45
11/23/2020, $10.45, 1238, $10.5, $10.55, $10.4177
11/20/2020, $10.22, 1601, $10.3, $10.3, $10.22
11/19/2020, $10.28, 120, $10.28, $10.28, $10.28
11/18/2020, $10.25, 214, $10.25, $10.25, $10.25
11/17/2020, $10.21, N/A, $10.21, $10.21, $10.21
11/16/2020, $10.21, N/A, $10.21, $10.21, $10.21
11/13/2020, $10.21, 602, $10.38, $10.38, $10.21
11/12/2020, $10.275, N/A, $10.275, $10.275, $10.275
11/11/2020, $10.275, 3001, $10.28, $10.3, $10.2
11/10/2020, $10.2, 843, $10.3, $10.3, $10.2
11/09/2020, $10.25, 4550, $10.35, $10.35, $10.2
11/06/2020, $10.07, 848, $10.015, $10.07, $10.015
11/05/2020, $10.01, 26170, $10, $10.01, $10
11/04/2020, $9.96, 67821, $9.98, $10.02, $9.96
11/03/2020, $10.005, 350, $10, $10.005, $10
11/02/2020, $10.005, 255, $10, $10.005, $10
10/30/2020, $10, 703, $10, $10, $10
10/29/2020, $10, 2015, $10, $10, $10
10/28/2020, $10, 750, $10.01, $10.01, $10
10/27/2020, $10, 3954, $10.05, $10.1, $10
