Date, Close/Last, Volume, Open, High, Low
01/20/2021, $89.51, 249537, $88.88, $89.67, $88.53
01/19/2021, $89.47, 205258, $90.89, $90.89, $89.23
01/15/2021, $90.35, 308059, $88.91, $90.73, $88.085
01/14/2021, $89.55, 378122, $91.59, $92.14, $89.03
01/13/2021, $91.46, 236657, $90.6, $92, $90.39
01/12/2021, $90.71, 341582, $90.05, $91.29, $89.2
01/11/2021, $90.39, 394186, $88.96, $90.63, $88.96
01/08/2021, $89.21, 395205, $87.52, $89.23, $86.57
01/07/2021, $87.27, 318937, $90.72, $90.72, $86.93
01/06/2021, $90.8, 413861, $87.45, $91.69, $87.42
01/05/2021, $89.48, 558533, $91.79, $92.21, $89.28
01/04/2021, $91.79, 537577, $96.46, $96.46, $91.79
12/31/2020, $96.03, 256873, $95.13, $96.21, $94.57
12/30/2020, $95.24, 336263, $95.22, $95.99, $94.64
12/29/2020, $95.21, 282109, $95.9, $96.24, $94.71
12/28/2020, $95.65, 156293, $95.43, $96.29, $94.9
12/24/2020, $95.11, 110796, $94.4, $95.3, $93.4838
12/23/2020, $94.01, 251066, $94.95, $96.11, $93.85
12/22/2020, $94.44, 328907, $93.81, $94.78, $93.26
12/21/2020, $93.97, 347423, $94.24, $94.24, $92.225
12/18/2020, $94.93, 1146974, $97.36, $98.03, $94.59
12/17/2020, $96.86, 385159, $95.73, $97.21, $95.73
12/16/2020, $95.57, 232299, $97.01, $97.01, $95.28
12/15/2020, $96.45, 380882, $93.66, $96.46, $93.2
12/14/2020, $93.49, 233505, $94.67, $96.205, $93.41
12/11/2020, $93.87, 317501, $92.76, $94.16, $92.54
12/10/2020, $92.83, 212842, $93.03, $93.03, $92.04
12/09/2020, $92.78, 243281, $91.55, $93.05, $91.37
12/08/2020, $91.58, 186267, $91.89, $92.42, $91.2
12/07/2020, $92.42, 212037, $91.57, $92.64, $91.55
12/04/2020, $91.54, 207683, $91.41, $92.52, $90.85
12/03/2020, $91.4, 248448, $91.7, $92.11, $90.73
12/02/2020, $92.04, 211581, $91.53, $92.12, $90.43
12/01/2020, $91.85, 172940, $91.31, $92.54, $91.16
11/30/2020, $90.58, 338949, $92.02, $92.26, $90.52
11/27/2020, $92.08, 73115, $93.11, $93.11, $91.09
11/25/2020, $93.31, 231654, $93.75, $93.79, $92.52
11/24/2020, $93.33, 215793, $92.33, $93.45, $91.865
11/23/2020, $91.25, 303531, $90.83, $91.54, $90.73
11/20/2020, $90.3, 442883, $89.71, $90.85, $89.27
11/19/2020, $90, 282816, $90.62, $91.015, $89.05
11/18/2020, $90.46, 227811, $93.77, $93.77, $90.37
11/17/2020, $93.4, 325386, $93.46, $94.035, $92.69
11/16/2020, $94.3, 291153, $95.11, $95.133, $92.84
11/13/2020, $93.73, 331899, $92, $93.93, $91.56
11/12/2020, $91.37, 246545, $94.55, $94.5857, $90.75
11/11/2020, $94.8, 446645, $93.9, $95.48, $93.05
11/10/2020, $93.02, 598707, $93.66, $93.7, $91.43
11/09/2020, $93.11, 413025, $93.18, $95.86, $92.3
11/06/2020, $90.29, 248440, $91.12, $91.99, $90.17
11/05/2020, $91.03, 394897, $90.81, $91.73, $90.65
11/04/2020, $90.22, 573475, $89.66, $91.13, $88.86
11/03/2020, $90.93, 276629, $90.81, $91.49, $90.33
11/02/2020, $89.81, 358271, $88.47, $89.97, $87.5
10/30/2020, $87.73, 392356, $87.94, $88.43, $86.26
10/29/2020, $88.18, 615827, $88.16, $90.03, $85.58
10/28/2020, $88.54, 493811, $89.77, $90.83, $88.42
10/27/2020, $90.87, 362749, $91.21, $91.49, $90.58
10/26/2020, $91.3, 181275, $90.49, $91.51, $90.035
10/23/2020, $91.25, 250338, $90.55, $91.44, $90.36
10/22/2020, $90.19, 252674, $87.92, $90.27, $87.57
10/21/2020, $88.11, 201886, $85.88, $88.76, $85.58
10/20/2020, $86.15, 209205, $86.63, $86.99, $85.7957
10/19/2020, $86.23, 339714, $87.18, $87.97, $85.89
10/16/2020, $87.11, 188049, $87.68, $87.93, $86.98
10/15/2020, $87.77, 211143, $86.95, $87.99, $86.22
10/14/2020, $87.56, 252564, $87.29, $87.82, $86.85
10/13/2020, $87.41, 172842, $87.71, $87.976, $86.43
10/12/2020, $88.4, 243061, $87.4, $88.71, $86.89
10/09/2020, $87.42, 203241, $87.64, $87.7, $86.03
10/08/2020, $87.13, 187617, $86.88, $87.24, $86.08
10/07/2020, $86.45, 335253, $86.66, $87.19, $85.74
10/06/2020, $86.13, 511497, $83.43, $86.49, $82.98
10/05/2020, $83.08, 472786, $82.97, $83.43, $81.91
10/02/2020, $82.97, 330707, $81.13, $83.42, $81.04
10/01/2020, $81.86, 344092, $80.03, $82.05, $80.01
09/30/2020, $79.9, 358520, $80.47, $81.08, $79.29
09/29/2020, $80.1, 230023, $81.14, $81.9, $80
