Date, Close/Last, Volume, Open, High, Low
01/20/2021, $68.06, 191735, $66.26, $68.13, $66.26
01/19/2021, $66.32, 261213, $66.6, $66.7299, $65.545
01/15/2021, $65.66, 161325, $65.59, $66.435, $64.99
01/14/2021, $66.16, 111023, $65.13, $67.0896, $65.13
01/13/2021, $65.27, 141990, $64.76, $65.9, $64.7
01/12/2021, $65.2, 130460, $64.84, $65.28, $64.28
01/11/2021, $65.08, 195462, $65.9, $66.65, $64.84
01/08/2021, $66.79, 211242, $66.13, $67, $65.59
01/07/2021, $65.82, 383879, $66.07, $66.47, $65.03
01/06/2021, $65.97, 282135, $64.4, $66.96, $64.28
01/05/2021, $63.86, 230446, $61.81, $64.13, $61.81
01/04/2021, $61.05, 223220, $61.19, $61.6, $59.93
12/31/2020, $60.68, 109462, $60.76, $60.955, $60.3
12/30/2020, $60.84, 107329, $60.36, $61.13, $60.36
12/29/2020, $60.25, 169470, $61.54, $61.54, $59.65
12/28/2020, $61.27, 123542, $61.58, $61.99, $61.13
12/24/2020, $61.2, 78434, $61.83, $61.83, $61.01
12/23/2020, $61.77, 113613, $62.08, $62.39, $61.62
12/22/2020, $61.98, 141560, $62.39, $63.01, $61.81
12/21/2020, $62.26, 166771, $62.13, $62.72, $60.59
12/18/2020, $63.35, 520395, $62.85, $63.74, $62.52
12/17/2020, $62.6, 145475, $62.405, $62.96, $62.03
12/16/2020, $62.14, 119871, $62.43, $62.47, $61.31
12/15/2020, $62.5, 107133, $62.24, $62.5, $61.5201
12/14/2020, $61.56, 118760, $61.55, $62.42, $61.32
12/11/2020, $60.96, 109660, $61.78, $61.78, $60.63
12/10/2020, $61.32, 117130, $61.04, $61.735, $60
12/09/2020, $61.6, 182126, $62.11, $62.37, $61.24
12/08/2020, $62.05, 127095, $61.4, $62.1, $61.36
12/07/2020, $61.73, 86216, $61.6, $61.8525, $60.81
12/04/2020, $61.47, 119552, $60.25, $61.58, $60.05
12/03/2020, $60.19, 89469, $60.57, $60.88, $59.99
12/02/2020, $60.65, 108393, $60.39, $60.905, $60.05
12/01/2020, $60.24, 177122, $60.83, $60.83, $59.5
11/30/2020, $59.91, 259419, $61.14, $61.14, $59.33
11/27/2020, $60.99, 112159, $59.44, $61.16, $59.35
11/25/2020, $59.57, 108689, $60.99, $61, $59.47
11/24/2020, $60.99, 152353, $60.98, $61.39, $60.29
11/23/2020, $60.47, 139949, $60.72, $61.0375, $60.02
11/20/2020, $60.09, 121177, $59.5, $60.84, $59.42
11/19/2020, $59.6, 109747, $59.9, $59.99, $58.88
11/18/2020, $59.99, 119499, $61.83, $62.455, $59.89
11/17/2020, $61.78, 177216, $60.59, $61.83, $59.7
11/16/2020, $61.05, 182459, $60.87, $61.13, $59.665
11/13/2020, $59.92, 125470, $59.86, $60.64, $59.41
11/12/2020, $59.35, 95762, $59.85, $60.5, $58.94
11/11/2020, $60.41, 109381, $60.96, $61, $59.99
11/10/2020, $60.54, 146895, $60.56, $60.99, $59.5701
11/09/2020, $60.08, 214928, $62, $63.4391, $60.03
11/06/2020, $58.07, 101539, $60.43, $60.43, $58.04
11/05/2020, $60.25, 294157, $56.98, $60.5, $56.7
11/04/2020, $55.4, 262601, $55.28, $56.49, $54.3701
11/03/2020, $55.77, 187743, $55.13, $56.32, $54.845
11/02/2020, $54.68, 160168, $55.92, $56.79, $54.37
