Date, Close/Last, Volume, Open, High, Low
01/20/2021, $25.51, 15358, $25.68, $25.9874, $25.51
01/19/2021, $26.61, 7672, $26.57, $26.6109, $26.28
01/15/2021, $25.28, 9649, $25.89, $25.89, $25.26
01/14/2021, $26.27, 37375, $26, $26.47, $25.99
01/13/2021, $25.92, 8785, $25.78, $25.99, $25.78
01/12/2021, $25.6, 5779, $25.84, $25.8478, $25.6
01/11/2021, $25.71, 8079, $25.696, $25.81, $25.56
01/08/2021, $25.63, 22585, $25.75, $26, $25.63
01/07/2021, $25.4, 18358, $24.88, $25.4, $24.88
01/06/2021, $24.46, 4849, $24.48, $24.55, $24.1052
01/05/2021, $24.93, 8907, $24.61, $24.93, $24.61
01/04/2021, $24.42, 9362, $24.53, $24.72, $24.365
12/31/2020, $24.35, 5077, $24.35, $24.36, $24.2
12/30/2020, $24.61, 13055, $24.59, $24.69, $24.54
12/29/2020, $24.65, 20352, $24.48, $24.67, $24.4401
12/28/2020, $24.2, 20444, $24.22, $24.26, $24.17
12/24/2020, $24, 7709, $23.96, $24, $23.9
12/23/2020, $23.6, 3420, $23.667, $23.68, $23.6
12/22/2020, $23.58, 11058, $23.62, $23.69, $23.54
12/21/2020, $24.01, 14473, $24.08, $24.0802, $23.88
12/18/2020, $24.35, 13113, $24.48, $24.48, $24.33
12/17/2020, $24.6, 22030, $24.57, $24.6699, $24.4978
12/16/2020, $24.4, 13215, $24.39, $24.45, $24.28
12/15/2020, $24.51, 14944, $24.7, $24.74, $24.345
12/14/2020, $25.89, 16902, $25.73, $25.89, $25.72
12/11/2020, $25.85, 19559, $25.79, $26.07, $25.61
12/10/2020, $25.62, 15925, $25.51, $25.86, $25.47
12/09/2020, $25.63, 28137, $25.59, $25.98, $25.51
12/08/2020, $25.34, 26557, $25.26, $25.43, $25.26
12/07/2020, $25.45, 53127, $25.01, $25.49, $25.01
12/04/2020, $24.95, 32580, $24.31, $25, $24.31
12/03/2020, $23.24, 16503, $22.89, $23.24, $22.89
12/02/2020, $22.33, 3719, $22.01, $22.33, $22.01
12/01/2020, $22.32, 26214, $21.785, $22.42, $21.785
11/30/2020, $22.03, 21326, $21.96, $22.16, $21.88
11/27/2020, $21.7763, 8400, $21.54, $21.79, $21.07
11/25/2020, $21.62, 19867, $21.61, $21.65, $21.18
11/24/2020, $22.05, 16875, $21.95, $22.1663, $21.65
11/23/2020, $22.15, 22329, $21.985, $22.195, $21.5
11/20/2020, $21.01, 4420, $21.1, $21.19, $21
11/19/2020, $21.12, 5220, $21.16, $21.16, $20.9
11/18/2020, $21.34, 5103, $21.22, $21.3514, $21.12
11/17/2020, $21.03, 7916, $20.97, $21.05, $20.84
11/16/2020, $21.1, 20191, $20.57, $21.12, $20.57
11/13/2020, $20.5, 24064, $19.99, $20.5, $19.89
11/12/2020, $19.79, 68701, $19.8, $19.94, $19.6
11/11/2020, $19.8, 157273, $19.83, $20.0001, $19.5
11/10/2020, $19.15, 24838, $20.49, $20.49, $19
11/09/2020, $19.6, 33232, $20.22, $20.22, $19.46
11/06/2020, $19.56, 20131, $19.7, $19.8722, $19.56
11/05/2020, $19.81, 18374, $19.91, $19.94, $19.6
11/04/2020, $19.63, 6664, $19.93, $20.15, $19.59
11/03/2020, $20.01, 7159, $19.77, $20.04, $19.58
11/02/2020, $19.36, 6412, $19.53, $19.59, $19.34
10/30/2020, $19.56, 5934, $19.59, $19.64, $19.43
10/29/2020, $19.77, 7838, $19.47, $19.77, $19.47
10/28/2020, $19.81, 2476, $19.5435, $19.81, $19.5419
10/27/2020, $19.76, 13220, $19.76, $19.845, $19.7
10/26/2020, $20.08, 8612, $20.08, $20.08, $19.8111
10/23/2020, $20.335, 5379, $20.14, $20.335, $20
10/22/2020, $20.32, 6043, $19.965, $20.375, $19.965
10/21/2020, $20.0151, 1181, $20.0001, $20.0151, $19.92
10/20/2020, $20.12, 3234, $20.1, $20.18, $20.1
10/19/2020, $19.6, 5568, $19.76, $19.88, $19.36
10/16/2020, $19.94, 5345, $19.86, $20, $19.82
10/15/2020, $20.02, 6706, $19.9, $20.08, $19.82
10/14/2020, $19.955, 6200, $20.11, $20.11, $19.955
10/13/2020, $19.88, 6354, $19.7785, $19.8883, $19.71
10/12/2020, $19.86, 15522, $20.2, $20.26, $19.85
10/09/2020, $19.51, 6961, $20.34, $20.44, $19.51
10/08/2020, $19.85, 10821, $20.141, $20.3, $19.83
10/07/2020, $19.925, 13267, $19.82, $20, $19.82
10/06/2020, $19.744, 8492, $19.64, $19.9, $19.6201
10/05/2020, $19.51, 3602, $19.37, $19.68, $19.37
10/02/2020, $19.297, 2847, $19.3701, $19.67, $19.2774
10/01/2020, $19.55, 15289, $19.54, $19.72, $19.37
09/30/2020, $19.26, 11271, $19.39, $19.39, $19.22
09/29/2020, $19.03, 10615, $18.47, $19.24, $18.47
09/28/2020, $19.1, 6471, $19.07, $19.2754, $19.07
09/25/2020, $18.53, 13596, $18.35, $18.5899, $18.2
09/24/2020, $18.845, 8439, $18.95, $19.15, $18.71
09/23/2020, $19.12, 13145, $19.51, $19.51, $19.12
09/22/2020, $19.83, 4961, $19.98, $19.99, $19.59
