Date, Close/Last, Volume, Open, High, Low
01/20/2021, $4.01, 114145, $4.17, $4.2115, $3.94
01/19/2021, $4.2, 69242, $4.12, $4.22, $4.09
01/15/2021, $4.05, 169255, $4.25, $4.25, $4.05
01/14/2021, $4.25, 421993, $4.23, $4.56, $4.21
01/13/2021, $4.19, 137196, $4.19, $4.32, $4.16
01/12/2021, $4.14, 294467, $4.24, $4.381, $4.13
01/11/2021, $4.18, 354922, $4.15, $4.43, $4.0701
01/08/2021, $4.29, 698924, $4.105, $4.5699, $3.92
01/07/2021, $4.49, 2257065, $3.81, $4.93, $3.81
01/06/2021, $3.83, 600206, $3.76, $4.18, $3.75
01/05/2021, $3.75, 77883, $3.63, $3.8365, $3.63
01/04/2021, $3.67, 206000, $3.89, $4.19, $3.59
12/31/2020, $3.9, 548924, $4.09, $4.24, $3.86
12/30/2020, $4.15, 559678, $4.17, $4.38, $3.8
12/29/2020, $4.41, 5330838, $5.63, $6.9, $4
12/28/2020, $3.95, 515564, $3.95, $4.65, $3.8
12/24/2020, $3.96, 15166, $4.02, $4.0532, $3.9
12/23/2020, $4.04, 73800, $4.14, $4.2, $3.99
12/22/2020, $4.04, 45314, $4.15, $4.15, $4.01
12/21/2020, $4.1, 160097, $4, $4.3, $3.92
12/18/2020, $4.05, 35736, $4.03, $4.109, $3.95
12/17/2020, $3.91, 364958, $4.02, $4.38, $3.905
12/16/2020, $3.9, 8700, $3.87, $3.96, $3.8509
12/15/2020, $3.97, 33241, $4.05, $4.05, $3.82
12/14/2020, $4, 60690, $4.2, $4.25, $3.99
12/11/2020, $4.15, 21581, $4.3, $4.3, $4.13
12/10/2020, $4.2, 33241, $4.15, $4.25, $4.14
12/09/2020, $4.18, 103503, $4.4, $4.41, $4.16
12/08/2020, $4.34, 286065, $4.23, $4.4899, $4.1507
12/07/2020, $4.23, 15965, $4.21, $4.305, $4.13
12/04/2020, $4.19, 13174, $4.35, $4.38, $4.18
12/03/2020, $4.17, 12162, $4.27, $4.3, $4.17
12/02/2020, $4.23, 32265, $4.41, $4.41, $4.18
12/01/2020, $4.49, 38617, $4.48, $4.58, $4.42
11/30/2020, $4.6, 31570, $4.6, $4.61, $4.36
11/27/2020, $4.37, 37935, $4.55, $4.6, $4.32
11/25/2020, $4.55, 107369, $4.57, $4.89, $4.35
11/24/2020, $4.66, 52890, $4.59, $4.8633, $4.5236
11/23/2020, $4.67, 100563, $4.9, $4.925, $4.48
11/20/2020, $5.07, 719701, $4.35, $5.6491, $4.35
11/19/2020, $4.39, 125474, $4.3, $4.6894, $4.3
11/18/2020, $4.3, 33370, $4.265, $4.4, $4.2
11/17/2020, $4.22, 10240, $4.37, $4.3887, $4.176
11/16/2020, $4.29, 25678, $4.37, $4.37, $4.1955
11/13/2020, $4.15, 13047, $4.23, $4.233, $4.13
11/12/2020, $4.29, 14365, $4.26, $4.415, $4.09
11/11/2020, $4.295, 6059, $4.5, $4.5, $4.23
11/10/2020, $4.2, 41626, $4.0901, $4.4096, $4.0901
11/09/2020, $4.04, 22823, $4.19, $4.3, $4.04
11/06/2020, $4.19, 44929, $4.19, $4.645, $4.08
11/05/2020, $4.61, 185848, $4.14, $4.7257, $3.98
11/04/2020, $4.14, 17041, $4, $4.15, $4
11/03/2020, $4, 15340, $3.95, $4.1, $3.9
11/02/2020, $3.88, 18993, $3.872, $3.96, $3.79
10/30/2020, $3.81, 9541, $3.849, $3.96, $3.8
10/29/2020, $3.99, 32003, $3.93, $4.075, $3.7915
10/28/2020, $3.97, 68295, $4.24, $4.24, $3.78
10/27/2020, $4.12, 48575, $4.3, $4.4121, $4.03
10/26/2020, $4.42, 149285, $4.6, $4.63, $4.163
10/23/2020, $4.825, 269216, $4.37, $4.825, $4.14
10/22/2020, $4.45, 73091, $4.0899, $4.5699, $4.0799
10/21/2020, $4.01, 17981, $4.0982, $4.1473, $3.97
10/20/2020, $3.93, 60327, $4.01, $4.42, $3.93
10/19/2020, $4.01, 130686, $4.31, $4.58, $4.01
10/16/2020, $4.55, 470391, $4.02, $4.7, $3.92
10/15/2020, $3.83, 20465, $3.7682, $3.95, $3.7386
10/14/2020, $3.79, 5565, $3.85, $3.995, $3.79
10/13/2020, $3.85, 5822, $3.83, $3.92, $3.773
10/12/2020, $3.847, 51369, $3.77, $4.2, $3.75
10/09/2020, $3.84, 9875, $3.82, $3.97, $3.781
10/08/2020, $3.82, 51822, $4.17, $4.2799, $3.7
10/07/2020, $4.2, 463411, $3.85, $4.88, $3.755
10/06/2020, $3.99, 5501, $3.75, $3.99, $3.74
10/05/2020, $3.82, 6712, $3.7, $3.83, $3.7
10/02/2020, $3.74, 27696, $3.72, $3.91, $3.6
10/01/2020, $3.73, 16322, $3.98, $4.01, $3.7
09/30/2020, $3.76, 72245, $3.63, $4.04, $3.62
09/29/2020, $3.61, 26122, $3.7619, $3.77, $3.57
09/28/2020, $3.7553, 16410, $3.93, $3.93, $3.75
09/25/2020, $3.8, 6324, $3.75, $3.96, $3.75
09/24/2020, $3.78, 18669, $3.57, $3.86, $3.54
09/23/2020, $3.6, 34504, $3.89, $4.158, $3.56
09/22/2020, $3.95, 3584, $3.97, $3.97, $3.9
09/21/2020, $3.8, 20087, $4.06, $4.1368, $3.8
09/18/2020, $3.94, 31234, $3.7045, $4.0465, $3.7001
09/17/2020, $3.75, 47049, $3.69, $4.05, $3.685
09/16/2020, $3.7464, 14400, $3.72, $3.8443, $3.665
09/15/2020, $3.67, 9945, $3.75, $3.8, $3.67
09/14/2020, $3.67, 9387, $3.62, $3.7, $3.6
09/11/2020, $3.65, 2677, $3.675, $3.676, $3.524
09/10/2020, $3.65, 15390, $3.68, $3.75, $3.6
09/09/2020, $3.64, 19959, $3.69, $3.87, $3.62
09/08/2020, $3.61, 19625, $3.81, $3.86, $3.61
09/04/2020, $3.88, 15548, $3.85, $3.91, $3.43
09/03/2020, $3.99, 23748, $3.79, $4, $3.7
09/02/2020, $3.98, 17592, $4.035, $4.035, $3.72
09/01/2020, $3.9, 107285, $3.5, $4.16, $3.39
08/31/2020, $3.47, 10010, $3.37, $3.62, $3.37
08/28/2020, $3.46, 9328, $3.69, $3.69, $3.43
08/27/2020, $3.61, 42579, $3.39, $3.67, $3.3021
08/26/2020, $3.5, 5799, $3.43, $3.5, $3.2801
08/25/2020, $3.36, 8915, $3.29, $3.4861, $3.29
08/24/2020, $3.35, 29159, $3.63, $3.63, $3.3064
08/21/2020, $3.53, 11868, $3.59, $3.61, $3.51
08/20/2020, $3.52, 17418, $3.53, $3.68, $3.5
08/19/2020, $3.52, 13057, $3.67, $3.69, $3.52
08/18/2020, $3.67, 20319, $3.7, $3.8, $3.6
08/17/2020, $3.78, 12802, $3.8, $3.9, $3.6501
08/14/2020, $3.73, 22973, $4.05, $4.05, $3.61
08/13/2020, $3.81, 38209, $4.18, $4.26, $3.81
08/12/2020, $4.14, 48444, $3.94, $4.175, $3.83
08/11/2020, $3.83, 64560, $4.14, $4.14, $3.83
08/10/2020, $4.01, 32768, $4.06, $4.37, $3.91
08/07/2020, $4.01, 143572, $4.5, $4.81, $3.91
08/06/2020, $4.6401, 290815, $3.81, $4.7998, $3.78
08/05/2020, $3.8691, 26837, $3.78, $3.88, $3.67
08/04/2020, $3.68, 43575, $3.59, $3.82, $3.59
08/03/2020, $3.49, 8585, $3.5488, $3.6799, $3.4589
07/31/2020, $3.49, 28780, $3.55, $3.61, $3.41
07/30/2020, $3.59, 57972, $3.616, $3.85, $3.51
07/29/2020, $3.51, 10256, $3.6899, $3.6899, $3.49
07/28/2020, $3.52, 6137, $3.51, $3.61, $3.51
07/27/2020, $3.53, 12633, $3.51, $3.78, $3.51
07/24/2020, $3.52, 20679, $3.77, $3.77, $3.4
07/23/2020, $3.6, 24165, $3.85, $3.85, $3.55
07/22/2020, $3.77, 35024, $3.51, $3.85, $3.5002
07/21/2020, $3.55, 17061, $3.64, $3.68, $3.52
07/20/2020, $3.63, 25742, $3.62, $3.85, $3.5659
07/17/2020, $3.64, 26388, $3.68, $3.839, $3.57
07/16/2020, $3.76, 218811, $3.45, $4.23, $3.45
07/15/2020, $3.54, 18254, $3.47, $3.61, $3.4
07/14/2020, $3.47, 12695, $3.39, $3.51, $3.39
07/13/2020, $3.47, 35299, $3.62, $3.7799, $3.3795
07/10/2020, $3.61, 22959, $3.85, $3.85, $3.53
07/09/2020, $3.76, 15224, $3.74, $3.89, $3.67
07/08/2020, $3.83, 25437, $3.75, $3.84, $3.66
07/07/2020, $3.82, 16816, $3.67, $3.88, $3.67
07/06/2020, $3.76, 47249, $3.7, $3.8599, $3.61
07/02/2020, $3.76, 53366, $3.67, $4, $3.57
07/01/2020, $3.72, 47616, $3.6, $3.8, $3.48
06/30/2020, $3.69, 92879, $3.45, $3.8499, $3.38
06/29/2020, $3.5, 95583, $3.8, $3.9999, $3.3
06/26/2020, $3.85, 66627, $4.3, $4.31, $3.7
06/25/2020, $4.34, 84126, $3.91, $4.38, $3.91
06/24/2020, $3.9, 113380, $4.54, $4.56, $3.87
06/23/2020, $4.63, 89440, $4.77, $4.95, $4.56
06/22/2020, $4.88, 74489, $4.92, $5.24, $4.76
06/19/2020, $5.25, 207210, $5.53, $5.755, $4.78
06/18/2020, $5.95, 460723, $5.1, $6.13, $4.83
06/17/2020, $5.5, 4575452, $8, $13.31, $5.28
06/16/2020, $4.4, 680075, $4.06, $4.53, $3.89
06/15/2020, $4.14, 364354, $4, $4.68, $3.6
06/12/2020, $3.8594, 119742, $3.58, $4.09, $3.5
06/11/2020, $3.48, 176390, $4.02, $4.1, $3.46
06/10/2020, $3.8, 364844, $3.53, $4.4, $3.53
