Date, Close/Last, Volume, Open, High, Low
03/24/2021, $58.775, 1746, $58.59, $58.816, $58.44
03/23/2021, $58.935, 750, $58.83, $59.35, $58.83
03/22/2021, $58.8327, 5805, $58.585, $58.98, $58.4
03/19/2021, $58.985, 27137, $58.5, $58.985, $58.5
03/18/2021, $58.2892, 2248, $58.795, $59.015, $58.01
03/17/2021, $59.275, 774, $59.45, $59.53, $59.275
03/16/2021, $59.46, 3518, $58.8, $59.75, $58.68
03/15/2021, $59.125, 3952, $58.55, $59.125, $58.55
03/12/2021, $58.75, 1562, $58.3, $58.8, $58.25
03/11/2021, $58.515, 1728, $58.7217, $58.7217, $58.271
03/10/2021, $58.73, 572, $58.614, $58.73, $58.614
03/09/2021, $59.87, 4406, $59, $60.075, $59
03/08/2021, $59.515, 1590, $60.43, $60.43, $59.49
03/05/2021, $59.9748, 1835, $58.74, $60, $58.74
03/04/2021, $58.705, 1881, $58.76, $59.45, $58.705
03/03/2021, $58.675, 1133, $60, $60, $58.54
03/02/2021, $59.5181, 1742, $58.5, $59.68, $58.5
03/01/2021, $58.5689, 2428, $59.3, $59.3, $58.5689
02/26/2021, $59.36, 1449, $59.2, $59.42, $59.17
02/25/2021, $59.6088, 2984, $60.9, $60.9, $59.12
