Date, Close/Last, Volume, Open, High, Low
01/20/2021, $25.12, 470191, $27.08, $27.43, $24.31
01/19/2021, $26.85, 287813, $25.66, $28.1869, $25.08
01/15/2021, $24.82, 130346, $24.99, $25.51, $23.6501
01/14/2021, $24.92, 310598, $26.25, $27.69, $24.62
01/13/2021, $24.13, 220392, $22.76, $24.14, $22.1
01/12/2021, $21.72, 230953, $21.06, $23.37, $20.84
01/11/2021, $21.77, 506072, $18.33, $23, $18.21
01/08/2021, $18.26, 184042, $18.86, $19.3, $17.12
01/07/2021, $19.01, 183134, $19.36, $19.7, $18.56
01/06/2021, $19.39, 243579, $18.24, $19.45, $17.09
01/05/2021, $18.11, 211385, $17.5, $18.42, $17
01/04/2021, $17.66, 462223, $17.1, $17.67, $15.63
12/31/2020, $17.22, 312281, $15.75, $17.35, $15.75
12/30/2020, $15.665, 422124, $14.94, $15.67, $14.26
12/29/2020, $14.84, 996112, $12.99, $16.27, $12.8817
12/28/2020, $12.72, 244021, $12.87, $13.3, $11.8
12/24/2020, $12.75, 880105, $12.43, $16.57, $12.3986
12/23/2020, $12.255, 308791, $10.5, $12.3, $10.3612
12/22/2020, $10.55, 186484, $10.71, $10.81, $10.2601
12/21/2020, $10.73, 131631, $10.23, $10.73, $9.82
12/18/2020, $10.22, 208882, $9.64, $10.22, $9.62
12/17/2020, $9.58, 111476, $9.285, $9.855, $9.06
12/16/2020, $9.23, 56944, $9.2, $9.3, $9.05
12/15/2020, $9.16, 52441, $9.33, $9.41, $9.01
12/14/2020, $9.17, 77981, $9.42, $9.4306, $9.045
12/11/2020, $9.23, 73430, $9.22, $9.5, $9.06
12/10/2020, $9.37, 178583, $8.48, $9.4, $8.48
12/09/2020, $8.6, 74288, $8.96, $8.9883, $8.4
12/08/2020, $8.98, 89130, $8.93, $9.27, $8.8969
12/07/2020, $8.92, 111468, $9.18, $9.56, $8.76
12/04/2020, $9.04, 104128, $8.57, $9.19, $8.57
12/03/2020, $8.55, 86790, $8.6, $8.94, $8.55
12/02/2020, $8.6, 82713, $8.62, $8.9, $8.4177
