Date, Close/Last, Volume, Open, High, Low
03/24/2021, $20.3, 16577, $20.32, $21.0883, $20.26
03/23/2021, $20.37, 5202, $20.32, $20.9241, $20.32
03/22/2021, $20.2733, 15153, $20.26, $20.3327, $20.25
03/19/2021, $20.28, 7011, $20.41, $20.41, $20.27
03/18/2021, $20.32, 10565, $20.41, $20.45, $20.31
03/17/2021, $20.48, 8395, $20.57, $20.57, $20.4548
03/16/2021, $20.5529, 5441, $20.56, $20.56, $20.5
03/15/2021, $20.55, 7152, $20.5, $20.65, $20.5
03/12/2021, $20.5, 12525, $20.52, $20.7, $20.5
03/11/2021, $20.57, 10337, $20.74, $20.9055, $20.57
03/10/2021, $20.6333, 10196, $20.68, $20.68, $20.6333
03/09/2021, $20.5886, 9380, $20.71, $20.71, $20.52
03/08/2021, $20.55, 18934, $20.79, $20.805, $20.55
03/05/2021, $20.77, 13701, $20.84, $20.84, $20.75
03/04/2021, $20.8499, 10979, $20.93, $20.97, $20.82
03/03/2021, $20.91, 9305, $20.95, $20.99, $20.91
03/02/2021, $21.06, 33146, $20.93, $21.14, $20.802
03/01/2021, $21.03, 7236, $21, $21.04, $20.79
02/26/2021, $20.98, 9838, $20.95, $21.0991, $20.77
02/25/2021, $21, 12436, $20.82, $21, $20.82
02/24/2021, $21.014, 9943, $21.07, $21.09, $20.7625
02/23/2021, $21.05, 23317, $21.21, $21.22, $21.05
02/22/2021, $21.21, 8114, $21.22, $21.22, $21.135
02/19/2021, $21.22, 12304, $21.19, $21.22, $21.0919
02/18/2021, $21.2, 7834, $21.29, $21.29, $21.2
02/17/2021, $21.31, 10939, $21.44, $21.5418, $21.1441
02/16/2021, $21.617, 39096, $21.64, $21.67, $21.3754
02/12/2021, $21.72, 21072, $21.68, $21.72, $21.3663
02/11/2021, $21.71, 5513, $21.42, $21.72, $21.3069
02/10/2021, $21.37, 7659, $21.22, $21.37, $21.22
02/09/2021, $21.22, 9194, $20.89, $21.23, $20.566
02/08/2021, $20.82, 10137, $20.87, $20.95, $20.63
02/05/2021, $20.89, 10285, $20.9, $20.93, $20.77
02/04/2021, $20.8, 17955, $20.66, $20.887, $20.66
02/03/2021, $20.73, 20935, $20.67, $20.83, $20.66
02/02/2021, $20.78, 22906, $20.77, $20.79, $20.7
02/01/2021, $20.62, 12540, $20.57, $20.876, $20.4701
01/29/2021, $20.47, 48696, $20.77, $20.91, $20.47
01/28/2021, $20.93, 13340, $20.92, $21.2332, $20.85
01/27/2021, $21.05, 12180, $21.06, $21.258, $20.8802
01/26/2021, $21.12, 15929, $21.6, $21.605, $21.12
01/25/2021, $21.61, 10527, $21.69, $21.69, $21.51
01/22/2021, $21.7, 19128, $21.73, $21.73, $21.59
01/21/2021, $21.77, 6084, $21.31, $21.77, $21.24
01/20/2021, $21.23, 8658, $21.46, $21.46, $21.18
