Date, Close/Last, Volume, Open, High, Low
01/20/2021, $16.27, 1590830, $16.7, $16.86, $15.93
01/19/2021, $16.49, 2048307, $15.99, $16.92, $15.5
01/15/2021, $15.55, 1608063, $16.05, $16.15, $15.31
01/14/2021, $16.15, 2078563, $16.61, $16.98, $16.045
01/13/2021, $16.06, 1269466, $16.16, $16.16, $15.21
01/12/2021, $15.21, 1146279, $15.24, $15.49, $15
01/11/2021, $15.35, 2337641, $15.71, $15.88, $15.1
01/08/2021, $15.11, 3030455, $16, $16.1, $14.408
01/07/2021, $15.16, 3932135, $13.5, $15.62, $13.5
01/06/2021, $13.38, 1077961, $13.5, $13.58, $13.15
01/05/2021, $13.34, 978438, $13.35, $13.64, $13.04
01/04/2021, $13.3, 1187576, $13.96, $13.96, $12.95
12/31/2020, $13.69, 611632, $13.82, $14.11, $13.65
12/30/2020, $14, 1056584, $13.15, $14.01, $13.02
12/29/2020, $13.4, 909037, $13.9, $13.96, $13.1
12/28/2020, $13.85, 1380706, $14.34, $14.48, $13.75
12/24/2020, $13.94, 750010, $13.75, $13.94, $13.52
12/23/2020, $13.63, 1224918, $13.95, $14.18, $13.5197
12/22/2020, $13.6, 1387456, $14.4, $14.7677, $13.39
12/21/2020, $13.4, 1134034, $13.88, $14.2299, $12.75
12/18/2020, $13.07, 736594, $12.73, $13.68, $12.2774
12/17/2020, $12.36, 311943, $12.01, $12.43, $12
12/16/2020, $12.05, 341421, $12.14, $12.29, $11.91
12/15/2020, $11.88, 489356, $12.15, $12.315, $11.75
12/14/2020, $12.15, 1097242, $12.43, $12.55, $11.9
12/11/2020, $12.15, 790006, $12.5, $13.17, $11.8
12/10/2020, $11.85, 351004, $12.06, $12.2, $11.51
12/09/2020, $12.05, 659338, $11.99, $12.26, $11.39
12/08/2020, $11.84, 1115935, $11.9, $12.15, $11.6215
12/07/2020, $11.59, 1029880, $11.54, $11.94, $11.34
12/04/2020, $11, 542330, $11.25, $11.344, $10.85
