Date, Close/Last, Volume, Open, High, Low
03/24/2021, $30.86, 1179579, $36.22, $37.87, $30.52
03/23/2021, $36.09, 159258, $38.98, $39.61, $35.53
03/22/2021, $39.7, 189959, $38.04, $39.99, $35.74
03/19/2021, $39.55, 1885890, $37.25, $44.07, $36.5
03/18/2021, $36.58, 218870, $34.81, $37.23, $33.61
03/17/2021, $34.95, 103183, $34.62, $35.91, $32.52
03/16/2021, $34.14, 142878, $35, $37.05, $33.62
03/15/2021, $34.84, 108735, $38.93, $39.35, $34.62
03/12/2021, $39.14, 62574, $40.12, $40.12, $37.95
03/11/2021, $39.9, 229755, $40, $40.75, $36.68
03/10/2021, $39.3, 110381, $37.74, $40.11, $36.9499
03/09/2021, $38.08, 138315, $34.45, $38.25, $33.66
03/08/2021, $34.03, 182734, $34.91, $36.9, $33.01
03/05/2021, $34.64, 204172, $37.09, $37.09, $31.01
03/04/2021, $36.77, 205397, $43.49, $43.87, $36.7
03/03/2021, $43.49, 187204, $44.11, $47.61, $41.7201
03/02/2021, $44.2, 215349, $42.79, $44.665, $42.41
03/01/2021, $42.47, 327097, $41.83, $42.74, $41.07
02/26/2021, $41.58, 321563, $42.17, $42.98, $39.45
02/25/2021, $41.79, 218382, $40.89, $42.99, $38.9843
02/24/2021, $40.75, 204437, $40.12, $41.99, $39.54
02/23/2021, $39.93, 250633, $41.9, $41.9, $38.9401
02/22/2021, $41.71, 416319, $39.93, $43.69, $39.93
02/19/2021, $40.43, 105951, $38.72, $41.4, $38.72
02/18/2021, $39.03, 88482, $40.59, $40.98, $38.36
02/17/2021, $40.28, 87994, $37.01, $40.52, $37.01
02/16/2021, $37.42, 107851, $35.74, $37.8801, $35.2444
02/12/2021, $36, 70292, $36.5, $37.24, $34.3607
02/11/2021, $36.31, 47481, $39.67, $39.75, $36.23
02/10/2021, $39.39, 50441, $40.88, $42.9, $38.335
02/09/2021, $41.01, 148366, $41.07, $42.39, $39.16
02/08/2021, $41.06, 131759, $38.69, $42.28, $38.03
02/05/2021, $38.25, 96961, $38.38, $39.81, $37.77
02/04/2021, $37.63, 94743, $33.95, $38, $33.8
02/03/2021, $34, 90801, $33.45, $34.93, $33.12
02/02/2021, $33.06, 45254, $32.76, $33.93, $32.434
02/01/2021, $32.23, 219189, $32.05, $32.665, $31.21
01/29/2021, $32, 1991381, $32.35, $34.275, $31.87
01/28/2021, $32.15, 500657, $32.34, $32.99, $31.51
01/27/2021, $31.77, 302979, $30.75, $32.2, $30.2156
01/26/2021, $31.54, 154555, $32, $32.45, $30.6099
01/25/2021, $31.64, 1935936, $32.41, $33.27, $30.5
01/22/2021, $32.75, 128200, $33.49, $33.49, $31.8
01/21/2021, $33.92, 51662, $36.1, $36.1, $33.74
01/20/2021, $36.23, 77429, $36.89, $39.39, $35.51
01/19/2021, $36.4, 126986, $36.1, $37.61, $34.89
01/15/2021, $35.13, 126034, $32.89, $35.94, $31.1
01/14/2021, $33.22, 405547, $32.1, $33.99, $32.1
01/13/2021, $32.08, 44344, $32.45, $32.6, $32
