Date, Close/Last, Volume, Open, High, Low
01/20/2021, $81.38, 279525, $81.33, $81.95, $80.88
01/19/2021, $81.05, 314850, $81.78, $82.13, $80.54
01/15/2021, $80.95, 368302, $80.58, $81.29, $79.04
01/14/2021, $81.45, 366301, $81.06, $82.25, $80.51
01/13/2021, $80.17, 330628, $81.8, $82.48, $80.07
01/12/2021, $82.08, 287852, $81.75, $82.64, $81.19
01/11/2021, $81.38, 203598, $80.17, $82.01, $80.12
01/08/2021, $81.4, 362111, $82.54, $82.9, $80.405
01/07/2021, $82.26, 441988, $81.18, $82.545, $80.225
01/06/2021, $80.54, 520380, $77.57, $81.4, $77.2
01/05/2021, $76.38, 302317, $75.19, $77.01, $75.105
01/04/2021, $75.08, 393215, $77.43, $77.81, $74.46
12/31/2020, $77.02, 291262, $77.05, $77.73, $76
12/30/2020, $76.82, 152757, $76.13, $77.44, $75.81
12/29/2020, $75.9, 237823, $76.62, $76.62, $75.18
12/28/2020, $76.13, 190844, $77.37, $77.58, $76.09
12/24/2020, $76.49, 88224, $76.17, $76.5, $75.66
12/23/2020, $76.27, 367505, $76.94, $77.49, $76.12
12/22/2020, $76.19, 244710, $76.43, $76.615, $75.79
12/21/2020, $76.52, 381934, $76.02, $76.77, $75.08
12/18/2020, $77.47, 862817, $78.35, $78.89, $76.89
12/17/2020, $77.93, 311235, $78.33, $78.3725, $77.4608
12/16/2020, $78.03, 545315, $78.95, $79.05, $77.3061
12/15/2020, $78.61, 879671, $78.19, $79.63, $77.22
12/14/2020, $76.45, 847491, $78, $78.99, $76.42
12/11/2020, $77.69, 427187, $76.47, $77.94, $76.47
12/10/2020, $77.31, 321897, $76.29, $77.44, $75.88
12/09/2020, $76.65, 284480, $76.54, $77.22, $75.93
12/08/2020, $76.45, 302662, $75.48, $76.51, $75.36
12/07/2020, $76.25, 329219, $75.96, $76.42, $75.64
12/04/2020, $76.46, 269290, $75.18, $76.47, $74.91
12/03/2020, $74.53, 458731, $73.94, $74.99, $73.65
12/02/2020, $73.98, 553394, $73.7, $74.57, $73.37
12/01/2020, $74.04, 456610, $73.79, $74.6172, $72.87
11/30/2020, $72.63, 605329, $74.49, $74.81, $72.54
11/27/2020, $75.01, 249549, $74.86, $75.25, $74.5
11/25/2020, $74.74, 323277, $75.47, $75.47, $74.16
11/24/2020, $75.95, 428780, $74.34, $76.17, $73.7344
11/23/2020, $72.86, 577075, $72.69, $73.35, $72.415
11/20/2020, $71.93, 340029, $71.6, $72.26, $71.1
11/19/2020, $71.83, 243795, $72.33, $72.33, $70.43
11/18/2020, $72.65, 491723, $73.32, $74.06, $72.46
11/17/2020, $72.56, 476616, $72.19, $73.11, $70.58
11/16/2020, $72.99, 654301, $71.27, $73, $69.83
11/13/2020, $69.56, 309123, $68.82, $69.66, $68.48
11/12/2020, $68.15, 259803, $69.14, $69.67, $67.54
11/11/2020, $69.89, 434740, $71.92, $71.92, $69.19
11/10/2020, $71.36, 673331, $69.73, $71.92, $69.4437
11/09/2020, $69.4, 1028186, $68.44, $71.99, $68.33
11/06/2020, $64.75, 278451, $65.87, $66.13, $64.69
11/05/2020, $65.41, 561304, $63.67, $65.59, $63.5
11/04/2020, $62.79, 485194, $63.15, $64.64, $61.61
11/03/2020, $64.48, 566201, $63.57, $64.71, $63.06
11/02/2020, $62.32, 645053, $61.4, $63.39, $61.4
10/30/2020, $60.51, 969281, $61.52, $61.6, $59.23
10/29/2020, $62.79, 704300, $60.48, $63.08, $60.24
10/28/2020, $60.92, 397027, $61.52, $62.7, $60.64
10/27/2020, $62.94, 350888, $64.28, $64.62, $62.815
10/26/2020, $64.68, 404292, $65.48, $65.95, $64.115
10/23/2020, $66.31, 452002, $66.89, $67, $65.69
10/22/2020, $66.27, 366348, $65.04, $66.51, $65.04
10/21/2020, $65.07, 323349, $65.25, $66.42, $65.06
10/20/2020, $65.49, 728743, $64.49, $66.77, $64.49
10/19/2020, $63.95, 461646, $64.64, $65.05, $63.8
10/16/2020, $64.66, 275739, $64.35, $64.965, $63.95
