Date, Close/Last, Volume, Open, High, Low
03/24/2021, $109.09, 427714, $112.05, $113.11, $108.62
03/23/2021, $112.09, 501204, $114.41, $114.62, $111.29
03/22/2021, $114.69, 346916, $116.82, $117.24, $113.45
03/19/2021, $116.83, 839688, $113.93, $117.51, $112.5552
03/18/2021, $114.85, 697583, $116.09, $117.27, $113.65
03/17/2021, $115.77, 778483, $110.2, $116.2, $109.56
03/16/2021, $111.7, 521085, $109.43, $111.89, $109
03/15/2021, $109.72, 792441, $106.06, $110.14, $106.06
03/12/2021, $105.49, 590518, $103.67, $106.9299, $103.4
03/11/2021, $102.63, 501141, $99.38, $102.72, $99.38
03/10/2021, $98.89, 489450, $99.45, $100.6, $98.15
03/09/2021, $98.74, 549135, $101.55, $101.62, $98.5
03/08/2021, $100.37, 444916, $99.79, $102.17, $99.46
03/05/2021, $99.13, 464531, $99.59, $99.78, $94.89
03/04/2021, $97.99, 606177, $100.52, $101.27, $95.9
03/03/2021, $99.47, 558148, $104.66, $105.472, $99.3106
03/02/2021, $104.8, 402999, $104.22, $105.445, $101.77
03/01/2021, $104.86, 473434, $103.99, $105.84, $103.043
02/26/2021, $102.35, 441175, $101.86, $104.17, $101.53
02/25/2021, $101.76, 403933, $100.9, $102.69, $98.57
02/24/2021, $100.87, 713225, $95.57, $101.2, $95
02/23/2021, $94.76, 617427, $97.77, $99.5499, $94.52
02/22/2021, $99.14, 456658, $99.19, $101.38, $98.5
02/19/2021, $99.18, 539446, $100.74, $101.47, $98.38
02/18/2021, $99.86, 572632, $100.05, $100.375, $95.6
02/17/2021, $99.42, 363181, $101.25, $101.6127, $98.79
02/16/2021, $101.11, 278658, $101.525, $102.2, $100.7701
02/12/2021, $100.54, 202720, $100.72, $102.91, $99.95
02/11/2021, $100.99, 256115, $100.47, $101.27, $98.84
02/10/2021, $100.44, 341770, $100.41, $101.2, $97.86
02/09/2021, $100.35, 558967, $100.25, $102.375, $99.31
02/08/2021, $100.25, 333267, $102.01, $102.175, $98.3
02/05/2021, $101.56, 291524, $99.62, $102.24, $99.39
02/04/2021, $98.76, 317990, $96.3, $99.32, $95.765
02/03/2021, $95.29, 426476, $93.59, $95.64, $93.16
02/02/2021, $92.82, 386603, $93.17, $96.135, $92.43
02/01/2021, $93.91, 346806, $94.84, $95.74, $93.17
01/29/2021, $94.14, 388333, $97.21, $98.5, $94
01/28/2021, $94.28, 609542, $93.67, $95.975, $91.46
01/27/2021, $93.64, 567336, $98.13, $101.32, $93.35
01/26/2021, $100.39, 294929, $101.83, $101.83, $98.3252
01/25/2021, $101.06, 320719, $100.01, $104.3949, $100.01
01/22/2021, $101.71, 408915, $98.86, $101.88, $98.35
01/21/2021, $100.25, 419267, $102.84, $103.64, $100.2
01/20/2021, $103.32, 270940, $101.01, $103.53, $101.01
01/19/2021, $101.01, 397680, $100, $104, $100
01/15/2021, $99.55, 259088, $96.38, $99.73, $96.01
01/14/2021, $97.14, 225054, $95.82, $98.095, $95.58
01/13/2021, $95.68, 228925, $97.51, $97.84, $95.3032
01/12/2021, $97.87, 211580, $97.37, $98.35, $96.46
01/11/2021, $97.07, 218789, $96.76, $98.15, $96.76
01/08/2021, $97.39, 230277, $96.93, $97.68, $96.31
01/07/2021, $96.92, 260581, $97.32, $97.32, $95.49
