Date, Close/Last, Volume, Open, High, Low
03/24/2021, $7.95, 310591, $8.3, $8.8, $7.87
03/23/2021, $8.42, 2238507, $8.27, $10.28, $8.01
03/22/2021, $8.41, 54935, $8.16, $8.6357, $8.09
03/19/2021, $8.29, 139210, $8.6891, $8.6891, $8.01
03/18/2021, $8.11, 57496, $8.63, $8.78, $7.93
03/17/2021, $8.58, 89195, $8.67, $9, $8.32
03/16/2021, $8.8, 43887, $9.24, $9.3, $8.7
03/15/2021, $9.14, 66613, $9.36, $9.4099, $9
03/12/2021, $9.31, 141380, $8.42, $9.31, $8.385
03/11/2021, $8.57, 105838, $8.8, $9.0799, $8.4
03/10/2021, $8.54, 208814, $8.23, $8.76, $8.06
03/09/2021, $8.17, 95700, $7.67, $8.25, $7.67
03/08/2021, $7.61, 148199, $7.26, $7.79, $7.26
03/05/2021, $7.22, 204774, $7.99, $8.0899, $7.1
03/04/2021, $7.9, 153900, $7.92, $8.18, $7.69
03/03/2021, $7.82, 93954, $8.3, $8.58, $7.81
03/02/2021, $8.3, 146999, $8.3, $8.8499, $8.29
03/01/2021, $8.17, 76771, $8.1, $8.45, $8.1
02/26/2021, $7.98, 170863, $7.75, $8.15, $7.26
02/25/2021, $7.77, 89473, $8.15, $8.43, $7.64
02/24/2021, $8.01, 103872, $7.93, $8.1, $7.86
02/23/2021, $7.92, 103123, $8.51, $8.5269, $7.76
02/22/2021, $8.76, 103084, $9.05, $9.5411, $8.65
02/19/2021, $8.98, 302522, $9.53, $9.53, $8.59
02/18/2021, $9.61, 215516, $9.71, $9.99, $9.25
02/17/2021, $9.71, 296813, $9.88, $10.5799, $9.5001
02/16/2021, $9.75, 158741, $9.1, $9.9399, $9.1
02/12/2021, $9.095, 82457, $8.58, $9.1399, $8.3901
02/11/2021, $8.61, 230273, $8.42, $8.7, $7.8001
02/10/2021, $8.5, 93361, $8.48, $8.88, $8.27
02/09/2021, $8.49, 160944, $8.8, $8.8, $8.37
02/08/2021, $8.8, 111206, $8.88, $9.09, $8.72
02/05/2021, $8.78, 70983, $9.07, $9.07, $8.5801
02/04/2021, $9.07, 165474, $9.33, $9.3604, $8.8401
02/03/2021, $9.07, 209780, $8.65, $9.22, $8.4
02/02/2021, $8.65, 186634, $8.7, $8.8, $8.21
02/01/2021, $8.57, 228814, $8.18, $8.6699, $7.81
01/29/2021, $7.81, 259973, $7.47, $8.0865, $7.24
01/28/2021, $7.44, 131606, $7.79, $8.19, $7.2
01/27/2021, $7.84, 656611, $7.3, $8.3, $6.96
01/26/2021, $7.52, 443523, $6.95, $7.52, $6.9
01/25/2021, $6.75, 205084, $6.4, $6.75, $6.12
01/22/2021, $6.31, 147946, $6.2, $6.38, $5.92
01/21/2021, $6.29, 68651, $6.44, $6.48, $6.1
01/20/2021, $6.39, 215914, $6.63, $6.69, $6.114
01/19/2021, $6.55, 372342, $6.02, $6.7, $5.65
01/15/2021, $5.97, 309032, $5.66, $6.19, $5.3541
01/14/2021, $5.69, 172659, $5.35, $5.79, $5.3497
01/13/2021, $5.37, 203755, $5.45, $5.66, $5.3
01/12/2021, $5.36, 216052, $5, $5.45, $5
01/11/2021, $5.01, 69532, $5, $5.1, $4.96
01/08/2021, $5.04, 165879, $5.21, $5.225, $4.94
01/07/2021, $5.22, 276747, $4.92, $5.2472, $4.92
01/06/2021, $4.91, 231345, $5.12, $5.19, $4.9
01/05/2021, $5.1, 85588, $4.86, $5.14, $4.86
01/04/2021, $4.92, 162836, $4.96, $4.99, $4.72
12/31/2020, $4.98, 86104, $5.02, $5.19, $4.9503
12/30/2020, $5.05, 47072, $4.9, $5.08, $4.9
12/29/2020, $4.92, 265520, $5.1, $5.1514, $4.91
12/28/2020, $5.08, 84652, $5.13, $5.17, $5.01
12/24/2020, $5.1, 53028, $5.14, $5.15, $5.03
12/23/2020, $5.09, 144593, $4.87, $5.14, $4.82
12/22/2020, $4.87, 127252, $5.03, $5.07, $4.86
12/21/2020, $5.02, 169247, $4.89, $5.11, $4.79
12/18/2020, $4.95, 368588, $5.21, $5.265, $4.9
12/17/2020, $5.21, 325811, $5.25, $5.44, $5.12
