Date, Close/Last, Volume, Open, High, Low
01/20/2021, $125.25, 133734, $126.15, $127.11, $124.91
01/19/2021, $125.99, 123848, $127.32, $129.17, $125
01/15/2021, $126.24, 106911, $127.26, $128.13, $124.08
01/14/2021, $130.26, 131600, $127.66, $132.39, $127.66
01/13/2021, $126.89, 97310, $130.12, $130.35, $126.41
01/12/2021, $130.35, 110538, $126.68, $130.75, $126.68
01/11/2021, $126.64, 152811, $122.61, $127, $122.61
01/08/2021, $124.65, 191280, $124.05, $124.775, $121.56
01/07/2021, $123.84, 143936, $122.24, $124.23, $120.17
01/06/2021, $121.82, 609707, $116.46, $122.73, $116.46
01/05/2021, $114.31, 199164, $112.03, $116.17, $112.03
01/04/2021, $111.88, 183824, $114.79, $115.59, $110.53
12/31/2020, $113.87, 333548, $116.72, $118.44, $110.83
12/30/2020, $117.35, 123872, $115.31, $118.61, $114.66
12/29/2020, $115.59, 100611, $117.4, $118.18, $115.06
12/28/2020, $117.14, 265792, $119.25, $120, $116.44
12/24/2020, $117.78, 51441, $118.31, $118.96, $117.04
12/23/2020, $117.91, 92646, $118.46, $119.56, $117.47
12/22/2020, $117.54, 96130, $118.36, $119.04, $117.19
12/21/2020, $118.12, 137016, $117.02, $119.55, $116.85
12/18/2020, $120.07, 585654, $122.34, $123.47, $119.9
12/17/2020, $122.15, 116578, $121.49, $122.78, $120.07
12/16/2020, $121.59, 107549, $122.71, $122.94, $119.975
12/15/2020, $122.5, 130215, $120.54, $122.93, $119.2
12/14/2020, $118.4, 193528, $123.68, $123.96, $118.4
12/11/2020, $120.78, 220343, $120.55, $124.27, $119.91
12/10/2020, $122.46, 188103, $125.26, $126.86, $121.74
12/09/2020, $127.01, 265333, $129.38, $129.38, $126.01
12/08/2020, $128.42, 222230, $125.04, $129.73, $125.04
12/07/2020, $125.5, 177152, $123.88, $125.51, $122.86
12/04/2020, $124.71, 229734, $116.53, $124.86, $115.305
12/03/2020, $115.3, 94508, $114.43, $117.22, $113.78
12/02/2020, $114.45, 137891, $112.59, $115, $110.63
12/01/2020, $113.01, 151142, $112.45, $113.47, $110.57
11/30/2020, $110.56, 153179, $112.07, $113.57, $110.15
11/27/2020, $113.14, 58422, $113.64, $114.32, $111.44
11/25/2020, $113.48, 186367, $114.23, $115.1, $112.47
11/24/2020, $115.69, 228894, $112.42, $115.69, $111.7898
11/23/2020, $110.41, 173474, $107.79, $110.73, $107.48
11/20/2020, $106.55, 190916, $104.21, $106.63, $103.4
11/19/2020, $105.01, 83345, $104.32, $105.16, $103.045
11/18/2020, $105, 162045, $105.64, $106.45, $104.53
11/17/2020, $105.42, 269009, $101.58, $106.4, $98.63
11/16/2020, $102.94, 153653, $100, $102.97, $99.235
11/13/2020, $98.2, 122823, $97.9, $99.28, $97.34
11/12/2020, $96.79, 143412, $98.04, $99.15, $95.52
11/11/2020, $99.63, 155313, $105.89, $105.89, $98.6
11/10/2020, $105.38, 235186, $102.25, $106.84, $101.945
11/09/2020, $101.12, 367715, $93.65, $102.43, $93.65
11/06/2020, $86.49, 159839, $88.22, $88.42, $85.67
11/05/2020, $88.01, 271656, $83.2, $88.95, $83.2
11/04/2020, $82.85, 273820, $85.2, $85.25, $81.27
11/03/2020, $87.29, 203038, $89.38, $89.79, $87.08
11/02/2020, $87.41, 182820, $85.6, $87.53, $85.57
10/30/2020, $83.97, 179939, $86, $86.7, $83.05
10/29/2020, $86.35, 193060, $83.78, $86.79, $83.78
10/28/2020, $84.82, 288357, $81.42, $87.66, $80.74
10/27/2020, $83.78, 220931, $86.37, $86.85, $83.78
10/26/2020, $86.63, 151647, $88.23, $88.5, $85.44
10/23/2020, $89.73, 103311, $89.75, $90.04, $88.01
10/22/2020, $88.94, 165427, $88.36, $89.72, $87.665
10/21/2020, $87.71, 104109, $88.07, $88.84, $87.65
10/20/2020, $88.22, 116119, $88.22, $90.08, $88.01
10/19/2020, $86.97, 205915, $89.62, $90.63, $86.62
10/16/2020, $89.37, 147462, $91.01, $91.88, $89.16
10/15/2020, $91, 186170, $88.21, $91.88, $88.21
10/14/2020, $89.98, 126363, $89.81, $91.49, $89.62
10/13/2020, $89.79, 142705, $90.12, $91.18, $89.78
10/12/2020, $91.15, 102228, $90.21, $91.64, $89.45
10/09/2020, $90.23, 126311, $91.08, $91.48, $89.52
10/08/2020, $89.91, 210091, $90.17, $90.5, $89.38
10/07/2020, $89.27, 327649, $90, $90.58, $88.57
10/06/2020, $89.31, 344388, $91.98, $92.05, $89.24
10/05/2020, $90.82, 246192, $90.96, $92.78, $90.38
10/02/2020, $89.53, 292379, $87.38, $90.27, $87.38
10/01/2020, $89.39, 334768, $92.02, $93.3, $89.09
09/30/2020, $91.89, 541222, $94, $94.5, $91.46
09/29/2020, $94.13, 201660, $95.91, $96.4, $93.89
09/28/2020, $95.94, 224401, $96.27, $98.55, $95.8
09/25/2020, $95.21, 262948, $95.11, $95.92, $94.265
09/24/2020, $96.2, 202382, $96.69, $97.96, $95.505
09/23/2020, $96.18, 212636, $97.75, $99.37, $96.03
09/22/2020, $97.79, 127399, $95.28, $97.87, $94.8
09/21/2020, $95.1, 191081, $96, $96.83, $92.96
09/18/2020, $99, 492704, $101.12, $101.7, $98.54
09/17/2020, $100.3, 154160, $98.86, $101.79, $97.7
09/16/2020, $100.47, 135933, $100.26, $101.37, $99.53
09/15/2020, $99.73, 121651, $100.06, $100.11, $98.825
09/14/2020, $99.56, 94942, $99.55, $100.1, $98.645
09/11/2020, $98.47, 151463, $99.25, $99.89, $97.52
09/10/2020, $98.98, 114072, $101.42, $101.53, $98.64
09/09/2020, $100.46, 118970, $100.16, $101.41, $99.09
09/08/2020, $99.25, 128252, $100.35, $100.7848, $98.87
09/04/2020, $101.32, 98727, $103.08, $103.46, $99.9
09/03/2020, $101.02, 159570, $105.41, $106.34, $100.75
09/02/2020, $106.59, 93860, $105.85, $107.34, $104.95
09/01/2020, $105.72, 165128, $101.72, $105.89, $101.4302
08/31/2020, $102.51, 128292, $104.27, $104.315, $102.51
08/28/2020, $104.5, 88665, $103.67, $105.2, $103.01
08/27/2020, $103.26, 105741, $103.07, $104.68, $102.7
08/26/2020, $101.87, 106185, $101.38, $102.58, $101.075
08/25/2020, $101.94, 147746, $104.07, $104.07, $101.55
08/24/2020, $103.16, 130023, $100.74, $103.2, $99.62
08/21/2020, $99.52, 135586, $98.68, $100.54, $98.35
08/20/2020, $99.81, 119506, $98.07, $100.07, $97.925
08/19/2020, $99.79, 120702, $98.86, $100.79, $98.86
08/18/2020, $99.11, 135951, $100.62, $101.01, $98.81
08/17/2020, $100.72, 90594, $101.94, $102.56, $100.6
08/14/2020, $101.91, 100888, $101.43, $103.88, $100.745
08/13/2020, $102.79, 74964, $103.79, $104.77, $102.53
08/12/2020, $105.18, 142440, $108.17, $108.17, $103.75
08/11/2020, $106.05, 160093, $108.51, $110.61, $105.52
08/10/2020, $106.9, 211068, $103, $108.1, $102.99
08/07/2020, $102.66, 162798, $98.13, $102.77, $98.13
08/06/2020, $98.75, 230908, $100.43, $100.43, $96.74
08/05/2020, $100.29, 207526, $98.16, $100.76, $97.92
08/04/2020, $96.38, 162572, $95.97, $97.2, $95.45
08/03/2020, $96.48, 173375, $94.19, $96.89, $93.69
07/31/2020, $93.76, 217436, $93.32, $93.91, $89.99
07/30/2020, $94.44, 179556, $93.83, $95.2, $93.1
07/29/2020, $95.95, 262399, $95.38, $97.68, $95.14
07/28/2020, $94.27, 350984, $92.95, $95.325, $91
07/27/2020, $90.69, 128163, $89.54, $91.2, $87.99
07/24/2020, $89.95, 165490, $91.43, $92.565, $89.36
07/23/2020, $91.81, 182133, $87.17, $92.4956, $87.17
07/22/2020, $87.63, 143941, $87.31, $88.58, $86.65
07/21/2020, $88.35, 194632, $87.99, $90.4, $87.07
07/20/2020, $86.41, 108787, $86.01, $87.21, $84.95
07/17/2020, $86.92, 137015, $85.49, $87.97, $85.11
07/16/2020, $85.25, 266399, $88.39, $89.4, $83.89
07/15/2020, $89.27, 182342, $88.9, $90.17, $87.41
07/14/2020, $86.14, 130921, $83.59, $86.26, $83.4
07/13/2020, $84.02, 153525, $85.68, $87.19, $83.65
07/10/2020, $84.54, 114510, $81.67, $85.22, $81.1
07/09/2020, $81.08, 150945, $82.08, $82.7, $78.99
07/08/2020, $82.62, 125465, $81.1, $83.22, $80.73
07/07/2020, $81.55, 148949, $82.98, $84.11, $81.18
07/06/2020, $84.23, 131272, $85.76, $86.545, $83.3
07/02/2020, $83.32, 199887, $83.67, $85.66, $83.02
07/01/2020, $81.39, 302600, $86.13, $87.14, $81.11
06/30/2020, $86.02, 493266, $82.4, $86.3, $82.4
06/29/2020, $82.83, 256955, $79.2, $84.15, $78.86
06/26/2020, $77.13, 400082, $78.58, $78.75, $75.77
06/25/2020, $79.34, 259940, $76.21, $79.43, $75.37
06/24/2020, $77.06, 304039, $78.13, $78.55, $76.46
06/23/2020, $79.63, 202431, $79.94, $80.5874, $79.16
06/22/2020, $78.11, 177234, $76.84, $78.335, $75.98
06/19/2020, $77.53, 376297, $80.3, $81.31, $77
06/18/2020, $78.93, 229125, $80.73, $81.98, $78.19
06/17/2020, $81.78, 215498, $83.28, $83.28, $81.2
06/16/2020, $82.96, 215174, $85.04, $85.1, $79.33
06/15/2020, $80.77, 231126, $73.46, $81.93, $73.46
06/12/2020, $76.96, 403182, $79.31, $79.3938, $74.51
06/11/2020, $74.67, 647473, $82.11, $82.5809, $73.8501
06/10/2020, $87.25, 236087, $90.79, $90.79, $86.9
06/09/2020, $91.86, 193512, $92.72, $93.93, $91.41
06/08/2020, $95.56, 134569, $97.38, $98.2786, $94.97
06/05/2020, $95.9, 272652, $97.91, $101.91, $95.05
06/04/2020, $92.42, 173893, $90.05, $94.12, $89.65
06/03/2020, $91.25, 162188, $87.13, $92.03, $87.13
06/02/2020, $84.68, 161019, $85.35, $86.13, $84.2112
06/01/2020, $84.46, 174308, $82.61, $85.75, $81.71
05/29/2020, $82.15, 255095, $84.56, $85.38, $81.45
05/28/2020, $86.32, 147532, $90.9, $90.9, $85.865
05/27/2020, $89.51, 215942, $90.41, $93.265, $87.42
05/26/2020, $88.9, 357313, $84.94, $89.735, $84.64
