Date, Close/Last, Volume, Open, High, Low
01/20/2021, $52.39, 5056877, $51.82, $52.41, $51.45
01/19/2021, $51.63, 3135940, $52.37, $52.83, $51.61
01/15/2021, $51.81, 3855581, $52.09, $52.15, $51.06
01/14/2021, $52.45, 3010570, $52.15, $52.915, $52.02
01/13/2021, $52.01, 5697050, $51.99, $52.32, $51.435
01/12/2021, $51.84, 3982207, $51.22, $51.96, $50.39
01/11/2021, $50.99, 3905989, $49.05, $51.285, $49.002
01/08/2021, $51.3, 5098636, $51.4, $51.57, $50.56
01/07/2021, $51.18, 5068763, $50.36, $51.385, $49.49
01/06/2021, $49.75, 10215240, $48, $50.26, $47.84
01/05/2021, $47.52, 5563962, $46.02, $47.55, $46.02
01/04/2021, $46.18, 5389256, $46.61, $47.23, $45.905
12/31/2020, $46.59, 1934242, $46.32, $46.65, $45.99
12/30/2020, $46.42, 2281232, $46.05, $46.805, $45.95
12/29/2020, $45.9, 2436700, $46.38, $46.51, $45.55
12/28/2020, $46.11, 2504707, $46.18, $46.69, $46.03
12/24/2020, $45.93, 842541, $46.2, $46.2, $45.675
12/23/2020, $45.92, 4227426, $45.71, $46.17, $45.49
12/22/2020, $45.64, 3298437, $46.12, $46.22, $45.56
12/21/2020, $45.95, 4485214, $45.5, $46.22, $45.35
12/18/2020, $46.24, 11405970, $46.45, $46.73, $45.91
12/17/2020, $46.45, 3906260, $46.08, $46.56, $45.83
12/16/2020, $45.77, 4755348, $46.08, $46.2465, $45.41
12/15/2020, $46.04, 4695581, $45.17, $46.04, $44.91
12/14/2020, $45.1, 4690656, $45.68, $46.11, $45.02
12/11/2020, $45.55, 4008348, $45.43, $45.7, $45.25
12/10/2020, $45.69, 3417612, $45.4, $45.89, $45.04
12/09/2020, $45.79, 6058907, $45.71, $45.99, $45.33
12/08/2020, $45.26, 4645236, $45.1, $45.57, $45.08
12/07/2020, $45.25, 3575659, $45.85, $45.85, $45.15
12/04/2020, $45.89, 5273216, $45.97, $46.32, $45.59
12/03/2020, $45.73, 5228312, $45.97, $46.19, $45.45
12/02/2020, $45.89, 4471263, $46.16, $46.68, $45.61
12/01/2020, $46.27, 4760628, $46.76, $47.3, $46.23
11/30/2020, $46.04, 7699559, $45.94, $46.55, $45.83
11/27/2020, $45.97, 1810829, $46.38, $46.67, $45.89
11/25/2020, $46.41, 2808324, $46.31, $46.55, $45.815
11/24/2020, $46.66, 3314455, $46.27, $47.01, $45.89
