Date, Close/Last, Volume, Open, High, Low
03/24/2021, $19.26, 10270870, $19.65, $19.93, $19.245
03/23/2021, $19.26, 12764410, $19.67, $19.86, $19.24
03/22/2021, $19.92, 10595700, $20.3, $20.34, $19.675
03/19/2021, $20.39, 34834620, $20.41, $20.68, $20.005
03/18/2021, $20.72, 13550000, $20.77, $21.36, $20.575
03/17/2021, $20.38, 11510880, $20.67, $20.825, $20.18
03/16/2021, $20.31, 16128190, $20.8, $20.8, $20.16
03/15/2021, $20.87, 13783130, $21.25, $21.36, $20.57
03/12/2021, $21.29, 9054413, $21.43, $21.58, $21.15
03/11/2021, $21.1, 7386185, $20.96, $21.26, $20.86
03/10/2021, $21.16, 11770720, $20.47, $21.16, $20.39
03/09/2021, $20.46, 10897810, $20.87, $20.9, $20.2
03/08/2021, $21.22, 12809180, $20.98, $21.55, $20.74
03/05/2021, $20.66, 12799930, $20.82, $20.92, $19.85
03/04/2021, $20.24, 9735364, $20.56, $20.88, $19.75
03/03/2021, $20.64, 7689501, $20.79, $21.38, $20.62
03/02/2021, $20.65, 5746858, $20.63, $20.88, $20.59
03/01/2021, $20.74, 6482124, $20.42, $20.865, $20.363
02/26/2021, $20.14, 9586303, $20.42, $20.63, $19.96
02/25/2021, $20.68, 9252438, $21.76, $21.81, $20.58
02/24/2021, $21.54, 9459351, $20.9, $21.56, $20.85
02/23/2021, $20.75, 7514264, $20.73, $20.83, $20.34
02/22/2021, $20.49, 7448279, $20.1, $20.64, $20.1
02/19/2021, $20.15, 8466963, $19.61, $20.25, $19.61
02/18/2021, $19.48, 6315059, $19.52, $19.615, $19.215
02/17/2021, $19.72, 6683687, $19.72, $19.94, $19.475
02/16/2021, $19.79, 7520617, $19.38, $19.87, $19.29
02/12/2021, $19.07, 4066400, $18.86, $19.215, $18.77
02/11/2021, $18.83, 4505689, $18.91, $19.045, $18.45
02/10/2021, $18.96, 6086286, $19.03, $19.22, $18.89
02/09/2021, $18.94, 5278183, $18.83, $18.98, $18.7
02/08/2021, $18.92, 4407449, $18.6, $18.92, $18.59
02/05/2021, $18.57, 5407795, $18.92, $19.01, $18.53
02/04/2021, $18.71, 8881312, $18.15, $18.91, $18.15
02/03/2021, $18.07, 7839525, $17.7, $18.08, $17.68
02/02/2021, $17.67, 6574816, $17.45, $17.875, $17.38
02/01/2021, $17.16, 6595645, $17.02, $17.21, $16.84
01/29/2021, $16.86, 9279686, $17.22, $17.44, $16.74
01/28/2021, $17.32, 9009180, $17.07, $17.43, $16.91
01/27/2021, $16.72, 11048970, $17.04, $17.15, $16.69
01/26/2021, $17.46, 8245068, $17.99, $18.08, $17.45
01/25/2021, $17.78, 9622360, $18.02, $18.025, $17.465
01/22/2021, $18.2, 5855752, $17.97, $18.34, $17.85
01/21/2021, $18.15, 11934990, $18.3, $18.88, $18.11
01/20/2021, $18.29, 5875447, $18.44, $18.48, $18.11
01/19/2021, $18.55, 5676489, $18.51, $18.575, $18.27
01/15/2021, $18.41, 11254170, $18.54, $18.735, $18.195
01/14/2021, $18.93, 9962929, $18.95, $19.22, $18.835
01/13/2021, $18.79, 5640300, $18.7, $18.88, $18.52
01/12/2021, $18.84, 6267646, $18.64, $18.96, $18.48
01/11/2021, $18.48, 5399466, $18, $18.5, $17.81
01/08/2021, $18.24, 6472497, $18.45, $18.47, $17.915
01/07/2021, $18.49, 8182381, $18.49, $18.81, $18.45
01/06/2021, $18.16, 16270020, $17.26, $18.31, $17.1
01/05/2021, $16.55, 5927651, $16.31, $16.76, $16.19
