Date, Close/Last, Volume, Open, High, Low
03/24/2021, $6.05, 143926, $6.38, $6.38, $6.05
03/23/2021, $6.18, 72066, $6.33, $6.33, $6.1
03/22/2021, $6.32, 109071, $6.39, $6.43, $6.25
03/19/2021, $6.39, 90085, $6.22, $6.41, $6.17
03/18/2021, $6.21, 63535, $6.23, $6.37, $6.18
03/17/2021, $6.27, 85953, $6.27, $6.33, $6.1834
03/16/2021, $6.3, 99131, $6.42, $6.43, $6.21
03/15/2021, $6.37, 71657, $6.21, $6.39, $6.2
03/12/2021, $6.2, 43916, $6.16, $6.23, $6.13
03/11/2021, $6.22, 132741, $6.21, $6.43, $6.16
03/10/2021, $6.19, 95645, $6.29, $6.32, $6.1055
03/09/2021, $6.24, 103249, $6.12, $6.2797, $6.1
03/08/2021, $6.08, 146725, $6.06, $6.15, $5.93
03/05/2021, $6.1, 176003, $6.05, $6.12, $5.78
03/04/2021, $6.02, 241160, $6.42, $6.42, $5.92
03/03/2021, $6.26, 273843, $6.36, $6.605, $6.2173
03/02/2021, $6.11, 200971, $6.2, $6.2, $6.02
03/01/2021, $6.2, 137175, $6.33, $6.33, $6.09
02/26/2021, $6.14, 229605, $6.24, $6.27, $5.98
02/25/2021, $6.26, 198248, $6.44, $6.48, $6.18
02/24/2021, $6.49, 343057, $6.37, $6.58, $6.29
02/23/2021, $6.53, 398592, $6.55, $6.55, $6.2
02/22/2021, $6.63, 152630, $6.74, $6.81, $6.6
02/19/2021, $6.75, 130408, $6.76, $6.8199, $6.67
02/18/2021, $6.71, 214192, $6.85, $6.865, $6.6
02/17/2021, $7, 150827, $7.01, $7.075, $6.8278
02/16/2021, $7, 255670, $7.04, $7.14, $6.89
02/12/2021, $6.98, 325680, $7.1, $7.11, $6.72
02/11/2021, $6.99, 472111, $7.19, $7.3, $6.95
02/10/2021, $7.4, 788219, $7.58, $7.59, $7.12
02/09/2021, $8.06, 849375, $8, $8.16, $7.9
02/08/2021, $7.59, 433145, $7.44, $7.64, $7.44
02/05/2021, $7.39, 671545, $7.35, $7.6, $7.28
02/04/2021, $7.25, 754555, $7.5, $7.5822, $7.08
02/03/2021, $7.63, 1219724, $7.15, $7.8484, $7.1
02/02/2021, $7.01, 379365, $6.83, $7.08, $6.5458
02/01/2021, $6.81, 317542, $7.01, $7.08, $6.68
01/29/2021, $6.47, 143033, $6.45, $6.55, $6.38
01/28/2021, $6.4, 151797, $6.63, $6.66, $6.37
01/27/2021, $6.51, 168680, $6.7, $6.78, $6.46
01/26/2021, $6.73, 74214, $6.84, $6.8893, $6.73
01/25/2021, $6.81, 111142, $6.92, $6.94, $6.6031
01/22/2021, $6.95, 129240, $6.7, $6.95, $6.67
01/21/2021, $6.74, 168597, $7, $7, $6.69
01/20/2021, $6.96, 137681, $7.16, $7.2, $6.91
01/19/2021, $7.15, 162107, $7.14, $7.16, $6.91
01/15/2021, $6.96, 159314, $7.11, $7.15, $6.8488
01/14/2021, $7.23, 137549, $7.06, $7.29, $7
01/13/2021, $7.06, 165869, $7.12, $7.205, $6.98
01/12/2021, $7.04, 264139, $7.37, $7.39, $6.85
01/11/2021, $7.19, 269847, $6.91, $7.24, $6.88
01/08/2021, $6.61, 89055, $6.67, $6.72, $6.53
01/07/2021, $6.63, 119047, $6.53, $6.63, $6.5
01/06/2021, $6.49, 161614, $6.5, $6.5891, $6.42
01/05/2021, $6.53, 140392, $6.5, $6.59, $6.5
01/04/2021, $6.48, 150280, $6.49, $6.52, $6.37
12/31/2020, $6.48, 265979, $6.52, $6.52, $6.35
12/30/2020, $6.53, 314122, $6.5, $6.59, $6.47
12/29/2020, $6.57, 208925, $6.38, $6.59, $6.38
12/28/2020, $6.43, 208395, $6.63, $6.63, $6.39
12/24/2020, $6.6, 38836, $6.51, $6.64, $6.47
12/23/2020, $6.53, 248000, $6.48, $6.59, $6.44
12/22/2020, $6.43, 282327, $6.52, $6.59, $6.31
12/21/2020, $6.4, 227184, $6.37, $6.5, $6.32
12/18/2020, $6.33, 741657, $6.49, $6.57, $6.32
12/17/2020, $6.47, 101542, $6.45, $6.62, $6.45
12/16/2020, $6.49, 93174, $6.45, $6.54, $6.45
12/15/2020, $6.5, 143757, $6.44, $6.54, $6.36
12/14/2020, $6.51, 158185, $6.38, $6.66, $6.37
12/11/2020, $6.3, 80468, $6.39, $6.44, $6.24
12/10/2020, $6.45, 128127, $6.39, $6.52, $6.31
12/09/2020, $6.32, 193508, $6.49, $6.49, $6.23
12/08/2020, $6.55, 258786, $6.73, $6.73, $6.35
12/07/2020, $6.7, 69060, $6.76, $6.7611, $6.65
12/04/2020, $6.71, 58019, $6.72, $6.7514, $6.64
12/03/2020, $6.76, 107564, $6.72, $6.79, $6.68
12/02/2020, $6.75, 66009, $6.73, $6.7779, $6.6
12/01/2020, $6.74, 66529, $6.79, $6.87, $6.7
11/30/2020, $6.78, 77747, $6.85, $6.85, $6.7401
11/27/2020, $6.8, 94995, $6.65, $6.815, $6.63
11/25/2020, $6.62, 149242, $6.63, $6.78, $6.59
11/24/2020, $6.68, 334779, $6.71, $6.91, $6.5675
11/23/2020, $6.64, 153626, $6.76, $6.78, $6.585
11/20/2020, $6.78, 68692, $6.71, $6.83, $6.64
11/19/2020, $6.68, 97573, $6.64, $6.77, $6.61
11/18/2020, $6.56, 133861, $6.65, $6.76, $6.56
11/17/2020, $6.66, 186013, $6.7, $6.84, $6.51
11/16/2020, $6.9, 134163, $6.85, $6.93, $6.76
11/13/2020, $6.66, 137997, $6.53, $6.8, $6.51
11/12/2020, $6.54, 240991, $6.58, $6.66, $6.4
11/11/2020, $6.39, 363391, $6.66, $6.66, $6.22
11/10/2020, $6.41, 319785, $6.56, $6.61, $6.35
11/09/2020, $6.57, 515053, $7.03, $7.03, $6.45
11/06/2020, $7.33, 138992, $7.3, $7.34, $7.14
11/05/2020, $7.32, 245208, $7.46, $7.46, $7.26
11/04/2020, $7.4, 185052, $7.39, $7.48, $7.33
11/03/2020, $7.29, 66155, $7.45, $7.47, $7.21
11/02/2020, $7.38, 128850, $7.35, $7.5, $7.12
10/30/2020, $7.15, 127472, $7.09, $7.24, $6.96
10/29/2020, $7.1, 133721, $7.14, $7.2, $7.03
10/28/2020, $7.23, 279552, $7.27, $7.3, $6.89
10/27/2020, $7.62, 163935, $7.68, $7.74, $7.46
10/26/2020, $7.86, 183685, $8.04, $8.09, $7.82
10/23/2020, $8.38, 54420, $8.35, $8.43, $8.33
10/22/2020, $8.33, 62904, $8.2, $8.38, $8.1326
10/21/2020, $8.3, 136853, $8.44, $8.44, $8.245
10/20/2020, $8.46, 211750, $8.75, $8.7773, $8.4
