Date, Close/Last, Volume, Open, High, Low
03/24/2021, $9.6, 6611, $9.78, $10.04, $9.55
03/23/2021, $9.6, 6212, $10.02, $10.02, $9.6
03/22/2021, $10, 2622, $10.04, $10.73, $9.75
03/19/2021, $10.08, 3616, $10.05, $10.47, $9.7601
03/18/2021, $10.02, 10646, $9.6368, $10.365, $9.6368
03/17/2021, $10.07, 12819, $10.35, $10.35, $9.92
03/16/2021, $10.37, 3932, $10.9, $10.9, $10.12
03/15/2021, $10.83, 5836, $10.76, $10.9, $10.61
03/12/2021, $10.77, 16513, $11.43, $11.43, $10.3439
03/11/2021, $11.2, 16681, $11.38, $11.6, $11.01
03/10/2021, $11.25, 153570, $11.89, $11.89, $9.02
03/09/2021, $11.81, 41147, $10.9, $12.12, $10.76
03/08/2021, $10.84, 8816, $10.09, $10.84, $10.08
03/05/2021, $10.07, 46586, $10.9, $10.94, $9.93
03/04/2021, $10.85, 46882, $10.61, $11.11, $10.02
03/03/2021, $10.9, 10821, $10.96, $10.96, $10.8264
03/02/2021, $10.91, 7126, $11.5, $11.5, $10.91
03/01/2021, $10.92, 12578, $10.909, $11.15, $10.9
02/26/2021, $10.8, 10597, $10.89, $11.075, $10.8
02/25/2021, $10.91, 13663, $10.805, $10.9943, $10.6059
02/24/2021, $11.02, 24411, $10.79, $11.12, $10.79
02/23/2021, $10.9, 62471, $10.9, $11.17, $10.0101
02/22/2021, $10.9, 71975, $10.96, $12.1099, $10.61
02/19/2021, $11.06, 12807, $10.58, $11.2088, $10.36
02/18/2021, $10.52, 88116, $10.16, $11.65, $10.16
02/17/2021, $10.15, 27501, $9.5313, $10.25, $9.5313
02/16/2021, $9.78, 20158, $10.11, $10.14, $9.62
02/12/2021, $9.885, 9372, $10.06, $10.35, $9.78
02/11/2021, $10.5, 21884, $10.96, $10.99, $10.03
02/10/2021, $10.93, 55629, $10.29, $11.142, $10.02
02/09/2021, $10.45, 127686, $9.51, $11.1999, $9.13
02/08/2021, $9.51, 15037, $9.58, $9.78, $9.48
02/05/2021, $9.58, 13783, $9.53, $9.7576, $9.42
02/04/2021, $9.55, 21215, $9.16, $9.55, $8.92
02/03/2021, $9.0282, 17148, $8.9799, $9.35, $8.9
02/02/2021, $8.875, 10062, $8.82, $8.98, $8.68
02/01/2021, $8.75, 11993, $8.89, $8.89, $8.6
01/29/2021, $8.94, 7085, $8.87, $9.0739, $8.7929
01/28/2021, $9, 14281, $9.02, $9.2, $8.77
01/27/2021, $9, 28820, $9.64, $9.64, $8.9
01/26/2021, $9.08, 34491, $8.82, $9.27, $8.82
01/25/2021, $8.82, 20232, $9.5, $9.55, $8.75
01/22/2021, $9.23, 21696, $9.18, $9.43, $9.051
01/21/2021, $9.5, 12851, $9.37, $9.56, $9.15
01/20/2021, $9.4001, 57708, $8.88, $9.4926, $8.84
01/19/2021, $8.7, 40840, $8.51, $8.85, $8.41
01/15/2021, $8.42, 27400, $8.4, $8.73, $8.3
01/14/2021, $8.4, 18992, $8.4, $8.5, $8.31
01/13/2021, $8.4, 8456, $8.37, $8.405, $8.25
01/12/2021, $8.37, 6858, $8.45, $8.45, $8.3114
01/11/2021, $8.45, 22546, $8.32, $8.5, $8.22
