Date, Close/Last, Volume, Open, High, Low
03/24/2021, $11.48, 1253913, $11.58, $12.075, $11.47
03/23/2021, $11.48, 1477206, $11.8, $11.8866, $11.33
03/22/2021, $11.79, 1099513, $12.09, $12.09, $11.75
03/19/2021, $12.18, 2560702, $12, $12.24, $11.81
03/18/2021, $11.95, 865437, $12.3, $12.32, $11.86
03/17/2021, $12.31, 781672, $12, $12.31, $11.96
03/16/2021, $12.03, 627791, $12.18, $12.23, $11.945
03/15/2021, $12.21, 1153538, $12.06, $12.23, $12.02
03/12/2021, $12.12, 663206, $12.13, $12.3, $12.01
03/11/2021, $12.01, 953984, $12, $12.14, $11.7546
03/10/2021, $11.88, 1055952, $11.63, $12, $11.59
03/09/2021, $11.57, 878288, $11.71, $11.71, $11.4
03/08/2021, $11.66, 1542017, $11.32, $11.8, $11.31
03/05/2021, $11.31, 1364609, $11.4, $11.535, $10.68
03/04/2021, $11.3, 1379585, $11.6, $11.705, $11.03
03/03/2021, $11.68, 1292026, $11.63, $11.9, $11.61
03/02/2021, $11.62, 1628586, $11.75, $11.84, $11.41
03/01/2021, $11.45, 1030913, $11.71, $11.8, $11.32
02/26/2021, $11.44, 1277251, $11.15, $11.6, $11
02/25/2021, $11.12, 1297759, $11.75, $11.97, $11.1
02/24/2021, $11.69, 1324915, $11, $11.73, $10.99
02/23/2021, $10.91, 1322092, $10.95, $11.01, $10.56
02/22/2021, $10.92, 950805, $10.79, $11.04, $10.72
02/19/2021, $10.84, 888900, $10.37, $10.85, $10.37
02/18/2021, $10.4, 829175, $10.48, $10.58, $10.37
02/17/2021, $10.53, 853540, $10.57, $10.61, $10.23
02/16/2021, $10.61, 1434722, $10.45, $10.78, $10.45
02/12/2021, $10.4, 774028, $10.14, $10.4, $10.1
02/11/2021, $10.22, 834707, $10.11, $10.31, $10.035
02/10/2021, $10.11, 695958, $10.24, $10.31, $10.1
02/09/2021, $10.18, 1226422, $10.14, $10.26, $9.92
02/08/2021, $10.56, 631427, $10.45, $10.6, $10.4201
02/05/2021, $10.44, 933779, $10.57, $10.67, $10.325
02/04/2021, $10.43, 977882, $10.15, $10.45, $10.14
02/03/2021, $10.21, 1082369, $10.35, $10.59, $10.21
02/02/2021, $10.22, 1063656, $10.01, $10.29, $9.96
02/01/2021, $9.91, 1145091, $9.91, $9.9734, $9.47
01/29/2021, $9.83, 1407042, $10.17, $10.27, $9.79
01/28/2021, $10.28, 895603, $10.45, $10.54, $10.1
