Date, Close/Last, Volume, Open, High, Low
03/24/2021, $27.7, 9197, $27.65, $28.24, $27.6
03/23/2021, $27.6, 13268, $27.25, $28.1552, $27.05
03/22/2021, $27.42, 9520, $28.43, $28.43, $27.1578
03/19/2021, $28.5, 48729, $26.99, $28.5, $26.55
03/18/2021, $26.88, 8625, $26.81, $26.909, $26.65
03/17/2021, $26.62, 11977, $26.85, $26.85, $26.51
03/16/2021, $26.72, 9028, $26.89, $27.14, $26.665
03/15/2021, $27.03, 9605, $27.5134, $27.5134, $26.59
03/12/2021, $27.74, 4625, $27.34, $27.74, $27.34
03/11/2021, $28.09, 9557, $27, $28.09, $27
03/10/2021, $27.14, 11616, $27.47, $27.47, $26.81
03/09/2021, $27.49, 6853, $27.67, $27.67, $26.75
03/08/2021, $27.72, 18228, $26.5, $28.1839, $26.5
03/05/2021, $27.45, 14572, $26.57, $27.45, $26.44
03/04/2021, $26.75, 12710, $26, $26.75, $26
03/03/2021, $26, 23479, $25.49, $26.45, $25.49
03/02/2021, $25.26, 10339, $26, $26, $24.73
03/01/2021, $25.89, 9095, $25.09, $26.07, $25.09
02/26/2021, $24.48, 6014, $25.5, $25.53, $24.48
02/25/2021, $25.17, 7525, $26.15, $26.15, $25.17
02/24/2021, $26.41, 3550, $26.44, $26.44, $26.065
02/23/2021, $26.2, 5112, $25.9, $26.3, $25.9
02/22/2021, $25.89, 7328, $25.51, $25.9999, $25.51
02/19/2021, $25.96, 4877, $25.22, $25.96, $25.22
02/18/2021, $25.05, 3156, $25.41, $25.43, $25.05
02/17/2021, $25.41, 3697, $25.52, $25.75, $25.41
02/16/2021, $25.54, 5818, $25.51, $25.93, $25.5
02/12/2021, $25.59, 8971, $25.45, $25.59, $24.7875
02/11/2021, $25.4, 5243, $25.41, $25.66, $25.26
02/10/2021, $25.26, 10516, $25.7, $25.79, $25.26
02/09/2021, $25.35, 6676, $25.8548, $25.8548, $24.93
02/08/2021, $25.49, 6791, $25.69, $25.86, $25.1
02/05/2021, $25.44, 5327, $25.5, $25.5, $25.07
02/04/2021, $26, 22474, $25.42, $26.21, $24.7301
02/03/2021, $25.67, 17547, $25.99, $25.99, $25.19
02/02/2021, $26.25, 13735, $25, $26.25, $24.7852
02/01/2021, $25.4, 18312, $23.7, $25.4, $23.7
01/29/2021, $23.61, 5660, $24, $24, $23.31
01/28/2021, $23.9, 7287, $23.5, $24, $23.01
01/27/2021, $23.37, 10973, $23.5, $23.5, $22.67
01/26/2021, $23.5, 8272, $24.01, $24.01, $23.5
01/25/2021, $24.01, 5379, $23.85, $24.365, $23.555
01/22/2021, $24, 17971, $23.51, $24.1742, $23.3
01/21/2021, $23.84, 7654, $24.52, $25.275, $23.83
01/20/2021, $24.57, 6251, $25.41, $25.41, $24.23
01/19/2021, $24.85, 13118, $25.29, $25.4, $24.42
01/15/2021, $24.89, 8525, $24.85, $25.6634, $24.83
01/14/2021, $25.22, 10529, $25.54, $26.1887, $25.22
01/13/2021, $25.36, 14049, $25.8, $26.5, $25.04
01/12/2021, $25.67, 8040, $24.75, $25.67, $24.215
01/11/2021, $24.82, 12627, $24.05, $24.82, $23.84
01/08/2021, $24.2, 15046, $24.76, $24.76, $24.0501
01/07/2021, $24.8, 24449, $24.41, $24.97, $23.915
01/06/2021, $24, 20131, $23.55, $24.77, $23.02
01/05/2021, $23.55, 15822, $23.49, $23.8, $22.7
01/04/2021, $23.2, 12045, $23.15, $23.48, $22.45
