Date, Close/Last, Volume, Open, High, Low
01/20/2021, $5.39, 482125, $5.1, $5.46, $5.1
01/19/2021, $5.06, 364189, $4.99, $5.07, $4.9
01/15/2021, $4.91, 280970, $5.03, $5.11, $4.7327
01/14/2021, $5.07, 741314, $4.45, $5.23, $4.41
01/13/2021, $4.41, 424658, $4.3, $4.41, $4.18
01/12/2021, $4.3, 222924, $4.28, $4.435, $4.28
01/11/2021, $4.32, 323471, $4.36, $4.42, $4.25
01/08/2021, $4.38, 306352, $4.6, $4.6, $4.36
01/07/2021, $4.56, 638222, $4.73, $4.7454, $4.3
01/06/2021, $4.7, 1027058, $4.8, $5.3, $4.69
01/05/2021, $4.68, 345925, $4.53, $4.79, $4.46
01/04/2021, $4.49, 781755, $4.68, $4.7, $4.32
12/31/2020, $4.65, 248024, $4.59, $4.67, $4.575
12/30/2020, $4.65, 228593, $4.62, $4.72, $4.56
12/29/2020, $4.6, 340659, $4.88, $4.9084, $4.49
12/28/2020, $4.61, 281109, $4.58, $4.64, $4.54
12/24/2020, $4.54, 207124, $4.55, $4.57, $4.4
12/23/2020, $4.52, 377531, $4.47, $4.56, $4.35
12/22/2020, $4.46, 134732, $4.56, $4.6, $4.41
12/21/2020, $4.51, 203067, $4.51, $4.63, $4.41
12/18/2020, $4.49, 595517, $4.52, $4.72, $4.49
12/17/2020, $4.59, 550687, $4.62, $4.7, $4.46
12/16/2020, $4.67, 636266, $4.6, $4.69, $4.55
12/15/2020, $4.58, 408737, $4.63, $4.7, $4.54
12/14/2020, $4.62, 515358, $4.87, $4.98, $4.59
12/11/2020, $4.9, 770416, $4.9, $5.19, $4.6999
12/10/2020, $4.9, 3553184, $4.59, $4.9, $4.4
12/09/2020, $5.6, 169582, $5.76, $6.08, $5.51
12/08/2020, $5.76, 72506, $5.39, $5.81, $5.39
12/07/2020, $5.41, 81850, $5.65, $5.65, $5.33
12/04/2020, $5.59, 86498, $5.58, $5.8, $5.55
12/03/2020, $5.58, 199074, $5.27, $5.6829, $5.26
12/02/2020, $5.24, 266328, $5.26, $5.32, $5.01
12/01/2020, $5.34, 159410, $5.82, $5.82, $5.31
11/30/2020, $5.64, 251687, $6.1, $6.2, $5.51
11/27/2020, $6.14, 95759, $5.82, $6.2, $5.798
11/25/2020, $5.85, 241446, $5.57, $5.9344, $5.545
11/24/2020, $5.49, 163404, $5.4, $5.64, $5.31
11/23/2020, $5.4, 76598, $5.22, $5.48, $5.22
11/20/2020, $5.22, 52789, $5.22, $5.29, $5.18
11/19/2020, $5.22, 85517, $5.32, $5.3281, $5.16
11/18/2020, $5.32, 191653, $5.17, $5.5, $5.15
11/17/2020, $5.14, 94014, $4.95, $5.2, $4.92
11/16/2020, $5, 205297, $4.93, $5.09, $4.8117
11/13/2020, $4.91, 155231, $5.09, $5.147, $4.87
11/12/2020, $5.03, 137403, $5.22, $5.3, $4.98
11/11/2020, $5.18, 275817, $5.47, $5.55, $4.97
11/10/2020, $5.53, 192356, $5.45, $5.565, $5.35
11/09/2020, $5.49, 295813, $5.6, $5.87, $5.3
11/06/2020, $6, 75163, $6.14, $6.14, $5.92
11/05/2020, $6.09, 145999, $5.88, $6.15, $5.88
11/04/2020, $5.88, 72291, $5.75, $5.89, $5.7
11/03/2020, $5.76, 80424, $5.71, $5.9, $5.699
11/02/2020, $5.73, 151971, $5.79, $5.85, $5.6
10/30/2020, $5.7, 401932, $5.82, $6.1599, $5.45
10/29/2020, $5.6, 161564, $5.5, $5.83, $5.31
10/28/2020, $5.5, 203083, $5.37, $5.72, $5.25
10/27/2020, $5.62, 85005, $5.67, $5.72, $5.46
10/26/2020, $5.61, 140009, $5.88, $5.89, $5.34
10/23/2020, $5.93, 101861, $5.8, $5.99, $5.71
10/22/2020, $5.77, 80508, $5.72, $5.92, $5.56
10/21/2020, $5.68, 167771, $5.67, $6.11, $5.61
10/20/2020, $5.7, 400634, $6.44, $6.56, $5.6088
10/19/2020, $6.4, 164087, $6.39, $6.7, $6.27
10/16/2020, $6.39, 390276, $6.39, $6.9, $6.25
10/15/2020, $6.17, 429298, $6.27, $6.44, $5.8001
10/14/2020, $7.06, 195562, $7.17, $7.23, $7.0001
10/13/2020, $7.13, 97811, $7.08, $7.24, $7.05
10/12/2020, $7.17, 129358, $7.16, $7.35, $7.02
10/09/2020, $7.24, 369745, $6.82, $7.45, $6.82
10/08/2020, $6.79, 332268, $6.98, $7.2253, $6.66
10/07/2020, $6.42, 210539, $6.1, $6.79, $6.1
10/06/2020, $6.06, 155308, $6.11, $6.2, $5.98
10/05/2020, $6, 178966, $5.76, $6.19, $5.74
10/02/2020, $5.4, 50052, $5.25, $5.55, $5.235
10/01/2020, $5.54, 176508, $5.08, $5.73, $5.06
09/30/2020, $5.02, 53278, $5.13, $5.29, $5
09/29/2020, $5.11, 59869, $5.13, $5.27, $5.05
09/28/2020, $5.14, 72348, $4.77, $5.24, $4.77
09/25/2020, $4.78, 68401, $4.73, $4.85, $4.65
09/24/2020, $4.75, 154275, $4.99, $4.99, $4.645
09/23/2020, $5.04, 81087, $5.23, $5.29, $4.99
09/22/2020, $5.22, 87040, $5.13, $5.27, $4.96
09/21/2020, $5.1, 99191, $5.2, $5.22, $4.92
09/18/2020, $5.29, 103480, $5.13, $5.38, $5.04
09/17/2020, $5.08, 129166, $5.15, $5.16, $4.99
09/16/2020, $5.25, 113587, $5.02, $5.28, $5.02
09/15/2020, $5.1, 102299, $4.91, $5.14, $4.91
09/14/2020, $4.9, 90034, $4.93, $5.1, $4.82
09/11/2020, $4.98, 140579, $5.08, $5.13, $4.87
09/10/2020, $5.14, 78502, $5.09, $5.17, $4.98
09/09/2020, $5.11, 279142, $4.93, $5.2, $4.85
09/08/2020, $4.93, 162199, $4.75, $4.97, $4.54
09/04/2020, $4.75, 193254, $4.53, $4.8, $4.5
09/03/2020, $4.53, 290460, $4.39, $4.5998, $4.23
09/02/2020, $4.39, 261769, $4.95, $4.95, $4.26
09/01/2020, $4.85, 155524, $4.84, $5.06, $4.76
08/31/2020, $4.86, 286044, $4.54, $5.05, $4.4
08/28/2020, $4.55, 188637, $4.45, $4.97, $4.43
08/27/2020, $4.47, 226128, $4.65, $4.79, $4.47
08/26/2020, $4.64, 501496, $5.18, $5.32, $4.59
08/25/2020, $5.14, 334788, $5.46, $5.55, $5.02
08/24/2020, $5.48, 269605, $5.91, $5.97, $5.33
08/21/2020, $6.03, 186597, $6.21, $6.25, $5.92
08/20/2020, $6.17, 174734, $5.93, $6.4, $5.79
