Date, Close/Last, Volume, Open, High, Low
01/20/2021, $14.85, 128813, $14.89, $14.9, $14.5
01/19/2021, $14.98, 118331, $15.23, $15.6, $14.57
01/15/2021, $15.33, 251925, $15.36, $15.81, $14.5
01/14/2021, $15.61, 358653, $15.25, $16.2, $15.06
01/13/2021, $15.42, 602072, $14.01, $15.43, $14
01/12/2021, $14.5, 1797613, $14.37, $15.04, $13.55
01/11/2021, $12.63, 1049283, $13.4, $13.64, $12.44
01/08/2021, $13, 136690, $13.99, $13.99, $13
01/07/2021, $13.25, 348479, $13.15, $13.6389, $13.15
01/06/2021, $13.24, 92835, $13.85, $13.85, $13.16
01/05/2021, $13.44, 71796, $13.26, $13.8996, $12.91
01/04/2021, $13.03, 141250, $13.1, $14.06, $13
12/31/2020, $12.99, 111196, $12.92, $13.16, $12.69
12/30/2020, $12.89, 133832, $13.03, $13.6, $12.83
12/29/2020, $13.33, 184364, $13.61, $13.7, $13.055
12/28/2020, $13.5, 108235, $13.76, $14.44, $13.01
12/24/2020, $13.22, 47831, $12.75, $13.33, $12.66
12/23/2020, $12.87, 131460, $13.16, $13.16, $12.66
12/22/2020, $13.29, 66369, $12.66, $13.3121, $12.59
12/21/2020, $12.66, 41402, $12.62, $12.9081, $12.61
12/18/2020, $12.6, 77308, $13.99, $13.99, $12.6
12/17/2020, $13, 96228, $12.69, $13.26, $12.69
12/16/2020, $12.99, 204049, $14.37, $14.37, $12.81
12/15/2020, $13.1, 101101, $13.5, $13.5, $12.77
12/14/2020, $13.38, 119953, $14, $14.3, $12.67
12/11/2020, $13.33, 14765, $13.04, $13.63, $13.0035
12/10/2020, $12.95, 48052, $12.99, $13.07, $12.5
12/09/2020, $12.52, 112662, $12.95, $13.68, $12.19
12/08/2020, $11.97, 36399, $12.2, $12.38, $11.55
12/07/2020, $12.2, 134319, $13.23, $13.99, $11.81
12/04/2020, $12.57, 31106, $12.88, $12.99, $12.15
12/03/2020, $12.5, 25074, $13.02, $13.02, $11.91
12/02/2020, $12.4, 14098, $11.95, $12.4, $11.5
12/01/2020, $12, 38251, $12.2, $12.2, $11.82
11/30/2020, $12, 53108, $13.49, $13.49, $11.53
11/27/2020, $12.39, 14974, $12.25, $12.615, $12
11/25/2020, $12.07, 32764, $12.49, $12.49, $11.63
11/24/2020, $11.95, 10267, $11.9599, $11.9925, $11.6767
11/23/2020, $11.51, 11568, $12, $12, $11.51
11/20/2020, $11.52, 18452, $11.648, $11.8621, $11.2
11/19/2020, $11.7, 7215, $11.21, $11.7, $11.21
11/18/2020, $11.48, 38233, $11.37, $11.8, $11.21
11/17/2020, $11.21, 102058, $11.4, $12.5, $11.15
11/16/2020, $11.36, 10566, $12, $12.2, $11.15
11/13/2020, $11.32, 5628, $11.35, $11.46, $11.13
11/12/2020, $11.35, 4121, $11.1999, $11.35, $11.1975
11/11/2020, $11.24, 1059, $11.33, $11.33, $11.24
11/10/2020, $11.27, 264, $11.27, $11.27, $11.27
11/09/2020, $11.01, 10287, $11.5, $11.5336, $10.96
11/06/2020, $11.55, 8778, $11.75, $11.7712, $11.5
11/05/2020, $11.46, 729, $11.5, $11.5, $11.46
11/04/2020, $11.54, N/A, $11.54, $11.54, $11.54
11/03/2020, $11.54, 747, $11.52, $11.78, $11.52
11/02/2020, $11.51, 101, $11.51, $11.51, $11.51
