Date, Close/Last, Volume, Open, High, Low
03/24/2021, $6.65, 31316, $6.8, $6.8, $6.58
03/23/2021, $6.8, 31892, $6.84, $6.96, $6.74
03/22/2021, $6.83, 39515, $6.73, $7, $6.73
03/19/2021, $6.7, 20935, $6.65, $6.75, $6.65
03/18/2021, $6.7, 41297, $6.61, $6.7, $6.61
03/17/2021, $6.75, 30204, $6.53, $6.75, $6.53
03/16/2021, $6.66, 21267, $6.65, $6.66, $6.56
03/15/2021, $6.66, 21277, $6.57, $6.66, $6.57
03/12/2021, $6.8, 30793, $6.71, $6.8, $6.65
03/11/2021, $6.79, 16549, $6.64, $6.79, $6.61
03/10/2021, $6.66, 18761, $6.47, $6.66, $6.47
03/09/2021, $6.5, 38355, $6.39, $6.51, $6.36
03/08/2021, $6.55, 25979, $6.51, $6.55, $6.38
03/05/2021, $6.75, 32441, $6.55, $6.75, $6.43
03/04/2021, $6.76, 55804, $6.83, $6.84, $6.51
03/03/2021, $6.95, 66115, $6.69, $6.95, $6.59
03/02/2021, $6.76, 32573, $6.76, $6.79, $6.7
03/01/2021, $6.95, 83505, $6.89, $7, $6.82
02/26/2021, $7, 71175, $6.98, $7.06, $6.8
02/25/2021, $7.04, 42366, $7.01, $7.05, $6.9
02/24/2021, $6.64, 19015, $7.04, $7.11, $6.64
02/23/2021, $7.08, 16460, $6.99, $7.09, $6.95
02/22/2021, $7.05, 28446, $6.96, $7.07, $6.94
02/19/2021, $6.98, 189048, $7.08, $7.19, $6.98
02/18/2021, $7.05, 19082, $7.08, $7.11, $7.03
02/17/2021, $7.08, 28906, $7.16, $7.1792, $7.04
02/16/2021, $7.12, 3225, $7.159, $7.18, $7.12
02/12/2021, $7.13, 16631, $7.13, $7.16, $7.08
02/11/2021, $7.11, 10064, $7.11, $7.15, $7.08
02/10/2021, $7.1, 15526, $7.15, $7.15, $7.08
02/09/2021, $7.09, 6462, $7.07, $7.14, $7.01
02/08/2021, $7.09, 14942, $7.01, $7.15, $7.01
02/05/2021, $7.07, 46286, $6.95, $7.1, $6.95
02/04/2021, $6.95, 5600, $6.97, $6.97, $6.9
02/03/2021, $7, 9350, $7, $7.04, $6.98
02/02/2021, $6.98, 36141, $7, $7.05, $6.97
02/01/2021, $6.71, 61732, $6.81, $6.91, $6.71
01/29/2021, $6.8, 11358, $6.83, $6.87, $6.78
01/28/2021, $6.93, 51858, $6.87, $6.98, $6.81
01/27/2021, $6.92, 52540, $6.92, $6.97, $6.83
01/26/2021, $6.8625, 142367, $6.97, $7.06, $6.8625
01/25/2021, $6.76, 50526, $6.92, $6.92, $6.65
01/22/2021, $6.83, 23599, $6.98, $7.02, $6.83
01/21/2021, $6.89, 67664, $7.16, $7.16, $6.89
01/20/2021, $7.03, 25736, $7.07, $7.15, $6.98
01/19/2021, $7, 18635, $7.1, $7.12, $6.85
01/15/2021, $7.1, 137084, $7.15, $7.2, $7.06
01/14/2021, $7.11, 213866, $7.22, $7.26, $7.05
01/13/2021, $7.14, 5650, $7.17, $7.22, $7.1
01/12/2021, $7.06, 83572, $6.95, $7.13, $6.89
01/11/2021, $6.87, 141099, $6.93, $6.97, $6.83
01/08/2021, $6.9656, 4556, $7.04, $7.07, $6.93
01/07/2021, $6.95, 4879, $7.02, $7.04, $6.93
01/06/2021, $7.04, 15540, $7.03, $7.13, $6.99
01/05/2021, $7.11, 7587, $7.01, $7.13, $7.01
01/04/2021, $7.04, 45476, $7.3, $7.35, $7.04
12/31/2020, $7.1, 3101, $7.166, $7.18, $7.011
12/30/2020, $7.16, 8195, $7.11, $7.18, $7.01
12/29/2020, $7.21, 11633, $7.13, $7.22, $7.08
12/28/2020, $7.05, 17091, $7.13, $7.15, $7.05
12/24/2020, $7.14, 708, $7.29, $7.29, $7.14
12/23/2020, $7.24, 4900, $7.23, $7.24, $7.16
12/22/2020, $7.22, 27687, $7.21, $7.32, $7.19
12/21/2020, $7.1, 44568, $7.19, $7.3499, $7.1
12/18/2020, $7.36, 23487, $7.32, $7.39, $7.19
12/17/2020, $7.42, 15612, $7.33, $7.42, $7.28
12/16/2020, $7.14, 10710, $7.29, $7.4, $7.14
12/15/2020, $7.25, 6659, $7.25, $7.33, $7.22
12/14/2020, $7.3, 9920, $7.31, $7.3135, $7.2
12/11/2020, $7.28, 21757, $7.12, $7.44, $7.12
12/10/2020, $7.26, 32622, $7.09, $7.3, $7.09
12/09/2020, $7, 15714, $7.18, $7.19, $7
12/08/2020, $7.15, 119866, $7.14, $7.22, $6.98
12/07/2020, $7.11, 27561, $7.13, $7.25, $7.01
12/04/2020, $6.99, 21883, $7.02, $7.14, $6.99
12/03/2020, $7.08, 46239, $7, $7.13, $6.98
12/02/2020, $6.95, 86943, $6.95, $7, $6.87
12/01/2020, $6.99, 40050, $6.91, $7.02, $6.88
11/30/2020, $6.78, 21992, $6.83, $6.89, $6.76
11/27/2020, $6.77, 11699, $6.76, $6.84, $6.75
11/25/2020, $6.79, 45738, $6.76, $6.86, $6.72
11/24/2020, $6.73, 35442, $6.77, $6.8, $6.7
11/23/2020, $6.73, 22716, $6.78, $6.8, $6.69
11/20/2020, $6.65, 47106, $6.82, $6.835, $6.65
11/19/2020, $6.85, 39839, $6.85, $7, $6.83
11/18/2020, $6.79, 114841, $6.87, $6.9, $6.79
11/17/2020, $6.87, 185906, $6.5, $6.92, $6.45
11/16/2020, $6.46, 78401, $6.66, $6.67, $6.45
11/13/2020, $6.54, 42619, $6.6, $6.8, $6.54
11/12/2020, $6.62, 11797, $6.62, $6.65, $6.54
11/11/2020, $6.7, 9978, $6.7, $6.8, $6.61
11/10/2020, $6.86, 16367, $6.78, $6.92, $6.72
11/09/2020, $6.89, 47482, $7.03, $7.08, $6.76
11/06/2020, $6.91, 12522, $6.76, $6.93, $6.69
11/05/2020, $6.54, 139165, $6.71, $6.74, $6.47
11/04/2020, $6.49, 12496, $6.37, $6.51, $6.33
11/03/2020, $6.15, 14769, $6.38, $6.4, $6.15
11/02/2020, $6.2, 3671, $6.27, $6.3865, $6.18
10/30/2020, $6.24, 16162, $6.24, $6.33, $6.18
10/29/2020, $6.3, 36638, $6.23, $6.37, $6.23
10/28/2020, $6.4, 26880, $6.25, $6.42, $6.21
10/27/2020, $6.42, 7547, $6.49, $6.49, $6.37
10/26/2020, $6.44, 9995, $6.46, $6.54, $6.36
10/23/2020, $6.45, 4785, $6.49, $6.53, $6.44
10/22/2020, $6.6, 23677, $6.55, $6.66, $6.44
10/21/2020, $6.56, 18352, $6.6, $6.65, $6.54
10/20/2020, $6.7, 28042, $6.62, $6.75, $6.58
10/19/2020, $6.59, 120792, $6.47, $6.75, $6.47
10/16/2020, $6.45, 49275, $6.38, $6.53, $6.33
