Date, Close/Last, Volume, Open, High, Low
01/20/2021, $119.55, 536809, $120.31, $121.07, $117.92
01/19/2021, $119.56, 416894, $118.92, $120.24, $116.965
01/15/2021, $118.73, 475421, $118.14, $120.36, $116.29
01/14/2021, $119.59, 561634, $118.75, $121.575, $118.75
01/13/2021, $118.39, 847858, $119.31, $120.465, $115.04
01/12/2021, $120.38, 1383038, $118.15, $120.71, $116.86
01/11/2021, $116.8, 664014, $113.06, $117.47, $109.96
01/08/2021, $114.77, 666808, $113.22, $115.1, $111.66
01/07/2021, $112.11, 637856, $109.71, $112.57, $109.515
01/06/2021, $108.69, 1136784, $104.76, $110.19, $103.95
01/05/2021, $103.11, 477057, $102.69, $104.3936, $101.9
01/04/2021, $103.34, 352543, $104.48, $105.26, $102.63
12/31/2020, $104.22, 296604, $104.26, $105.43, $103.6865
12/30/2020, $104, 216367, $104.02, $104.605, $103.29
12/29/2020, $104.05, 306434, $103.68, $104.44, $103.16
12/28/2020, $104.25, 205865, $104.25, $105.1, $103.21
12/24/2020, $103.84, 89254, $104.57, $104.885, $103.37
12/23/2020, $104.25, 461597, $105.01, $105.77, $103.83
12/22/2020, $103.61, 393376, $103.48, $104.15, $102.45
12/21/2020, $103.16, 431354, $102.73, $104, $101.59
12/18/2020, $103.55, 727614, $103.03, $104.19, $102.606
12/17/2020, $102.77, 298815, $102.32, $102.91, $101.31
12/16/2020, $102.04, 454785, $101.66, $102.18, $100.595
12/15/2020, $101.17, 564220, $98.95, $101.595, $97.85
12/14/2020, $97.77, 302253, $98.99, $99.89, $97.62
12/11/2020, $97.65, 317595, $96.91, $98.09, $96.05
12/10/2020, $97.97, 538548, $97.51, $98.53, $96.99
12/09/2020, $98.45, 397694, $97.84, $99.11, $97.78
12/08/2020, $98.15, 545670, $98.3, $99.635, $97.66
12/07/2020, $99.26, 518303, $99.95, $100.85, $98.95
12/04/2020, $101.46, 1088387, $99.13, $102.53, $99.13
12/03/2020, $98.64, 1978298, $100, $100, $97.16
12/02/2020, $95.13, 963324, $93.37, $95.25, $92.28
12/01/2020, $93.33, 637743, $92.73, $93.77, $91.93
11/30/2020, $90.77, 511747, $92.99, $92.99, $90.26
11/27/2020, $92.74, 276435, $93.53, $94.52, $92.3
11/25/2020, $93.39, 265045, $93.83, $94.229, $92.95
11/24/2020, $94.82, 539199, $94.06, $95.87, $93.33
11/23/2020, $92.08, 408188, $90.69, $92.575, $90.69
11/20/2020, $90.07, 424900, $90.58, $91.105, $89.65
11/19/2020, $90.95, 506771, $92.7, $92.71, $90.45
11/18/2020, $91.7, 542782, $92.54, $93.22, $91.54
11/17/2020, $92.62, 688883, $92.01, $93.06, $90.01
11/16/2020, $91.31, 808703, $91.22, $92.01, $90.53
11/13/2020, $89.54, 640745, $86.78, $90.155, $86.45
11/12/2020, $86.57, 734215, $86.79, $87.34, $85.94
11/11/2020, $87.84, 1423173, $88.07, $89.22, $86.42
11/10/2020, $87.87, 882088, $85.86, $88.21, $84.07
11/09/2020, $85.835, 1277333, $81.95, $89.5911, $79.92
11/06/2020, $76.15, 984219, $78.91, $79.29, $76.13
11/05/2020, $78.64, 2405398, $78.74, $80.1, $78.02
11/04/2020, $78.45, 1257987, $81.03, $81.835, $78.37
11/03/2020, $82.78, 700180, $82, $83.37, $80.86
11/02/2020, $80.53, 556469, $81.22, $81.34, $79.47
10/30/2020, $79.93, 878546, $76.77, $80.09, $76.46
