Date, Close/Last, Volume, Open, High, Low
03/24/2021, $10.74, 48096, $10.6, $10.79, $10.51
03/23/2021, $10.6, 232239, $10.8869, $11, $10.51
03/22/2021, $10.8691, 3650, $10.88, $11.06, $10.8691
03/19/2021, $10.83, 42391, $11.205, $11.205, $10.72
03/18/2021, $10.93, 34112, $10.91, $11.02, $10.86
03/17/2021, $11.13, 71752, $11.4867, $11.4867, $11.01
03/16/2021, $10.96, 6345, $11.29, $11.35, $10.946
03/15/2021, $11.35, 12719, $11.49, $11.49, $11.25
03/12/2021, $11.47, 2568, $11.44, $11.55, $11.44
03/11/2021, $11.24, 7891, $11.28, $11.79, $11.24
03/10/2021, $11.14, 93092, $11.29, $11.45, $11.14
03/09/2021, $11.31, 16856, $11.08, $11.31, $10.9301
03/08/2021, $11.05, 120105, $11.265, $11.2858, $10.77
03/05/2021, $11.39, 707112, $11.15, $11.45, $11
03/04/2021, $11.15, 117549, $11.16, $11.5099, $11
03/03/2021, $11.6, 68297, $11.99, $12.3323, $11.5
03/02/2021, $11.79, 334705, $12.49, $12.54, $11.74
03/01/2021, $12.46, 40167, $12.62, $12.86, $12.4
02/26/2021, $12.73, 16518, $12.391, $12.87, $12.21
02/25/2021, $12.3, 75430, $13.11, $13.11, $12.01
02/24/2021, $12.9, 51205, $13.3, $13.52, $12.9
02/23/2021, $13.33, 89141, $13.65, $13.65, $12.02
02/22/2021, $13.87, 16220, $14, $14.1, $13.77
02/19/2021, $14.19, 62561, $13.79, $14.44, $13.79
02/18/2021, $13.72, 84094, $13.98, $13.98, $13.42
02/17/2021, $13.89, 83941, $14.1, $14.49, $13.78
02/16/2021, $13.73, 64406, $14.09, $14.175, $13.25
02/12/2021, $13.55, 201514, $12.94, $14.18, $12.72
02/11/2021, $12.8, 218561, $13.76, $13.76, $12.51
02/10/2021, $12.85, 586482, $12.76, $13.25, $12.5
02/09/2021, $12.75, 56649, $12.75, $12.75, $12.53
02/08/2021, $12.5, 183030, $12.49, $12.75, $12.42
02/05/2021, $12.21, 129698, $12.5, $13.14, $12
02/04/2021, $12.63, 40987, $12.5, $13.34, $12.24
02/03/2021, $12.4, 33347, $12.25, $12.68, $12
02/02/2021, $12.14, 37214, $12, $12.25, $11.8
02/01/2021, $11.81, 31049, $12.24, $12.24, $11.55
01/29/2021, $11.52, 17859, $11.73, $11.8, $11.39
01/28/2021, $11.8, 123668, $11.22, $11.8, $11.2
01/27/2021, $11.25, 371408, $11.5, $11.7499, $11.15
01/26/2021, $11.5, 186117, $12.09, $12.1, $11.49
01/25/2021, $12, 397586, $11.98, $12.2, $11.67
01/22/2021, $11.7, 69966, $11.7, $11.7299, $11.5
01/21/2021, $11.68, 172705, $11.78, $11.85, $11.68
01/20/2021, $11.78, 70944, $11.92, $11.92, $11.7384
01/19/2021, $11.8, 43710, $11.74, $11.81, $11.5575
01/15/2021, $11.56, 81892, $11.86, $11.9492, $11.51
01/14/2021, $11.71, 70946, $11.5, $12.13, $11.5
01/13/2021, $11.6, 30855, $11.58, $11.8, $11.55
01/12/2021, $11.56, 38749, $11.42, $11.83, $11.3
01/11/2021, $11.48, 31880, $11.4, $11.6898, $11.26
01/08/2021, $11.6, 15909, $11.85, $11.85, $11.5
01/07/2021, $11.65, 612033, $11.65, $11.65, $11.4362
01/06/2021, $11.64, 142730, $11.6, $11.79, $11.52
01/05/2021, $11.76, 27261, $11.777, $11.7999, $11.75
01/04/2021, $11.76, 54425, $11.55, $11.85, $11.3295
12/31/2020, $11.5, 15718, $11.43, $11.84, $11.35
12/30/2020, $11.5, 545357, $11.6, $11.85, $11.31
12/29/2020, $11.55, 85572, $11.55, $11.7, $11.12
12/28/2020, $11.6, 34072, $11.79, $11.8, $11.41
12/24/2020, $11.56, 113629, $11.41, $11.84, $11.2802
12/23/2020, $11.5, 288903, $11.38, $11.6498, $11.37
12/22/2020, $11.24, 142733, $11.35, $11.4, $11.01
12/21/2020, $11.25, 361243, $11.39, $11.39, $11.21
12/18/2020, $11.24, 33625, $11.2, $11.25, $11.2
12/17/2020, $11.25, 35971, $11.4, $11.4, $11.2
12/16/2020, $11.4, 14049, $11.22, $11.4, $11.0801
12/15/2020, $11.3, 87191, $11.3, $11.4, $11.21
12/14/2020, $11.34, 129966, $11.39, $11.39, $11.22
12/11/2020, $11.2499, 186384, $11.22, $11.3, $11.01
12/10/2020, $11.02, 445001, $10.97, $11.25, $10.86
12/09/2020, $11.05, 195475, $10.97, $11.46, $10.92
12/08/2020, $10.86, 132117, $11.19, $11.25, $10.775
12/07/2020, $11.77, 490619, $10.7, $11.77, $10.6
12/04/2020, $10.71, 59997, $10.7867, $10.7867, $10.6706
12/03/2020, $10.73, 435730, $10.58, $10.8, $10.52
12/02/2020, $10.6, 83693, $10.55, $10.645, $10.47
12/01/2020, $10.5, 63076, $10.4, $10.55, $10.4
11/30/2020, $10.39, 315395, $10.36, $10.5, $10.36
11/27/2020, $10.38, 101062, $10.5, $10.5, $10.35
11/25/2020, $10.35, 304924, $10.3, $10.5, $10.3
11/24/2020, $10.32, 293842, $10.44, $10.44, $10.22
11/23/2020, $10.36, 559808, $10.33, $10.45, $10.25
11/20/2020, $10.3178, 14195, $10.2821, $10.34, $10.22
11/19/2020, $10.26, 47069, $10.28, $10.35, $10.26
11/18/2020, $10.27, 63432, $10.27, $10.3, $10.215
11/17/2020, $10.27, 32391, $10.3, $10.3, $10.27
11/16/2020, $10.28, 52707, $10.292, $10.3, $10.275
11/13/2020, $10.3, 18454, $10.31, $10.34, $10.3
11/12/2020, $10.3, 32906, $10.26, $10.35, $10.26
11/11/2020, $10.3, 493808, $10.375, $10.4, $10.3
11/10/2020, $10.4, 25383, $10.44, $10.44, $10.378
11/09/2020, $10.42, 27095, $10.5, $10.5, $10.2969
11/06/2020, $10.42, 431605, $10.42, $10.45, $10.388
11/05/2020, $10.36, 46700, $10.4, $10.4, $10.335
11/04/2020, $10.38, 250044, $10.3, $10.425, $10.28
11/03/2020, $10.3, 216655, $10.24, $10.37, $10.16
11/02/2020, $10.2, 336887, $10.15, $10.8, $10.125
10/30/2020, $10.15, 64901, $10.14, $10.15, $10.07
10/29/2020, $10.1, 281473, $10.15, $10.15, $10.08
10/28/2020, $10.1, 319809, $10.1, $10.13, $10
10/27/2020, $10.01, 5536192, $10, $10.07, $10
