Date, Close/Last, Volume, Open, High, Low
01/20/2021, $94.67, 344273, $93.32, $94.98, $92.92
01/19/2021, $93.1, 326358, $93.49, $93.83, $92.475
01/15/2021, $92.68, 192984, $94.19, $94.56, $92.11
01/14/2021, $94.97, 258268, $93.9, $95.96, $93.25
01/13/2021, $92.75, 230342, $95.35, $95.82, $92.46
01/12/2021, $95.79, 372322, $94.48, $96.46, $94.34
01/11/2021, $94.82, 262733, $95.21, $96.37, $94.36
01/08/2021, $96.5, 310027, $95.8, $97.39, $95.1
01/07/2021, $95.8, 418298, $96.18, $97.07, $95.13
01/06/2021, $95.86, 478306, $93.61, $97.68, $93.61
01/05/2021, $92.43, 479165, $90.16, $92.83, $90.06
01/04/2021, $89.87, 314424, $91.34, $92.27, $88.9
12/31/2020, $90.18, 204811, $90.33, $90.81, $89.7
12/30/2020, $90.35, 108676, $90.3, $91.205, $90.05
12/29/2020, $90.19, 186009, $90.88, $91.25, $89.46
12/28/2020, $90.49, 325100, $92.01, $92.89, $89.86
12/24/2020, $91.37, 51975, $91.74, $91.78, $90.46
12/23/2020, $91.52, 231863, $90.93, $93.015, $90.87
12/22/2020, $90.36, 290541, $91.02, $91.115, $89.8
12/21/2020, $90.97, 431972, $90.95, $91.19, $87.81
12/18/2020, $90.39, 875648, $91.3, $91.58, $89.71
12/17/2020, $91.12, 429487, $90.39, $91.5, $90.05
12/16/2020, $90.25, 291779, $90.82, $90.82, $89.56
12/15/2020, $90.23, 547643, $89.69, $90.45, $87.87
12/14/2020, $88.86, 320600, $91.02, $91.02, $88.76
12/11/2020, $90.36, 376357, $89.07, $91.42, $89.05
12/10/2020, $89.59, 360882, $89.34, $90, $89.03
12/09/2020, $90.15, 343840, $90.38, $90.94, $89.24
12/08/2020, $90.27, 342664, $88.71, $91.33, $88.71
12/07/2020, $89.61, 388444, $91.4, $91.875, $89.41
12/04/2020, $92.25, 375315, $88.86, $92.43, $88.59
12/03/2020, $88.6, 392811, $88.49, $89.74, $88.32
12/02/2020, $88.28, 369033, $88.41, $89.125, $87.27
12/01/2020, $88.84, 362183, $88.38, $89.46, $87.4
11/30/2020, $86.65, 1043694, $88.62, $88.845, $86.22
11/27/2020, $90.32, 108787, $90.3, $91.62, $90.23
11/25/2020, $90.61, 225401, $91.19, $91.21, $89.38
11/24/2020, $91.97, 369926, $88.9, $92.6, $88.2
11/23/2020, $87.62, 602805, $89.2, $90.93, $87.32
11/20/2020, $86.61, 737332, $86.85, $87.4, $86.21
11/19/2020, $87.34, 419940, $86.89, $87.65, $85.405
11/18/2020, $87.6, 586709, $89.15, $89.26, $87.52
11/17/2020, $88.83, 804446, $88.47, $89.59, $88
11/16/2020, $89.71, 616312, $89.53, $90.03, $88.43
11/13/2020, $87.01, 401884, $85.64, $87.28, $85.29
11/12/2020, $85.2, 959327, $83.87, $85.59, $83.87
