Date, Close/Last, Volume, Open, High, Low
03/24/2021, $9.95, 109135, $9.96, $10.08, $9.92
03/23/2021, $9.96, 15082, $10.1001, $10.1363, $9.96
03/22/2021, $10.06, 14155, $10.1, $10.1, $10.05
03/19/2021, $10.12, 949, $10.12, $10.12, $10.12
03/18/2021, $10.1461, 1060, $10.19, $10.2387, $10.1461
03/17/2021, $10.1601, N/A, $10.1601, $10.1601, $10.1601
03/16/2021, $10.1601, 2310, $10.1701, $10.216, $10.06
03/15/2021, $10.17, 9375, $10.2, $10.2301, $10.11
03/12/2021, $10.1827, 14962, $10.1629, $10.2362, $10.1629
03/11/2021, $10.24, 6794, $10.2065, $10.24, $10.0702
03/10/2021, $10.1801, 20994, $10.2015, $10.2526, $10.038
03/09/2021, $10.2001, 9313, $10.1866, $10.2223, $10.1676
03/08/2021, $10.11, 17468, $10.05, $10.11, $10.03
03/05/2021, $10.03, 33044, $10.02, $10.15, $9.99
03/04/2021, $10.01, 30570, $10.15, $10.15, $9.83
03/03/2021, $10.2081, 111883, $10.15, $10.317, $10.15
03/02/2021, $10.2, 45435, $10.26, $10.34, $10.15
03/01/2021, $10.3, 412, $10.25, $10.33, $10.25
02/26/2021, $10.24, 25385, $10.22, $10.265, $10.2
02/25/2021, $10.37, 125876, $10.51, $10.51, $10.25
02/24/2021, $10.57, 5252, $10.56, $10.5704, $10.56
02/23/2021, $10.57, 33886, $10.5, $10.57, $10.45
02/22/2021, $10.56, 5977, $10.6, $10.6, $10.55
02/19/2021, $10.55, 4646, $10.53, $10.58, $10.53
02/18/2021, $10.52, 16492, $10.5, $10.55, $10.5
02/17/2021, $10.61, 6337, $10.64, $10.64, $10.5203
02/16/2021, $10.5, 1601, $10.51, $10.5242, $10.5
02/12/2021, $10.5, 4320, $10.52, $10.55, $10.5
02/11/2021, $10.5, 6147, $10.65, $10.65, $10.5
02/10/2021, $10.5611, 526, $10.5, $10.5611, $10.5
02/09/2021, $10.6303, 610, $10.51, $10.6303, $10.51
02/08/2021, $10.52, 11460, $10.65, $10.65, $10.51
02/05/2021, $10.52, 60781, $10.37, $10.54, $10.37
02/04/2021, $10.38, 8557, $10.408, $10.41, $10.38
02/03/2021, $10.37, 163407, $10.331, $10.44, $10.25
02/02/2021, $10.41, 1727, $10.391, $10.4488, $10.35
02/01/2021, $10.38, 27864, $10.28, $10.45, $10.28
01/29/2021, $10.28, 14075, $10.31, $10.35, $10.27
01/28/2021, $10.259, 37791, $10.27, $10.3, $10.25
01/27/2021, $10.26, 21185, $10.25, $10.35, $10.25
01/26/2021, $10.47, 68291, $10.6, $10.61, $10.45
01/25/2021, $10.54, 8188, $10.65, $10.65, $10.5
01/22/2021, $10.55, 2661, $10.56, $10.56, $10.41
01/21/2021, $10.54, 7782, $10.5, $10.575, $10.49
01/20/2021, $10.4898, 9412, $10.59, $10.6, $10.4301
01/19/2021, $10.4001, 8986, $10.45, $10.4899, $10.4001
01/15/2021, $10.41, 11498, $10.65, $10.65, $10.4
01/14/2021, $10.48, 68698, $10.72, $10.72, $10.43
01/13/2021, $10.4, 9735, $10.5, $10.5, $10.4
01/12/2021, $10.41, 239004, $10.35, $10.4664, $10.3
01/11/2021, $10.3, 152381, $10.5, $10.5, $10.3
01/08/2021, $10.4, 819464, $10.5, $10.63, $10.35
