Date, Close/Last, Volume, Open, High, Low
01/20/2021, $13.94, 19109, $13.94, $13.94, $13.6421
01/19/2021, $13.81, 82735, $13.69, $14.09, $13.26
01/15/2021, $13.8, 56261, $13.84, $13.93, $13.675
01/14/2021, $13.72, 23967, $13.72, $13.72, $13.5001
01/13/2021, $13.66, 24425, $13.21, $13.74, $13.205
01/12/2021, $13.25, 17390, $13.17, $13.4, $13.12
01/11/2021, $13.16, 16907, $13.37, $13.3893, $13.1
01/08/2021, $13.39, 11182, $13.32, $13.4, $13.2231
01/07/2021, $13.26, 34285, $13.22, $13.3387, $12.91
01/06/2021, $13.4, 15162, $13.19, $13.49, $13.19
01/05/2021, $13.23, 15231, $13.22, $13.39, $13.08
01/04/2021, $13.25, 47498, $13.1, $13.25, $13
12/31/2020, $13.18, 46871, $13.06, $13.44, $13
12/30/2020, $13.01, 79505, $12.9, $13.05, $12.76
12/29/2020, $13.03, 40182, $13.1, $13.34, $13.01
12/28/2020, $13.03, 31962, $13.05, $13.24, $13
12/24/2020, $13.08, 23523, $13.18, $13.22, $13
12/23/2020, $13.03, 62836, $13.1, $13.4, $13
12/22/2020, $13.2273, 31270, $13.14, $13.2794, $13.025
12/21/2020, $13.12, 46862, $13.11, $13.4499, $13.11
12/18/2020, $13.17, 20364, $13.24, $13.4274, $13.17
12/17/2020, $13.18, 29701, $13.21, $13.42, $13.16
12/16/2020, $13.25, 28299, $13.39, $13.74, $13.16
12/15/2020, $13.28, 32942, $13.24, $13.365, $13.11
12/14/2020, $13.3, 25269, $13.32, $13.3918, $13.11
12/11/2020, $13.12, 24680, $13.27, $13.3017, $13.05
12/10/2020, $13.39, 33770, $13.47, $13.6128, $13.02
12/09/2020, $13.28, 30962, $13.06, $13.28, $13.04
12/08/2020, $13.09, 22471, $13.14, $13.6653, $13.01
12/07/2020, $13.19, 23473, $13.01, $13.2646, $13
12/04/2020, $13, 40932, $13.29, $13.376, $12.81
12/03/2020, $13.36, 31247, $13.32, $13.75, $13.1
12/02/2020, $13.31, 31525, $13.12, $13.6, $13.12
12/01/2020, $13.2414, 32134, $13.41, $13.4718, $13.13
11/30/2020, $13.18, 37729, $13.37, $13.385, $13.18
11/27/2020, $13.4, 9230, $13.61, $13.635, $13.35
11/25/2020, $13.52, 11369, $13.58, $13.81, $13.48
11/24/2020, $13.61, 21496, $13.73, $13.87, $13.45
11/23/2020, $13.55, 20097, $13.56, $13.94, $13.5
11/20/2020, $13.67, 7758, $13.74, $13.74, $13.4
11/19/2020, $13.5424, 14090, $13.81, $13.81, $13.507
11/18/2020, $13.71, 18058, $13.82, $13.8442, $13.2
11/17/2020, $13.86, 55584, $13.78, $14, $13.5138
11/16/2020, $13.95, 79990, $13.39, $13.97, $12.9
11/13/2020, $13.29, 58543, $13.57, $13.6211, $12.9623
11/12/2020, $13.36, 187685, $12.42, $13.44, $12.3448
11/11/2020, $12.28, 56738, $11.86, $12.49, $11.75
11/10/2020, $12.03, 33559, $12.01, $12.1299, $12
11/09/2020, $12.08, 50694, $12.24, $12.33, $12.05
11/06/2020, $12.2, 20284, $12.05, $12.24, $12.0101
11/05/2020, $12.11, 17682, $12.01, $12.24, $12.01
11/04/2020, $12.05, 16551, $11.86, $12.13, $11.86
11/03/2020, $12.0001, 31354, $11.78, $12.0511, $11.745
11/02/2020, $11.86, 21364, $11.866, $11.94, $11.66
10/30/2020, $11.66, 18189, $11.68, $11.8746, $11.6563
10/29/2020, $11.86, 34523, $11.659, $11.925, $11.659
10/28/2020, $11.65, 26726, $11.85, $11.85, $11.62
10/27/2020, $11.85, 23828, $11.82, $12.09, $11.8156
10/26/2020, $11.77, 33982, $12.0899, $12.0899, $11.77
10/23/2020, $12, 15067, $12.05, $12.1793, $12
10/22/2020, $12.04, 22288, $12.09, $12.25, $12.02
10/21/2020, $12.05, 14842, $12.15, $12.1815, $12.0015
10/20/2020, $12.1, 12796, $12.03, $12.185, $12
10/19/2020, $12.09, 32007, $12.18, $12.1986, $12
10/16/2020, $12.07, 34367, $12.26, $12.355, $12
