Date, Close/Last, Volume, Open, High, Low
03/24/2021, $1.97, 351223, $2.11, $2.17, $1.95
03/23/2021, $2.13, 729925, $2.1, $2.26, $2.08
03/22/2021, $2.14, 336393, $2.18, $2.19, $2.05
03/19/2021, $2.28, 465509, $2.18, $2.28, $2.1601
03/18/2021, $2.2, 1054969, $2.3, $2.46, $2.19
03/17/2021, $2.33, 1813844, $2.17, $2.38, $2.1204
03/16/2021, $2.23, 1607510, $2.27, $2.35, $2.16
03/15/2021, $2.29, 2076841, $2.3, $2.39, $2.2201
03/12/2021, $2.34, 4432993, $2.522, $2.55, $2.23
03/11/2021, $2.77, 11051480, $2.07, $2.8, $2
03/10/2021, $2, 310397, $2.08, $2.17, $1.87
03/09/2021, $2.05, 85751, $1.9, $2.05, $1.8765
03/08/2021, $1.86, 61388, $1.88, $1.95, $1.79
03/05/2021, $1.82, 101774, $1.8, $1.8881, $1.67
03/04/2021, $1.82, 164654, $2.06, $2.11, $1.64
03/03/2021, $2.06, 78602, $2.19, $2.2, $2.06
03/02/2021, $2.17, 315949, $2.11, $2.2444, $2.06
03/01/2021, $2.07, 130175, $2.03, $2.12, $2.03
02/26/2021, $1.97, 278359, $2.13, $2.15, $1.96
02/25/2021, $2.14, 181986, $2.4, $2.4, $2.13
02/24/2021, $2.32, 324546, $2.28, $2.45, $2.2304
02/23/2021, $2.2, 376776, $2.41, $2.41, $2
02/22/2021, $2.61, 577395, $2.58, $2.78, $2.55
02/19/2021, $2.61, 613148, $2.79, $2.79, $2.56
02/18/2021, $2.73, 1120371, $2.594, $2.91, $2.56
02/17/2021, $2.66, 176900, $2.69, $2.69, $2.542
02/16/2021, $2.69, 360645, $2.63, $2.69, $2.52
02/12/2021, $2.53, 565810, $2.62, $2.71, $2.41
02/11/2021, $2.6, 473664, $2.85, $2.85, $2.52
02/10/2021, $2.75, 2428154, $3.11, $3.17, $2.72
02/09/2021, $3.2, 3373091, $2.71, $3.4, $2.62
02/08/2021, $2.75, 557821, $2.6, $2.94, $2.6
02/05/2021, $2.63, 725340, $2.45, $2.73, $2.42
02/04/2021, $2.39, 175638, $2.47, $2.49, $2.38
02/03/2021, $2.41, 233876, $2.32, $2.49, $2.29
02/02/2021, $2.32, 109309, $2.23, $2.34, $2.23
02/01/2021, $2.28, 132529, $2.35, $2.35, $2.26
01/29/2021, $2.34, 568524, $2.31, $2.53, $2.29
01/28/2021, $2.38, 152460, $2.37, $2.39, $2.21
01/27/2021, $2.4, 266918, $2.45, $2.4799, $2.35
01/26/2021, $2.52, 680888, $2.55, $2.7, $2.45
01/25/2021, $2.52, 590439, $2.56, $2.5799, $2.42
01/22/2021, $2.52, 195296, $2.4, $2.55, $2.39
01/21/2021, $2.44, 383347, $2.43, $2.56, $2.35
01/20/2021, $2.37, 340175, $2.52, $2.5774, $2.36
01/19/2021, $2.39, 153286, $2.37, $2.43, $2.3501
01/15/2021, $2.42, 238308, $2.42, $2.45, $2.33
01/14/2021, $2.36, 608632, $2.24, $2.42, $2.24
01/13/2021, $2.23, 95170, $2.4, $2.4, $2.2101
01/12/2021, $2.35, 137076, $2.29, $2.38, $2.21
01/11/2021, $2.26, 100553, $2.24, $2.3399, $2.24
01/08/2021, $2.27, 52049, $2.33, $2.3572, $2.25
01/07/2021, $2.29, 130773, $2.3, $2.48, $2.28
01/06/2021, $2.34, 117906, $2.33, $2.459, $2.28
01/05/2021, $2.36, 210141, $2.2, $2.5, $2.15
01/04/2021, $2.21, 40631, $2.26, $2.26, $2.147
12/31/2020, $2.18, 43436, $2.18, $2.2247, $2.11
12/30/2020, $2.18, 38391, $2.24, $2.3, $2.18
12/29/2020, $2.16, 100333, $2.26, $2.3398, $2.15
12/28/2020, $2.24, 124633, $2.29, $2.395, $2.23
12/24/2020, $2.34, 19534, $2.29, $2.3795, $2.2801
12/23/2020, $2.27, 156139, $2.23, $2.3, $2.15
12/22/2020, $2.31, 58198, $2.4, $2.41, $2.26
12/21/2020, $2.43, 36831, $2.28, $2.48, $2.26
12/18/2020, $2.33, 121098, $2.23, $2.48, $2.23
12/17/2020, $2.28, 52734, $2.2, $2.36, $2.1709
12/16/2020, $2.23, 61243, $2.22, $2.34, $2.16
12/15/2020, $2.1, 158537, $2.27, $2.3172, $2.1
12/14/2020, $2.28, 53833, $2.27, $2.36, $2.27
12/11/2020, $2.26, 78292, $2.39, $2.425, $2.25
12/10/2020, $2.3627, 158624, $2.25, $2.48, $2.25
12/09/2020, $2.28, 211413, $2.55, $2.61, $2.25
12/08/2020, $2.53, 348904, $2.41, $2.63, $2.41
12/07/2020, $2.47, 217847, $2.58, $2.58, $2.335
12/04/2020, $2.6, 841939, $2.43, $3.0203, $2.39
12/03/2020, $2.28, 256650, $2.06, $2.348, $2.06
12/02/2020, $2.03, 58423, $2.1, $2.2, $2.01
12/01/2020, $2.07, 75831, $2.27, $2.27, $2.05
11/30/2020, $2.28, 54224, $2.32, $2.32, $2.18
11/27/2020, $2.26, 20834, $2.24, $2.27, $2.21
11/25/2020, $2.24, 62478, $2.3, $2.3, $2.2
11/24/2020, $2.22, 356211, $2.31, $2.45, $2.18
11/23/2020, $2.2, 80112, $2.1, $2.2278, $2.09
11/20/2020, $2.1, 89088, $2.14, $2.1579, $2.04
11/19/2020, $2.144, 82836, $2.15, $2.23, $2.11
11/18/2020, $2.21, 469107, $2.3, $2.5226, $2.1
11/17/2020, $2.1066, 128741, $2.1, $2.19, $2.045
11/16/2020, $2.07, 389035, $2.05, $2.3003, $2
11/13/2020, $2.01, 601078, $2.03, $2.33, $1.8829
11/12/2020, $1.95, 67189, $1.93, $1.9647, $1.88
11/11/2020, $1.97, 114241, $1.97, $2.07, $1.85
11/10/2020, $2.06, 507776, $2.49, $2.52, $1.89
11/09/2020, $2.55, 1938188, $1.91, $3.58, $1.8
11/06/2020, $1.78, 73093, $1.76, $1.89, $1.72
11/05/2020, $1.67, 71518, $1.66, $1.7999, $1.66
11/04/2020, $1.68, 105807, $1.85, $1.91, $1.68
11/03/2020, $1.86, 58431, $1.85, $1.95, $1.81
11/02/2020, $1.89, 67312, $1.89, $1.9837, $1.85
10/30/2020, $1.93, 103136, $2.2, $2.29, $1.91
10/29/2020, $2.29, 79638, $2.16, $2.3, $2.12
10/28/2020, $2.17, 242957, $2.5, $2.65, $2.07
10/27/2020, $2.46, 72371, $2.45, $2.475, $2.4001
10/26/2020, $2.47, 80621, $2.43, $2.5, $2.4
10/23/2020, $2.52, 159584, $2.56, $2.64, $2.46
10/22/2020, $2.67, 530009, $3.19, $3.19, $2.535
10/21/2020, $2.81, 960831, $2.17, $2.96, $2.09
10/20/2020, $2.3, 471407, $2.33, $2.3699, $2.06
10/19/2020, $2.22, 749920, $2.28, $2.55, $2.12
10/16/2020, $2.4096, 1284139, $2.6081, $2.74, $2.33
10/15/2020, $2.88, 6567097, $2.19, $3.44, $2.19
10/14/2020, $2.85, 137500500, $2.02, $6.13, $1.99
10/13/2020, $1.165, 768792, $1.13, $1.165, $1.13
10/12/2020, $1.1711, 5802, $1.15, $1.1891, $1.14
10/09/2020, $1.18, 15539, $1.19, $1.2, $1.13
10/08/2020, $1.14, 7842, $1.17, $1.17, $1.1318
10/07/2020, $1.16, 5888, $1.1805, $1.1805, $1.1541
10/06/2020, $1.15, 3395, $1.19, $1.2, $1.15
10/05/2020, $1.18, 5674, $1.205, $1.21, $1.18
10/02/2020, $1.215, 5310, $1.23, $1.25, $1.215
10/01/2020, $1.195, 17313, $1.24, $1.24, $1.195
09/30/2020, $1.2476, 5682, $1.12, $1.2476, $1.12
09/29/2020, $1.165, 7778, $1.22, $1.22, $1.07
09/28/2020, $1.1759, 28410, $1.07, $1.25, $1.07
09/25/2020, $1.04, 12951, $1.05, $1.11, $1.03
09/24/2020, $1.03, 18456, $1.07, $1.07, $1.03
09/23/2020, $1.065, 21880, $1.1, $1.14, $1.04
09/22/2020, $1.1399, 38838, $1.24, $1.24, $1.12
09/21/2020, $1.23, 16373, $1.28, $1.28, $1.2204
09/18/2020, $1.24, 3016, $1.272, $1.33, $1.24
09/17/2020, $1.32, 4871, $1.33, $1.33, $1.2782
09/16/2020, $1.3199, 27977, $1.4, $1.48, $1.2936
09/15/2020, $1.28, 13873, $1.2, $1.35, $1.2
09/14/2020, $1.16, 23305, $1.24, $1.24, $1.12
09/11/2020, $1.195, 13163, $1.2085, $1.21, $1.1793
09/10/2020, $1.19, 6130, $1.2391, $1.2391, $1.1507
09/09/2020, $1.235, 15703, $1.24, $1.245, $1.21
09/08/2020, $1.24, 13367, $1.24, $1.24, $1.21
