Date, Close/Last, Volume, Open, High, Low
01/20/2021, $37.94, 539006, $40.57, $40.895, $37.84
01/19/2021, $40.49, 611229, $41.04, $41.23, $39.69
01/15/2021, $40.91, 393199, $41.68, $41.965, $40.51
01/14/2021, $42.29, 371769, $40.71, $42.7, $40.71
01/13/2021, $41.08, 713276, $43.13, $43.13, $40.2
01/12/2021, $43.18, 349101, $43.3, $43.695, $42.64
01/11/2021, $43.12, 513324, $44.34, $44.47, $42.98
01/08/2021, $45.81, 292419, $48.05, $48.05, $45
01/07/2021, $48, 319699, $48.18, $48.34, $47.01
01/06/2021, $47.1, 412726, $47.75, $49.27, $46.82
01/05/2021, $46.95, 291792, $45.43, $47.06, $45.43
01/04/2021, $45.45, 180791, $46.09, $47.13, $45.2
12/31/2020, $46.08, 119048, $46.59, $46.98, $45.885
12/30/2020, $46.59, 118684, $46.19, $47.46, $46.12
12/29/2020, $45.74, 189934, $46.33, $46.41, $45.06
12/28/2020, $45.78, 301965, $46.94, $47.27, $45.65
12/24/2020, $46.56, 98554, $46.22, $46.8, $45.77
12/23/2020, $46.11, 157614, $47, $47.24, $45.92
12/22/2020, $46.35, 256742, $47.02, $47.02, $45.58
12/21/2020, $47.18, 389934, $44.75, $47.74, $44.04
12/18/2020, $45.52, 931507, $43.86, $45.55, $43.29
12/17/2020, $44, 274424, $44, $44.36, $43.42
12/16/2020, $43.34, 257888, $43.17, $43.56, $42.14
12/15/2020, $42.97, 271208, $42.95, $43.77, $42.57
12/14/2020, $42.63, 707783, $44.96, $45.05, $42.0266
12/11/2020, $44.1, 231212, $44.31, $44.78, $43.8961
12/10/2020, $44.67, 492402, $43.34, $44.8, $43.04
12/09/2020, $43.46, 228178, $43.44, $44.44, $43.23
12/08/2020, $43.2, 193371, $41.69, $43.33, $41.66
12/07/2020, $42.08, 206007, $42.59, $42.59, $41.67
12/04/2020, $42.8, 290615, $41.32, $42.98, $41.32
12/03/2020, $40.75, 346784, $41.13, $41.13, $40.42
12/02/2020, $40.77, 321321, $42.16, $42.16, $40.46
12/01/2020, $42.38, 387369, $42.38, $42.65, $41.58
11/30/2020, $41.8, 542128, $41.48, $42.15, $40.94
11/27/2020, $42.2, 207372, $41.99, $42.32, $41.7
11/25/2020, $41.72, 339447, $41.02, $42.05, $40.73
11/24/2020, $41.44, 475457, $39.77, $41.92, $39.47
11/23/2020, $39.03, 247743, $38.09, $39.43, $38.09
11/20/2020, $37.79, 184609, $38.27, $38.27, $37.46
11/19/2020, $38.19, 247935, $37.73, $38.48, $37.42
11/18/2020, $38.06, 495672, $36.26, $39.15, $36.08
11/17/2020, $35.89, 217301, $34.96, $35.95, $34.49
11/16/2020, $35.48, 259081, $36.09, $36.14, $35.24
11/13/2020, $35.01, 227892, $34.6, $35.46, $34.55
11/12/2020, $34.29, 393568, $35.2, $35.53, $34.09
11/11/2020, $35.66, 858811, $36.84, $37.2, $35.21
11/10/2020, $36.42, 645488, $35.4, $36.88, $34.51
11/09/2020, $35.63, 1077455, $32.06, $36.04, $31.91
11/06/2020, $29.92, 164842, $30.58, $30.83, $29.89
11/05/2020, $30.51, 209194, $29.52, $30.71, $29.5
11/04/2020, $29.19, 340946, $29.93, $29.99, $29.15
11/03/2020, $30.11, 449072, $29.94, $30.43, $29.54
11/02/2020, $29.51, 327914, $29.79, $29.85, $28.86
10/30/2020, $29.67, 509715, $30, $31.03, $29.02
10/29/2020, $30.07, 540632, $28.37, $30.22, $27.83
10/28/2020, $29.24, 456854, $29.06, $30.21, $28.62
10/27/2020, $30.55, 560351, $30.41, $31.15, $30.17
10/26/2020, $30.55, 664614, $30, $30.98, $29.325
10/23/2020, $30.88, 334785, $30.77, $31.13, $29.99
10/22/2020, $30.38, 348974, $29, $30.42, $29
10/21/2020, $29.01, 360471, $28.95, $29.62, $28.76
10/20/2020, $29.13, 422911, $28.38, $29.24, $27.9601
10/19/2020, $27.88, 375177, $28.3, $29.21, $27.78
10/16/2020, $28.26, 375723, $28.13, $28.285, $27.62
10/15/2020, $28.03, 440472, $26.9, $28.12, $26.571
10/14/2020, $27.42, 358510, $26.12, $27.52, $26.12
10/13/2020, $26.42, 330794, $26.72, $27.11, $26.19
10/12/2020, $27.11, 163621, $27.51, $27.92, $26.83
10/09/2020, $27.51, 199368, $28.63, $28.76, $27.2
10/08/2020, $28.29, 301169, $27.4, $28.29, $27.04
10/07/2020, $26.82, 379117, $25.78, $27.15, $25.7
10/06/2020, $25.31, 264523, $25.5, $25.805, $25.06
10/05/2020, $25.09, 274657, $24.01, $25.1, $24.01
10/02/2020, $23.72, 263482, $23.08, $23.8358, $22.9108
10/01/2020, $23.78, 342961, $24.76, $24.92, $23.54
09/30/2020, $24.4, 555216, $24.09, $25.16, $24.02
09/29/2020, $23.87, 351927, $24.03, $24.44, $23.33
09/28/2020, $23.77, 447009, $22.74, $24.31, $22.66
09/25/2020, $22.26, 243197, $22.48, $22.6, $22.07
09/24/2020, $22.75, 526697, $22.83, $22.95, $21.73
09/23/2020, $22.9, 395625, $22.99, $23.44, $22.73
09/22/2020, $23.17, 200720, $23.46, $23.68, $22.92
09/21/2020, $23.38, 391010, $24.42, $24.42, $22.88
09/18/2020, $25.15, 1459253, $23.88, $25.47, $23.76
09/17/2020, $23.88, 289500, $23.2, $24, $22.82
09/16/2020, $23.62, 222026, $23.35, $23.74, $22.79
09/15/2020, $23.16, 350364, $23.39, $23.49, $22.83
09/14/2020, $23.26, 424156, $23.1, $23.43, $22.44
09/11/2020, $23.05, 329332, $22.96, $23.3, $22.54
09/10/2020, $22.79, 261099, $22.6, $23.1, $22.34
09/09/2020, $22.57, 144540, $22.51, $22.69, $22.24
09/08/2020, $22.25, 363381, $22.66, $22.66, $21.67
09/04/2020, $22.9, 279632, $23.32, $23.32, $22.09
09/03/2020, $22.87, 526359, $23.39, $24, $22.67
09/02/2020, $23.46, 253220, $23.2, $23.53, $22.87
09/01/2020, $23.2, 268226, $22.15, $23.21, $21.93
08/31/2020, $22.25, 243155, $22.8, $22.94, $22.25
08/28/2020, $22.79, 461549, $22.04, $23.32, $21.93
08/27/2020, $21.71, 308879, $22.6, $22.92, $21.6
08/26/2020, $22.55, 204515, $22.63, $22.77, $22.31
08/25/2020, $22.53, 370687, $22.75, $22.77, $22.08
08/24/2020, $22.51, 308265, $21.38, $22.7599, $21.37
08/21/2020, $21.12, 355821, $21.02, $21.25, $20.95
08/20/2020, $21.25, 311380, $20.84, $21.34, $20.805
08/19/2020, $21.24, 272405, $21.34, $21.68, $21.06
08/18/2020, $21.25, 284683, $21.44, $21.65, $21.19
08/17/2020, $21.45, 228652, $21.71, $21.88, $21.28
08/14/2020, $21.61, 196227, $21.18, $21.69, $21.13
08/13/2020, $21.39, 317159, $21.31, $21.84, $21.14
08/12/2020, $21.2, 303537, $21.39, $21.57, $20.88
08/11/2020, $20.93, 428070, $20.96, $21.3, $20.7
08/10/2020, $20.46, 349294, $19.65, $20.46, $19.55
08/07/2020, $19.57, 165501, $19.24, $19.59, $18.95
08/06/2020, $19.47, 178983, $19.71, $19.78, $19.31
08/05/2020, $19.8, 383530, $19.32, $20.11, $19.32
08/04/2020, $18.95, 253515, $18.57, $18.97, $18.36
08/03/2020, $18.57, 226982, $18.67, $18.94, $18.3987
07/31/2020, $18.57, 449470, $18.67, $18.94, $18.3987
07/30/2020, $18.46, 900278, $19.81, $19.82, $18.18
07/29/2020, $20.12, 340734, $19.9, $20.22, $19.48
07/28/2020, $19.43, 403410, $19.3, $19.69, $19.06
07/27/2020, $19.38, 492561, $19.5, $19.53, $19.12
07/24/2020, $19.5, 310344, $19.84, $19.84, $19.25
07/23/2020, $19.83, 324450, $19.99, $20.345, $19.67
07/22/2020, $20.11, 413989, $19.76, $20.16, $19.59
07/21/2020, $20.04, 276015, $19.96, $20.4, $19.92
07/20/2020, $19.57, 471054, $20.49, $20.7, $19.5
07/17/2020, $20.65, 346311, $20.54, $20.87, $20.41
07/16/2020, $20.4, 455137, $20.38, $20.94, $19.89
07/15/2020, $20.53, 678190, $20.17, $20.69, $20.1201
07/14/2020, $19.84, 829316, $19.39, $19.86, $18.77
07/13/2020, $19.28, 418044, $19.1, $19.48, $18.7
07/10/2020, $18.75, 335742, $17.99, $18.825, $17.98
07/09/2020, $17.95, 415557, $19.05, $19.15, $17.89
07/08/2020, $19.08, 410421, $19.02, $19.19, $18.61
07/07/2020, $18.94, 380010, $20.04, $20.04, $18.87
07/06/2020, $20.22, 699025, $19.39, $20.34, $19.16
07/02/2020, $18.75, 774469, $18.73, $19.12, $18.12
07/01/2020, $18.22, 189800, $18.12, $18.51, $17.84
06/30/2020, $18.08, 399267, $17.96, $18.15, $17.7
06/29/2020, $18.13, 368764, $18.24, $18.83, $17.9
06/26/2020, $18.05, 365263, $18.58, $18.61, $17.84
06/25/2020, $18.74, 552601, $18.5, $18.99, $18.21
06/24/2020, $18.58, 1010211, $19.55, $19.83, $18.54
06/23/2020, $20.11, 591853, $20.1, $20.43, $19.94
06/22/2020, $19.69, 516985, $19.7, $19.81, $19.08
06/19/2020, $19.83, 1850854, $20.82, $20.95, $19.58
06/18/2020, $20.57, 447063, $20.18, $21.18, $20.11
06/17/2020, $20.54, 637913, $21.64, $21.77, $20.4
