Date, Close/Last, Volume, Open, High, Low
01/20/2021, $7.09, 101848, $7.1, $7.2, $7
01/19/2021, $7.1, 84085, $7, $7.18, $6.9102
01/15/2021, $7.02, 93456, $7.05, $7.28, $6.93
01/14/2021, $7.05, 271198, $6.95, $7.16, $6.84
01/13/2021, $6.97, 67312, $6.83, $7.04, $6.76
01/12/2021, $6.82, 195382, $7.01, $7.1, $6.695
01/11/2021, $7.05, 52181, $6.94, $7.27, $6.94
01/08/2021, $7.05, 40887, $7.08, $7.19, $6.9254
01/07/2021, $7.08, 53328, $6.89, $7.25, $6.8625
01/06/2021, $6.85, 80767, $6.79, $7.095, $6.7406
01/05/2021, $6.77, 66632, $6.72, $6.8, $6.56
01/04/2021, $6.76, 71205, $6.78, $6.9, $6.6
12/31/2020, $6.7, 63150, $6.81, $6.81, $6.68
12/30/2020, $6.82, 73324, $6.66, $6.9, $6.64
12/29/2020, $6.71, 50302, $6.75, $6.85, $6.68
12/28/2020, $6.74, 288629, $6.9, $7, $6.73
12/24/2020, $6.91, 19260, $6.88, $7.05, $6.81
12/23/2020, $6.88, 88442, $6.9, $7, $6.73
12/22/2020, $6.93, 38311, $6.83, $7, $6.7853
12/21/2020, $6.84, 72754, $6.79, $7.04, $6.64
12/18/2020, $6.86, 111017, $6.84, $6.95, $6.6494
12/17/2020, $6.75, 418847, $6.77, $7.1, $6.6
12/16/2020, $6.75, 162814, $7.32, $7.35, $6.66
12/15/2020, $7.33, 67485, $7.53, $7.65, $7.1
12/14/2020, $7.48, 48089, $7.53, $7.65, $7.28
12/11/2020, $7.43, 101778, $7.72, $7.97, $7.33
12/10/2020, $7.66, 99253, $7.19, $7.75, $7.17
12/09/2020, $7.17, 116626, $7.37, $7.71, $7.06
12/08/2020, $7.4, 229342, $6.83, $7.75, $6.7
12/07/2020, $6.85, 71957, $6.84, $7, $6.76
12/04/2020, $6.84, 78054, $6.67, $6.95, $6.52
12/03/2020, $6.7, 71858, $6.64, $6.81, $6.51
12/02/2020, $6.64, 76450, $6.5, $6.78, $6.43
12/01/2020, $6.5, 200426, $6.66, $6.95, $6.4
11/30/2020, $6.7, 108878, $6.57, $6.75, $6.57
11/27/2020, $6.58, 51160, $6.62, $6.767, $6.56
11/25/2020, $6.65, 48285, $6.68, $6.7, $6.521
11/24/2020, $6.68, 121699, $6.54, $6.71, $6.52
11/23/2020, $6.51, 64308, $6.57, $6.69, $6.48
11/20/2020, $6.71, 82525, $6.45, $6.71, $6.43
11/19/2020, $6.52, 71924, $6.58, $6.69, $6.31
11/18/2020, $6.57, 84539, $6.57, $6.73, $6.5
11/17/2020, $6.56, 53550, $6.53, $6.65, $6.5027
11/16/2020, $6.58, 95056, $6.5, $6.6, $6.22
11/13/2020, $6.34, 147597, $6.2, $6.46, $6.18
11/12/2020, $6.2, 90438, $6.42, $6.4768, $6.13
11/11/2020, $6.43, 86148, $6.31, $6.435, $6.06
11/10/2020, $6.22, 59892, $6.22, $6.3, $6.06
11/09/2020, $6.15, 165602, $6.52, $6.8199, $6.11
11/06/2020, $6.4, 83638, $6.5, $6.5, $6.16
11/05/2020, $6.48, 103363, $6.21, $6.5, $6.0306
11/04/2020, $6.11, 109057, $6.04, $6.255, $6.01
11/03/2020, $6.05, 94141, $5.81, $6.13, $5.81
11/02/2020, $5.8, 132593, $5.82, $6, $5.655
10/30/2020, $5.76, 153637, $5.72, $5.8082, $5.56
10/29/2020, $5.73, 685430, $5.53, $5.75, $5.46
10/28/2020, $5.57, 149770, $5.59, $5.68, $5.39
10/27/2020, $5.68, 216398, $5.56, $6.05, $5.32
10/26/2020, $5.57, 457130, $6.01, $6.09, $5.3701
