Date, Close/Last, Volume, Open, High, Low
01/20/2021, $13.96, 231042, $13.79, $13.99, $13.6
01/19/2021, $13.63, 426428, $13.88, $13.88, $13.3754
01/15/2021, $13.64, 301789, $13.63, $13.91, $13.18
01/14/2021, $13.94, 351621, $13.96, $14.21, $13.77
01/13/2021, $13.79, 284821, $13.99, $13.99, $13.62
01/12/2021, $13.92, 443013, $13.61, $13.98, $13.52
01/11/2021, $13.51, 274267, $13.24, $13.53, $13.16
01/08/2021, $13.46, 508908, $13.28, $13.5, $13.15
01/07/2021, $13.39, 374829, $13.75, $13.75, $13.25
01/06/2021, $13.47, 506261, $13, $13.66, $12.97
01/05/2021, $12.66, 356038, $12.13, $12.75, $12.13
01/04/2021, $12.17, 760528, $12.62, $12.68, $11.87
12/31/2020, $12.56, 330685, $12.49, $12.7399, $12.43
12/30/2020, $12.48, 206605, $12.26, $12.58, $12.26
12/29/2020, $12.2, 265268, $12.35, $12.3674, $11.8402
12/28/2020, $12.29, 262716, $12.43, $12.63, $12.22
12/24/2020, $12.17, 99593, $12.25, $12.27, $12.0415
12/23/2020, $12.15, 251425, $12.5, $12.65, $12.13
12/22/2020, $12.33, 235905, $12.44, $12.46, $12.2
12/21/2020, $12.11, 546707, $11.83, $12.19, $11.73
12/18/2020, $12.24, 956441, $12.48, $12.92, $12.13
12/17/2020, $12.41, 305540, $12.48, $12.59, $12.359
12/16/2020, $12.47, 389845, $12.85, $12.93, $12.39
12/15/2020, $12.71, 467808, $12.39, $12.72, $12.25
12/14/2020, $12.2, 480105, $12.16, $12.44, $12.01
12/11/2020, $12, 474539, $11.8, $12.03, $11.72
12/10/2020, $11.99, 415923, $11.78, $12.05, $11.51
12/09/2020, $12.11, 593626, $11.75, $12.61, $11.73
12/08/2020, $11.66, 676403, $11.69, $12.07, $11.66
12/07/2020, $11.73, 619784, $11.96, $12.06, $11.47
12/04/2020, $12.12, 713209, $11.27, $12.34, $11.27
12/03/2020, $11.09, 649449, $11.39, $11.39, $11.04
12/02/2020, $11.24, 564373, $11.13, $11.54, $11.0916
12/01/2020, $11.19, 313018, $11.2, $11.47, $10.96
11/30/2020, $10.92, 425619, $11.1, $11.34, $10.9
11/27/2020, $11.18, 230454, $11.51, $11.53, $10.93
11/25/2020, $11.61, 446845, $11.43, $11.63, $11.05
11/24/2020, $11.67, 635369, $11.85, $11.98, $11.52
11/23/2020, $11.5, 502749, $11, $11.61, $10.92
11/20/2020, $10.84, 540499, $10.62, $10.85, $10.25
11/19/2020, $10.78, 441660, $11.03, $11.3299, $10.53
11/18/2020, $11.15, 470857, $11.87, $11.96, $11.13
11/17/2020, $11.76, 597117, $11.4, $11.82, $11.1
11/16/2020, $11.6, 700426, $10.88, $11.61, $10.55
11/13/2020, $10.59, 355315, $10.11, $10.64, $10.05
11/12/2020, $10.06, 463478, $10.01, $10.21, $9.8306
11/11/2020, $10.16, 489548, $10.5, $10.5, $10.1
11/10/2020, $10.35, 692819, $10.21, $10.63, $10
11/09/2020, $10.1, 887429, $10.43, $10.83, $9.89
11/06/2020, $9.62, 2882948, $7.62, $10.97, $7.62
11/05/2020, $7.38, 435837, $6.85, $7.64, $6.82
11/04/2020, $6.82, 379312, $7.08, $7.17, $6.71
11/03/2020, $7.25, 521305, $7, $7.39, $6.82
11/02/2020, $6.94, 237420, $6.53, $7, $6.5
10/30/2020, $6.4, 242441, $6.43, $6.461, $6.27
10/29/2020, $6.46, 261245, $6.17, $6.48, $6.14
10/28/2020, $6.17, 385796, $6.32, $6.34, $6.15
10/27/2020, $6.46, 475900, $6.81, $6.88, $6.45
10/26/2020, $6.83, 258685, $7.11, $7.11, $6.76
10/23/2020, $7.17, 122427, $7.21, $7.36, $7.09
10/22/2020, $7.15, 268798, $7.17, $7.22, $7.04
10/21/2020, $7.12, 130031, $7.19, $7.21, $7.03
10/20/2020, $7.18, 226231, $7.29, $7.44, $7.12
10/19/2020, $7.21, 210314, $7.15, $7.5, $7.12
10/16/2020, $7.13, 184540, $7.17, $7.27, $7.08
10/15/2020, $7.18, 173525, $6.92, $7.2, $6.83
10/14/2020, $7, 139814, $7.05, $7.22, $6.97
10/13/2020, $7.08, 186661, $7.12, $7.19, $7
10/12/2020, $7.16, 250479, $7.1, $7.25, $6.87
10/09/2020, $7.16, 159019, $7.4, $7.49, $7.1
10/08/2020, $7.3, 398689, $7.72, $7.77, $7.09
10/07/2020, $7.58, 346753, $7.27, $7.61, $7.25
10/06/2020, $7.16, 553954, $7.13, $7.345, $6.9
10/05/2020, $7, 262372, $6.72, $7.01, $6.6859
10/02/2020, $6.62, 386487, $6.25, $6.79, $6.225
10/01/2020, $6.36, 252784, $6.35, $6.515, $6.28
09/30/2020, $6.25, 435826, $6.39, $6.47, $6.18
09/29/2020, $6.42, 435952, $6.29, $6.615, $6.29
09/28/2020, $6.29, 351718, $6.09, $6.39, $6.09
09/25/2020, $5.96, 337379, $5.73, $6.01, $5.7
09/24/2020, $5.82, 216377, $5.75, $5.9, $5.66
09/23/2020, $5.78, 302053, $6.03, $6.18, $5.77
09/22/2020, $6.01, 305530, $6.08, $6.15, $5.8
09/21/2020, $6.01, 416229, $6.21, $6.21, $5.91
09/18/2020, $6.32, 616221, $6.39, $6.41, $6.175
09/17/2020, $6.31, 209116, $6.13, $6.395, $6.1
09/16/2020, $6.24, 236933, $6.42, $6.43, $6.22
09/15/2020, $6.35, 267614, $6.29, $6.44, $6.229
09/14/2020, $6.26, 181721, $6.23, $6.315, $6.14
09/11/2020, $6.15, 244622, $6.08, $6.2, $5.94
09/10/2020, $6.09, 256949, $6.25, $6.31, $6.06
09/09/2020, $6.21, 326873, $6.48, $6.48, $6.11
09/08/2020, $6.44, 281701, $6.67, $6.67, $6.44
09/04/2020, $6.7, 245596, $6.92, $6.93, $6.58
09/03/2020, $6.72, 334679, $6.7, $6.775, $6.63
09/02/2020, $6.7, 357529, $6.79, $6.81, $6.67
09/01/2020, $6.77, 190951, $6.72, $6.79, $6.61
08/31/2020, $6.77, 202106, $6.96, $6.96, $6.77
08/28/2020, $6.91, 150728, $6.94, $6.99, $6.8
08/27/2020, $6.85, 231916, $6.99, $7.09, $6.81
08/26/2020, $6.9, 215379, $6.89, $6.93, $6.72
