Date, Close/Last, Volume, Open, High, Low
01/20/2021, $22.02, 4283930, $21.31, $22.12, $21.27
01/19/2021, $21.35, 3604845, $21.57, $21.6, $21.1
01/15/2021, $21.19, 2610358, $21, $21.295, $20.845
01/14/2021, $21, 2764924, $21.36, $21.4514, $20.93
01/13/2021, $21.21, 5563157, $20.75, $21.24, $20.72
01/12/2021, $20.68, 6110116, $20.85, $20.93, $20.385
01/11/2021, $20.85, 12746550, $21, $21.31, $20.735
01/08/2021, $21.07, 18055100, $20.58, $21.105, $20.55
01/07/2021, $20.49, 25144180, $20.09, $20.67, $19.91
01/06/2021, $21, 3508846, $20.88, $21.16, $20.79
01/05/2021, $20.88, 3451411, $20.85, $21.12, $20.85
01/04/2021, $20.8, 3813002, $21.81, $21.95, $20.8
12/31/2020, $21.79, 1993725, $21.61, $21.87, $21.46
12/30/2020, $21.61, 2560956, $21.7, $21.86, $21.6
12/29/2020, $21.7, 3123528, $21.65, $21.86, $21.49
12/28/2020, $21.65, 2944899, $21.88, $21.88, $21.505
12/24/2020, $21.73, 1086271, $21.69, $21.755, $21.45
12/23/2020, $21.68, 3383153, $21.7, $21.956, $21.625
12/22/2020, $21.57, 2744348, $21.1, $21.595, $20.95
12/21/2020, $20.95, 3507009, $20.9, $21.09, $20.7
12/18/2020, $21.08, 11275850, $21.27, $21.5, $21
12/17/2020, $21.14, 5567962, $21.35, $21.42, $21
12/16/2020, $21.28, 5610490, $21.46, $21.55, $21.19
12/15/2020, $21.35, 5165978, $21.01, $21.35, $20.785
12/14/2020, $20.8, 4797069, $20.84, $21, $20.66
12/11/2020, $20.68, 4444284, $20.35, $20.74, $20.34
12/10/2020, $20.49, 4206885, $20.42, $20.63, $20.2
12/09/2020, $20.6, 4199156, $20.64, $20.665, $20.415
12/08/2020, $20.84, 3909694, $20.7, $20.88, $20.69
12/07/2020, $20.75, 4020861, $20.56, $20.92, $20.49
12/04/2020, $20.56, 3985782, $20.12, $20.56, $20.05
12/03/2020, $20.01, 4080377, $19.63, $20.08, $19.55
12/02/2020, $19.6, 2262286, $19.65, $19.83, $19.52
12/01/2020, $19.71, 3429245, $19.61, $19.81, $19.45
11/30/2020, $19.4, 6638738, $19.5, $19.6495, $19.32
11/27/2020, $19.57, 1622691, $19.8, $19.8, $19.425
11/25/2020, $19.77, 2613620, $19.8, $19.82, $19.48
11/24/2020, $19.79, 3271782, $19.72, $19.94, $19.55
11/23/2020, $19.42, 3590968, $19.56, $19.635, $19.33
11/20/2020, $19.43, 4034786, $19.17, $19.43, $19.03
11/19/2020, $19.23, 2708199, $18.83, $19.27, $18.61
11/18/2020, $18.93, 4350092, $19.37, $19.49, $18.9
11/17/2020, $19.37, 3225773, $19.42, $19.59, $19.2
11/16/2020, $19.47, 3061596, $19.8, $19.95, $19.33
11/13/2020, $19.4, 3092644, $19.1, $19.42, $19.0704
11/12/2020, $18.85, 2797248, $19.32, $19.345, $18.73
11/11/2020, $19.44, 3256766, $19.52, $19.615, $19.25
11/10/2020, $19.46, 4196871, $19.36, $19.565, $19.085
11/09/2020, $19.19, 8824343, $20, $21.35, $19.075
11/06/2020, $18.79, 2919543, $18.78, $19.27, $18.73
11/05/2020, $18.78, 1955782, $19.14, $19.2, $18.74
11/04/2020, $18.9, 2314519, $18.91, $19.205, $18.83
11/03/2020, $19.07, 3304639, $18.81, $19.145, $18.65
11/02/2020, $18.62, 3261212, $17.99, $18.62, $17.89
10/30/2020, $17.82, 3032642, $17.97, $18.07, $17.51
10/29/2020, $18.14, 2911838, $17.24, $18.22, $17.13
10/28/2020, $17.19, 2772113, $17.55, $17.7975, $17.18
10/27/2020, $17.9, 2702411, $18.12, $18.33, $17.9
10/26/2020, $18.17, 2766949, $18.09, $18.22, $17.93
10/23/2020, $18.3, 2451332, $18.09, $18.31, $17.94
10/22/2020, $17.95, 2257375, $17.83, $17.96, $17.7
10/21/2020, $17.84, 2350832, $17.81, $17.94, $17.63
10/20/2020, $17.9, 1863574, $17.85, $18.15, $17.82
10/19/2020, $17.68, 3940903, $18.18, $18.18, $17.65
10/16/2020, $18.05, 2161597, $18.13, $18.29, $17.9
10/15/2020, $18.32, 2309157, $18.17, $18.57, $18.01
10/14/2020, $18.24, 2150895, $18.54, $18.565, $18.2
10/13/2020, $18.62, 2982133, $18.55, $18.7, $18.37
10/12/2020, $18.74, 2958631, $18.66, $18.79, $18.54
10/09/2020, $18.59, 3161343, $18.91, $18.94, $18.5
10/08/2020, $18.7, 2396202, $18.4, $18.71, $18.35
10/07/2020, $18.38, 2703487, $18.76, $18.76, $18.26
10/06/2020, $18.63, 4283800, $18.75, $18.98, $18.472
10/05/2020, $18.7, 3423815, $18.68, $18.75, $18.22
10/02/2020, $18.56, 4135912, $17.9, $18.62, $17.71
10/01/2020, $18.18, 3798864, $17.73, $18.19, $17.58
09/30/2020, $17.63, 5330474, $17.69, $17.895, $17.425
09/29/2020, $17.59, 3877254, $17.6, $17.61, $17.275
09/28/2020, $17.6, 3651123, $17.41, $17.64, $17.22
09/25/2020, $17.14, 4016335, $16.72, $17.17, $16.66
09/24/2020, $16.9, 7095547, $16.29, $17.08, $16.24
09/23/2020, $16.25, 11093250, $16.72, $16.72, $16.1
09/22/2020, $16.69, 4309620, $16.78, $17.035, $16.66
09/21/2020, $16.79, 5023652, $16.88, $16.96, $16.3169
09/18/2020, $17.01, 8039795, $17.5, $17.57, $16.96
09/17/2020, $17.55, 4921574, $17.89, $18.0343, $17.525
09/16/2020, $18.1, 4097699, $18.4, $18.4984, $18.06
09/15/2020, $18.32, 3517643, $18.51, $18.65, $18.25
09/14/2020, $18.36, 5090737, $18.31, $18.57, $18.205
09/11/2020, $18.21, 1712932, $18.47, $18.53, $18.04
09/10/2020, $18.37, 3893283, $18.31, $18.635, $18.275
09/09/2020, $18.32, 5071173, $18.16, $18.4448, $17.99
09/08/2020, $18.22, 4130823, $18.4, $18.53, $18.18
09/04/2020, $18.4, 4495017, $18.49, $18.67, $18.045
09/03/2020, $18.46, 4956771, $18.71, $18.87, $18.39
09/02/2020, $18.65, 6486402, $18.55, $18.72, $18.44
09/01/2020, $18.55, 3463062, $18.48, $18.73, $18.27
08/31/2020, $18.58, 4783662, $18.55, $18.67, $18.45
08/28/2020, $18.57, 4028968, $18.78, $18.78, $18.51
08/27/2020, $18.68, 4840896, $18.48, $18.84, $18.45
08/26/2020, $18.38, 4878511, $18.85, $18.87, $18.29
08/25/2020, $18.84, 3036218, $18.86, $18.89, $18.555
08/24/2020, $18.8, 4024849, $18.7, $18.81, $18.34
08/21/2020, $18.38, 4348671, $18.78, $18.875, $18.2518
08/20/2020, $18.7, 8169876, $18.52, $18.87, $18.35
08/19/2020, $18.64, 3615462, $19.31, $19.31, $18.57
08/18/2020, $19.28, 3719388, $19.25, $19.355, $19.06
08/17/2020, $19.33, 2234123, $19.25, $19.48, $19.15
08/14/2020, $19.18, 2705771, $19.05, $19.33, $19.01
08/13/2020, $19.07, 1920269, $19.4, $19.69, $19.03
08/12/2020, $19.51, 2347071, $19.7, $19.73, $19.335
08/11/2020, $19.55, 2919502, $20.1, $20.18, $19.44
08/10/2020, $19.91, 2349667, $19.87, $20.185, $19.81
08/07/2020, $19.87, 2703771, $19.7, $20.14, $19.625
08/06/2020, $19.71, 3107470, $19.75, $20.1, $19.68
08/05/2020, $19.8, 1493759, $20.07, $20.17, $19.7
08/04/2020, $19.98, 2158393, $19.91, $20.185, $19.79
08/03/2020, $19.9, 2154505, $20.12, $20.12, $19.65
07/31/2020, $20.13, 3783923, $20.5, $20.57, $19.53
07/30/2020, $20.58, 3701968, $20.08, $20.72, $20
07/29/2020, $20.3, 4151862, $20, $20.32, $19.8446
07/28/2020, $19.68, 3525331, $19.31, $19.805, $19.12
07/27/2020, $19.32, 2182723, $18.92, $19.34, $18.73
07/24/2020, $18.92, 2708680, $19, $19.14, $18.76
07/23/2020, $19.01, 2178696, $19.06, $19.4, $18.82
07/22/2020, $19.26, 3580802, $18.35, $19.305, $18.2809
07/21/2020, $18.31, 2474529, $18.55, $18.77, $18.27
07/20/2020, $18.37, 2388539, $18.75, $18.81, $18.25
07/17/2020, $18.77, 1596349, $18.31, $18.85, $18.16
07/16/2020, $18.12, 2420214, $18.23, $18.3164, $18.01
07/15/2020, $18.29, 2637950, $18.72, $18.76, $18.2
07/14/2020, $18.25, 3382299, $18.01, $18.26, $17.96
07/13/2020, $17.96, 4665177, $17.81, $18.47, $17.73
07/10/2020, $17.73, 3997433, $17.5, $17.855, $17.5
07/09/2020, $18.01, 2873521, $18.32, $18.3699, $17.54
07/08/2020, $18.38, 2109365, $18.45, $18.655, $18.26
07/07/2020, $18.42, 3573078, $18.68, $18.85, $18.41
07/06/2020, $19.02, 3133313, $19.45, $19.55, $18.93
07/02/2020, $19.03, 3040815, $19.71, $19.78, $18.97
07/01/2020, $19.33, 2846875, $18.85, $19.39, $18.76
06/30/2020, $18.8, 3248856, $18.49, $18.92, $18.49
06/29/2020, $18.44, 2901150, $18.41, $18.46, $17.98
06/26/2020, $18.26, 5267373, $18.26, $18.51, $18.11
06/25/2020, $18.37, 4049627, $17.67, $18.39, $17.6
06/24/2020, $17.85, 3661088, $18.5, $18.63, $17.56
06/23/2020, $18.76, 3001511, $19.33, $19.39, $18.69
06/22/2020, $19.06, 2513805, $19.17, $19.37, $18.8
06/19/2020, $19.25, 9993650, $19.88, $19.98, $19.1
06/18/2020, $19.63, 3022687, $19.44, $19.98, $19.36
