Date, Close/Last, Volume, Open, High, Low
03/24/2021, $15.71, 103286, $16.15, $16.3376, $15.66
03/23/2021, $16.06, 41675, $16.83, $16.92, $15.91
03/22/2021, $16.92, 28160, $17.7, $17.7, $16.91
03/19/2021, $17.48, 154865, $16.55, $17.62, $16.55
03/18/2021, $16.73, 26918, $17.4, $17.43, $16.55
03/17/2021, $17.4, 140479, $17.87, $17.9809, $17.13
03/16/2021, $17.87, 42283, $18.29, $18.29, $17.81
03/15/2021, $18.54, 33493, $17.96, $18.54, $17.81
03/12/2021, $18, 37793, $18.34, $18.8028, $18
03/11/2021, $18.37, 48703, $18.73, $18.8699, $18.175
03/10/2021, $18.66, 32954, $18.05, $18.77, $18.05
03/09/2021, $17.76, 21491, $18, $18.1, $17.66
03/08/2021, $17.72, 34273, $17.98, $18.37, $17.66
03/05/2021, $17.65, 18187, $17.48, $17.75, $16.92
03/04/2021, $17.26, 24315, $17.27, $17.3262, $16.49
03/03/2021, $17.27, 22418, $17.46, $17.96, $17.11
03/02/2021, $17.43, 26008, $17.87, $17.92, $17.36
03/01/2021, $17.74, 26450, $17.49, $18.07, $17.28
02/26/2021, $16.81, 21312, $17.28, $17.5, $16.81
02/25/2021, $17.04, 16843, $17.83, $17.88, $16.95
02/24/2021, $17.74, 22149, $17.69, $18.19, $17.63
02/23/2021, $17.7, 22059, $17.36, $17.835, $16.9013
02/22/2021, $17.31, 13897, $17.61, $18, $17.31
02/19/2021, $17.7, 25142, $17.57, $18.06, $17.57
02/18/2021, $17.48, 16506, $17.21, $17.7, $17.17
02/17/2021, $17.36, 25938, $17.3, $17.83, $17.05
02/16/2021, $17.52, 27172, $18.26, $18.26, $17.52
02/12/2021, $18.09, 22414, $17.64, $18.14, $17.5
02/11/2021, $17.68, 21085, $17.98, $18.16, $17.4574
02/10/2021, $18.05, 43477, $18.33, $18.5299, $17.69
02/09/2021, $18.33, 27036, $18.9, $19, $18.18
02/08/2021, $19.09, 41775, $18.89, $19.28, $18.82
02/05/2021, $18.75, 28425, $18.32, $18.82, $17.695
02/04/2021, $18.03, 47619, $17.92, $18.505, $17.8217
02/03/2021, $17.81, 30026, $17.76, $18.1, $17
02/02/2021, $17.78, 34608, $17.15, $17.91, $17.06
02/01/2021, $16.91, 30976, $16.77, $17.03, $16.31
01/29/2021, $16.28, 41410, $16.41, $16.5, $16.075
01/28/2021, $16.41, 32053, $16.44, $16.5899, $15.9334
01/27/2021, $16.14, 65659, $17.3, $17.5, $15.34
01/26/2021, $16.55, 35295, $15.93, $16.75, $15.839
01/25/2021, $16, 22657, $16.14, $16.58, $15.84
01/22/2021, $16.22, 16480, $15.75, $16.2886, $15.545
01/21/2021, $15.9, 16827, $16.24, $16.41, $15.65
01/20/2021, $16.2, 24652, $16.22, $16.51, $15.95
01/19/2021, $16.35, 20085, $15.92, $16.38, $15.65
01/15/2021, $15.74, 21910, $15.87, $15.89, $15.08
01/14/2021, $16.01, 16405, $15.99, $16.35, $15.88
01/13/2021, $15.99, 17498, $16.37, $16.44, $15.84
01/12/2021, $16.39, 26575, $15.76, $16.45, $15.6
01/11/2021, $15.7, 26332, $14.87, $15.81, $14.87
01/08/2021, $15.15, 26484, $15.69, $15.86, $14.7413
01/07/2021, $15.56, 21561, $15.45, $15.9, $15.45
01/06/2021, $15.45, 44873, $15.23, $16.09, $15.09
01/05/2021, $14.81, 25725, $14.48, $15.37, $14.48
01/04/2021, $14.39, 21971, $14.54, $14.65, $14.1
12/31/2020, $14.54, 16488, $15.02, $15.02, $14.54
12/30/2020, $14.88, 22084, $14.88, $15, $14.62
12/29/2020, $14.78, 43213, $15.4, $15.6371, $14.77
12/28/2020, $15.38, 31919, $15.98, $16.07, $15.38
12/24/2020, $16, 24844, $15.6, $16, $15.52
12/23/2020, $15.6, 68879, $16.07, $16.5, $15.1746
12/22/2020, $16.59, 15137, $15.94, $16.65, $15.86
12/21/2020, $16.01, 38503, $15.63, $16.03, $15.21
12/18/2020, $15.82, 171522, $16.56, $16.74, $15.65
12/17/2020, $16.45, 27599, $16.69, $16.94, $16.39
12/16/2020, $16.52, 21759, $16.34, $16.75, $16.34
12/15/2020, $16.42, 23172, $16.23, $16.6, $16
12/14/2020, $16.24, 17010, $16.38, $16.61, $16.0162
12/11/2020, $16.38, 30056, $15.98, $16.42, $15.7901
12/10/2020, $16.16, 33081, $15, $16.3332, $15
12/09/2020, $15.01, 46737, $16.36, $16.36, $15.01
12/08/2020, $16.21, 24136, $15.69, $16.3, $15.44
12/07/2020, $15.75, 35122, $15.52, $16, $15.18
12/04/2020, $15.4, 27239, $15.3, $15.695, $14.835
12/03/2020, $15.38, 24997, $15.89, $15.92, $15.31
12/02/2020, $15.94, 24572, $15.71, $16.1972, $15.57
12/01/2020, $15.89, 27224, $15.61, $15.97, $15.54
11/30/2020, $15.42, 42013, $16.38, $16.38, $15.4
11/27/2020, $16.62, 13718, $16.63, $16.71, $15.96
11/25/2020, $16.43, 17968, $16.84, $16.85, $16.38
11/24/2020, $16.92, 27278, $16.96, $17.06, $16.71
11/23/2020, $16.84, 26114, $16.6, $17.15, $16.39
11/20/2020, $16.6, 27433, $16.29, $16.69, $16.26
11/19/2020, $16.49, 13423, $16.56, $16.69, $16.39
11/18/2020, $16.72, 16046, $17.15, $17.15, $16.72
11/17/2020, $17.12, 21116, $16.78, $17.24, $16.66
11/16/2020, $16.79, 31033, $16.66, $16.9, $16.355
11/13/2020, $16.23, 20634, $16.3, $16.48, $15.93
11/12/2020, $16.1, 21044, $16.26, $16.26, $15.85
11/11/2020, $16.38, 31995, $16.36, $16.44, $15.9
11/10/2020, $16.12, 38891, $15.87, $16.685, $15.62
11/09/2020, $15.88, 61283, $17.84, $19, $15.84
11/06/2020, $17.1, 31307, $18.14, $18.14, $17.01
11/05/2020, $18.01, 23259, $17.65, $18.14, $17.5
11/04/2020, $17.52, 22084, $16.95, $17.605, $16.69
11/03/2020, $17.21, 29420, $16.97, $17.44, $16.92
11/02/2020, $16.54, 26245, $16.22, $16.785, $16.07
10/30/2020, $15.86, 45418, $15.83, $16.4, $15.03
10/29/2020, $15.93, 33214, $15.35, $16.4, $15.34
10/28/2020, $15.22, 51166, $16.39, $17, $15.17
10/27/2020, $17.5, 36342, $16.73, $17.56, $16.59
10/26/2020, $16.73, 31521, $17.1, $17.1, $16.38
10/23/2020, $17.31, 16488, $17.49, $17.89, $17.18
10/22/2020, $17.33, 26660, $17.4, $17.505, $17.05
10/21/2020, $17.34, 22888, $17.56, $17.736, $17.12
10/20/2020, $17.45, 18281, $17.28, $17.66, $17.28
10/19/2020, $17.14, 14556, $17.72, $17.91, $17.1
10/16/2020, $17.62, 27840, $17.37, $17.84, $17.09
10/15/2020, $17.28, 34832, $16.75, $17.36, $16.4
10/14/2020, $16.77, 18137, $17.4, $17.4, $16.65
10/13/2020, $17.26, 30203, $17.04, $17.47, $16.9
10/12/2020, $17.26, 29213, $17.3, $17.43, $16.75
