Date, Close/Last, Volume, Open, High, Low
01/20/2021, $11.02, 255529, $10.94, $11.02, $10.94
01/19/2021, $11, 69851, $11.07, $11.085, $10.95
01/15/2021, $10.98, 425012, $11.01, $11.02, $10.93
01/14/2021, $10.97, 251724, $11.21, $11.545, $10.95
01/13/2021, $11.11, 127835, $11, $11.99, $10.95
01/12/2021, $10.975, 102188, $10.845, $11.005, $10.845
01/11/2021, $10.915, 47896, $11.09, $11.09, $10.59
01/08/2021, $10.9, 87276, $10.87, $10.9481, $10.75
01/07/2021, $10.8702, 2666, $10.73, $10.9, $10.73
01/06/2021, $10.8, 57309, $10.75, $10.85, $10.72
01/05/2021, $10.76, 166073, $10.798, $10.8, $10.7
01/04/2021, $10.83, 169668, $11, $11, $10.78
12/31/2020, $10.83, 118226, $10.85, $10.9, $10.75
12/30/2020, $10.85, 148426, $10.8, $10.95, $10.7501
12/29/2020, $10.95, 299142, $10.7, $11, $10.68
12/28/2020, $10.7, 440805, $10.75, $11.18, $10.61
12/24/2020, $10.75, 196766, $10.89, $10.89, $10.67
12/23/2020, $10.73, 363703, $10.62, $10.8, $10.595
12/22/2020, $10.55, 490787, $10.75, $10.915, $10.51
12/21/2020, $10.75, 157233, $10.58, $10.7844, $10.5401
12/18/2020, $10.54, 383393, $10.58, $10.59, $10.5
12/17/2020, $10.45, 516073, $10.58, $10.58, $10.42
12/16/2020, $10.42, 1030081, $10.94, $10.94, $10
12/15/2020, $10.6, 3360456, $10.45, $10.69, $10.42
