Date, Close/Last, Volume, Open, High, Low
03/24/2021, $25.23, 390826, $26.25, $26.58, $25.06
03/23/2021, $26.22, 332598, $26.88, $27.04, $26.17
03/22/2021, $26.85, 474153, $27.1, $27.42, $26.79
03/19/2021, $27.17, 981559, $26.13, $27.22, $25.94
03/18/2021, $26.27, 619020, $26.4, $26.54, $25.88
03/17/2021, $26.72, 400111, $26.08, $26.91, $25.58
03/16/2021, $26.29, 487735, $26.23, $26.65, $26.09
03/15/2021, $26.1, 349092, $25.66, $26.18, $25.43
03/12/2021, $25.88, 548503, $24.78, $25.94, $24.4
03/11/2021, $25.03, 507494, $25.25, $25.47, $24.495
03/10/2021, $24.9, 280660, $24.95, $25.48, $24.77
03/09/2021, $24.65, 322602, $24.42, $25.05, $24.07
03/08/2021, $24.26, 769912, $23.49, $24.365, $23.1901
03/05/2021, $23.76, 697877, $23.63, $24.19, $22.93
03/04/2021, $23.58, 598598, $24, $24.43, $23.18
03/03/2021, $24.34, 583592, $24.14, $24.48, $23.871
03/02/2021, $24.41, 416613, $24.25, $24.58, $23.93
03/01/2021, $24.3, 260501, $23.68, $24.34, $23.47
02/26/2021, $23.28, 276609, $23.2, $23.4799, $22.745
02/25/2021, $23.16, 611265, $23.79, $24, $22.86
02/24/2021, $23.95, 271877, $24.23, $24.4, $23.77
02/23/2021, $24.51, 794631, $23.98, $24.51, $22.69
02/22/2021, $24.33, 418855, $24.58, $24.88, $24.15
02/19/2021, $24.77, 642663, $24.25, $24.97, $23.9
02/18/2021, $24.04, 422078, $24.18, $24.18, $23.33
02/17/2021, $24.18, 418200, $24.3, $24.44, $23.66
02/16/2021, $24.27, 545383, $24.43, $24.5799, $23.655
02/12/2021, $24.2, 505406, $24.25, $24.44, $23.63
02/11/2021, $24.25, 552703, $25.04, $25.22, $24.12
02/10/2021, $24.98, 305153, $25.44, $25.5, $24.42
02/09/2021, $25.34, 396837, $24.8, $25.35, $24.53
02/08/2021, $24.79, 525366, $25.7, $25.778, $24.51
02/05/2021, $25.23, 174811, $25.88, $25.995, $25.0882
02/04/2021, $25.72, 271614, $25, $25.78, $25
02/03/2021, $24.89, 868088, $25.05, $25.34, $23.92
02/02/2021, $24.98, 720693, $24.27, $25.22, $24.27
02/01/2021, $24.03, 611204, $24.57, $24.5799, $23.11
01/29/2021, $23.86, 540230, $25, $25.38, $23.53
01/28/2021, $24.76, 800512, $24.2, $24.88, $24.16
01/27/2021, $24.04, 435593, $24.8, $24.95, $24
01/26/2021, $25.07, 326983, $25.53, $25.69, $25.04
01/25/2021, $25.4, 438427, $26.16, $26.63, $25.01
01/22/2021, $26.02, 250304, $26.68, $26.9, $25.82
01/21/2021, $26.45, 348186, $27, $27.25, $26.2
01/20/2021, $26.72, 502146, $26.93, $27.38, $26.35
01/19/2021, $26.15, 319969, $26.34, $26.71, $25.8
01/15/2021, $26.34, 194554, $26.34, $26.56, $26.01
01/14/2021, $26.41, 394542, $26.43, $27, $26.16
