Date, Close/Last, Volume, Open, High, Low
01/20/2021, $27.8, 20111, $27.547, $27.84, $27.547
01/19/2021, $27.3992, 54530, $27.3557, $27.46, $27.28
01/15/2021, $27.1728, 25625, $27.62, $27.62, $27.14
01/14/2021, $27.365, 57490, $27.54, $27.56, $27.35
01/13/2021, $27.54, 47234, $27.415, $27.59, $27.31
01/12/2021, $27.4245, 112817, $27.38, $28, $27.27
01/11/2021, $27.419, 11004, $27.47, $27.5, $27.3949
01/08/2021, $27.5581, 38035, $27.5375, $27.73, $27.38
01/07/2021, $27.4818, 80715, $27.3038, $27.53, $27.3038
01/06/2021, $27.07, 36669, $26.97, $27.21, $26.96
01/05/2021, $26.86, 73060, $26.91, $26.95, $26.81
01/04/2021, $26.8208, 628386, $27.0103, $27.0103, $26.72
12/31/2020, $27.0474, 27873, $26.79, $27.0474, $26.79
12/30/2020, $26.92, 5690, $26.9, $26.9593, $26.9
12/29/2020, $27.3, 9603, $27.38, $27.41, $27.3
12/28/2020, $27.39, 35867, $27.38, $27.52, $27.35
12/24/2020, $27.1543, 8708, $27.135, $27.16, $27.06
12/23/2020, $27.07, 6226, $27.1815, $27.1987, $27.07
12/22/2020, $27.07, 25189, $27.105, $27.17, $27
12/21/2020, $27.13, 64139, $27.02, $27.23, $26.73
12/18/2020, $27.2731, 5291, $27.26, $27.2731, $27.06
12/17/2020, $27.333, 21553, $27.2853, $27.3689, $27.25
12/16/2020, $27.1855, 48725, $27.1632, $27.27, $27.14
12/15/2020, $27.0736, 12216, $26.9386, $27.11, $26.89
12/14/2020, $26.73, 220322, $27.07, $27.07, $26.1501
12/11/2020, $26.87, 45531, $26.7266, $26.9299, $26.72
12/10/2020, $26.9448, 38869, $26.93, $26.99, $26.895
12/09/2020, $27.01, 22882, $27.2299, $27.23, $26.93
12/08/2020, $27.1361, 80685, $27.09, $27.17, $27.09
12/07/2020, $27.0734, 18733, $27.38, $27.38, $27.01
12/04/2020, $27.16, 53351, $27.05, $27.16, $26.9916
12/03/2020, $26.8447, 16473, $26.98, $26.98, $26.8447
12/02/2020, $26.8884, 3500, $26.81, $26.905, $26.81
12/01/2020, $26.9, 12552, $26.9098, $26.9098, $26.85
11/30/2020, $26.5316, 2930, $26.412, $26.5316, $26.412
11/27/2020, $26.6514, 169, $26.625, $26.6514, $26.625
11/25/2020, $26.5783, 4178, $26.5732, $26.63, $26.5732
11/24/2020, $26.5964, 19078, $26.6, $26.6, $26.53
11/23/2020, $26.11, 2466, $26.12, $26.19, $26.11
11/20/2020, $26.01, 3015, $26.23, $26.23, $26.01
11/19/2020, $26.26, 4742, $26.13, $26.26, $26.08
11/18/2020, $26.146, 19237, $26.565, $26.565, $26.146
11/17/2020, $26.4107, 18679, $26.5, $26.51, $26.385
11/16/2020, $26.465, 2757, $26.45, $26.54, $26.395
11/13/2020, $26.1901, 18639, $26.035, $26.23, $25.97
11/12/2020, $25.8334, 11578, $25.99, $26.12, $25.73
11/11/2020, $26.09, 13464, $25.99, $26.15, $25.99
11/10/2020, $25.8696, 4510, $25.965, $26.02, $25.69
11/09/2020, $25.98, 16553, $26.72, $26.72, $25.98
11/06/2020, $25.6386, 4909, $25.44, $25.74, $25.44
11/05/2020, $25.73, 1171772, $25.63, $25.8499, $25.55
11/04/2020, $25.1751, 12201, $25.13, $25.5, $25.13
11/03/2020, $24.9492, 1558, $25.01, $25.01, $24.9316
11/02/2020, $24.6844, 7135, $24.82, $24.82, $24.67
10/30/2020, $24.5311, 21593, $24.63, $24.63, $24.3
10/29/2020, $24.73, 19039, $24.665, $24.8, $24.62
10/28/2020, $24.85, 19684, $25.05, $25.17, $24.85
10/27/2020, $25.22, 57784, $25.24, $25.27, $25.11
10/26/2020, $25.2358, 20891, $25.4, $25.4, $25.06
10/23/2020, $25.3963, 17523, $25.39, $25.46, $25.35
10/22/2020, $25.3294, 2402, $25.18, $25.39, $25.18
10/21/2020, $25.3131, 2552, $25.31, $25.45, $25.31
10/20/2020, $25.385, 8993, $25.43, $25.43, $25.28
10/19/2020, $25.29, 9184, $25.41, $25.54, $25.21
10/16/2020, $25.5661, 17401, $25.73, $25.73, $25.5661
10/15/2020, $25.615, 14055, $25.67, $25.83, $25.55
10/14/2020, $25.69, 9063, $25.6602, $25.81, $25.66
10/13/2020, $25.7049, 25936, $25.78, $25.92, $25.6
10/12/2020, $25.8653, 24415, $25.635, $26.1, $25.635
10/09/2020, $25.4707, 18341, $25.46, $25.49, $25.46
10/08/2020, $25.2977, 11755, $25.25, $25.39, $25.25
10/07/2020, $25.1464, 588436, $25.1, $25.23, $25.07
10/06/2020, $24.92, 20431, $25.22, $25.25, $24.92
10/05/2020, $25.1794, 11365, $25.06, $25.1815, $25.0445
10/02/2020, $25.0069, 6405, $25.055, $25.055, $24.95
10/01/2020, $25.13, 15432, $25.135, $25.22, $25.11
09/30/2020, $25.1553, 1042625, $25.05, $25.32, $25.03
