Date, Close/Last, Volume, Open, High, Low
01/20/2021, $68.63, 95580, $69.6, $69.85, $68.25
01/19/2021, $69.15, 175065, $68.98, $69.15, $68.01
01/15/2021, $68.21, 103285, $68.8, $70.1, $67.415
01/14/2021, $70.17, 150256, $70.75, $71.88, $69.71
01/13/2021, $70, 164991, $68.17, $70.02, $67.28
01/12/2021, $68.33, 59575, $67.18, $68.59, $67.18
01/11/2021, $67.58, 64470, $66.69, $67.67, $66.69
01/08/2021, $67.78, 75194, $68.34, $68.34, $66.5601
01/07/2021, $68.34, 75790, $69.61, $69.71, $67.87
01/06/2021, $69.08, 164011, $66.89, $70.06, $66.89
01/05/2021, $65.29, 79372, $62.87, $65.9, $62.84
01/04/2021, $62.61, 107680, $64.61, $65.28, $61.96
12/31/2020, $63.72, 49716, $63.31, $64, $63.13
12/30/2020, $63.47, 47469, $61.74, $63.67, $61.74
12/29/2020, $61.36, 62048, $62.43, $62.43, $61.04
12/28/2020, $62.12, 70535, $63.48, $63.48, $61.72
12/24/2020, $62.73, 37073, $63.95, $63.95, $61.84
12/23/2020, $63.68, 78630, $62.18, $64.23, $61.72
12/22/2020, $61.6, 54628, $61.29, $61.86, $60.39
12/21/2020, $61.42, 63952, $60.73, $61.52, $60.32
12/18/2020, $62.03, 391655, $62.41, $63.05, $60.35
12/17/2020, $62.47, 137452, $60.12, $62.53, $60.12
12/16/2020, $59.61, 118348, $59.71, $59.99, $58.2183
12/15/2020, $59.46, 178110, $57.37, $60.08, $57.37
12/14/2020, $57.25, 79904, $58.17, $58.66, $57.25
12/11/2020, $57.73, 82519, $58.37, $59.37, $57.475
12/10/2020, $58.95, 71295, $59.03, $59.53, $58.31
12/09/2020, $59.48, 77440, $62.21, $62.21, $59.385
12/08/2020, $61.56, 74118, $60.82, $61.69, $60.36
12/07/2020, $61.19, 47582, $61.84, $62.49, $61.02
12/04/2020, $62.18, 61173, $59.89, $62.28, $59.89
12/03/2020, $59.24, 26878, $60.46, $60.46, $59.06
12/02/2020, $60.13, 57824, $58.98, $60.29, $58.89
12/01/2020, $59, 70621, $59.31, $59.82, $58.28
11/30/2020, $58.3, 74434, $60.06, $60.06, $58.05
11/27/2020, $60.54, 24408, $60.56, $60.56, $59.345
11/25/2020, $60.37, 68935, $61.61, $61.61, $60.25
11/24/2020, $61.96, 91672, $61.9, $62.29, $60.9301
11/23/2020, $60.81, 82528, $60.48, $61.43, $59.59
11/20/2020, $60.16, 39670, $59.53, $60.36, $59
11/19/2020, $59.92, 61071, $60.6, $60.6, $58.86
11/18/2020, $60.55, 73975, $60.59, $61.53, $59.75
11/17/2020, $60.39, 84656, $60.93, $60.93, $59.22
11/16/2020, $61.25, 103435, $59.14, $61.69, $59.14
11/13/2020, $58.25, 67391, $55.99, $58.44, $55.99
11/12/2020, $55.46, 128700, $54.53, $56.02, $54.16
11/11/2020, $55.33, 52800, $56.95, $56.95, $54.63
11/10/2020, $56.92, 169299, $58.08, $58.61, $56.56
11/09/2020, $57.34, 129730, $55.34, $59, $54.87
11/06/2020, $52.14, 60267, $52.27, $52.75, $51.66
11/05/2020, $51.78, 81876, $50.88, $52.41, $50.88
11/04/2020, $50.39, 82224, $50.95, $51.88, $50.1
11/03/2020, $52, 88063, $51.97, $52.415, $51.37
11/02/2020, $51.33, 105975, $51.8, $51.85, $50.65
10/30/2020, $51.19, 96506, $51.72, $52.165, $50.88
10/29/2020, $51.82, 107128, $50.3, $52.71, $50.08
10/28/2020, $50.8, 163304, $50, $50.81, $49.51
