Date, Close/Last, Volume, Open, High, Low
03/24/2021, $13.84, 64850, $13.83, $13.86, $13.795
03/23/2021, $13.79, 53294, $13.82, $13.83, $13.79
03/22/2021, $13.8, 56640, $13.77, $13.81, $13.76
03/19/2021, $13.77, 89514, $13.85, $13.85, $13.75
03/18/2021, $13.82, 121936, $13.9, $13.9, $13.81
03/17/2021, $13.9, 67485, $13.96, $13.96, $13.87
03/16/2021, $13.94, 89580, $14.04, $14.04, $13.94
03/15/2021, $13.96, 184557, $13.98, $14.0194, $13.9211
03/12/2021, $13.99, 92030, $13.98, $14.02, $13.96
03/11/2021, $14.11, 68090, $14.13, $14.18, $14.09
03/10/2021, $14.09, 51856, $14.07, $14.14, $14.06
03/09/2021, $14.03, 75229, $13.99, $14.06, $13.98
03/08/2021, $13.95, 115085, $13.95, $13.96, $13.93
03/05/2021, $13.93, 250649, $13.92, $13.98, $13.88
03/04/2021, $13.95, 74238, $14.02, $14.03, $13.9
03/03/2021, $14, 150206, $14.02, $14.07, $13.96
03/02/2021, $14.07, 129409, $13.97, $14.12, $13.94
03/01/2021, $13.98, 116113, $14, $14.11, $13.95
02/26/2021, $13.96, 178854, $13.88, $14, $13.78
02/25/2021, $13.85, 144795, $14.03, $14.06, $13.82
02/24/2021, $14.03, 145196, $13.88, $14.03, $13.84
02/23/2021, $13.9, 201558, $14.14, $14.1797, $13.89
02/22/2021, $14.15, 151498, $14.48, $14.48, $14.14
02/19/2021, $14.49, 105759, $14.52, $14.54, $14.41
02/18/2021, $14.57, 89203, $14.64, $14.64, $14.5379
02/17/2021, $14.68, 130034, $14.63, $14.72, $14.58
02/16/2021, $14.61, 106333, $14.64, $14.65, $14.56
02/12/2021, $14.66, 74337, $14.64, $14.66, $14.6
02/11/2021, $14.7, 79290, $14.65, $14.71, $14.65
02/10/2021, $14.65, 188534, $14.62, $14.67, $14.59
02/09/2021, $14.61, 115661, $14.61, $14.66, $14.57
02/08/2021, $14.61, 139901, $14.61, $14.63, $14.58
02/05/2021, $14.59, 109767, $14.55, $14.62, $14.55
02/04/2021, $14.55, 93518, $14.5, $14.56, $14.46
02/03/2021, $14.51, 57523, $14.47, $14.57, $14.46
02/02/2021, $14.49, 93163, $14.46, $14.515, $14.45
02/01/2021, $14.5, 71843, $14.45, $14.5, $14.42
01/29/2021, $14.45, 72869, $14.43, $14.45, $14.36
01/28/2021, $14.44, 203572, $14.34, $14.45, $14.31
01/27/2021, $14.35, 170736, $14.28, $14.351, $14.22
01/26/2021, $14.27, 163584, $14.27, $14.3, $14.19
01/25/2021, $14.25, 100757, $14.16, $14.26, $14.14
01/22/2021, $14.16, 121482, $14.22, $14.26, $14.15
01/21/2021, $14.2, 84355, $14.25, $14.32, $14.16
01/20/2021, $14.2, 141765, $14.21, $14.22, $14.15
01/19/2021, $14.15, 146326, $14.13, $14.27, $14.12
01/15/2021, $14.13, 49821, $14.15, $14.15, $14.09
01/14/2021, $14.13, 136822, $14.15, $14.1599, $14.08
01/13/2021, $14.15, 142974, $14.15, $14.15, $13.91
01/12/2021, $14.13, 131091, $14.12, $14.17, $14.1
01/11/2021, $14.17, 57792, $14.19, $14.19, $14.15
01/08/2021, $14.18, 80329, $14.2, $14.2, $14.1154
01/07/2021, $14.13, 110962, $14.2, $14.23, $14.12
01/06/2021, $14.18, 59041, $14.32, $14.325, $14.18
01/05/2021, $14.32, 95060, $14.37, $14.39, $14.29
01/04/2021, $14.38, 150349, $14.47, $14.47, $14.25
12/31/2020, $14.45, 168908, $14.33, $14.47, $14.2897
12/30/2020, $14.27, 101241, $14.12, $14.27, $14.09
12/29/2020, $14.14, 69134, $14.1, $14.17, $14.08
12/28/2020, $14.05, 150253, $14.17, $14.18, $14.03
12/24/2020, $14.16, 39445, $14.09, $14.18, $14.07
12/23/2020, $14.05, 139557, $14.06, $14.12, $14
12/22/2020, $13.97, 157290, $14.08, $14.1079, $13.95
12/21/2020, $14, 137878, $14.12, $14.13, $14
12/18/2020, $14.12, 95645, $13.89, $14.12, $13.89
12/17/2020, $13.86, 130453, $13.98, $14.03, $13.85
12/16/2020, $14, 171803, $14.15, $14.1711, $13.96
12/15/2020, $14.15, 68614, $14.18, $14.22, $14.14
12/14/2020, $14.17, 59585, $14.17, $14.23, $14.17
12/11/2020, $14.24, 113452, $14.2, $14.25, $14.2
