Date, Close/Last, Volume, Open, High, Low
03/24/2021, $15.275, 2315, $15.25, $15.565, $15.25
03/23/2021, $15.3483, 141, $15.3483, $15.3483, $15.3483
03/22/2021, $16.08, 522, $16.08, $16.08, $16.08
03/19/2021, $15.5, 4422, $15.75, $15.75, $15.3
03/18/2021, $15.75, N/A, $15.75, $15.75, $15.75
03/17/2021, $15.75, 2175, $16.14, $16.14, $15.75
03/16/2021, $16.44, 769, $16.09, $16.44, $16.09
03/15/2021, $16.16, 2041, $16.3, $16.53, $16.16
03/12/2021, $16.2088, 708, $16.27, $16.7522, $16.2088
03/11/2021, $16.65, 1541, $16.82, $16.82, $16.43
03/10/2021, $16.3214, 1578, $16.47, $16.47, $16.3214
03/09/2021, $16.2, 14243, $15.92, $16.49, $15.92
03/08/2021, $15.46, 5179, $15.31, $15.7905, $15.31
03/05/2021, $15.5, 5288, $15.32, $15.55, $15.06
03/04/2021, $15.51, 10733, $16.44, $16.44, $15.05
03/03/2021, $16.49, 5471, $17.05, $17.05, $16.49
03/02/2021, $16.67, 1023, $16.81, $16.81, $16.67
03/01/2021, $16.7794, 1246, $16.25, $16.82, $16.25
02/26/2021, $16.6161, 3719, $16.51, $16.85, $16.4452
02/25/2021, $16.577, 6429, $16.84, $16.975, $16.35
02/24/2021, $16.8028, 2979, $16.87, $17.03, $16.8028
02/23/2021, $16.7, 10208, $16.842, $17, $16.7
02/22/2021, $17.25, 5241, $17.22, $17.4, $17.2
02/19/2021, $17.35, 7309, $17.388, $17.5, $17.01
02/18/2021, $16.87, 18882, $17.48, $17.48, $16.86
02/17/2021, $17.56, 10093, $17.8, $18.15, $17.5
02/16/2021, $18, 5726, $17.62, $18, $17.6
02/12/2021, $17.87, 6393, $17.628, $18, $17.56
02/11/2021, $17.61, 15564, $18.2, $18.29, $17.58
02/10/2021, $18.19, 9285, $18.48, $18.48, $17.98
02/09/2021, $17.93, 3472, $18.2, $18.21, $17.86
02/08/2021, $18.03, 6425, $18.46, $18.46, $18.012
02/05/2021, $17.93, 5691, $18.02, $18.45, $17.91
02/04/2021, $17.71, 7344, $17.94, $18.2899, $17.67
02/03/2021, $17.31, 3688, $17.6941, $17.9499, $17.25
02/02/2021, $17.91, 11323, $17.74, $18.0119, $17.43
02/01/2021, $18, 16975, $17.89, $18.4299, $17.41
01/29/2021, $16.67, 12944, $17.4, $17.45, $16.6
01/28/2021, $17.01, 2279, $17.6, $17.6, $16.98
01/27/2021, $16.91, 17665, $17.39, $17.82, $16.8
01/26/2021, $17.47, 13781, $18.05, $18.05, $17.32
01/25/2021, $17.77, 68814, $17.9, $18.145, $17.046
01/22/2021, $19, 7543, $18.74, $19, $18.42
01/21/2021, $19.4851, 4529, $19.49, $19.56, $19.2
01/20/2021, $19.68, 26619, $19.73, $20, $19.28
01/19/2021, $19.1, 28629, $19.73, $20.63, $18.43
01/15/2021, $18.75, 35471, $19.09, $19.57, $18.66
01/14/2021, $18.12, 24928, $18.55, $19.181, $17.8
01/13/2021, $18.69, 11018, $18.69, $19.09, $18.17
01/12/2021, $18.75, 25239, $18.64, $19.9, $18.58
01/11/2021, $18.82, 8152, $18.66, $19.49, $18.5
01/08/2021, $19.08, 12684, $19.08, $19.3399, $18.525
01/07/2021, $18.21, 77270, $18.7, $19.18, $18.08
01/06/2021, $19.3, 101785, $18.49, $19.99, $18.39
01/05/2021, $19.18, 85514, $17.64, $19.93, $17.23
01/04/2021, $16.5, 40330, $16.94, $17, $16.24
12/31/2020, $16.5, 15535, $16.7, $17.28, $16.1
12/30/2020, $16.73, 6263, $16.55, $17.1, $16.54
12/29/2020, $16.41, 52822, $16.47, $17.0299, $16.305
12/28/2020, $16.6, 34829, $16.95, $17.045, $16.3
12/24/2020, $17.24, 17150, $18.23, $18.28, $16.81
12/23/2020, $17.98, 33954, $17.53, $17.98, $17.17
12/22/2020, $16.61, 10204, $17.1, $17.4399, $16.52
12/21/2020, $17.0348, 59992, $18.25, $18.25, $16.71
12/18/2020, $18.43, 56026, $19.85, $19.85, $18.23
12/17/2020, $19.4, 130053, $19.35, $20.9, $19.023
12/16/2020, $18.75, 194371, $17.47, $21.55, $17.04
12/15/2020, $16.6, 25711, $16.2, $16.7767, $16.2
12/14/2020, $15.95, 220037, $17.45, $17.45, $15.89
12/11/2020, $16.98, 624542, $18.15, $19.33, $16
