Date, Close/Last, Volume, Open, High, Low
01/20/2021, $14.06, 2201, $14.05, $14.0608, $14.05
01/19/2021, $14.03, 4950, $14.03, $14.06, $14.02
01/15/2021, $14.056, 1132, $14.01, $14.056, $14.01
01/14/2021, $14.0499, 2800, $13.99, $14.0499, $13.99
01/13/2021, $14.05, 910, $14.01, $14.0521, $14.01
01/12/2021, $13.97, 734, $14.02, $14.25, $13.97
01/11/2021, $14.0199, N/A, $14.0199, $14.0199, $14.0199
01/08/2021, $14.0199, N/A, $14.0199, $14.0199, $14.0199
01/07/2021, $14.0199, 3077, $14.005, $14.02, $13.99
01/06/2021, $14.0343, 935, $14.05, $14.05, $14.0343
01/05/2021, $14.0359, 632, $14.02, $14.0359, $14.02
01/04/2021, $14.02, 1818, $14.03, $14.03, $14.02
12/31/2020, $14.0157, 10347, $14.06, $14.06, $13.9916
12/30/2020, $14.02, 702, $14.0526, $14.0526, $14.02
12/29/2020, $13.9701, 6959, $14.06, $14.06, $13.97
12/28/2020, $13.97, 700, $13.9702, $13.9702, $13.97
12/24/2020, $13.98, 6585, $14.05, $14.05, $13.96
12/23/2020, $13.99, N/A, $13.99, $13.99, $13.99
12/22/2020, $13.99, 8439, $13.85, $14.04, $13.85
12/21/2020, $14.0303, N/A, $14.0303, $14.0303, $14.0303
12/18/2020, $14.0303, 330, $14.03, $14.0303, $14.03
12/17/2020, $14.03, 4732, $14.0074, $14.03, $14.0074
12/16/2020, $13.97, 16700, $14.0506, $14.0506, $13.95
12/15/2020, $14.03, 1850, $14.14, $14.14, $14.03
12/14/2020, $14.14, 4150, $14.11, $14.14, $14.1
12/11/2020, $14.144, N/A, $14.144, $14.144, $14.144
12/10/2020, $14.144, N/A, $14.144, $14.144, $14.144
12/09/2020, $14.144, N/A, $14.144, $14.144, $14.144
12/08/2020, $14.144, 4630, $14.16, $14.17, $14.12
12/07/2020, $14.15, 5472, $14.28, $14.28, $14.11
12/04/2020, $14.17, 4723, $14.2, $14.2001, $14.17
12/03/2020, $14.15, 630, $14.11, $14.2, $14.11
12/02/2020, $14.1646, 1684, $14.1555, $14.2, $14.1555
