Date, Close/Last, Volume, Open, High, Low
03/24/2021, $9.97, 1449943, $11.3408, $11.3408, $9.92
03/23/2021, $10.095, 1013842, $10.24, $10.49, $10.04
03/22/2021, $10.4, 691785, $10.84, $10.89, $10.365
03/19/2021, $10.84, 2157732, $11, $11.14, $10.79
03/18/2021, $11.03, 788204, $11.2, $11.45, $10.96
03/17/2021, $11.19, 1300425, $11.08, $11.23, $10.76
03/16/2021, $11.09, 949798, $11.1, $11.29, $11.06
03/15/2021, $11.21, 793814, $10.97, $11.31, $10.4301
03/12/2021, $10.95, 727625, $10.85, $10.97, $10.69
03/11/2021, $10.76, 785875, $10.49, $10.765, $10.33
03/10/2021, $10.45, 536759, $10.49, $10.62, $10.325
03/09/2021, $10.45, 810668, $10.56, $10.68, $10.36
03/08/2021, $10.465, 636956, $10.15, $10.53, $10.04
03/05/2021, $10.15, 826697, $9.94, $10.19, $9.35
03/04/2021, $9.7, 1088959, $10.25, $10.3084, $9.49
03/03/2021, $10.22, 542324, $10.44, $10.5, $10.06
03/02/2021, $10.345, 632472, $10.22, $10.655, $10.22
03/01/2021, $10.5, 801120, $10.34, $10.52, $10.1629
02/26/2021, $10.02, 1631327, $10.54, $10.935, $10.02
02/25/2021, $10.63, 2462054, $11.17, $11.17, $10.5
02/24/2021, $10.505, 1466788, $10.29, $10.7, $10.26
02/23/2021, $10.24, 1163834, $9.671, $10.45, $9.671
02/22/2021, $10.14, 1099573, $10.035, $10.31, $9.78
02/19/2021, $10.01, 1717424, $9.439, $10.1, $9.41
02/18/2021, $9.23, 1258244, $8.83, $9.33, $8.75
02/17/2021, $8.73, 706172, $8.51, $8.77, $8.47
02/16/2021, $8.65, 570658, $8.7, $8.76, $8.53
02/12/2021, $8.71, 372568, $8.68, $8.76, $8.57
02/11/2021, $8.74, 911623, $8.6, $9.04, $8.52
02/10/2021, $8.54, 838555, $8.62, $8.7, $8.4
02/09/2021, $8.56, 779158, $8.33, $8.62, $8.29
02/08/2021, $8.33, 618303, $8.05, $8.345, $7.98
02/05/2021, $8.02, 845742, $8.21, $8.25, $7.86
02/04/2021, $8.13, 872259, $7.78, $8.185, $7.76
02/03/2021, $7.755, 1176658, $7.87, $8.01, $7.485
02/02/2021, $7.94, 3000647, $7.59, $8.18, $7.49
02/01/2021, $6.94, 831887, $6.96, $6.96, $6.56
01/29/2021, $6.76, 1162747, $7.06, $7.105, $6.76
01/28/2021, $7.1, 798177, $7.01, $7.21, $6.94
01/27/2021, $6.96, 922363, $7.2, $7.375, $6.939
01/26/2021, $7.35, 564998, $7.42, $7.63, $7.335
01/25/2021, $7.43, 729840, $7.46, $7.7, $7.3
01/22/2021, $7.33, 740872, $7.18, $7.35, $7.07
01/21/2021, $7.21, 730845, $7.16, $7.25, $7.025
01/20/2021, $7.11, 456355, $7.06, $7.18, $7.06
01/19/2021, $7.04, 625874, $7.19, $7.19, $6.865
01/15/2021, $7.09, 947374, $6.95, $7.19, $6.8
01/14/2021, $7.06, 799766, $7.2, $7.33, $7.04
01/13/2021, $7.11, 754292, $7.06, $7.2015, $6.97
01/12/2021, $7.11, 634979, $7.15, $7.21, $7.05
01/11/2021, $7.1, 557374, $7.03, $7.14, $6.97
01/08/2021, $7.17, 938280, $7.17, $7.2, $6.93
01/07/2021, $7.15, 630643, $7.27, $7.27, $7.07
01/06/2021, $7.2, 1277129, $7.18, $7.44, $7.07
01/05/2021, $7.01, 824198, $6.9, $7.095, $6.9
01/04/2021, $6.89, 1122932, $7.24, $7.29, $6.73
12/31/2020, $7.29, 743772, $7.22, $7.31, $7.07
12/30/2020, $7.24, 724110, $7.22, $7.4, $7.16
12/29/2020, $7.32, 696000, $7.55, $7.6, $7.2
12/28/2020, $7.48, 1928120, $7.37, $7.5, $7.21
12/24/2020, $7.3, 493844, $7.33, $7.41, $7.235
12/23/2020, $7.26, 670058, $7.14, $7.38, $7.14
12/22/2020, $7.12, 612684, $7.28, $7.28, $7.03
12/21/2020, $7.26, 963591, $7.34, $7.43, $7.19
12/18/2020, $7.59, 2631283, $7.73, $7.82, $7.47
12/17/2020, $7.66, 749504, $7.54, $7.72, $7.525
12/16/2020, $7.54, 1141566, $7.54, $7.61, $7.31
12/15/2020, $7.5, 603414, $7.35, $7.51, $7.23
12/14/2020, $7.24, 1076856, $7.59, $7.66, $7.23
12/11/2020, $7.44, 952336, $7.52, $7.56, $7.3
12/10/2020, $7.64, 972599, $7.45, $7.7, $7.38
12/09/2020, $7.56, 829920, $7.71, $7.71, $7.49
