Date, Close/Last, Volume, Open, High, Low
01/20/2021, $11.15, 52020, $11.28, $11.28, $11.09
01/19/2021, $11.19, 80473, $11.4, $11.41, $11.1086
01/15/2021, $11.25, 71435, $11.43, $11.5, $11.1502
01/14/2021, $11.34, 92535, $11.25, $11.6, $11.25
01/13/2021, $11.23, 289569, $11.25, $11.55, $11.15
01/12/2021, $11.28, 173337, $11.334, $11.5, $11.2
01/11/2021, $11.22, 148502, $11.37, $11.39, $11.14
01/08/2021, $11.14, 167328, $11.13, $11.2, $10.9
01/07/2021, $10.98, 106223, $10.9, $11.09, $10.76
01/06/2021, $10.85, 47748, $10.9, $10.98, $10.8
01/05/2021, $10.89, 169442, $10.93, $11.18, $10.8
01/04/2021, $10.99, 91125, $11, $11.09, $10.9
12/31/2020, $10.85, 103580, $10.87, $10.98, $10.82
12/30/2020, $10.97, 470747, $11.1, $11.1, $10.9
12/29/2020, $11.05, 92182, $11.19, $11.29, $11.0104
12/28/2020, $11.1, 230506, $11.2, $11.34, $11.05
12/24/2020, $11.1, 152761, $11.19, $11.24, $11.075
12/23/2020, $11, 120912, $11.35, $11.5, $11
12/22/2020, $11.24, 108246, $11.1002, $11.8497, $11.1002
12/21/2020, $11.05, 133121, $11.5, $11.7, $11.02
12/18/2020, $11.06, 119923, $10.95, $11.25, $10.9498
12/17/2020, $10.87, 65486, $11, $11.2, $10.87
12/16/2020, $10.84, 19092, $10.92, $11, $10.7624
12/15/2020, $10.81, 32070, $10.95, $11, $10.8
12/14/2020, $10.79, 50050, $10.93, $10.95, $10.76
12/11/2020, $10.76, 44310, $10.8, $10.99, $10.72
12/10/2020, $10.81, 20453, $10.8, $10.9999, $10.8
12/09/2020, $10.81, 100218, $11, $11, $10.8
12/08/2020, $11.05, 228782, $10.8, $11.42, $10.765
12/07/2020, $10.9499, 94524, $10.85, $11, $10.7671
12/04/2020, $10.75, 41327, $11.31, $11.31, $10.75
12/03/2020, $10.7, 91835, $10.7, $10.78, $10.6197
12/02/2020, $10.65, 118810, $10.8, $11, $10.61
12/01/2020, $10.7, 77545, $10.49, $10.75, $10.47
11/30/2020, $10.54, 49321, $10.75, $10.75, $10.5
11/27/2020, $10.57, 83801, $10.44, $11.05, $10.33
11/25/2020, $10.39, 332596, $10.4, $10.4, $10.33
11/24/2020, $10.31, 24590, $10.3, $10.4, $10.269
11/23/2020, $10.25, 53079, $10.3, $10.45, $10.24
11/20/2020, $10.3, 58687, $10.4, $10.4999, $10.3
11/19/2020, $10.3, 173955, $10.25, $10.3499, $10.215
11/18/2020, $10.18, 99416, $10.25, $10.25, $10.17
11/17/2020, $10.24, 283588, $10.3, $10.3, $10.23
11/16/2020, $10.25, 130848, $10.3, $10.3, $10.2
11/13/2020, $10.19, 34302, $10.202, $10.25, $10.18
11/12/2020, $10.18, 341580, $10.25, $10.4, $10.16
11/11/2020, $10.11, 4590870, $10.02, $10.32, $10.02
