Date, Close/Last, Volume, Open, High, Low
01/20/2021, $5.13, 306199, $5.5, $5.5, $5.08
01/19/2021, $5.19, 632004, $5.2, $5.26, $5
01/15/2021, $6.03, 39979, $6.13, $6.21, $5.84
01/14/2021, $6.18, 48924, $5.97, $6.38, $5.8415
01/13/2021, $5.97, 51907, $5.91, $6, $5.75
01/12/2021, $5.92, 48593, $6.07, $6.16, $5.8401
01/11/2021, $6.08, 46754, $6.11, $6.2266, $5.9101
01/08/2021, $6.25, 84889, $6.03, $6.39, $5.95
01/07/2021, $5.87, 256563, $6.45, $6.46, $5.58
01/06/2021, $6.68, 2237023, $6.8, $7.6094, $6.05
01/05/2021, $5.57, 25670, $5.18, $5.7, $5.18
01/04/2021, $5.16, 24490, $5.23, $5.3, $5.1
12/31/2020, $5.25, 35565, $5.6, $5.6, $5.1676
12/30/2020, $5.53, 94075, $5.5, $5.86, $5.36
12/29/2020, $5.55, 38944, $5.75, $5.784, $5.53
12/28/2020, $5.76, 36731, $6.22, $6.285, $5.75
12/24/2020, $6.09, 20049, $6.38, $6.38, $6.085
12/23/2020, $6.38, 84792, $6.16, $6.6745, $6.13
12/22/2020, $6.18, 21925, $6.23, $6.4, $6.08
12/21/2020, $6.13, 36045, $6.11, $6.3482, $5.905
12/18/2020, $6.1, 57303, $6.15, $6.42, $6.1
12/17/2020, $6.08, 39315, $5.86, $6.22, $5.8101
12/16/2020, $5.78, 28098, $5.87, $6, $5.75
12/15/2020, $5.93, 60677, $5.51, $6.08, $5.43
12/14/2020, $5.47, 13074, $5.44, $5.55, $5.43
12/11/2020, $5.44, 18411, $5.54, $5.69, $5.3101
12/10/2020, $5.54, 12444, $5.4773, $5.6478, $5.43
12/09/2020, $5.42, 16434, $5.72, $5.72, $5.41
12/08/2020, $5.72, 39158, $5.45, $5.811, $5.45
12/07/2020, $5.47, 25715, $5.51, $5.555, $5.32
12/04/2020, $5.45, 15560, $5.56, $5.69, $5.45
12/03/2020, $5.41, 9233, $5.48, $5.58, $5.41
12/02/2020, $5.48, 9577, $5.4, $5.66, $5.4
12/01/2020, $5.42, 16427, $5.475, $5.6159, $5.42
11/30/2020, $5.41, 14604, $5.35, $5.44, $5.3
11/27/2020, $5.42, 17141, $5.46, $5.52, $5.35
11/25/2020, $5.4, 16918, $5.48, $5.5, $5.3
11/24/2020, $5.44, 10523, $5.47, $5.47, $5.29
11/23/2020, $5.4, 11610, $5.297, $5.49, $5.27
11/20/2020, $5.36, 18965, $5.28, $5.4, $5.12
11/19/2020, $5.38, 12951, $5.4, $5.438, $5.28
11/18/2020, $5.35, 8272, $5.3, $5.3522, $5.25
11/17/2020, $5.22, 41405, $5.06, $5.51, $5.06
11/16/2020, $5.11, 21063, $5.49, $5.61, $5.06
11/13/2020, $5.26, 21455, $5.34, $5.5299, $5.16
11/12/2020, $5.27, 25396, $5.35, $5.48, $5
11/11/2020, $5.32, 23440, $5.75, $5.923, $5.155
11/10/2020, $5.71, 25940, $5.5, $5.75, $5.42
11/09/2020, $5.57, 23107, $5.24, $5.795, $5.03
11/06/2020, $5.14, 6637, $5.24, $5.38, $5.075
11/05/2020, $5.26, 7363, $5.13, $5.47, $5.02
11/04/2020, $5.11, 3377, $5.2, $5.29, $5.02
11/03/2020, $5.29, 19208, $5.32, $5.3605, $5
11/02/2020, $5.17, 29103, $5.1, $5.35, $4.82
10/30/2020, $5.02, 5789, $5.18, $5.25, $5.02
10/29/2020, $5.34, 5165, $5.11, $5.34, $5.03
10/28/2020, $5.24, 14794, $5.42, $5.42, $5.13
10/27/2020, $5.6, 40961, $6.07, $6.1366, $5.3001
10/26/2020, $6.13, 3634, $6.015, $6.13, $5.85
10/23/2020, $6.24, 1577, $6.24, $6.24, $6.24
10/22/2020, $6.07, 13453, $5.978, $6.22, $5.978
10/21/2020, $5.94, 5252, $6.02, $6.1217, $5.89
10/20/2020, $6.13, 12084, $6.4, $6.4, $5.98
10/19/2020, $6.28, 6410, $6.52, $6.52, $6.22
10/16/2020, $6.57, 7421, $6.3, $6.6499, $6.3
10/15/2020, $6.34, 4788, $6.05, $6.4, $6.0401
10/14/2020, $6.29, 5958, $6.505, $6.74, $6.25
10/13/2020, $6.59, 5686, $6.3786, $6.825, $6.3786
10/12/2020, $6.57, 8046, $6.065, $6.59, $6.065
10/09/2020, $6.42, 4882, $6.42, $6.4848, $6.1087
10/08/2020, $6.48, 6734, $5.8701, $6.5, $5.8701
10/07/2020, $6.37, 17501, $5.78, $6.39, $5.7004
10/06/2020, $5.7, 5545, $5.8, $5.8, $5.61
10/05/2020, $5.78, 10043, $5.6555, $5.81, $5.6555
10/02/2020, $5.55, 10894, $5.545, $5.72, $5.45
10/01/2020, $5.63, 7148, $5.63, $5.74, $5.53
09/30/2020, $5.62, 9561, $5.77, $5.77, $5.49
09/29/2020, $5.7, 22628, $5.6, $5.71, $5.35
09/28/2020, $5.59, 8013, $5.74, $5.74, $5.57
09/25/2020, $5.75, 14369, $5.29, $5.85, $5.26
09/24/2020, $5.41, 12466, $5.58, $5.65, $5.35
09/23/2020, $5.47, 21995, $6.01, $6.01, $5.39
09/22/2020, $5.83, 24822, $6, $6.13, $5.75
09/21/2020, $5.96, 22451, $6.32, $6.43, $5.9385
09/18/2020, $6.4, 48598, $6.26, $6.5, $6.21
09/17/2020, $6.13, 12019, $6.11, $6.22, $6.04
09/16/2020, $6.26, 26498, $6.35, $6.65, $6.23
09/15/2020, $6.26, 46005, $6.02, $6.5, $6.02
09/14/2020, $6.08, 13366, $5.78, $6.155, $5.78
09/11/2020, $5.8, 13474, $5.91, $5.95, $5.75
09/10/2020, $5.84, 9631, $5.94, $6.09, $5.8
09/09/2020, $5.84, 20909, $5.84, $5.98, $5.61
09/08/2020, $5.84, 23107, $5.88, $5.955, $5.7601
09/04/2020, $6.11, 50426, $5.97, $6.22, $5.91
09/03/2020, $5.81, 24904, $5.81, $5.8883, $5.7
09/02/2020, $5.84, 22767, $6.05, $6.05, $5.62
09/01/2020, $6.04, 45280, $6.093, $6.093, $5.88
08/31/2020, $6.08, 23751, $6.18, $6.31, $6.08
08/28/2020, $6.32, 16784, $6.0489, $6.35, $6.0489
08/27/2020, $6.16, 43564, $6.24, $6.34, $5.92
08/26/2020, $6.29, 13289, $6.45, $6.54, $6.2501
08/25/2020, $6.37, 20085, $6.3, $6.46, $6.09
08/24/2020, $6.2, 24480, $6.39, $6.45, $5.83
08/21/2020, $6.24, 21246, $6.28, $6.43, $6.11
08/20/2020, $6.29, 20859, $6.17, $6.39, $6.17
08/19/2020, $6.26, 15987, $6.28, $6.365, $6.26
08/18/2020, $6.35, 19605, $6.61, $6.61, $6.27
08/17/2020, $6.59, 30743, $6.56, $6.65, $6.4
08/14/2020, $6.57, 27593, $6.45, $6.68, $6.25
08/13/2020, $6.55, 52534, $6.31, $6.89, $6.31
08/12/2020, $6.35, 55639, $6.42, $6.54, $5.99
08/11/2020, $6.43, 58836, $6.95, $6.96, $6.33
08/10/2020, $7.02, 60242, $6.64, $7.25, $6.56
08/07/2020, $6.63, 39113, $6.56, $6.86, $6.5
08/06/2020, $6.64, 27873, $6.51, $6.64, $6.41
08/05/2020, $6.59, 69498, $6.75, $6.8182, $6.42
08/04/2020, $6.76, 56822, $6.57, $7, $6.57
08/03/2020, $6.57, 36788, $6.44, $6.68, $6.335
07/31/2020, $6.41, 39841, $6.5, $6.6521, $6.18
07/30/2020, $6.56, 106702, $6.18, $6.8, $6.02
07/29/2020, $6.17, 116768, $6.62, $6.73, $6.1
07/28/2020, $6.62, 183709, $7, $7, $6.3
07/27/2020, $7.02, 56550, $7.21, $7.34, $6.811
07/24/2020, $7.2, 45400, $7.35, $7.4199, $7.0228
07/23/2020, $7.43, 67449, $7.84, $7.88, $7.36
07/22/2020, $7.95, 46881, $8.06, $8.1434, $7.3421
07/21/2020, $8.14, 92669, $8.5, $8.65, $8.04
07/20/2020, $8.29, 66502, $8.91, $9.0399, $8.0059
07/17/2020, $8.67, 228931, $7.57, $8.99, $7.57
07/16/2020, $7.66, 59428, $7.12, $7.8599, $7.12
07/15/2020, $7.26, 61150, $7.52, $7.6399, $7.2
07/14/2020, $7.69, 103411, $7.64, $7.89, $6.8001
07/13/2020, $7.58, 78584, $7.99, $8.04, $7.52
07/10/2020, $7.94, 71730, $8.09, $8.17, $7.76
07/09/2020, $7.76, 69331, $8.01, $8.12, $7.6217
07/08/2020, $8.08, 177824, $8.16, $8.4299, $7.8
07/07/2020, $7.73, 196603, $8.02, $8.3799, $7.52
07/06/2020, $8.02, 107763, $8.7, $8.8798, $7.78
07/02/2020, $8.58, 107233, $8.02, $8.76, $8.0004
07/01/2020, $7.99, 103574, $8.01, $8.66, $7.5902
06/30/2020, $8.05, 55633, $8.31, $8.72, $8.031
06/29/2020, $8.31, 142062, $9.07, $9.5, $8.11
06/26/2020, $9.08, 571362, $9.85, $10.15, $8.93
06/25/2020, $9.85, 93446, $9.54, $9.99, $9.54
06/24/2020, $9.54, 39166, $9.83, $9.86, $9.37
06/23/2020, $9.52, 80321, $9.8, $10.065, $9.41
06/22/2020, $9.93, 47947, $9.56, $9.999, $9.5
06/19/2020, $9.37, 79738, $10.03, $10.4, $9.37
06/18/2020, $9.84, 91055, $9.95, $10.2899, $9.25
06/17/2020, $9.9, 114519, $10.19, $10.5, $9.7
06/16/2020, $9.81, 33828, $9.81, $10.3499, $9.6145
06/15/2020, $9.5, 42833, $10.24, $10.33, $9.5
06/12/2020, $9.73, 20560, $10.09, $10.57, $9.43
06/11/2020, $9.78, 25265, $10.67, $10.67, $9.605
06/10/2020, $10.67, 55357, $12.22, $12.54, $10.5102
06/09/2020, $12.245, 18819, $12.5, $12.965, $12.2
06/08/2020, $12.3, 33028, $13.73, $13.96, $12.3
06/05/2020, $13.73, 58926, $14, $14.1, $13.42
06/04/2020, $14.1, 31432, $14.4, $14.43, $13.57
06/03/2020, $14.25, 23414, $14.05, $14.29, $13.9337
06/02/2020, $14.1, 40488, $13.9, $14.19, $13.77
06/01/2020, $13.87, 42100, $13.22, $14.3, $13.22
05/29/2020, $13.22, 44736, $12.9607, $13.3499, $12.7997
05/28/2020, $13.17, 27203, $13, $13.2, $12.962
05/27/2020, $12.93, 48924, $13.4, $13.6, $12.76
05/26/2020, $13.01, 14618, $13.6, $13.8199, $13.01
05/22/2020, $13.74, 11506, $13.75, $13.8, $13.105
05/21/2020, $13.57, 16072, $14.3, $14.3, $13.015
05/20/2020, $14.3, 14787, $14.15, $14.3, $13.81
05/19/2020, $14.29, 17281, $14.15, $14.29, $13.385
05/18/2020, $14, 26248, $13.58, $14.29, $13.285
05/15/2020, $13.51, 11715, $13.29, $13.895, $12.535
05/14/2020, $13.09, 16124, $13, $13.49, $12.475
05/13/2020, $13.26, 18026, $13.56, $14.29, $13.135
05/12/2020, $13.81, 37251, $13.8, $14.62, $13.73
05/11/2020, $13.55, 15385, $13.92, $14.02, $13.55
05/08/2020, $14, 18284, $13.39, $14.02, $13.39
05/07/2020, $13.31, 15371, $14.8, $14.8, $13.31
05/06/2020, $14.8, 21989, $14.57, $14.86, $14.08
05/05/2020, $14.4, 37402, $13.99, $14.9487, $13.57
05/04/2020, $13.73, 67757, $13, $13.73, $13
05/01/2020, $12.87, 20734, $13.52, $13.625, $12.72
04/30/2020, $14.21, 26833, $14.84, $14.84, $13.81
04/29/2020, $14.89, 22143, $15.11, $15.11, $14.353
04/28/2020, $15.155, 8462, $15.1, $15.155, $14.49
04/27/2020, $15.1, 15670, $14.9, $15.22, $14.52
04/24/2020, $14.93, 21590, $14.7, $14.93, $14.25
04/23/2020, $14.56, 47067, $14.25, $14.9714, $14.25
04/22/2020, $14.2, 60647, $13, $14.59, $13
04/21/2020, $12.98, 25874, $12.8, $13.18, $12.42
04/20/2020, $12.8, 25547, $13.45, $13.6034, $12.34
04/17/2020, $13.16, 41579, $12, $13.93, $12
04/16/2020, $12.45, 40516, $14.71, $14.875, $12.2
04/15/2020, $15.01, 43312, $16.8, $16.8515, $15
04/14/2020, $16.7, 153249, $20, $20.86, $15.61
04/13/2020, $29.44, 6804, $28, $29.49, $28
04/09/2020, $28.86, 13505, $29.71, $29.71, $23.47
04/08/2020, $27.21, 16673, $23.07, $29.3, $21.6873
04/07/2020, $21, 15549, $18.612, $21, $15.18
04/06/2020, $18.04, 16849, $17, $19, $15.3
04/03/2020, $15.8, 11876, $14.01, $16.2399, $14.01
04/02/2020, $14.2701, 6313, $12.84, $15, $12.84
04/01/2020, $11.5, 5821, $15, $15, $11.5
03/31/2020, $13.9, 4896, $12.51, $13.9, $10.6714
03/30/2020, $12.93, 4548, $14.76, $14.94, $11.5423
03/27/2020, $14.57, 2887, $14.5, $14.6, $14.1781
03/26/2020, $14.16, 8443, $12.4, $14.49, $12.4
03/25/2020, $11.65, 4413, $11.62, $12.49, $10.05
03/24/2020, $10.97, 10192, $9.22, $10.97, $9.22
03/23/2020, $8.97, 8842, $8.91, $9.74, $8.76
03/20/2020, $8.91, 6005, $9.39, $9.43, $8.49
03/19/2020, $8.61, 4742, $8.11, $8.91, $7.33
03/18/2020, $8.11, 10979, $8.09, $8.63, $7.71
03/17/2020, $8.71, 5466, $8.267, $9.81, $8.1638
03/16/2020, $8.49, 7905, $8.99, $9.28, $8.19
03/13/2020, $9.46, 14822, $9.54, $9.8, $8
03/12/2020, $9.1, 18824, $12.3, $12.3, $8.75
03/11/2020, $12.5, 19037, $13.66, $14.935, $12.5
03/10/2020, $14.5, 25919, $15.63, $15.9394, $13.55
03/09/2020, $15.14, 12217, $13.2, $15.99, $13.2
03/06/2020, $16.48, 17062, $15.77, $16.48, $15.0006
03/05/2020, $16, 15014, $15.82, $16.24, $14.1646
03/04/2020, $15.18, 14863, $13.53, $15.32, $13.2528
03/03/2020, $13.33, 17600, $13.16, $16.3, $13.16
03/02/2020, $14, 30606, $15.1, $16.45, $14
02/28/2020, $15.4, 35586, $15.9, $17.6592, $13.86
02/27/2020, $16.94, 20733, $16.76, $18.2, $16.32
02/26/2020, $17.03, 29046, $16.874, $18.79, $16.22
02/25/2020, $17.36, 37638, $17.35, $19.5, $17.03
02/24/2020, $17.51, 16589, $17.65, $17.65, $16.31
02/21/2020, $17.86, 14795, $17.76, $18.98, $17.665
02/20/2020, $18.18, 27120, $18.05, $18.9147, $17.95
02/19/2020, $19.25, 47194, $18.35, $21.49, $18.01
02/18/2020, $18.86, 52485, $24.07, $24.07, $18.79
02/14/2020, $23.77, 48317, $21.36, $26.2679, $21
02/13/2020, $23.5, 134668, $24.5, $26.4497, $18.8
02/12/2020, $30, 389831, $15.2596, $30, $15.2596
02/11/2020, $14.7, 45012, $11.21, $17, $11.21
02/10/2020, $12.55, 20825, $12.29, $12.55, $11.0776
02/07/2020, $12.79, 87094, $11.5, $15.925, $11.1575
02/06/2020, $10.905, 19474, $10.68, $11.35, $10.53
02/05/2020, $10.78, 33057, $10.25, $11.7198, $9.3499
02/04/2020, $11.21, 72113, $9.88, $11.98, $9.2599
02/03/2020, $9.75, 22730, $9.1, $11.25, $9
01/31/2020, $9.1, 4516, $8.51, $9.48, $8.294
01/30/2020, $8.515, 3443, $8.11, $8.515, $7.97
01/29/2020, $8.78, 4285, $8.29, $9, $8.07
01/28/2020, $8.19, 10618, $8.29, $8.29, $7.88
01/27/2020, $8.35, 9545, $8.1, $8.37, $7.95
01/24/2020, $8.21, 9105, $9.33, $9.33, $8.21
01/23/2020, $9.1, 33315, $8.1385, $9.9799, $8.1385
