Date, Close/Last, Volume, Open, High, Low
01/20/2021, $43.5, 758119, $50.94, $51.46, $42
01/19/2021, $50.17, 455952, $44.74, $51.46, $44.37
01/15/2021, $44.63, 359307, $42.79, $46.71, $42.115
01/14/2021, $42.65, 293819, $41.86, $43.99, $40.9
01/13/2021, $41.58, 206014, $40.94, $42.45, $38.34
01/12/2021, $41.01, 411485, $40.48, $43.27, $39.465
01/11/2021, $40.3, 437953, $39.64, $43.14, $37.645
01/08/2021, $40.24, 424747, $35.54, $42.5, $35.54
01/07/2021, $35.62, 435477, $31.19, $36, $31.19
01/06/2021, $31.03, 160169, $32.2, $32.2, $30.2506
01/05/2021, $31.96, 167512, $32.01, $33.2, $30.908
01/04/2021, $32.57, 109914, $33.45, $33.45, $32.0156
12/31/2020, $32.88, 228556, $35.58, $35.685, $31.77
12/30/2020, $35.3, 274173, $37.47, $38.56, $34.63
12/29/2020, $37.47, 133146, $41.55, $43.7279, $37.01
12/28/2020, $40.84, 118792, $44.97, $44.97, $40.67
12/24/2020, $43.84, 61265, $45.81, $46.86, $43.1
12/23/2020, $45.28, 176923, $46.09, $46.9999, $42.05
12/22/2020, $45.35, 404945, $36, $46.9446, $36
12/21/2020, $36, 383702, $35.42, $36.49, $33.57
12/18/2020, $36.01, 1674740, $44.85, $44.85, $34.09
12/17/2020, $43.91, 172710, $40.16, $44.33, $39.39
12/16/2020, $40.16, 138477, $44, $45.354, $39.07
12/15/2020, $43.67, 227377, $50.07, $50.825, $42.82
12/14/2020, $48.44, 355114, $40.79, $52.38, $40.43
12/11/2020, $39.72, 100819, $42.48, $44, $38.58
12/10/2020, $42.98, 52417, $41, $44.58, $41
12/09/2020, $41.24, 98362, $44.63, $45.83, $40.45
12/08/2020, $44.82, 117725, $43.54, $45.45, $43.5
12/07/2020, $43.69, 82154, $42.97, $47.54, $42.97
12/04/2020, $43.07, 39352, $44.21, $44.21, $42.01
12/03/2020, $44, 46956, $43.72, $44.41, $42.37
12/02/2020, $43.42, 83596, $42.86, $44.94, $41.88
12/01/2020, $43.08, 107466, $42.88, $45.92, $41.745
11/30/2020, $42.62, 245765, $39.56, $42.99, $37.945
11/27/2020, $39.24, 45438, $38.28, $40.08, $38.28
11/25/2020, $37.8, 57240, $38.94, $40.0996, $37.64
11/24/2020, $38.71, 146535, $37.17, $41.8174, $37.17
11/23/2020, $37.36, 170453, $38.41, $41.65, $36.415
11/20/2020, $37.64, 100747, $33.98, $38.055, $33.33
11/19/2020, $34.52, 262402, $34.54, $35.54, $33.23
11/18/2020, $34.17, 58710, $33.17, $35.21, $33.17
11/17/2020, $33.36, 100901, $32.15, $35.715, $32.05
11/16/2020, $32.08, 68628, $29.6, $32.145, $28.51
11/13/2020, $29.25, 44832, $29.27, $30.245, $27.83
11/12/2020, $29.08, 51459, $27.55, $29.16, $27.0325
11/11/2020, $27.83, 135267, $25.1, $28.79, $25.1
11/10/2020, $25.1, 860991, $22.68, $25.18, $22.37
11/09/2020, $22.85, 74926, $23.4, $23.86, $22.67
11/06/2020, $23.19, 102629, $25.18, $25.35, $23.13
11/05/2020, $25.24, 203521, $25.49, $25.5, $24.4379
11/04/2020, $25.08, 156427, $25.11, $25.71, $24.915
11/03/2020, $25.05, 73341, $25.61, $25.93, $24.22
11/02/2020, $25.12, 66804, $25.6, $26.45, $24.75
10/30/2020, $25.29, 112541, $26.17, $28.11, $24.99
10/29/2020, $26.16, 129683, $26.15, $26.63, $24
10/28/2020, $26.3, 104598, $28.04, $28.04, $26.28
10/27/2020, $28.7, 126803, $27.5, $29.18, $26.51
10/26/2020, $27.44, 91007, $28.4, $28.7, $26.9606
10/23/2020, $28.32, 61865, $27.29, $28.8, $26.4775
10/22/2020, $27.04, 58888, $26.61, $27.72, $26.36
10/21/2020, $26.91, 73704, $26.73, $27.9399, $26.035
10/20/2020, $26.59, 76447, $26.83, $27.05, $24.5102
10/19/2020, $26.54, 124669, $25.65, $28.17, $25.65
10/16/2020, $25.55, 59562, $24.31, $25.6, $24.1
10/15/2020, $24.36, 53839, $23.55, $24.96, $23.08
10/14/2020, $24.65, 66606, $25.76, $25.79, $24.455
10/13/2020, $25.57, 73045, $25.19, $26.1, $24.1
10/12/2020, $25.26, 49134, $24.35, $25.72, $24
10/09/2020, $24.41, 95386, $25.89, $26.39, $23.31
10/08/2020, $25.79, 88834, $26.11, $26.8498, $25.5
10/07/2020, $25.82, 316200, $26.22, $26.88, $25.16
10/06/2020, $25.9, 104693, $26.4, $27.36, $25.11
10/05/2020, $26.19, 144347, $26.46, $27.3851, $25.61
10/02/2020, $26.465, 137418, $30.36, $30.36, $26.2
10/01/2020, $30.94, 172492, $35.41, $35.79, $30.22
09/30/2020, $34.91, 289177, $33.32, $35.92, $31.8801
09/29/2020, $33.32, 58056, $31.36, $33.72, $30.65
09/28/2020, $31.52, 98670, $30.86, $32.27, $30.63
09/25/2020, $30.68, 95761, $27.9, $31.1, $27.3
09/24/2020, $28.41, 123714, $29.33, $29.68, $27.69
09/23/2020, $29.52, 90035, $30.4, $30.99, $29.29
09/22/2020, $30.64, 180514, $31.28, $31.82, $29.67
09/21/2020, $30.96, 459916, $33.83, $35.97, $30.01
09/18/2020, $34.7, 1937260, $31.99, $37.46, $30.09
09/17/2020, $31.71, 184405, $30.14, $32.4999, $29
09/16/2020, $30.14, 231388, $29.6, $31.59, $27.37
09/15/2020, $29.62, 133645, $31.22, $32.65, $28.97
09/14/2020, $31.21, 221637, $30.43, $32.97, $30.2975
09/11/2020, $29.81, 123406, $28.95, $30, $28.3501
09/10/2020, $28.35, 82579, $27.53, $29, $26.79
09/09/2020, $26.62, 119094, $26.78, $30.49, $26
09/08/2020, $25.92, 159672, $24.94, $28.445, $22.72
09/04/2020, $25.28, 74532, $25.48, $27.03, $22.94
09/03/2020, $25.48, 66081, $28.09, $29.56, $25.145
09/02/2020, $28.47, 83974, $27.16, $29.7799, $25.91
09/01/2020, $27.27, 211638, $23.31, $27.98, $22.31
08/31/2020, $23.4, 108270, $23.79, $23.9, $22.06
08/28/2020, $23.71, 124456, $22.23, $24.3, $21.55
08/27/2020, $22.42, 111722, $23.18, $23.28, $21.3882
08/26/2020, $23, 80478, $23, $23.5, $21.56
08/25/2020, $22.92, 178344, $23.54, $24.31, $22.39
08/24/2020, $23.54, 230810, $26.76, $26.76, $22.51
08/21/2020, $26.86, 81122, $28.25, $28.54, $26.335
08/20/2020, $28.23, 172288, $29.88, $30, $27.855
