Date, Close/Last, Volume, Open, High, Low
03/24/2021, $4.4, 18613, $4.44, $4.5, $4.4
03/23/2021, $4.42, 10577, $4.41, $4.44, $4.4
03/22/2021, $4.4, 17793, $4.4, $4.42, $4.4
03/19/2021, $4.4, 21269, $4.4, $4.44, $4.4
03/18/2021, $4.45, 16091, $4.56, $4.56, $4.4088
03/17/2021, $4.52, 41628, $4.46, $4.55, $4.34
03/16/2021, $4.47, 25195, $4.5, $4.5, $4.46
03/15/2021, $4.5, 131946, $4.21, $4.69, $4.195
03/12/2021, $4.18, 40546, $3.93, $4.23, $3.93
03/11/2021, $3.95, 44721, $3.94, $4.0099, $3.935
03/10/2021, $4.03, 6579, $4.09, $4.1, $3.9917
03/09/2021, $4.02, 24477, $4, $4.1, $3.91
03/08/2021, $3.97, 26473, $3.88, $4, $3.83
03/05/2021, $3.83, 17711, $3.84, $3.9035, $3.8
03/04/2021, $3.75, 40065, $3.91, $3.98, $3.75
03/03/2021, $3.96, 11878, $3.9, $3.96, $3.89
03/02/2021, $3.94, 14773, $4.03, $4.07, $3.8803
03/01/2021, $3.8, 27168, $3.8, $3.97, $3.8
02/26/2021, $3.92, 12280, $4.08, $4.08, $3.86
02/25/2021, $4.04, 15866, $4.1, $4.1, $4.01
02/24/2021, $4.15, 35301, $4.06, $4.18, $3.97
02/23/2021, $3.99, 10014, $4, $4.0473, $3.96
02/22/2021, $4, 39227, $3.87, $4.05, $3.87
02/19/2021, $3.9101, 28964, $3.81, $3.99, $3.77
02/18/2021, $3.81, 63594, $4, $4.0411, $3.81
02/17/2021, $3.96, 16827, $4.06, $4.06, $3.95
02/16/2021, $4.08, 74735, $4.03, $4.19, $4.03
02/12/2021, $4.12, 24131, $3.98, $4.15, $3.97
02/11/2021, $3.98, 13496, $4.05, $4.0989, $3.95
02/10/2021, $4.09, 29141, $4.1, $4.1078, $3.94
02/09/2021, $4.1, 19808, $4.13, $4.16, $4.1
02/08/2021, $4.2, 25694, $4.17, $4.2614, $4.1547
02/05/2021, $4.19, 51337, $4.1, $4.29, $4.0799
02/04/2021, $4.08, 19288, $4.15, $4.15, $4.0771
02/03/2021, $4.13, 33410, $3.8, $4.13, $3.8
02/02/2021, $3.85, 77227, $3.87, $3.98, $3.85
02/01/2021, $3.93, 39120, $3.83, $4.045, $3.75
01/29/2021, $4.07, 47321, $3.94, $4.14, $3.81
01/28/2021, $3.9, 34713, $3.83, $3.94, $3.78
01/27/2021, $3.84, 83918, $3.74, $3.9499, $3.74
01/26/2021, $3.93, 31055, $3.9, $3.99, $3.9
01/25/2021, $3.91, 28615, $3.96, $3.99, $3.91
01/22/2021, $3.98, 59468, $3.86, $4, $3.86
01/21/2021, $3.91, 44609, $3.73, $3.91, $3.6448
01/20/2021, $3.68, 25186, $3.5201, $3.69, $3.5201
01/19/2021, $3.58, 77275, $3.44, $3.64, $3.375
01/15/2021, $3.51, 23467, $3.58, $3.58, $3.48
01/14/2021, $3.57, 45354, $3.48, $3.62, $3.4
01/13/2021, $3.43, 12188, $3.43, $3.43, $3.37
01/12/2021, $3.39, 50061, $3.26, $3.46, $3.26
01/11/2021, $3.29, 33376, $3.49, $3.5041, $3.27
01/08/2021, $3.46, 170342, $3.33, $3.6, $3.2485
01/07/2021, $3.33, 85834, $3.11, $3.35, $3.1098
01/06/2021, $3.07, 43721, $2.97, $3.1, $2.97
01/05/2021, $2.96, 44702, $2.95, $3.06, $2.95
01/04/2021, $2.94, 39098, $2.94, $3.02, $2.92
12/31/2020, $2.91, 67871, $2.89, $2.98, $2.85
12/30/2020, $2.94, 37598, $2.89, $2.95, $2.85
12/29/2020, $2.85, 64508, $2.85, $2.9, $2.85
12/28/2020, $2.88, 46942, $2.89, $2.9129, $2.85
12/24/2020, $2.9099, 46691, $2.94, $2.94, $2.8
12/23/2020, $2.895, 54770, $2.81, $2.91, $2.81
12/22/2020, $2.816, 20057, $2.8, $2.83, $2.8
12/21/2020, $2.85, 64561, $2.86, $2.9, $2.825
12/18/2020, $2.9, 17557, $2.905, $2.91, $2.87
12/17/2020, $2.9, 124826, $2.95, $2.9919, $2.86
12/16/2020, $2.97, 21996, $2.98, $3, $2.93
12/15/2020, $2.94, 19666, $2.95, $2.9687, $2.92
12/14/2020, $2.95, 44048, $3.03, $3.03, $2.93
12/11/2020, $2.93, 43088, $2.97, $3.02, $2.913
12/10/2020, $2.96, 54733, $2.94, $3, $2.93
12/09/2020, $2.92, 32765, $2.88, $2.92, $2.88
12/08/2020, $2.87, 92241, $2.9, $2.92, $2.86
12/07/2020, $2.92, 46340, $2.89, $2.94, $2.885
12/04/2020, $2.935, 49990, $2.97, $2.98, $2.9
12/03/2020, $2.97, 35035, $3.02, $3.02, $2.95
12/02/2020, $3.02, 47050, $2.97, $3.047, $2.9
12/01/2020, $3.05, 25150, $3.02, $3.06, $3.01
11/30/2020, $3, 91717, $3.11, $3.19, $2.93
11/27/2020, $3.18, 19060, $3.27, $3.27, $3.151
11/25/2020, $3.27, 57135, $3.09, $3.28, $3.0749
11/24/2020, $3.07, 162775, $2.95, $3.19, $2.95
11/23/2020, $2.97, 59495, $3, $3, $2.95
11/20/2020, $3.0271, 24616, $3.0119, $3.05, $3.01
11/19/2020, $3, 31165, $2.98, $3, $2.98
11/18/2020, $2.98, 26615, $2.95, $2.99, $2.94
11/17/2020, $2.94, 23224, $2.9, $2.94, $2.9
11/16/2020, $2.96, 15630, $2.97, $3.015, $2.95
11/13/2020, $2.96, 21313, $2.94, $3.04, $2.89
11/12/2020, $2.91, 34483, $3.09, $3.1173, $2.89
11/11/2020, $3.09, 26166, $3.14, $3.14, $3.04
11/10/2020, $3.115, 16308, $3.06, $3.13, $3.04
11/09/2020, $3, 18190, $2.85, $3.06, $2.85
11/06/2020, $2.83, 17807, $2.79, $2.91, $2.79
11/05/2020, $2.84, 20260, $2.87, $2.87, $2.79
11/04/2020, $2.82, 32848, $2.85, $2.85, $2.78
11/03/2020, $2.85, 39938, $2.99, $3.0096, $2.8448
11/02/2020, $2.99, 57389, $2.96, $3.13, $2.95
10/30/2020, $3.13, 24344, $3, $3.135, $3
10/29/2020, $3.03, 24712, $3.12, $3.12, $3.02
10/28/2020, $3.12, 22163, $3.12, $3.14, $3.12
10/27/2020, $3.15, 18237, $3.16, $3.17, $3.14
10/26/2020, $3.17, 12964, $3.06, $3.18, $3.06
10/23/2020, $3.1335, 7975, $3.04, $3.135, $3.04
10/22/2020, $3.07, 10900, $3, $3.0899, $3
10/21/2020, $3.005, 14663, $3, $3.05, $3
10/20/2020, $3.03, 15984, $3.07, $3.11, $3
10/19/2020, $3.02, 5771, $3.06, $3.1289, $3.0169
10/16/2020, $3.0635, 8122, $3.07, $3.15, $3.01
10/15/2020, $3.05, 12607, $3.04, $3.17, $3.025
10/14/2020, $3.085, 8275, $3.12, $3.168, $3.05
10/13/2020, $3.12, 5271, $3.06, $3.1348, $3.06
10/12/2020, $3.09, 24641, $3.16, $3.18, $3.05
10/09/2020, $3.19, 48381, $3.12, $3.29, $3.11
10/08/2020, $3.18, 9229, $3.09, $3.18, $3.0558
10/07/2020, $3.06, 17052, $3.105, $3.105, $3
10/06/2020, $3.13, 35463, $2.985, $3.14, $2.98
10/05/2020, $2.97, 35099, $3.01, $3.0105, $2.96
10/02/2020, $3.01, 25863, $3.01, $3.01, $2.95
10/01/2020, $3.01, 16681, $2.9398, $3.01, $2.9201
09/30/2020, $2.95, 11338, $2.96, $3, $2.94
09/29/2020, $2.95, 12290, $2.86, $2.99, $2.86
09/28/2020, $2.97, 27080, $2.9, $3.01, $2.9
09/25/2020, $3, 14083, $2.925, $3, $2.9
09/24/2020, $2.93, 27614, $2.938, $2.994, $2.93
09/23/2020, $3, 20852, $3.02, $3.03, $2.97
09/22/2020, $2.93, 19432, $3.06, $3.075, $2.9101
09/21/2020, $2.94, 47495, $3, $3.2, $2.91
09/18/2020, $3.01, 28463, $3.1, $3.1327, $3
