Date, Close/Last, Volume, Open, High, Low
01/20/2021, $24.8, 36107, $25.09, $25.17, $24.7
01/19/2021, $24.91, 57959, $25.26, $25.62, $24.91
01/15/2021, $25.18, 33781, $25.13, $25.405, $24.7
01/14/2021, $25.44, 26892, $24.96, $25.69, $24.96
01/13/2021, $24.87, 44349, $24.51, $25.06, $24.51
01/12/2021, $24.49, 74758, $23.32, $24.59, $23.32
01/11/2021, $23.14, 37198, $22.53, $23.331, $22.42
01/08/2021, $22.94, 52124, $23.64, $23.6586, $22.72
01/07/2021, $23.22, 75926, $22.79, $23.38, $22.65
01/06/2021, $22.57, 109508, $21.85, $22.64, $21.49
01/05/2021, $21.56, 53679, $20.73, $22.115, $20.73
01/04/2021, $20.66, 66442, $20.96, $20.9984, $20.55
12/31/2020, $20.59, 69169, $20.33, $20.72, $20.27
12/30/2020, $20.46, 63767, $20.64, $20.98, $20.46
12/29/2020, $20.79, 91000, $20.77, $21.01, $20.53
12/28/2020, $20.83, 80890, $21.22, $21.595, $20.75
12/24/2020, $21.28, 15203, $21.54, $21.54, $21.1
12/23/2020, $21.56, 51633, $21.38, $21.8958, $21.38
12/22/2020, $21.32, 61096, $21.23, $21.67, $21.2
12/21/2020, $21.35, 51481, $21.51, $21.5486, $20.81
12/18/2020, $21.96, 51856, $22.29, $22.39, $21.9476
12/17/2020, $22.42, 26149, $22.5, $22.74, $22.33
12/16/2020, $22.36, 37793, $22.76, $22.8195, $22.36
12/15/2020, $22.75, 82012, $22.54, $23.037, $22.32
12/14/2020, $22.52, 74024, $23.53, $23.66, $22.5
12/11/2020, $23.1, 65656, $22.7, $23.13, $22.54
12/10/2020, $22.95, 130710, $22.17, $23.04, $22.17
12/09/2020, $22.15, 95328, $22.33, $22.5521, $22.1
12/08/2020, $22.12, 49290, $21.54, $22.4379, $21.54
12/07/2020, $21.96, 74908, $22.32, $22.45, $21.8015
12/04/2020, $22.49, 86392, $21.38, $22.785, $21.38
12/03/2020, $21.2, 70595, $20.38, $21.51, $20.365
12/02/2020, $20.36, 54021, $19.57, $20.5116, $19.57
12/01/2020, $19.7, 58518, $19.86, $20.13, $19.51
11/30/2020, $19.46, 40883, $19.79, $20.08, $19.42
11/27/2020, $19.93, 26449, $20.17, $20.24, $19.6801
11/25/2020, $20.11, 66204, $20.03, $20.29, $19.7784
11/24/2020, $20.08, 75308, $19.77, $20.6402, $19.77
11/23/2020, $19.48, 75060, $18.62, $19.48, $18.62
11/20/2020, $18.53, 25195, $18.52, $18.65, $18.52
11/19/2020, $18.87, 209238, $18.35, $18.9, $18.18
11/18/2020, $18.29, 134654, $18.45, $18.82, $18.25
11/17/2020, $18.28, 100669, $17.73, $18.395, $17.37
11/16/2020, $18.18, 89862, $18.02, $18.22, $18.0098
11/13/2020, $17.61, 38528, $17, $17.64, $16.8853
11/12/2020, $17.01, 69632, $16.86, $17.11, $16.76
11/11/2020, $16.93, 50546, $17.11, $17.35, $16.91
11/10/2020, $16.94, 55865, $16.63, $17.13, $16.515
11/09/2020, $16.5, 80645, $16.05, $16.59, $15.9
11/06/2020, $15.25, 28795, $15.76, $15.92, $15.25
11/05/2020, $15.76, 68296, $15.12, $15.79, $15.12
11/04/2020, $15.11, 35996, $14.82, $15.48, $14.78
11/03/2020, $14.9, 97132, $14.88, $15.155, $14.88
11/02/2020, $14.66, 48225, $14.63, $14.75, $14.607
10/30/2020, $14.64, 36500, $14.94, $14.94, $14.44
10/29/2020, $14.92, 78779, $14.7, $14.92, $14.4601
10/28/2020, $14.68, 48381, $14.7, $15.04, $14.545
10/27/2020, $15.17, 20517, $15.44, $15.4411, $15.14
10/26/2020, $15.43, 17797, $15.81, $15.81, $15.22
10/23/2020, $15.97, 22305, $16.33, $16.5, $15.89
10/22/2020, $16.3, 46817, $15.66, $16.36, $15.66
10/21/2020, $15.74, 23631, $15.91, $16.1418, $15.7306
10/20/2020, $15.97, 27704, $15.81, $16.1136, $15.81
10/19/2020, $15.85, 34779, $16.16, $16.16, $15.83
10/16/2020, $16.0311, 25854, $16.14, $16.22, $15.99
10/15/2020, $16.14, 16757, $15.87, $16.18, $15.84
10/14/2020, $16.06, 46912, $15.65, $16.28, $15.65
10/13/2020, $15.72, 51251, $15.78, $15.8899, $15.63
10/12/2020, $15.89, 31610, $15.89, $15.9, $15.73
10/09/2020, $16, 56178, $16.05, $16.29, $15.87
10/08/2020, $16.15, 65604, $15.5, $16.22, $15.496
10/07/2020, $15.36, 28676, $15.13, $15.481, $15.1034
10/06/2020, $15.05, 52112, $15.45, $15.66, $15.05
10/05/2020, $15.2, 44920, $14.62, $15.29, $14.62
10/02/2020, $14.4, 49185, $13.89, $14.449, $13.89
10/01/2020, $14.3, 24113, $14.49, $14.54, $14.2
09/30/2020, $14.49, 31556, $14.76, $15.05, $14.47
09/29/2020, $14.74, 33252, $14.5, $14.89, $14.46
09/28/2020, $14.53, 47205, $14.34, $14.6619, $14.26
09/25/2020, $14.19, 29144, $13.98, $14.24, $13.97
09/24/2020, $14.1086, 41735, $14.32, $14.385, $13.7181
09/23/2020, $14.35, 82684, $15.1, $15.215, $14.28
09/22/2020, $15.11, 35495, $15.16, $15.55, $15.02
09/21/2020, $15.25, 36616, $15.36, $15.4487, $15.15
09/18/2020, $15.72, 25305, $15.76, $15.86, $15.555
09/17/2020, $15.74, 30767, $15.9, $15.9073, $15.65
09/16/2020, $16.02, 41500, $15.83, $16.2399, $15.67
09/15/2020, $15.73, 41945, $15.89, $16.03, $15.67
09/14/2020, $15.82, 21065, $15.63, $15.91, $15.572
09/11/2020, $15.59, 39516, $15.8, $15.87, $15.49
09/10/2020, $15.62, 33200, $16, $16, $15.5301
09/09/2020, $15.89, 31032, $15.8, $16.0387, $15.8
09/08/2020, $15.74, 52274, $16.11, $16.11, $15.59
09/04/2020, $16.32, 98416, $16.16, $16.37, $15.78
09/03/2020, $16.15, 36804, $16.35, $16.615, $16.15
09/02/2020, $16.45, 46012, $16.4, $16.67, $16.27
09/01/2020, $16.52, 55981, $16.69, $16.69, $16.39
08/31/2020, $16.79, 20361, $17.2, $17.215, $16.79
08/28/2020, $17.15, 21840, $16.93, $17.27, $16.83
08/27/2020, $16.83, 42394, $16.61, $16.8637, $16.585
08/26/2020, $16.73, 40789, $17.25, $17.319, $16.68
08/25/2020, $17.33, 57349, $17.46, $17.5, $17.03
08/24/2020, $17.47, 20692, $17.63, $17.65, $17.43
08/21/2020, $17.65, 13449, $17.85, $18.05, $17.64
08/20/2020, $18.06, 60508, $18.22, $18.22, $17.91
08/19/2020, $18.44, 33162, $18.9157, $18.9157, $18.39
