Date, Close/Last, Volume, Open, High, Low
03/24/2021, $27.195, 3542970, $27.46, $27.74, $26.855
03/23/2021, $27.35, 3514802, $26.64, $27.545, $26.485
03/22/2021, $26.43, 2022900, $25.93, $26.69, $25.91
03/19/2021, $26.22, 2355545, $25.65, $26.39, $25.55
03/18/2021, $25.65, 3590243, $26.56, $26.5688, $25.58
03/17/2021, $27.32, 2210191, $26.5, $27.54, $26.08
03/16/2021, $27.27, 1958470, $27.96, $28.245, $26.975
03/15/2021, $27.88, 2144412, $27.41, $27.88, $27
03/12/2021, $27.36, 2190312, $27.09, $27.62, $26.78
03/11/2021, $27.7, 1725730, $27.65, $28.1, $27.34
03/10/2021, $27.01, 1843762, $27.57, $27.9652, $26.62
03/09/2021, $27.12, 3541168, $26.7, $27.5395, $26.54
03/08/2021, $25.72, 2114414, $26.95, $27.5399, $25.68
03/05/2021, $27.27, 2855128, $26.81, $27.3395, $25.26
03/04/2021, $26.62, 3215001, $28.31, $29.0991, $26.4919
03/03/2021, $28.53, 1488183, $29.76, $30.05, $28.53
03/02/2021, $29.94, 1335772, $30.51, $30.89, $29.6
03/01/2021, $30.71, 2229672, $30.75, $31.06, $30.21
02/26/2021, $30.285, 2474149, $30.05, $30.85, $29.139
02/25/2021, $29.79, 4113400, $34.1, $34.15, $29.52
02/24/2021, $32.82, 2338602, $31.66, $32.88, $30.77
02/23/2021, $31.97, 1746785, $32.25, $32.46, $30.34
02/22/2021, $33.16, 1319458, $33.5, $34.01, $32.895
02/19/2021, $33.69, 2003388, $33.84, $34.21, $33.2
02/18/2021, $33.33, 1905363, $33.4, $33.65, $32.21
02/17/2021, $33.82, 1411032, $34.25, $34.25, $32.84
02/16/2021, $34.62, 1118195, $34.81, $34.81, $33.83
02/12/2021, $34.42, 2095552, $34.87, $34.87, $33.51
02/11/2021, $35.07, 1282454, $35.11, $35.58, $34.53
02/10/2021, $34.51, 814145, $35.05, $35.39, $34.05
02/09/2021, $34.81, 1141879, $34.13, $35.14, $34.13
02/08/2021, $34.63, 1334630, $34, $35.23, $33.85
02/05/2021, $33.58, 824642, $33.34, $33.5827, $33.11
02/04/2021, $33.14, 697587, $33.47, $33.673, $33
02/03/2021, $33.21, 824496, $32.54, $33.37, $32.39
02/02/2021, $32.56, 980558, $31.86, $32.72, $31.76
02/01/2021, $31.37, 1314338, $30.78, $31.88, $30.525
01/29/2021, $30.52, 1470201, $30.98, $31.4699, $30.1
01/28/2021, $31.18, 1231114, $31.03, $31.7299, $30.81
01/27/2021, $30.77, 1741983, $31.77, $32.22, $30.7176
01/26/2021, $32.47, 1251512, $33.6, $33.6, $32.23
01/25/2021, $33.33, 1309129, $33.93, $34.22, $32.6013
01/22/2021, $33.52, 945375, $33.45, $33.6, $33
01/21/2021, $33.32, 1261378, $33.26, $33.8109, $32.8
01/20/2021, $33.24, 2090207, $31.62, $33.46, $31.33
01/19/2021, $31.11, 1275070, $31.08, $31.48, $30.65
01/15/2021, $30.78, 1226551, $31.77, $31.94, $30.72
01/14/2021, $31.41, 1189650, $31.13, $32.16, $31.129
01/13/2021, $30.96, 1421823, $31.25, $31.69, $30.6361
01/12/2021, $31.11, 1394929, $30.736, $31.48, $30.736
01/11/2021, $30.72, 1060825, $30.8, $31.25, $30.35
01/08/2021, $31.05, 1347479, $31.13, $31.76, $30.57
01/07/2021, $30.93, 1620380, $30.05, $31.01, $30.05
01/06/2021, $30.04, 3252414, $30.84, $31.19, $29.85
01/05/2021, $31.1, 2031269, $31.43, $32.08, $31
01/04/2021, $31.21, 1830796, $32.25, $32.25, $31.02
12/31/2020, $31.87, 1181131, $32.2, $32.81, $31.8
12/30/2020, $32.3, 1391199, $31.93, $32.59, $31.88
12/29/2020, $31.85, 1955441, $32.66, $32.8, $31.63
12/28/2020, $32.38, 3140377, $33.6, $33.77, $32.22
12/24/2020, $33.22, 545675, $33.57, $33.57, $33.06
12/23/2020, $33.21, 1610595, $34, $34.22, $33.18
12/22/2020, $33.86, 1838159, $33.434, $33.98, $32.91
12/21/2020, $32.85, 2229917, $32.9, $33.58, $32.61
12/18/2020, $33.67, 9772910, $31.99, $33.7, $31.74
12/17/2020, $32.04, 2629874, $31.09, $32.18, $30.62
12/16/2020, $30.98, 2533465, $31.72, $32.23, $30.79
12/15/2020, $31.75, 1673098, $31.84, $32.15, $31.105
12/14/2020, $31.42, 4223769, $31.15, $32.18, $30.83
12/11/2020, $31.11, 2089773, $30.71, $31.805, $30.5
12/10/2020, $31, 1925390, $29.29, $31.055, $29.2
12/09/2020, $29.73, 5022251, $29.8, $31.38, $29.13
12/08/2020, $29.53, 1557388, $28.51, $29.79, $28.51
12/07/2020, $28.58, 1027564, $28.76, $29.09, $28.41
12/04/2020, $28.88, 1541025, $28.4, $28.94, $28.4
12/03/2020, $27.96, 1563118, $28.5, $28.9, $27.88
12/02/2020, $28.4, 2087850, $27.58, $28.5, $27.25
12/01/2020, $27.8, 1850768, $27.37, $28.29, $27.3
11/30/2020, $27.39, 2043722, $28.19, $28.35, $27.06
11/27/2020, $28.07, 1760125, $27.42, $28.48, $27.42
11/25/2020, $27.07, 3265261, $28.2, $28.28, $26.82
11/24/2020, $28.21, 5782902, $30.56, $30.99, $27.91
11/23/2020, $28.47, 4525133, $28.64, $28.87, $28.0224
11/20/2020, $28.47, 3046131, $27.82, $28.77, $27.47
11/19/2020, $27.59, 1561862, $27.44, $27.95, $27.16
11/18/2020, $26.86, 1714046, $26.76, $27.43, $26.4
11/17/2020, $26.98, 1224892, $26.412, $27.08, $26.12
11/16/2020, $26.71, 1093581, $26.6, $27.01, $26.41
11/13/2020, $26.37, 1662859, $25.92, $26.4, $25.71
