Date, Close/Last, Volume, Open, High, Low
03/24/2021, $96.61, 888267, $101.95, $102.01, $96.42
03/23/2021, $100.35, 533352, $101.69, $103.79, $99.54
03/22/2021, $104.31, 446498, $105.04, $106.25, $103.044
03/19/2021, $103.32, 2031481, $98.7, $104.49, $98.47
03/18/2021, $98.84, 542565, $104.98, $104.98, $98.8
03/17/2021, $106, 737530, $101.72, $106.71, $99.43
03/16/2021, $104.19, 543877, $110.23, $111.19, $102.45
03/15/2021, $109.06, 429506, $104.1, $109.27, $103.28
03/12/2021, $104.04, 1083426, $100.87, $104.275, $99.38
03/11/2021, $103.98, 1615791, $104.8298, $104.8298, $100.05
03/10/2021, $98.71, 941977, $97.31, $104.9, $95.93
03/09/2021, $99.3, 1284698, $95.43, $102.75, $95.2
03/08/2021, $93.27, 940702, $102.45, $103.72, $92.79
03/05/2021, $102.99, 1382695, $104.18, $104.18, $92.94
03/04/2021, $102.15, 1800356, $105.84, $109.6, $101.15
03/03/2021, $108.7, 962099, $119.82, $119.99, $107.815
03/02/2021, $118.02, 782342, $123.28, $124.865, $117.81
03/01/2021, $123.49, 825618, $117.59, $124.2, $117.47
02/26/2021, $116.09, 1436689, $115.08, $123.7799, $108.29
02/25/2021, $108.76, 1112265, $106.68, $112.2, $105.03
02/24/2021, $112.83, 593841, $110.96, $114.93, $107.97
02/23/2021, $111.09, 1179828, $106.81, $111.82, $102.42
02/22/2021, $111.01, 590725, $117.72, $118.24, $110.37
02/19/2021, $119.61, 646062, $115, $121.31, $114.59
02/18/2021, $114.05, 525170, $114.16, $115.17, $110.13
02/17/2021, $114.84, 795064, $117.76, $119.28, $110.67
02/16/2021, $119.86, 778103, $124.567, $125.73, $119.16
02/12/2021, $124.36, 992753, $119.1, $125.3, $117.48
02/11/2021, $117.74, 933913, $120.07, $121.54, $116.1181
02/10/2021, $118.29, 551344, $119.13, $119.73, $113.4318
02/09/2021, $119.04, 471746, $119.48, $119.835, $117.955
02/08/2021, $118.56, 485948, $120.38, $120.38, $117.18
02/05/2021, $119.07, 540938, $117.74, $120.06, $116.43
02/04/2021, $116.44, 454745, $116.83, $119.75, $114.1
02/03/2021, $114.64, 510107, $120.37, $120.8, $113.65
02/02/2021, $119.03, 674901, $113.86, $119.17, $112.51
02/01/2021, $111.55, 556576, $107.4, $111.72, $106.3551
01/29/2021, $106.64, 870684, $108.78, $111.055, $103.07
01/28/2021, $108.64, 1047034, $104.42, $109.89, $103.35
01/27/2021, $100.2, 1702400, $106.72, $107, $98.7032
01/26/2021, $109.59, 892065, $120.03, $120.03, $108.86
01/25/2021, $119, 1490219, $119.75, $120.88, $112.27
01/22/2021, $119.75, 796920, $119.05, $120.805, $117.79
01/21/2021, $119.99, 693928, $125.24, $125.47, $118.76
01/20/2021, $123.38, 1085177, $125.81, $127.19, $123.14
01/19/2021, $123.9, 744416, $122.53, $125.324, $121.43
01/15/2021, $120.16, 1051250, $115.93, $122.98, $115.8
01/14/2021, $115.91, 876887, $114.28, $119.73, $113.845
01/13/2021, $113.28, 746282, $111, $117.05, $109.57
01/12/2021, $110.83, 540081, $110.96, $112.12, $109.15
01/11/2021, $110.31, 563398, $110.37, $113.8, $108.4313
01/08/2021, $111.17, 740182, $109.32, $113.91, $109.01
01/07/2021, $108.78, 1075680, $103.14, $109.7, $102.28
01/06/2021, $103.21, 1220558, $98.71, $103.44, $97.56
01/05/2021, $100.04, 1063959, $96.6, $101.51, $96.29
01/04/2021, $96.31, 1314970, $99.49, $99.49, $94.24
12/31/2020, $99.52, 738872, $99.14, $100.47, $96.51
12/30/2020, $98.85, 740433, $99.44, $101.1716, $98.41
12/29/2020, $99.39, 960821, $105.89, $107.9999, $97.19
12/28/2020, $106.26, 961674, $112.93, $112.93, $105.86
12/24/2020, $111.74, 601409, $110.64, $112.39, $108.7
12/23/2020, $110.04, 609001, $110.83, $111.6, $107.59
12/22/2020, $111.32, 998528, $105.475, $111.73, $104.8
12/21/2020, $105.61, 733095, $100.82, $105.64, $98.825
12/18/2020, $101.67, 1872342, $101.85, $103.8, $99.46
12/17/2020, $101.35, 708669, $96.17, $101.65, $95.4769
12/16/2020, $95.8, 756095, $99.25, $100.18, $95.1
12/15/2020, $98.8, 880560, $103.38, $103.38, $97.8561
12/14/2020, $98.47, 884660, $97.34, $103.53, $97
12/11/2020, $96.56, 738320, $99.23, $101.35, $95.35
12/10/2020, $98.82, 648120, $92.59, $99.7, $92.59
12/09/2020, $94.49, 604178, $93.53, $97.66, $92.95
12/08/2020, $92.63, 692008, $90.01, $92.74, $89.695
12/07/2020, $90.36, 436520, $88.25, $91.18, $87.81
12/04/2020, $87.47, 505322, $89.26, $89.59, $86.76
12/03/2020, $88.97, 1156504, $90.63, $92.48, $87.65
12/02/2020, $90.76, 523992, $90.34, $91.355, $88.99
12/01/2020, $91.19, 1287297, $90, $93.635, $89.295
11/30/2020, $88.27, 459562, $88.58, $89.875, $86.02
11/27/2020, $88.13, 222622, $85.37, $88.41, $85.37
11/25/2020, $84.55, 287757, $83.25, $85.27, $82.27
11/24/2020, $83.02, 507013, $86.44, $87.38, $82.58
11/23/2020, $85.99, 711735, $85.7, $88.3, $84.86
11/20/2020, $85.4, 453800, $81.75, $86.4771, $81.5
11/19/2020, $82.86, 368312, $81.19, $83.86, $80.27
11/18/2020, $80.83, 501986, $83.49, $85.4, $80.5
11/17/2020, $83.08, 475033, $81.11, $83.45, $79.78
11/16/2020, $81.84, 351704, $82.31, $83.78, $80.98
11/13/2020, $82.81, 923468, $83.74, $85.4382, $82.49
11/12/2020, $83.48, 716804, $79.72, $84.86, $79.56
11/11/2020, $78.97, 618039, $77.05, $79.44, $75.96
11/10/2020, $76.8, 636111, $78.81, $79.8331, $74.25
11/09/2020, $78.54, 993876, $81.68, $84.79, $78.18
11/06/2020, $82.08, 1347738, $79, $90.03, $78.63
11/05/2020, $76.39, 551863, $76.89, $77.29, $74.58
11/04/2020, $75.07, 587416, $72.78, $75.56, $71.875
11/03/2020, $71.5, 379540, $68.35, $72.27, $67.81
11/02/2020, $67.52, 400710, $67.64, $69.26, $65.95
10/30/2020, $67.26, 502695, $68.08, $69.97, $65.6101
10/29/2020, $68.33, 546486, $67.002, $68.67, $66.23
10/28/2020, $66.66, 348995, $69.54, $70.17, $66.45
10/27/2020, $70.64, 474932, $69.52, $71.42, $68.85
10/26/2020, $68.87, 349872, $70.05, $71.76, $67.56
