Date, Close/Last, Volume, Open, High, Low
01/20/2021, $17.88, 180810, $17.08, $17.955, $17.01
01/19/2021, $17.08, 260448, $17.46, $17.46, $16.65
01/15/2021, $17.3, 233079, $16.75, $17.37, $16.65
01/14/2021, $16.78, 110270, $17.03, $17.095, $16.72
01/13/2021, $17.04, 105080, $16.97, $17.26, $16.885
01/12/2021, $16.9, 358182, $17.49, $17.49, $16.75
01/11/2021, $17.28, 163862, $17.93, $18.05, $17.25
01/08/2021, $17.9, 92114, $17.99, $18.02, $17.71
01/07/2021, $17.9, 95804, $18.48, $18.48, $17.84
01/06/2021, $18.03, 208246, $18.44, $18.62, $17.96
01/05/2021, $18.4, 154906, $18.92, $18.99, $18.35
01/04/2021, $18.75, 195277, $19.62, $19.62, $18.63
12/31/2020, $19.49, 108237, $19.5, $19.54, $18.89
12/30/2020, $19.5, 241847, $19.19, $19.5, $19.09
12/29/2020, $19.3, 181775, $19.11, $19.32, $18.77
12/28/2020, $18.99, 158672, $18.6, $19.11, $18.54
12/24/2020, $18.58, 90005, $18.47, $18.65, $18.17
12/23/2020, $18.48, 252483, $18.69, $19, $18.25
12/22/2020, $18.7, 322514, $18.18, $18.7496, $17.87
12/21/2020, $18.28, 373925, $18.3, $18.57, $17.76
12/18/2020, $18.58, 935073, $18.96, $19.28, $18.38
12/17/2020, $18.8, 289155, $18.67, $18.84, $18.41
12/16/2020, $18.65, 293869, $18.75, $19.06, $18.4
12/15/2020, $18.71, 148666, $18.22, $18.72, $18.14
12/14/2020, $18.23, 162108, $18.07, $18.63, $18.07
12/11/2020, $18.07, 207633, $18.29, $18.38, $17.61
12/10/2020, $18.48, 187048, $18.27, $18.6, $17.95
12/09/2020, $18.38, 241131, $18.93, $19.14, $18.23
12/08/2020, $18.95, 226254, $18.9, $19.165, $18.54
12/07/2020, $18.95, 202707, $18.72, $19.13, $18.65
12/04/2020, $18.58, 174819, $18.73, $19.06, $18.375
12/03/2020, $18.7, 137682, $18.79, $18.94, $18.4
