Date, Close/Last, Volume, Open, High, Low
01/20/2021, $24.66, 2396037, $24.11, $24.73, $23.98
01/19/2021, $24.21, 2198356, $24.23, $24.34, $24.115
01/15/2021, $24.14, 2740208, $24.13, $24.39, $23.895
01/14/2021, $24.4, 2293420, $24.53, $24.57, $24.135
01/13/2021, $24.37, 3742299, $24.17, $24.45, $23.915
01/12/2021, $24.23, 3924777, $23.3, $24.305, $23.16
01/11/2021, $23.07, 2928677, $22.9, $23.315, $22.71
01/08/2021, $23.07, 2082255, $23.19, $23.26, $22.685
01/07/2021, $22.64, 2319355, $22.68, $22.9, $22.5
01/06/2021, $22.66, 2735834, $22.19, $22.87, $22
01/05/2021, $21.86, 3188068, $21.63, $21.95, $21.5
01/04/2021, $21.71, 5114565, $21.78, $22.1, $21.59
12/31/2020, $21.23, 1814170, $21.11, $21.31, $20.95
12/30/2020, $21.08, 1669193, $20.8066, $21.24, $20.7936
12/29/2020, $20.98, 1260015, $21.3, $21.38, $20.83
12/28/2020, $21.24, 1961049, $21.33, $21.45, $21.08
12/24/2020, $21.22, 690204, $21.23, $21.27, $21.04
12/23/2020, $21.23, 1867104, $21.1344, $21.34, $21.1344
12/22/2020, $21.08, 2922446, $20.78, $21.23, $20.77
12/21/2020, $20.68, 2776236, $19.91, $20.77, $19.87
12/18/2020, $20.6, 8094688, $20.08, $20.68, $20.05
12/17/2020, $20.09, 2563785, $20.12, $20.2, $19.88
12/16/2020, $20.07, 2636259, $20.07, $20.31, $19.875
12/15/2020, $20, 4010768, $20.428, $20.58, $19.8
12/14/2020, $20.32, 4109519, $20.76, $20.7601, $20.315
12/11/2020, $20.51, 3723038, $20.68, $20.75, $20.375
12/10/2020, $20.805, 2581727, $20.64, $20.86, $20.33
12/09/2020, $20.75, 3888444, $21.05, $21.16, $20.655
12/08/2020, $21.02, 5160598, $21.11, $21.19, $20.49
12/07/2020, $21.595, 4001746, $21.9, $21.98, $21.45
12/04/2020, $22.03, 1954512, $21.77, $22.09, $21.65
12/03/2020, $21.77, 2076916, $21.27, $21.895, $21.17
12/02/2020, $21.22, 2140025, $21.43, $21.54, $21.11
12/01/2020, $21.44, 2628591, $21.43, $21.54, $21.2
11/30/2020, $21.26, 4987343, $20.96, $21.485, $20.95
11/27/2020, $21.07, 1508670, $21.03, $21.13, $20.6
11/25/2020, $21.36, 2299212, $21.2, $21.425, $21.04
11/24/2020, $21.46, 5254677, $20.74, $21.6, $20.64
11/23/2020, $20.51, 2134809, $20.5, $20.825, $20.435
11/20/2020, $20.37, 2562892, $20.36, $20.46, $20.2
11/19/2020, $20.39, 2236093, $20.18, $20.54, $20
11/18/2020, $20.2, 2086332, $20.19, $20.64, $20.17
11/17/2020, $20.17, 2807192, $20.01, $20.32, $19.74
11/16/2020, $20.36, 3969127, $19.98, $20.63, $19.755
11/13/2020, $19.73, 1986232, $19.12, $19.815, $19.03
11/12/2020, $18.97, 3184727, $19.65, $19.69, $18.61
11/11/2020, $19.67, 2691984, $19.29, $19.68, $19.18
11/10/2020, $19.26, 2883599, $19.23, $19.29, $19.025
11/09/2020, $19.11, 5018924, $19.73, $20.22, $19.06
11/06/2020, $18.875, 3308528, $19.6, $19.74, $18.71
11/05/2020, $19.56, 3357849, $18.95, $19.725, $18.95
11/04/2020, $18.87, 2906857, $19.41, $19.5, $18.76
11/03/2020, $19.5, 4324568, $19.268, $19.6, $19.05
11/02/2020, $18.91, 5078663, $17.8, $19.05, $17.7
10/30/2020, $17.66, 5829573, $18.16, $18.49, $17.34
10/29/2020, $16.82, 2762368, $16.6, $16.99, $16.6
10/28/2020, $16.66, 2064255, $16.88, $17.03, $16.57
10/27/2020, $17.19, 1955414, $17.46, $17.6, $17.19
10/26/2020, $17.44, 1247156, $17.79, $17.79, $17.27
10/23/2020, $18, 1352428, $17.92, $18.03, $17.7229
10/22/2020, $17.87, 1239604, $17.61, $17.895, $17.47
10/21/2020, $17.55, 1231687, $17.56, $17.7, $17.41
10/20/2020, $17.68, 1213285, $17.97, $18.01, $17.61
10/19/2020, $17.59, 1503560, $17.96, $18.155, $17.56
10/16/2020, $18.02, 1485336, $18.14, $18.18, $17.91
10/15/2020, $18.13, 1224869, $18.03, $18.224, $17.84
10/14/2020, $18.27, 3806430, $17.85, $18.31, $17.675
10/13/2020, $17.69, 1936180, $17.94, $17.955, $17.5
10/12/2020, $17.94, 1764480, $18.08, $18.13, $17.86
10/09/2020, $18.01, 1438146, $18.23, $18.27, $17.97
10/08/2020, $18.1, 1460030, $17.8, $18.11, $17.76
10/07/2020, $17.7, 1148577, $17.47, $17.83, $17.47
10/06/2020, $17.31, 1675660, $17.68, $17.86, $17.29
10/05/2020, $17.6, 1613283, $17.57, $17.67, $17.44
10/02/2020, $17.38, 1823378, $16.72, $17.52, $16.66
10/01/2020, $17.01, 2313536, $17.31, $17.35, $16.87
09/30/2020, $17.16, 2037415, $17.22, $17.46, $17.11
09/29/2020, $17.12, 1265885, $17.09, $17.25, $16.975
09/28/2020, $17.22, 1819464, $16.98, $17.3, $16.82
09/25/2020, $16.74, 1727935, $16.56, $16.83, $16.56
09/24/2020, $16.715, 1350381, $16.88, $16.995, $16.57
09/23/2020, $16.89, 1786945, $17.3, $17.49, $16.875
09/22/2020, $17.22, 1794439, $17.04, $17.39, $16.99
09/21/2020, $17.09, 2876016, $17.48, $17.51, $16.945
09/18/2020, $17.72, 4806045, $17.88, $18.28, $17.68
09/17/2020, $17.91, 2554572, $17.8, $18.19, $17.63
09/16/2020, $17.99, 2855761, $17.79, $18.24, $17.7
09/15/2020, $17.685, 3334598, $17.9, $18.04, $17.66
09/14/2020, $17.83, 3485428, $17.64, $17.87, $17.45
09/11/2020, $17.45, 3994772, $17.22, $17.6, $17.05
09/10/2020, $17.21, 5061582, $16.56, $17.34, $16.54
09/09/2020, $16.43, 3719870, $16.48, $16.66, $16.2
09/08/2020, $16.36, 4252211, $16.29, $16.68, $16.085
09/04/2020, $16.32, 2892474, $16.11, $16.39, $15.96
09/03/2020, $15.92, 2656643, $16.08, $16.47, $15.858
09/02/2020, $16.22, 3125642, $15.87, $16.26, $15.8
09/01/2020, $15.73, 3387230, $15.91, $16.09, $15.67
08/31/2020, $15.98, 3082203, $16.1, $16.32, $15.91
08/28/2020, $16.22, 2002439, $16.08, $16.27, $15.915
08/27/2020, $16.19, 2381244, $16.13, $16.265, $16
08/26/2020, $15.99, 2083951, $16.1, $16.195, $15.97
08/25/2020, $16.15, 1933262, $16.47, $16.5, $16.03
08/24/2020, $16.43, 2442381, $16.24, $16.4679, $16.03
08/21/2020, $16.1, 3300862, $16.42, $16.42, $15.875
08/20/2020, $16.38, 1940992, $16.66, $16.8, $16.335
08/19/2020, $16.75, 2112848, $16.7, $16.99, $16.65
08/18/2020, $16.72, 3429084, $16.97, $17.03, $16.655
08/17/2020, $16.96, 3695620, $17.02, $17.02, $16.75
08/14/2020, $16.99, 1844715, $17.01, $17.27, $16.88
08/13/2020, $17.05, 2297710, $17.07, $17.295, $16.965
08/12/2020, $17.11, 2716424, $17.41, $17.4551, $16.98
08/11/2020, $17.27, 3069017, $17.79, $17.94, $17.22
08/10/2020, $17.5, 2297769, $17.42, $17.69, $17.22
08/07/2020, $17.15, 1686539, $16.89, $17.155, $16.7
08/06/2020, $16.82, 1926512, $16.68, $16.92, $16.57
08/05/2020, $16.76, 1824342, $16.57, $16.82, $16.37
08/04/2020, $16.47, 2943548, $16.4, $16.635, $16.28
08/03/2020, $16.39, 3310284, $16.41, $16.5, $16.095
07/31/2020, $16.4, 13061680, $18, $18, $16.16
07/30/2020, $17.72, 5211438, $17.36, $17.85, $17.12
07/29/2020, $17.6, 2630109, $17.22, $17.665, $17.17
07/28/2020, $17.26, 3361361, $17.31, $17.57, $17.205
07/27/2020, $17.36, 2766768, $17.14, $17.61, $17.05
07/24/2020, $17.14, 2977686, $17.1, $17.39, $17.005
07/23/2020, $17.09, 3591029, $16.83, $17.175, $16.76
07/22/2020, $16.72, 3200723, $16.5, $16.83, $16.4
07/21/2020, $16.55, 7244448, $16.65, $16.746, $15.96
07/20/2020, $16.07, 2676364, $16.17, $16.34, $15.87
07/17/2020, $16.36, 2022175, $16.58, $16.7201, $16.27
07/16/2020, $16.55, 2207387, $16.04, $16.69, $16.03
07/15/2020, $16.4, 1885898, $16.29, $16.47, $16.2
07/14/2020, $16.075, 3599586, $15.67, $16.19, $15.54
07/13/2020, $15.72, 2473640, $15.91, $16.07, $15.7
07/10/2020, $15.805, 2317832, $15.19, $15.87, $15.11
07/09/2020, $15.01, 4211394, $15.77, $15.81, $14.95
07/08/2020, $15.805, 2389316, $15.76, $15.88, $15.58
07/07/2020, $15.85, 2745683, $15.82, $16.02, $15.76
07/06/2020, $16, 4132198, $16.31, $16.36, $15.98
07/02/2020, $15.97, 2235324, $16.19, $16.49, $15.94
07/01/2020, $15.78, 2179598, $15.81, $16.155, $15.75
06/30/2020, $15.88, 3009576, $15.56, $15.945, $15.34
06/29/2020, $15.59, 4329958, $15.35, $15.68, $15.21
06/26/2020, $15.05, 3870691, $15.05, $15.19, $14.81
06/25/2020, $15.19, 2265454, $14.96, $15.265, $14.855
06/24/2020, $15.09, 4693041, $15.39, $15.43, $14.9
06/23/2020, $15.58, 4731704, $15.79, $15.96, $15.535
06/22/2020, $15.645, 2980942, $15.73, $15.88, $15.48
06/19/2020, $15.87, 11846430, $15.64, $15.89, $15.28
06/18/2020, $15.45, 2773686, $15.58, $15.9, $15.42
06/17/2020, $15.81, 3170312, $15.76, $15.968, $15.41
06/16/2020, $15.73, 5035293, $15.5, $15.98, $15.21
06/15/2020, $14.91, 4108116, $14.8, $15.11, $14.61
06/12/2020, $15.3, 3163231, $15.5, $15.605, $14.835
06/11/2020, $14.88, 3383573, $15.08, $15.45, $14.815
06/10/2020, $15.93, 3567946, $16.69, $16.69, $15.92
