Date, Close/Last, Volume, Open, High, Low
03/24/2021, $187.28, 2892968, $193.253, $194.51, $187.25
03/23/2021, $191.62, 4748174, $200.11, $200.23, $189.79
03/22/2021, $200.4, 5876913, $203.11, $206.12, $196.65
03/19/2021, $202.04, 53102150, $196.35, $204.53, $193.22
03/18/2021, $198.59, 8299011, $204.15, $208.25, $197.69
03/17/2021, $208.34, 7321590, $199.562, $209.59, $199
03/16/2021, $202.78, 6890131, $201.1, $206.21, $200.64
03/15/2021, $199.91, 12106500, $196.804, $200, $194.21
03/12/2021, $183.47, 2077994, $184.89, $186.66, $181.79
03/11/2021, $188.5, 3206896, $186.69, $189.4894, $185.03
03/10/2021, $180.43, 2240150, $186.04, $187.35, $180.23
03/09/2021, $183.82, 3687954, $176.13, $185.24, $175
03/08/2021, $171, 3168847, $178.82, $183.58, $170.15
03/05/2021, $180.9, 5076480, $174.228, $182.06, $166.04
03/04/2021, $167.28, 3754462, $173.59, $176.6766, $164.19
03/03/2021, $175.99, 2418931, $182.6, $184.17, $175.53
03/02/2021, $182.27, 2770941, $189, $189.76, $182.06
03/01/2021, $187.3, 4355404, $186.52, $187.9, $183.32
02/26/2021, $182.55, 2929054, $182.04, $184.17, $177.1248
02/25/2021, $178.52, 3366284, $186.51, $188, $178.05
02/24/2021, $186.21, 3161739, $178, $186.82, $176.93
02/23/2021, $181.08, 5191278, $183.87, $183.87, $175.33
02/22/2021, $185.61, 2407842, $190.8, $192.4, $184.97
02/19/2021, $191.59, 2193910, $189.41, $192.755, $188.49
02/18/2021, $185.88, 2774932, $187.5, $188.95, $183.05
02/17/2021, $189.69, 2395727, $192.575, $194.9394, $187.91
02/16/2021, $195.43, 2177964, $199.46, $200.19, $193.685
02/12/2021, $194.39, 1671733, $193.17, $195.89, $190.856
02/11/2021, $194, 2611688, $188.4, $194.7566, $188.4
02/10/2021, $187.9, 2839843, $191.61, $191.925, $183.39
02/09/2021, $188.04, 1702813, $187.35, $188.4, $184.47
02/08/2021, $188.12, 2333011, $184.7, $188.15, $184
02/05/2021, $181.99, 3031417, $182.95, $184.13, $181.06
02/04/2021, $181.45, 2703071, $175.89, $181.45, $175.15
02/03/2021, $174.1, 3272585, $179.99, $181.74, $173.11
02/02/2021, $177.21, 6621774, $180, $183, $170.7
02/01/2021, $171.53, 4953011, $166.44, $172.44, $166.0951
01/29/2021, $160.47, 3535396, $164.15, $167.545, $159.805
01/28/2021, $164.33, 2484770, $166.525, $166.8, $162.38
01/27/2021, $160.56, 3714458, $162.72, $164.43, $156.02
01/26/2021, $168.75, 2231333, $174.42, $174.46, $168.66
01/25/2021, $174.42, 2006144, $176.69, $176.75, $171.03
01/22/2021, $172.3, 1974237, $172.57, $175.17, $171.915
01/21/2021, $173.62, 2187707, $176.64, $176.75, $171.73
01/20/2021, $174.49, 2590775, $178.86, $180.305, $173.71
01/19/2021, $175, 2522440, $177.31, $178.5, $174.54
01/15/2021, $172.22, 3598873, $179.64, $179.84, $168.451
01/14/2021, $180, 2617678, $178.62, $181.09, $178.62
01/13/2021, $177.42, 1750309, $177.99, $177.99, $176.18
01/12/2021, $176.08, 3112116, $174.29, $179, $173.23
01/11/2021, $173.21, 3001045, $174.39, $176.46, $171.93
01/08/2021, $175.03, 2827979, $181.375, $182.55, $171.5
01/07/2021, $174.99, 2485549, $172.09, $176.5, $171.93
01/06/2021, $168.72, 2686489, $164.61, $171.8, $164.61
01/05/2021, $165.67, 1980562, $161.53, $165.965, $161.12
01/04/2021, $162.04, 2931612, $160.33, $165.84, $158.615
12/31/2020, $159.01, 839304, $159.86, $160.23, $158.61
12/30/2020, $159.39, 888929, $157.5, $159.74, $156.71
12/29/2020, $155.91, 1043352, $158.8, $159.525, $154.75
12/28/2020, $158.17, 1063626, $159.5, $161.8, $157.91
12/24/2020, $157.33, 480480, $157.72, $157.93, $156.515
12/23/2020, $156.86, 1571319, $157.94, $158.63, $156.81
12/22/2020, $156.38, 1489891, $157.13, $159.6, $155.76
12/21/2020, $157.03, 1529461, $153.18, $157.25, $152.93
12/18/2020, $155.51, 4232008, $158.07, $158.92, $154.68
12/17/2020, $158.06, 1686710, $158.48, $158.8, $156.36
12/16/2020, $157.28, 2195242, $161.14, $161.2, $156.61
12/15/2020, $160.06, 2499500, $157.26, $160.69, $156.05
12/14/2020, $158.46, 2075264, $159.67, $159.74, $155.52
12/11/2020, $157.1, 1442657, $157.5, $158.7, $154.57
12/10/2020, $158.27, 3002427, $156.5, $160.36, $156.5
12/09/2020, $157.32, 3678858, $163.96, $164.91, $155.885
12/08/2020, $166.37, 1329330, $164.92, $167.11, $163.81
12/07/2020, $165.09, 2213450, $165.61, $167.27, $164.3
12/04/2020, $163.99, 2248990, $159.62, $164.17, $159.09
12/03/2020, $158.79, 1576760, $161.113, $162.15, $158.75
12/02/2020, $160.54, 1144955, $159.09, $160.83, $157.47
12/01/2020, $159.08, 1932934, $160.4, $161.77, $158.65
11/30/2020, $158.42, 2267996, $159, $160.92, $156.85
11/27/2020, $158.94, 1038581, $158.45, $161.84, $158.17
11/25/2020, $157.67, 1700284, $159, $159.28, $156.655
11/24/2020, $158.47, 2314069, $158.37, $158.62, $154.74
11/23/2020, $155.91, 2137117, $152.52, $156.35, $151.28
11/20/2020, $150.57, 1533167, $151.93, $153.03, $150.55
11/19/2020, $151.35, 1765687, $148, $151.83, $147.07
11/18/2020, $148.15, 1218392, $149.49, $150.61, $147.82
11/17/2020, $149.39, 1798108, $150.75, $151.55, $147.92
11/16/2020, $149.99, 1888311, $149.39, $151.22, $148.3
11/13/2020, $146.49, 1084984, $146.01, $147.58, $145.66
11/12/2020, $144.3, 1431866, $146, $146.59, $143.63
11/11/2020, $145.07, 1659792, $143.31, $145.94, $142.7
11/10/2020, $140.24, 2172299, $142.78, $144.49, $139.94
11/09/2020, $144.86, 3523968, $149.74, $152.48, $144.55
11/06/2020, $146.72, 2748176, $144.28, $147.47, $143.615
11/05/2020, $144.38, 2242444, $142, $145.24, $141.08
11/04/2020, $139.38, 2354748, $141.05, $141.49, $136.7
11/03/2020, $138.88, 1747443, $137.65, $141.49, $137
11/02/2020, $137.31, 1903499, $137.09, $138.335, $136.015
10/30/2020, $135.12, 2286285, $133.52, $135.79, $132.98
10/29/2020, $136.17, 2721746, $128.7858, $137.5142, $128.7858
10/28/2020, $129.77, 3015698, $130.065, $130.91, $126.8
10/27/2020, $133.23, 2530490, $136.38, $136.57, $131.65
10/26/2020, $134.89, 2856133, $135.19, $136.1, $132.71
10/23/2020, $137.18, 1439669, $135.51, $137.75, $134.3601
10/22/2020, $134.89, 1514326, $136.06, $136.43, $133.32
10/21/2020, $135.86, 1681879, $137.93, $138.12, $135.27
10/20/2020, $135.21, 1353879, $137.67, $137.8, $134.89
10/19/2020, $136.33, 1606896, $137.63, $138.85, $135.53
10/16/2020, $137.23, 1300903, $139.33, $139.67, $136.96
10/15/2020, $136.87, 1556938, $134.59, $137.59, $133.69
10/14/2020, $137.11, 2318114, $136.8, $138.1, $135.835
10/13/2020, $136.84, 2605447, $141, $141.99, $136.58
10/12/2020, $142.08, 2861315, $143, $143.25, $140.41
10/09/2020, $141.53, 5037614, $142.481, $145.15, $138.8
10/08/2020, $134.83, 2208206, $135.07, $135.92, $134.13
10/07/2020, $133.6, 1838974, $133.33, $134.91, $133.005
10/06/2020, $130.9, 2187538, $131.7, $135.01, $130.39
10/05/2020, $132, 2269271, $129.48, $132.07, $129
10/02/2020, $127.39, 2130571, $127.17, $130.48, $126.64
10/01/2020, $130.99, 3429335, $129.63, $132.18, $128
09/30/2020, $124.81, 2005227, $123.87, $126.77, $123.22
09/29/2020, $123.29, 1626650, $126.1, $126.14, $123.16
09/28/2020, $124, 2143414, $122.46, $124.17, $121.905
09/25/2020, $119.83, 2039641, $118.56, $120.17, $117.25
09/24/2020, $119.16, 1810500, $118.64, $121.22, $118.15
09/23/2020, $119.94, 1595706, $123.17, $124, $119.43
09/22/2020, $122.63, 1606958, $122.79, $123.48, $120.69
09/21/2020, $121.35, 2024521, $122.95, $123.51, $119.28
09/18/2020, $126.09, 4200604, $128.68, $128.99, $123.39
09/17/2020, $127.76, 2066306, $123.62, $128.14, $122.86
09/16/2020, $128.59, 2053261, $129, $131.31, $128.36
09/15/2020, $127.41, 1601386, $127.39, $128.8, $126.82
09/14/2020, $125.7, 1538829, $126.17, $127.62, $124.48
09/11/2020, $124.75, 1397478, $124.47, $126.65, $123.155
09/10/2020, $123.1, 1487822, $125.2, $127.77, $122.55
09/09/2020, $124.24, 2269290, $122.17, $125.63, $121.395
09/08/2020, $119.72, 2541781, $121.02, $122.65, $119.21
09/04/2020, $126.33, 1607662, $126.37, $127.08, $122.32
