Date, Close/Last, Volume, Open, High, Low
01/20/2021, $23.26, 443, $23.26, $23.26, $23.26
01/19/2021, $24.09, 595, $24.09, $24.09, $24.09
01/15/2021, $23.38, 795, $23.72, $23.72, $23.38
01/14/2021, $23.66, 477, $23.66, $23.66, $23.66
01/13/2021, $24.28, 705, $24.28, $24.28, $24.28
01/12/2021, $24.99, 2911, $24.42, $25, $24.252
01/11/2021, $24.96, 3407, $24.56, $24.96, $24.0791
01/08/2021, $25.05, 2272, $25.33, $26.14, $25.05
01/07/2021, $25.9, 5755, $25.2, $25.9, $24.36
01/06/2021, $26.04, 2528, $26.21, $26.21, $25.4376
01/05/2021, $26.29, 209, $26.29, $26.29, $26.29
01/04/2021, $24.86, 715, $26, $26, $24.86
12/31/2020, $25.3, 744, $25.26, $25.3, $25.26
12/30/2020, $26.44, 383, $26.44, $26.44, $26.44
12/29/2020, $26.5, 7227, $26.85, $26.85, $25.575
12/28/2020, $25.67, 248, $25.67, $25.67, $25.67
12/24/2020, $25.529, 1184, $26.69, $26.69, $25.529
12/23/2020, $26.2, 3549, $26.289, $26.69, $26.2
12/22/2020, $26.48, 1109, $26.48, $26.48, $26.48
12/21/2020, $26.49, 1164, $26.49, $26.49, $26.49
12/18/2020, $25.99, 6074, $25.39, $25.99, $24.895
12/17/2020, $25.36, 1205, $25.39, $25.39, $25.36
12/16/2020, $25.39, 3617, $23.25, $25.39, $23.25
12/15/2020, $23.5, 1611, $24.442, $24.49, $23.5
12/14/2020, $23.12, 629, $23.12, $23.12, $23.12
12/11/2020, $24.72, 792, $21.46, $24.72, $21.46
12/10/2020, $24.82, 366, $23.33, $24.82, $23.33
12/09/2020, $23.9, 955, $23.9, $23.9, $23.9
12/08/2020, $25, 521, $25, $25, $25
12/07/2020, $23.6, 5589, $22.27, $24.99, $22.27
12/04/2020, $23.7, 209, $23.7, $23.7, $23.7
12/03/2020, $23.2, 1132, $22, $23.2, $22
12/02/2020, $22.7, 1049, $24.7682, $24.7682, $22.7
12/01/2020, $23.05, 2064, $23, $23.05, $22.9999
11/30/2020, $24.68, 470, $24.1, $24.68, $24.1
11/27/2020, $25.78, 421, $25.78, $25.78, $25.78
11/25/2020, $24.9, 991, $26.83, $26.85, $24.9
11/24/2020, $25.7, 2008, $23.75, $25.7, $23.7
11/23/2020, $23.39, 1452, $23.75, $23.75, $23.39
11/20/2020, $23.69, 760, $23.05, $23.69, $23.05
11/19/2020, $23.7, 190, $23.7, $23.7, $23.7
11/18/2020, $23, 5275, $23.25, $23.8, $23
11/17/2020, $23.75, 7989, $23.25, $23.75, $23.0472
11/16/2020, $23.75, 861, $23.75, $23.75, $23.75
11/13/2020, $23.54, 3177, $23.75, $23.75, $23.54
11/12/2020, $23.34, 345, $23.34, $23.34, $23.34
11/11/2020, $23.75, 941, $23.74, $23.75, $23.7
11/10/2020, $23.61, 657, $23.61, $23.61, $23.61
11/09/2020, $22.3, 1097, $22.3, $22.3, $22.3
11/06/2020, $21.3, 299, $21.3, $21.3, $21.3
11/05/2020, $21.4, 563, $21.7378, $21.7378, $21.4
11/04/2020, $23.2, N/A, $23.2, $23.2, $23.2
11/03/2020, $23.2, 861, $23.2, $23.2, $23.2
11/02/2020, $23.2, 407, $23.2, $23.2, $23.2
10/30/2020, $22.51, 650, $22.51, $22.51, $22.51
10/29/2020, $22.79, 870, $21.78, $22.79, $21.78
10/28/2020, $24.3, 710, $24.3, $24.3, $24.3
10/27/2020, $24.55, 340, $24.55, $24.55, $24.55
10/26/2020, $24.2, 479, $24.2, $24.2, $24.2
10/23/2020, $24.26, 306, $24.26, $24.26, $24.26
10/22/2020, $25.07, 1862, $24.2, $25.07, $24.2
10/21/2020, $26.72, 574, $25.95, $26.72, $25.95
10/20/2020, $26.2, 188, $26.2, $26.2, $26.2
10/19/2020, $25.01, N/A, $25.01, $25.01, $25.01
10/16/2020, $25.01, 440, $24.51, $25.01, $24.51
10/15/2020, $25.47, 972, $23.9844, $25.47, $23.9844
10/14/2020, $25.25, N/A, $25.25, $25.25, $25.25
10/13/2020, $25.25, N/A, $25.25, $25.25, $25.25
10/12/2020, $25.25, 465, $25.25, $25.25, $25.25
10/09/2020, $24.24, N/A, $24.24, $24.24, $24.24
10/08/2020, $24.24, 873, $23.5, $25.5671, $23.38
10/07/2020, $25.37, 1499, $24.21, $25.66, $23.01
10/06/2020, $22.3, 3506, $22, $22.3, $21.7089
10/05/2020, $21.24, 515, $21.24, $21.24, $21.24
10/02/2020, $20.7, 363, $20.7, $20.7, $20.7
10/01/2020, $20.81, 352, $20.81, $20.81, $20.81
09/30/2020, $21.47, N/A, $21.47, $21.47, $21.47
09/29/2020, $21.47, N/A, $21.47, $21.47, $21.47
09/28/2020, $21.47, 956, $21.845, $21.845, $21.47
09/25/2020, $20.9, 683, $20.9, $20.9, $20.9
09/24/2020, $21.1, 494, $21.1, $21.1, $21.1
09/23/2020, $21.78, 3841, $22.61, $22.61, $21.3
09/22/2020, $22.77, 961, $22.38, $22.77, $22.38
09/21/2020, $21.76, 1012, $21.76, $21.76, $21.76
09/18/2020, $22.33, 3075, $22.38, $22.38, $21.13
09/17/2020, $22.2, 361, $22.2, $22.2, $22.2
09/16/2020, $21.4, 594, $22.04, $22.04, $21.4
09/15/2020, $21.06, 475, $21.06, $21.06, $21.06
09/14/2020, $22.16, 701, $22.16, $22.16, $22.16
09/11/2020, $21.87, 4526, $22.7, $22.71, $20.76
09/10/2020, $23.86, 294, $23.86, $23.86, $23.86
09/09/2020, $24.75, 1094, $25.3, $25.3, $24.75
09/08/2020, $25.81, 427, $25.23, $25.81, $25.23
09/04/2020, $26.41, 260, $26.41, $26.41, $26.41
09/03/2020, $26.025, 446, $25.61, $26.025, $25.61
09/02/2020, $26.74, N/A, $26.74, $26.74, $26.74
09/01/2020, $26.74, 312, $26.74, $26.74, $26.74
08/31/2020, $26.26, 1071, $26.26, $26.26, $26.26
08/28/2020, $26.95, 264, $26.95, $26.95, $26.95
08/27/2020, $26.23, 232, $26.23, $26.23, $26.23
08/26/2020, $26.26, 491, $26.26, $26.26, $26.26
08/25/2020, $26.72, N/A, $26.72, $26.72, $26.72
08/24/2020, $26.72, N/A, $26.72, $26.72, $26.72
08/21/2020, $26.72, 777, $26.06, $26.72, $26.06
08/20/2020, $26.78, N/A, $26.78, $26.78, $26.78
08/19/2020, $26.78, 679, $26.05, $26.78, $26.05
08/18/2020, $26.91, N/A, $26.91, $26.91, $26.91
08/17/2020, $26.91, N/A, $26.91, $26.91, $26.91
08/14/2020, $26.91, N/A, $26.91, $26.91, $26.91
08/13/2020, $26.91, 475, $26.89, $26.91, $26.89
08/12/2020, $26.5, 405, $26.5, $26.5, $26.5
08/11/2020, $26.05, 435, $26.9373, $26.9373, $26.05
08/10/2020, $26.52, 275, $26.52, $26.52, $26.52
08/07/2020, $26.21, 262, $26.21, $26.21, $26.21
08/06/2020, $26.94, N/A, $26.94, $26.94, $26.94
08/05/2020, $26.94, 363, $26.94, $26.94, $26.94
08/04/2020, $26.94, 155, $26.94, $26.94, $26.94
08/03/2020, $25.41, N/A, $25.41, $25.41, $25.41
07/31/2020, $25.41, 3183, $26.95, $26.99, $25.41
07/30/2020, $26.51, 339, $26.51, $26.51, $26.51
07/29/2020, $26.5, 6177, $26.75, $26.75, $26.5
07/28/2020, $26.25, 5561, $26.4, $26.73, $26.12
07/27/2020, $25.45, N/A, $25.45, $25.45, $25.45
07/24/2020, $25.45, N/A, $25.45, $25.45, $25.45
07/23/2020, $25.45, 112, $25.45, $25.45, $25.45
07/22/2020, $26.65, 526, $26.65, $26.7052, $26.65
07/21/2020, $26.75, 698, $26.52, $26.75, $26.5
07/20/2020, $26.25, 1073, $26.75, $26.75, $26.25
07/17/2020, $26.2501, 3366, $26.32, $26.75, $26.25
07/16/2020, $26.75, 1489, $26.13, $26.75, $26.13
07/15/2020, $26.2, 7087, $26.1707, $26.2, $26.1707
07/14/2020, $26.3, 722, $26.3, $26.3, $26.3
07/13/2020, $25.65, 794, $26.57, $26.57, $25.65
07/10/2020, $26.7, 1169, $26.4, $26.7, $26.4
07/09/2020, $25.7, 9664, $25.93, $26.28, $25.1525
07/08/2020, $25.78, 1125, $25.605, $25.78, $25.605
07/07/2020, $25.45, 1093, $25.78, $25.78, $25.43
07/06/2020, $25.51, 789, $25.84, $25.84, $25.51
07/02/2020, $25.65, 3578, $24.78, $25.65, $24.755
07/01/2020, $24.74, 908, $24.26, $24.74, $24.26
06/30/2020, $25.77, 1666, $24.535, $25.77, $24.22
06/29/2020, $26.58, 3124, $26.68, $26.68, $24.12
06/26/2020, $25.12, 116541, $26.5, $27.99, $24.8
06/25/2020, $27.62, 11634, $27.5, $28, $27
06/24/2020, $27.95, 5806, $28, $28, $26.85
06/23/2020, $27.57, 12263, $27.45, $28, $27.45
06/22/2020, $26.76, 3610, $24.63, $27.5, $24.63
06/19/2020, $26.72, 2391, $26.97, $27.45, $26.72
06/18/2020, $26.72, 71028, $27.44, $27.44, $26.55
06/17/2020, $26.77, 4996, $26.5, $27.25, $26.03
06/16/2020, $26.48, 1877, $26.5, $26.5, $25.75
06/15/2020, $26.49, 1551, $26.35, $26.49, $26.1
06/12/2020, $26.49, 981, $26.5, $26.5, $26.49
06/11/2020, $26.47, 314, $26.47, $26.47, $26.47
06/10/2020, $26.98, 2269, $25, $26.99, $25
06/09/2020, $26.495, 2407, $26, $26.4999, $23.751
06/08/2020, $23.75, 2648, $22.5, $24.1, $22.25
06/05/2020, $22.48, 809, $22.48, $22.48, $22.48
06/04/2020, $21.8, 860, $21.8, $21.8, $21.8
06/03/2020, $21.8, 257, $21.8, $21.8, $21.8
06/02/2020, $22.45, 1809, $21, $22.48, $21
06/01/2020, $22, 1611, $21.03, $22, $21.0299
05/29/2020, $20.77, 719, $21.32, $21.32, $20.77
05/28/2020, $20.73, 10000, $20.28, $20.75, $19.96
05/27/2020, $20.06, 3629, $20.25, $22.45, $19.28
05/26/2020, $19.5, N/A, $19.5, $19.5, $19.5
05/22/2020, $19.5, 5582, $20.23, $20.51, $19.05
05/21/2020, $20.3, 355, $20.3, $20.3, $20.3
05/20/2020, $20.53, 357, $20.53, $20.53, $20.53
05/19/2020, $19.76, N/A, $19.76, $19.76, $19.76
05/18/2020, $19.76, 671, $21.49, $21.49, $19.76
05/15/2020, $19.5, N/A, $19.5, $19.5, $19.5
05/14/2020, $19.5, 1682, $20.5, $20.5, $19.48
05/13/2020, $19, N/A, $19, $19, $19
05/12/2020, $19, N/A, $19, $19, $19
05/11/2020, $19, 681, $19, $19, $19
05/08/2020, $20.005, 1449, $20.6, $20.6, $19.93
05/07/2020, $19.98, 1864, $18.43, $19.98, $17.81
05/06/2020, $20, 245, $20, $20, $20
05/05/2020, $19.8, 7733, $17.77, $20, $17.77
05/04/2020, $18.5, 1026, $18.5, $18.5, $18.5
05/01/2020, $18.48, N/A, $18.48, $18.48, $18.48
04/30/2020, $18.48, 696, $17.67, $18.48, $17.67
04/29/2020, $17.99, 434, $17.99, $17.99, $17.99
04/28/2020, $17.84, 386, $17.9, $17.9, $17.84
04/27/2020, $16.8, N/A, $16.8, $16.8, $16.8
04/24/2020, $16.8, N/A, $16.8, $16.8, $16.8
04/23/2020, $16.8, 375, $17.11, $17.11, $16.8
04/22/2020, $17.84, 1005, $16.95, $17.99, $16.91
04/21/2020, $16.5, N/A, $16.5, $16.5, $16.5
04/20/2020, $16.5, N/A, $16.5, $16.5, $16.5
04/17/2020, $16.5, 14252, $16.56, $17.755, $16.135
04/16/2020, $16.79, 5583, $17.26, $17.26, $15.7
04/15/2020, $17.23, N/A, $17.23, $17.23, $17.23
04/14/2020, $17.23, 973, $19, $19, $17.23
04/13/2020, $17.05, N/A, $17.05, $17.05, $17.05
04/09/2020, $17.05, N/A, $17.05, $17.05, $17.05
04/08/2020, $17.05, 501, $17.17, $17.17, $17.05
04/07/2020, $17.01, 225, $17.01, $17.01, $17.01
04/06/2020, $17.08, 553, $17.08, $17.08, $17.08
04/03/2020, $19.03, N/A, $19.03, $19.03, $19.03
04/02/2020, $19.03, N/A, $19.03, $19.03, $19.03
04/01/2020, $19.03, N/A, $19.03, $19.03, $19.03
03/31/2020, $19.03, N/A, $19.03, $19.03, $19.03
03/30/2020, $19.03, 434, $19.94, $19.94, $19.03
03/27/2020, $18.4777, 588, $18.4777, $18.4777, $18.4777
03/26/2020, $18.01, 552, $20, $20, $18.01
03/25/2020, $15.75, N/A, $15.75, $15.75, $15.75
03/24/2020, $15.75, 2037, $15.58, $16.4125, $15.36
03/23/2020, $15.5923, 2894, $16.5, $16.5, $15.25
03/20/2020, $16.76, 4091, $16.5, $17.394, $16.5
03/19/2020, $17, 2907, $19, $20.9, $17
03/18/2020, $19.11, 1494, $20.01, $20.01, $19.03
03/17/2020, $20.28, 714, $20.41, $21.5, $20.28
03/16/2020, $21.65, 338, $21.65, $21.65, $21.65
03/13/2020, $22.3, 1095, $22.07, $24.42, $22.07
03/12/2020, $22.07, 101, $22.07, $22.07, $22.07
