Date, Close/Last, Volume, Open, High, Low
01/20/2021, $25.035, 299, $25.035, $25.035, $25.035
01/19/2021, $24.99, 900, $24.99, $24.99, $24.99
01/15/2021, $24.99, N/A, $24.99, $24.99, $24.99
01/14/2021, $24.99, 2316, $24.97, $24.99, $24.97
01/13/2021, $25.31, 199, $25.31, $25.31, $25.31
01/12/2021, $25.16, 1056, $25.26, $25.26, $25.16
01/11/2021, $25.36, 402, $25.24, $25.36, $25.24
01/08/2021, $25.29, N/A, $25.29, $25.29, $25.29
01/07/2021, $25.29, N/A, $25.29, $25.29, $25.29
01/06/2021, $25.29, N/A, $25.29, $25.29, $25.29
01/05/2021, $25.29, N/A, $25.29, $25.29, $25.29
01/04/2021, $25.29, 100, $25.29, $25.29, $25.29
12/31/2020, $25.1, 1101, $25.18, $25.18, $25.1
12/30/2020, $25.1, N/A, $25.1, $25.1, $25.1
12/29/2020, $25.1, N/A, $25.1, $25.1, $25.1
12/28/2020, $25.1, 1500, $25.1, $25.1, $25.1
12/24/2020, $25.1, 3741, $25.1, $25.13, $25.1
12/23/2020, $25.17, 2900, $25.1, $25.17, $25.05
12/22/2020, $25.1, N/A, $25.1, $25.1, $25.1
12/21/2020, $25.1, N/A, $25.1, $25.1, $25.1
12/18/2020, $25.1, 1000, $25.1, $25.1, $25.1
12/17/2020, $25.1, 500, $25.1, $25.1, $25.1
12/16/2020, $25.1, 100, $25.1, $25.1, $25.1
12/15/2020, $25.1, 4300, $25.05, $25.1, $25.05
12/14/2020, $25.05, N/A, $25.05, $25.05, $25.05
12/11/2020, $25.05, N/A, $25.05, $25.05, $25.05
12/10/2020, $25.05, 5000, $25.05, $25.06, $25.05
12/09/2020, $25.05, 4000, $25.05, $25.05, $25.05
12/08/2020, $25.0202, N/A, $25.0202, $25.0202, $25.0202
12/07/2020, $25.0202, N/A, $25.0202, $25.0202, $25.0202
12/04/2020, $25.0202, N/A, $25.0202, $25.0202, $25.0202
12/03/2020, $25.0202, N/A, $25.0202, $25.0202, $25.0202
12/02/2020, $25.0202, 3140, $24.95, $25.05, $24.95
12/01/2020, $24.97, 1110, $25.05, $25.05, $24.97
11/30/2020, $25.1, 2360, $25.21, $25.21, $25.02
11/27/2020, $24.8, N/A, $24.8, $24.8, $24.8
11/25/2020, $24.8, N/A, $24.8, $24.8, $24.8
11/24/2020, $24.8, N/A, $24.8, $24.8, $24.8
11/23/2020, $24.8, N/A, $24.8, $24.8, $24.8
11/20/2020, $24.8, N/A, $24.8, $24.8, $24.8
11/19/2020, $24.8, 300, $24.8, $24.8, $24.8
11/18/2020, $24.81, 600, $24.85, $24.85, $24.81
11/17/2020, $24.75, 500, $24.76, $24.76, $24.75
11/16/2020, $24.75, 1800, $24.82, $24.89, $24.75
11/13/2020, $24.88, 2102, $24.9, $24.9, $24.75
11/12/2020, $24.95, 1100, $24.76, $24.95, $24.75
11/11/2020, $24.92, 2480, $25.05, $25.05, $24.92
11/10/2020, $24.99, 2700, $24.86, $24.99, $24.85
11/09/2020, $24.84, 2152, $24.758, $24.84, $24.75
11/06/2020, $24.75, N/A, $24.75, $24.75, $24.75
11/05/2020, $24.75, N/A, $24.75, $24.75, $24.75
11/04/2020, $24.75, 5266, $24.6, $24.75, $24.6
11/03/2020, $24.6, 1020, $24.82, $24.82, $24.6
11/02/2020, $24.75, 2280, $24.75, $24.75, $24.75
10/30/2020, $24.75, 600, $24.75, $24.75, $24.75
10/29/2020, $24.66, 800, $24.7, $24.7, $24.66
10/28/2020, $24.8499, 400, $24.8499, $24.8499, $24.8499
10/27/2020, $24.85, 1120, $24.74, $24.85, $24.74
10/26/2020, $24.74, N/A, $24.74, $24.74, $24.74
10/23/2020, $24.74, 300, $24.74, $24.74, $24.74
10/22/2020, $24.7, 3400, $24.69, $24.7, $24.69
10/21/2020, $24.7, 8028, $24.675, $24.7, $24.6
10/20/2020, $24.65, 1000, $24.65, $24.65, $24.65
10/19/2020, $24.675, 100, $24.675, $24.675, $24.675
10/16/2020, $24.72, 3900, $24.7, $24.72, $24.7
10/15/2020, $24.6111, 225, $24.56, $24.6111, $24.56
10/14/2020, $24.59, 1000, $24.59, $24.59, $24.59
10/13/2020, $24.64, 11100, $24.7, $24.7, $24.64
10/12/2020, $24.65, 1000, $24.65, $24.65, $24.65
10/09/2020, $24.65, 6000, $24.7, $24.7, $24.65
10/08/2020, $24.7, 5000, $24.6, $24.7, $24.6
10/07/2020, $24.59, N/A, $24.59, $24.59, $24.59
10/06/2020, $24.59, 10200, $24.64, $24.64, $24.59
10/05/2020, $24.46, 1084, $24.7001, $24.75, $24.46
10/02/2020, $24.6499, 4301, $24.5, $24.6499, $24.45
10/01/2020, $24.65, 5744, $24.52, $24.65, $24.52
09/30/2020, $24.5, 7000, $24.6, $24.6, $24.4799
09/29/2020, $24.5653, 1200, $24.545, $24.6, $24.545
09/28/2020, $24.475, 200, $24.475, $24.475, $24.475
09/25/2020, $24.65, 3500, $24.53, $24.65, $24.53
09/24/2020, $24.52, 14172, $24.32, $24.7, $24.3
09/23/2020, $24.66, 8200, $24.65, $24.7, $24.55
09/22/2020, $24.69, 1840, $24.6, $24.69, $24.6
09/21/2020, $24.6, 27268, $24.26, $24.7, $22.5
09/18/2020, $24.19, N/A, $24.19, $24.19, $24.19
