Date, Close/Last, Volume, Open, High, Low
03/24/2021, $74.47, 457511, $73.47, $75.77, $73.285
03/23/2021, $73.31, 274951, $72.59, $74.2232, $72.57
03/22/2021, $73.11, 475581, $73.52, $74.7, $71.86
03/19/2021, $74.74, 661472, $74.63, $75.54, $73.39
03/18/2021, $74.71, 254314, $74.41, $75, $73.73
03/17/2021, $74.77, 259727, $77.45, $77.62, $74.37
03/16/2021, $77.53, 207685, $76.58, $77.7, $76.58
03/15/2021, $77.03, 240282, $75.35, $77.17, $75.1684
03/12/2021, $75.13, 244820, $74.02, $75.37, $73.86
03/11/2021, $73.75, 267879, $73.93, $74.49, $73.37
03/10/2021, $74.44, 221833, $73.3, $75, $72.93
03/09/2021, $73.39, 366224, $74.1, $74.93, $73.36
03/08/2021, $75.02, 280269, $74.26, $75.34, $73.04
03/05/2021, $73.6, 523512, $69.35, $73.715, $69.35
03/04/2021, $68.79, 490714, $69.02, $71.18, $68.35
03/03/2021, $68.77, 315892, $68.73, $69.58, $67.65
03/02/2021, $68.78, 305801, $69.55, $69.55, $67.69
03/01/2021, $69.55, 467125, $68.23, $70.305, $67.29
02/26/2021, $66.97, 530895, $69.36, $71.25, $66.77
02/25/2021, $69.01, 407709, $69.96, $71.605, $68.84
02/24/2021, $69.85, 446535, $70.71, $70.71, $68
02/23/2021, $70.01, 370741, $70.47, $72.28, $70
02/22/2021, $70.02, 474507, $73.48, $73.48, $69.7
02/19/2021, $74.06, 202127, $73.41, $74.55, $73.3026
02/18/2021, $73.58, 221925, $72.65, $74.22, $72.405
02/17/2021, $72.97, 203452, $72.05, $73.55, $72.05
02/16/2021, $72.23, 155183, $72.61, $72.86, $72.05
02/12/2021, $72.69, 139289, $73.53, $73.53, $72.08
02/11/2021, $73.35, 229195, $73.55, $74.15, $73.215
02/10/2021, $73.73, 235951, $73.28, $73.78, $72.3
02/09/2021, $72.54, 164384, $72.74, $72.84, $71.24
02/08/2021, $72.55, 199813, $72.97, $72.97, $71.84
02/05/2021, $72.9, 220586, $73.07, $73.09, $71.945
02/04/2021, $72.41, 285752, $72.05, $72.57, $71.23
02/03/2021, $71.91, 352001, $72.85, $73.24, $71.65
02/02/2021, $73.46, 248658, $74.16, $74.78, $73.275
02/01/2021, $73.83, 232921, $73.39, $74.1, $71.855
01/29/2021, $73.13, 331427, $72.77, $73.96, $72.45
01/28/2021, $73.05, 434097, $74.85, $78.01, $72.83
01/27/2021, $74.6, 531077, $71.47, $74.69, $71.24
01/26/2021, $72.31, 266711, $72.87, $73.09, $72.1
01/25/2021, $72.48, 277845, $70.25, $72.64, $70.195
01/22/2021, $70.79, 190553, $70.08, $70.81, $69.48
01/21/2021, $70.62, 177674, $70.6, $71.11, $70.205
01/20/2021, $71, 357588, $71.56, $71.65, $70.48
01/19/2021, $71.35, 292879, $72.26, $72.75, $71.21
01/15/2021, $71.99, 279294, $70.96, $72.16, $70.53
01/14/2021, $71.46, 173420, $72.09, $72.12, $70.75
01/13/2021, $71.49, 269074, $71.52, $72, $70.93
01/12/2021, $71.56, 213196, $71.84, $72.17, $70.9
01/11/2021, $71.92, 153306, $72.15, $72.93, $71.64
01/08/2021, $72.61, 446884, $74.94, $75.15, $71.96
01/07/2021, $74.41, 399660, $77.04, $77.3, $73.93
01/06/2021, $77.49, 298157, $75.64, $77.93, $75.62
01/05/2021, $74.88, 231173, $75.88, $76.2, $73.78
01/04/2021, $75.46, 278448, $77, $77, $75.155
