Date, Close/Last, Volume, Open, High, Low
01/20/2021, $33.97, 344823, $36.93, $37.8895, $33.765
01/19/2021, $36.85, 978472, $36.84, $39.45, $35.11
01/15/2021, $36.09, 1087343, $33.5, $36.31, $32.47
01/14/2021, $33.5, 625419, $32.365, $33.51, $31.41
01/13/2021, $31.47, 339063, $31.63, $32.33, $31.03
01/12/2021, $31.63, 242565, $32.05, $32.14, $31.07
01/11/2021, $31.78, 416612, $33.47, $34, $31.3
01/08/2021, $31.26, 504532, $32.74, $33.48, $30.89
01/07/2021, $32.78, 210235, $32.05, $33.5, $31.57
01/06/2021, $31.71, 188243, $32.12, $33.2, $31.1
01/05/2021, $32.17, 80687, $33.06, $34.18, $31.76
01/04/2021, $33.33, 179393, $34, $34.4259, $32.025
12/31/2020, $33.85, 376576, $36.56, $37.16, $30.5891
12/30/2020, $36.67, 500888, $39.64, $39.64, $36.47
12/29/2020, $39.52, 229621, $39.28, $40.3785, $38.25
12/28/2020, $39.34, 293399, $40.44, $40.72, $38.49
12/24/2020, $39.8, 75892, $37.57, $40.29, $36.63
12/23/2020, $39.14, 206629, $38.71, $39.61, $36.51
12/22/2020, $38.45, 329883, $39.83, $39.83, $37.54
12/21/2020, $38.8, 240893, $36.45, $40.43, $35.1882
12/18/2020, $37.65, 2622366, $36.65, $40.81, $36.065
12/17/2020, $36.6, 347994, $35.39, $36.9, $35.01
12/16/2020, $35.39, 410316, $34.83, $39.75, $34.49
12/15/2020, $34.84, 265967, $36.4, $36.4, $34.49
12/14/2020, $35.77, 496568, $33.34, $38.03, $33.34
12/11/2020, $33.23, 253119, $35.67, $36.18, $31.905
12/10/2020, $35.7, 217231, $34.27, $37.05, $33.8134
12/09/2020, $34.61, 173731, $35.99, $36.4, $33.62
12/08/2020, $35.99, 181961, $36.32, $36.32, $34.985
12/07/2020, $36.32, 178041, $35.57, $37.47, $35.57
12/04/2020, $35.97, 121782, $35.76, $36.98, $35.32
12/03/2020, $35.66, 174892, $35.49, $37.92, $34.91
12/02/2020, $35.3, 183020, $33.56, $36.06, $31.46
12/01/2020, $34.13, 194095, $34.12, $35.9837, $33.82
11/30/2020, $33.91, 524071, $31.01, $34.85, $31.01
11/27/2020, $31.78, 165623, $28.32, $32.69, $28.32
11/25/2020, $28.32, 234321, $30.94, $31.14, $27.26
11/24/2020, $31.02, 274036, $31.73, $32.4, $30.01
11/23/2020, $31.6, 366748, $31.68, $33.02, $30.24
11/20/2020, $31.19, 360539, $29.28, $31.5, $28.9
11/19/2020, $29.67, 311667, $26, $29.98, $25.91
11/18/2020, $26, 409270, $25.1, $28.6, $24.85
11/17/2020, $25.14, 238541, $25.14, $25.97, $24.255
11/16/2020, $24.99, 257950, $24.54, $25.55, $23.66
11/13/2020, $24.01, 2073427, $24.5, $26, $21.13
11/12/2020, $24, 269730, $24.31, $25.3, $23.63
11/11/2020, $24.7, 229156, $22.2, $24.98, $21.865
11/10/2020, $24.14, 108651, $24.22, $25, $23.52
11/09/2020, $24.15, 80354, $24.52, $24.63, $23.6
11/06/2020, $24.01, 110628, $23.66, $24.97, $23.35
11/05/2020, $24.02, 76651, $22.59, $24.405, $20.08
11/04/2020, $23.12, 84010, $22.12, $23.88, $21.89
11/03/2020, $21.81, 141349, $21.33, $21.915, $20.1
11/02/2020, $20.85, 166583, $21.67, $21.685, $20.07
10/30/2020, $21.5, 54913, $21.26, $22.43, $21.194
10/29/2020, $22, 104387, $20.56, $22.62, $20.22
10/28/2020, $20.5, 67152, $22.52, $22.52, $20.26
10/27/2020, $22.61, 131329, $20.39, $22.89, $20.39
10/26/2020, $20.33, 166168, $20.02, $21.05, $20
10/23/2020, $21.24, 136784, $21.4, $21.52, $20.13
10/22/2020, $20.32, 347443, $21.26, $22, $19.22
10/21/2020, $21.52, 485776, $25, $25, $21.41
10/20/2020, $25.08, 153582, $25.34, $25.61, $24.09
10/19/2020, $24.26, 102263, $24.79, $25.09, $23.52
10/16/2020, $24.59, 61507, $23.1, $24.75, $22.55
10/15/2020, $23.35, 44728, $22.05, $23.5, $22.05
10/14/2020, $21.75, 78584, $23.16, $23.56, $21.2
10/13/2020, $22.86, 48593, $23.16, $23.73, $22.48
10/12/2020, $23.28, 58309, $25.52, $25.52, $22.92
10/09/2020, $25.45, 85900, $25.86, $26.49, $23.56
10/08/2020, $25.79, 88474, $24.34, $26.47, $24.17
10/07/2020, $24.12, 65785, $23.67, $24.95, $21.74
10/06/2020, $23.68, 56244, $23.76, $24.39, $22.49
10/05/2020, $23.6, 54455, $23.55, $24.42, $23
10/02/2020, $23.47, 96079, $23.77, $23.86, $21.73
10/01/2020, $23.76, 106160, $25.3, $25.475, $23.6
09/30/2020, $25.01, 227239, $23.32, $25.345, $21.69
09/29/2020, $23.12, 152960, $19.94, $24, $19.9
09/28/2020, $19.7, 62636, $19.75, $20.08, $19.55
09/25/2020, $19.76, 50032, $19.28, $20.45, $19.26
09/24/2020, $19.5, 55012, $20.07, $20.07, $18.89
09/23/2020, $20, 96133, $20.12, $20.91, $19.47
09/22/2020, $20.37, 51396, $19.76, $20.37, $19.315
09/21/2020, $19.75, 110990, $20.21, $20.78, $18.6
09/18/2020, $20.59, 139466, $22.05, $22.05, $20.02
09/17/2020, $21.65, 73844, $21.8, $22.24, $21.235
09/16/2020, $21.89, 47676, $21.66, $22.075, $21.64
09/15/2020, $21.65, 55374, $22.32, $22.5, $21.45
09/14/2020, $21.87, 189231, $20.58, $22.53, $20.16
09/11/2020, $20.3, 100143, $22.28, $22.72, $20.21
09/10/2020, $22.2, 97430, $24.37, $24.65, $22
09/09/2020, $24.38, 72958, $24.71, $25.01, $23.78
09/08/2020, $24.5, 36666, $24.02, $25.44, $23.7
09/04/2020, $24.31, 51242, $24.82, $25.22, $23.61
09/03/2020, $24.52, 65224, $25.4, $25.4, $24.29
09/02/2020, $25.43, 46082, $25.68, $25.75, $24.69
09/01/2020, $25.68, 53031, $25.2, $25.875, $24.36
08/31/2020, $25.05, 124179, $24.36, $25.56, $23.8901
08/28/2020, $24.42, 96614, $23.24, $24.495, $23.23
08/27/2020, $23.26, 62156, $23.58, $23.8, $22.54
08/26/2020, $23.58, 74795, $24.33, $25.15, $23.3395
08/25/2020, $24.02, 56241, $23.19, $24.96, $23.125
08/24/2020, $23.25, 108761, $24.22, $24.36, $22.535
08/21/2020, $24.29, 71114, $24.99, $25.015, $23.9
08/20/2020, $24.81, 88450, $25.26, $25.31, $23.98
08/19/2020, $25.34, 85307, $26.29, $26.3, $25.08
08/18/2020, $26.14, 64566, $26.48, $26.48, $25.205
08/17/2020, $26.35, 114668, $25.51, $26.63, $25.25
08/14/2020, $25.72, 108656, $25.23, $25.83, $25.21
08/13/2020, $25.46, 89318, $26.24, $26.485, $25.27
08/12/2020, $25.56, 170987, $25.26, $25.735, $24.56
08/11/2020, $25.42, 164312, $25.28, $25.9599, $24.5
08/10/2020, $25.35, 123080, $25.83, $26.185, $25.2
08/07/2020, $25.69, 201513, $25.3, $26.91, $24.67
08/06/2020, $25.38, 397910, $23.03, $26.575, $22.8
08/05/2020, $22.25, 84215, $22.8, $23.935, $21.745
08/04/2020, $22.55, 42929, $21.65, $22.9, $21.3601
08/03/2020, $22.05, 116889, $20.8, $22.3999, $20.31
07/31/2020, $20.07, 111464, $21.02, $21.32, $19.85
07/30/2020, $21.02, 149385, $21.27, $22.89, $20.14
07/29/2020, $21.47, 217176, $23.81, $24.39, $21.25
07/28/2020, $23.66, 238086, $21.45, $23.7998, $21.45
07/27/2020, $21.66, 152746, $22.12, $23.47, $21.3
07/24/2020, $22.1, 109691, $23.39, $24.48, $21.8501
