Date, Close/Last, Volume, Open, High, Low
01/20/2021, $10.75, 64966, $10.9, $10.97, $10.52
01/19/2021, $10.85, 53208, $10.94, $10.94, $10.705
01/15/2021, $10.84, 34394, $10.71, $10.86, $10.66
01/14/2021, $10.9, 45987, $10.87, $11, $10.74
01/13/2021, $10.74, 40866, $11.09, $11.09, $10.675
01/12/2021, $11, 28227, $10.87, $11.09, $10.84
01/11/2021, $10.81, 37882, $10.62, $10.94, $10.62
01/08/2021, $10.9, 71245, $11.1, $11.1, $10.61
01/07/2021, $11.09, 88978, $11.275, $11.275, $11
01/06/2021, $10.94, 87153, $10.49, $11.31, $10.49
01/05/2021, $10.22, 70713, $10.06, $10.41, $10.0102
01/04/2021, $10.05, 60937, $10.2, $10.295, $9.86
12/31/2020, $10.1, 114473, $10.3, $10.3, $10.09
12/30/2020, $10.21, 53615, $9.84, $10.28, $9.84
12/29/2020, $10.09, 71474, $10.1, $10.1, $9.88
12/28/2020, $10.02, 56261, $9.97, $10.15, $9.94
12/24/2020, $9.97, 21131, $10.255, $10.255, $9.91
12/23/2020, $10, 43658, $9.675, $10, $9.675
12/22/2020, $9.83, 64164, $9.7, $9.96, $9.44
12/21/2020, $9.86, 84870, $9.49, $9.86, $9.44
12/18/2020, $9.57, 265388, $10, $10.102, $9.53
12/17/2020, $10, 64683, $10.07, $10.07, $9.9
12/16/2020, $10.12, 85011, $10.23, $10.285, $10.04
12/15/2020, $10.24, 83738, $10.26, $10.52, $10.1
12/14/2020, $10.1, 60347, $10.31, $10.46, $9.95
12/11/2020, $10.27, 35884, $10.3, $10.35, $10.13
12/10/2020, $10.33, 23665, $10.31, $10.37, $10.3
12/09/2020, $10.42, 81564, $10.49, $10.78, $10.35
12/08/2020, $10.44, 50666, $10.3, $10.49, $10.27
12/07/2020, $10.35, 43192, $10.21, $10.38, $9.94
12/04/2020, $10.32, 27363, $10.345, $10.39, $9.89
12/03/2020, $9.96, 23479, $10.14, $10.17, $9.93
12/02/2020, $10.11, 30927, $9.98, $10.165, $9.84
12/01/2020, $10, 184461, $10.15, $10.15, $9.74
11/30/2020, $9.66, 87976, $10.09, $10.09, $9.66
11/27/2020, $10.2, 22050, $10.545, $10.55, $9.95
11/25/2020, $10.32, 40737, $10.5, $10.5, $10.1
11/24/2020, $10.5, 90557, $10.315, $10.57, $9.82
11/23/2020, $9.73, 42820, $9.72, $9.88, $9.67
11/20/2020, $9.68, 56051, $9.6, $9.74, $9.43
11/19/2020, $9.77, 32223, $9.72, $9.79, $9.53
11/18/2020, $9.79, 47791, $9.77, $10.13, $9.77
11/17/2020, $9.95, 46317, $9.99, $10.02, $9.66
11/16/2020, $10, 101318, $9.79, $10.19, $9.79
11/13/2020, $9.68, 80428, $9.5, $9.74, $9.48
11/12/2020, $9.39, 90459, $9.65, $9.6807, $9.23
11/11/2020, $9.84, 40161, $9.99, $9.99, $9.71
11/10/2020, $9.95, 101080, $10.02, $10.16, $9.88
11/09/2020, $9.85, 100889, $9.6, $10.14, $9.49
11/06/2020, $8.86, 38935, $9.32, $9.32, $8.85
11/05/2020, $9.18, 37805, $8.78, $9.24, $8.78
11/04/2020, $8.81, 41725, $9.12, $9.57, $8.78
11/03/2020, $9.39, 106417, $9.26, $9.44, $9.04
11/02/2020, $9.03, 51513, $8.69, $9.075, $8.66
10/30/2020, $8.55, 149559, $9.04, $9.375, $8.38
10/29/2020, $9.07, 52772, $8.88, $9.13, $8.57
10/28/2020, $8.97, 65643, $8.96, $9.105, $8.86
10/27/2020, $9.13, 76513, $8.79, $9.41, $8.79
10/26/2020, $9.45, 50421, $9.2, $9.47, $9.03
10/23/2020, $9.36, 48302, $9.44, $9.63, $9.23
10/22/2020, $9.24, 122861, $8.98, $9.53, $8.77
10/21/2020, $8.93, 37135, $8.71, $8.97, $8.71
10/20/2020, $8.72, 26825, $8.77, $8.92, $8.7
10/19/2020, $8.64, 45184, $8.285, $8.8055, $8.285
10/16/2020, $8.76, 40452, $8.71, $8.89, $8.687
10/15/2020, $8.73, 70702, $8.6, $8.77, $8.465
10/14/2020, $8.77, 119511, $8.62, $8.85, $8.59
10/13/2020, $8.6, 63092, $8.52, $8.67, $8.21
10/12/2020, $8.58, 32865, $8.58, $8.64, $8.37
10/09/2020, $8.51, 27236, $8.64, $8.64, $8.38
10/08/2020, $8.53, 63265, $8.65, $8.7, $8.3
10/07/2020, $8.56, 38476, $8.38, $8.58, $8.3
10/06/2020, $8.34, 49677, $8.35, $8.76, $8.3
10/05/2020, $8.26, 39228, $8.2, $8.35, $8.13
10/02/2020, $8.13, 71505, $7.67, $8.19, $7.6
10/01/2020, $7.74, 102884, $7.55, $7.78, $7.38
09/30/2020, $7.495, 75771, $7.54, $7.702, $7.42
09/29/2020, $7.53, 42878, $7.52, $7.56, $7.32
09/28/2020, $7.57, 56598, $7.35, $7.63, $7.35
09/25/2020, $7.29, 47029, $7.19, $7.39, $7.19
09/24/2020, $7.29, 31130, $7.44, $7.53, $7.26
09/23/2020, $7.41, 120403, $7.7, $7.98, $7.39
09/22/2020, $7.34, 68130, $7.69, $7.76, $7.31
09/21/2020, $7.7, 86533, $8.1, $8.1, $7.655
09/18/2020, $8.26, 199675, $8.34, $8.34, $8.18
09/17/2020, $8.26, 48005, $8.13, $8.3, $8.13
09/16/2020, $8.33, 55326, $8.3, $8.53, $8.17
09/15/2020, $8.26, 48608, $8.41, $8.41, $8.21
09/14/2020, $8.38, 56886, $8.26, $8.44, $8.15
09/11/2020, $8.23, 70077, $8.27, $8.31, $8.19
09/10/2020, $8.21, 121907, $8.2, $8.26, $8.13
09/09/2020, $8.22, 80565, $8.22, $8.32, $8.12
09/08/2020, $8.2, 89271, $8.58, $8.58, $8.05
09/04/2020, $8.62, 75348, $8.69, $8.69, $8.36
09/03/2020, $8.48, 58249, $8.3, $8.5, $8.22
09/02/2020, $8.25, 33046, $8.07, $8.28, $8.07
09/01/2020, $8.1, 48814, $8.09, $8.19, $8.03
08/31/2020, $8.17, 62676, $8.22, $8.47, $8.11
08/28/2020, $8.29, 65650, $8.23, $8.31, $8.055
08/27/2020, $8.12, 67502, $8.1, $8.21, $8.09
08/26/2020, $8.04, 81630, $8.17, $8.17, $7.94
08/25/2020, $8.2, 48304, $8.34, $8.34, $8.09
08/24/2020, $8.26, 50710, $8.22, $8.29, $8.1
08/21/2020, $8.1, 114447, $8.04, $8.1, $7.93
08/20/2020, $8.04, 26778, $8.01, $8.24, $8
08/19/2020, $8.15, 69782, $8.15, $8.28, $8.055
08/18/2020, $8.16, 43741, $8.52, $8.52, $8.14
08/17/2020, $8.56, 106005, $8.52, $8.58, $8.38
08/14/2020, $8.57, 43608, $8.33, $8.65, $8.33
08/13/2020, $8.44, 54947, $8.53, $8.55, $8.275
08/12/2020, $8.64, 55627, $8.83, $8.83, $8.41
08/11/2020, $8.7, 76048, $8.87, $8.97, $8.67
08/10/2020, $8.67, 41163, $8.6, $8.83, $8.59
08/07/2020, $8.55, 71511, $7.96, $8.58, $7.83
08/06/2020, $8.09, 26721, $8.11, $8.17, $8.04
08/05/2020, $8.11, 58252, $7.93, $8.13, $7.84
08/04/2020, $7.81, 51679, $7.97, $7.995, $7.72
08/03/2020, $8.04, 68579, $8.4, $8.4, $8
07/31/2020, $8.32, 106187, $8.4, $8.4, $8.06
07/30/2020, $8.47, 76137, $8.29, $8.48, $8.19
07/29/2020, $8.5, 74755, $8.22, $8.52, $7.93
07/28/2020, $8.22, 127000, $8.06, $8.39, $8.06
07/27/2020, $8.15, 62413, $8.24, $8.36, $8.09
07/24/2020, $8.32, 67608, $8.77, $8.83, $8.29
07/23/2020, $8.53, 157176, $7.89, $8.88, $7.89
07/22/2020, $7.79, 64507, $7.8, $7.89, $7.71
07/21/2020, $7.91, 43851, $7.56, $7.92, $7.55
07/20/2020, $7.43, 70104, $7.66, $7.71, $7.43
07/17/2020, $7.72, 140940, $7.7, $7.85, $7.6
07/16/2020, $7.69, 57510, $7.67, $7.76, $7.6
07/15/2020, $7.72, 76295, $7.53, $7.83, $7.42
07/14/2020, $7.26, 71686, $7.4, $7.4195, $7.17
07/13/2020, $7.4, 127216, $7.32, $7.53, $7.15
07/10/2020, $7.2, 71921, $7.02, $7.27, $6.96
07/09/2020, $6.98, 109759, $7.4, $7.585, $6.95
07/08/2020, $7.36, 122060, $7.31, $7.42, $7.13
07/07/2020, $7.33, 82477, $7.47, $7.49, $7.3
07/06/2020, $7.57, 107445, $7.57, $7.74, $7.44
07/02/2020, $7.47, 57280, $7.76, $7.805, $7.43
07/01/2020, $7.54, 102690, $7.84, $7.85, $7.4401
06/30/2020, $7.78, 145432, $7.49, $7.805, $7.3
06/29/2020, $7.53, 121782, $7.31, $7.53, $7.22
06/26/2020, $7.15, 419507, $7.22, $7.27, $6.92
06/25/2020, $7.31, 110417, $7.09, $7.35, $7.09
06/24/2020, $7.16, 107851, $7.44, $7.5422, $7.15
06/23/2020, $7.58, 99984, $7.77, $7.86, $7.555
06/22/2020, $7.64, 131513, $7.51, $7.68, $7.49
06/19/2020, $7.62, 192862, $7.67, $7.67, $7.35
06/18/2020, $7.52, 44266, $7.39, $7.63, $7.39
06/17/2020, $7.5, 85887, $7.76, $7.85, $7.49
06/16/2020, $7.82, 135824, $8.01, $8.04, $7.74
06/15/2020, $7.61, 216878, $7.3, $7.75, $7.29
06/12/2020, $7.67, 166033, $7.87, $7.87, $7.499
06/11/2020, $7.5, 144465, $7.53, $7.92, $7.49
06/10/2020, $8.02, 94646, $8.69, $8.69, $8.01
06/09/2020, $8.75, 70781, $8.71, $8.9, $8.45
06/08/2020, $8.95, 92597, $9.06, $9.18, $8.79
06/05/2020, $8.85, 145064, $8.79, $9.16, $8.3638
06/04/2020, $8.25, 102326, $8.01, $8.28, $8
06/03/2020, $8.11, 624463, $7.95, $8.29, $7.83
06/02/2020, $7.75, 81932, $7.85, $7.99, $7.62
06/01/2020, $7.81, 226218, $7.78, $7.92, $7.665
05/29/2020, $7.7, 135719, $7.75, $7.85, $7.45
05/28/2020, $7.87, 137795, $8.24, $8.24, $7.83
05/27/2020, $8.09, 142635, $7.65, $8.12, $7.4801
05/26/2020, $7.41, 193451, $7.3, $7.45, $7.3
05/22/2020, $7.01, 115727, $7.24, $7.24, $6.945
05/21/2020, $7.18, 117045, $7, $7.305, $6.985
05/20/2020, $7.07, 158372, $7.04, $7.16, $6.98
05/19/2020, $6.855, 203590, $6.89, $7.05, $6.76
05/18/2020, $6.95, 192902, $6.73, $7, $6.67
05/15/2020, $6.33, 86419, $6.32, $6.5258, $6.19
05/14/2020, $6.31, 166139, $6.18, $6.39, $5.96
05/13/2020, $6.37, 131133, $6.5, $6.52, $6.2
05/12/2020, $6.61, 187173, $6.8, $6.9202, $6.55
05/11/2020, $6.81, 177687, $7.07, $7.07, $6.67
05/08/2020, $7.24, 192957, $6.83, $7.29, $6.79
05/07/2020, $6.76, 105073, $6.94, $7.12, $6.71
05/06/2020, $6.83, 152155, $7.11, $7.29, $6.79
05/05/2020, $7.19, 170622, $7.79, $7.79, $7.18
05/04/2020, $7.62, 81673, $7.78, $8.09, $7.47
05/01/2020, $7.91, 245723, $7.94, $8.07, $7.58
04/30/2020, $8.23, 161772, $8.44, $8.44, $7.93
04/29/2020, $8.79, 204771, $8.22, $8.98, $7.99
04/28/2020, $7.85, 208800, $7.62, $7.94, $7.57
04/27/2020, $7.31, 181767, $6.91, $7.53, $6.62
04/24/2020, $6.69, 93321, $6.35, $6.7214, $6.24
04/23/2020, $6.56, 201822, $6.73, $6.99, $6.06
04/22/2020, $6.85, 105036, $7.08, $7.2, $6.82
04/21/2020, $6.87, 149498, $6.62, $6.99, $6.62
04/20/2020, $6.985, 164293, $6.9, $7.21, $6.86
04/17/2020, $7.17, 88085, $6.76, $7.31, $6.76
04/16/2020, $6.51, 103795, $7.1, $7.12, $6.36
04/15/2020, $7.12, 124484, $7.48, $7.72, $7.09
04/14/2020, $7.84, 138707, $8.21, $8.32, $7.65
04/13/2020, $7.98, 91296, $8.2, $8.79, $6.97
04/09/2020, $8.24, 91779, $7.8, $8.26, $7.74
04/08/2020, $7.52, 89124, $7.41, $7.58, $7.14
04/07/2020, $7.27, 96303, $7.52, $8.08, $7.115
04/06/2020, $7.31, 124013, $6.99, $7.37, $6.87
04/03/2020, $6.71, 151456, $6.36, $6.71, $6.24
04/02/2020, $6.24, 477384, $6.17, $6.7294, $6
04/01/2020, $6.24, 196757, $6.53, $6.7, $6.18
03/31/2020, $6.91, 266577, $7.14, $7.31, $6.7
03/30/2020, $7.2, 162201, $7.07, $7.47, $6.56
03/27/2020, $7, 163326, $7.39, $7.39, $6.7874
03/26/2020, $7.45, 121846, $6.67, $7.47, $6.43
03/25/2020, $6.53, 259985, $6.83, $6.88, $6.5
03/24/2020, $6.74, 200553, $6.39, $6.97, $6.39
03/23/2020, $6.22, 264939, $7.15, $7.15, $6.12
03/20/2020, $7.18, 195801, $8.21, $8.3, $7.07
03/19/2020, $8.25, 258729, $6.75, $8.43, $6.0913
03/18/2020, $6.8, 295048, $7.18, $7.4, $6.54
03/17/2020, $7.65, 204345, $7.17, $7.65, $7.05
03/16/2020, $7.17, 122915, $12.75, $12.75, $7.1
03/13/2020, $7.9, 166641, $7.91, $7.93, $7.34
03/12/2020, $7.48, 152292, $7.8, $8.16, $7.38
03/11/2020, $8.23, 225269, $8.49, $8.61, $8.17
03/10/2020, $8.76, 109204, $8.95, $9.035, $8.29
03/09/2020, $8.73, 89610, $9.52, $9.59, $8.68
03/06/2020, $10.12, 104252, $9.88, $10.35, $9.69
03/05/2020, $10.4, 90153, $10.7, $10.7, $10.17
