Date, Close/Last, Volume, Open, High, Low
01/20/2021, $4.23, 295385, $4.36, $4.44, $4.2
01/19/2021, $4.31, 297290, $4.39, $4.52, $4.31
01/15/2021, $4.35, 642995, $4.41, $4.5, $4.31
01/14/2021, $4.5, 320317, $4.46, $4.56, $4.41
01/13/2021, $4.44, 234019, $4.53, $4.53, $4.39
01/12/2021, $4.51, 461740, $4.4645, $4.54, $4.3401
01/11/2021, $4.36, 511881, $4.4, $4.54, $4.31
01/08/2021, $4.54, 342513, $4.63, $4.69, $4.45
01/07/2021, $4.58, 607377, $4.53, $4.65, $4.41
01/06/2021, $4.46, 607661, $4.38, $4.59, $4.3638
01/05/2021, $4.37, 816062, $4.25, $4.67, $4.25
01/04/2021, $4.3, 1197959, $4.13, $4.42, $4.02
12/31/2020, $4.12, 957736, $4.23, $4.2371, $4.06
12/30/2020, $4.23, 3588626, $4, $4.47, $4
12/29/2020, $5.29, 2112137, $5.89, $5.98, $5.18
12/28/2020, $5.87, 2556776, $5.97, $5.99, $5.55
12/24/2020, $5.12, 212398, $5.28, $5.315, $5.11
12/23/2020, $5.29, 335664, $5.29, $5.45, $5.14
12/22/2020, $5.22, 944004, $5.59, $5.6, $5.02
12/21/2020, $5.76, 335127, $5.72, $5.89, $5.6
12/18/2020, $5.72, 577886, $6, $6, $5.63
12/17/2020, $5.96, 285488, $5.94, $5.98, $5.72
12/16/2020, $5.87, 344060, $6.09, $6.09, $5.78
12/15/2020, $6.06, 263276, $6.08, $6.12, $5.81
12/14/2020, $6.01, 350331, $6, $6.24, $5.96
12/11/2020, $5.87, 145371, $5.95, $6.0784, $5.7744
12/10/2020, $5.98, 191253, $5.89, $6.06, $5.84
12/09/2020, $5.89, 231305, $6.12, $6.14, $5.82
12/08/2020, $6.04, 290100, $5.87, $6.15, $5.87
12/07/2020, $5.87, 225041, $6, $6, $5.79
12/04/2020, $5.86, 250300, $5.63, $5.99, $5.63
12/03/2020, $5.62, 253686, $5.82, $5.82, $5.62
12/02/2020, $5.84, 131042, $5.82, $5.96, $5.72
12/01/2020, $5.82, 550418, $6.17, $6.17, $5.63
11/30/2020, $6.12, 239433, $6.21, $6.38, $6.01
11/27/2020, $6.12, 243438, $5.9, $6.22, $5.86
11/25/2020, $5.87, 121207, $5.81, $5.99, $5.72
11/24/2020, $5.79, 326737, $5.95, $5.99, $5.68
11/23/2020, $5.93, 160344, $6.12, $6.13, $5.84
11/20/2020, $6.06, 138400, $6.09, $6.12, $5.96
11/19/2020, $6.09, 148025, $6.03, $6.19, $5.95
11/18/2020, $6.03, 159351, $6.22, $6.29, $6
11/17/2020, $6.15, 295950, $5.97, $6.25, $5.88
11/16/2020, $5.99, 400256, $6, $6.03, $5.9
11/13/2020, $5.89, 313344, $5.8, $5.98, $5.8
11/12/2020, $5.7, 309227, $5.5, $5.76, $5.4
11/11/2020, $5.49, 518299, $5.98, $5.99, $5.31
11/10/2020, $5.9, 203064, $6.05, $6.135, $5.82
11/09/2020, $5.98, 227982, $6.12, $6.27, $5.93
11/06/2020, $5.88, 120376, $5.91, $5.98, $5.83
11/05/2020, $5.93, 250780, $5.87, $6.06, $5.75
11/04/2020, $5.7, 194922, $5.65, $5.9, $5.65
11/03/2020, $5.65, 228752, $5.44, $5.69, $5.41
11/02/2020, $5.36, 622241, $5.23, $5.79, $5.16
10/30/2020, $5.13, 301779, $5.31, $5.38, $5.04
10/29/2020, $5.38, 231189, $5.33, $5.43, $5.1843
10/28/2020, $5.35, 265846, $5.47, $5.473, $5.15
10/27/2020, $5.58, 181149, $5.71, $5.81, $5.525
10/26/2020, $5.72, 150778, $5.87, $5.89, $5.62
10/23/2020, $5.94, 120519, $5.89, $5.98, $5.78
10/22/2020, $5.87, 144688, $5.67, $5.91, $5.64
10/21/2020, $5.77, 122164, $5.84, $5.9849, $5.75
10/20/2020, $5.84, 237220, $6, $6.0762, $5.75
10/19/2020, $5.96, 179968, $6, $6.1, $5.875
10/16/2020, $5.98, 188141, $5.91, $6.16, $5.9
10/15/2020, $5.91, 238685, $5.8, $5.97, $5.72
10/14/2020, $5.83, 178499, $6.09, $6.1576, $5.77
10/13/2020, $6.08, 212810, $6.23, $6.23, $6.06
10/12/2020, $6.25, 295205, $6.24, $6.31, $5.91
10/09/2020, $6.26, 385304, $6.29, $6.49, $6.15
10/08/2020, $6.29, 545744, $5.97, $6.33, $5.8431
10/07/2020, $5.98, 435981, $5.88, $6.045, $5.8
10/06/2020, $5.8, 447703, $5.96, $6.11, $5.8
10/05/2020, $5.95, 301103, $5.79, $5.99, $5.6
10/02/2020, $5.6, 280831, $5.45, $5.65, $5.3
10/01/2020, $5.46, 398932, $5.47, $5.62, $5.37
09/30/2020, $5.41, 252550, $5.43, $5.48, $5.32
09/29/2020, $5.4, 263868, $5.25, $5.47, $5.18
09/28/2020, $5.27, 334580, $5.33, $5.4, $5.14
09/25/2020, $5.25, 304542, $4.97, $5.31, $4.925
09/24/2020, $4.95, 322812, $4.87, $5.07, $4.7101
09/23/2020, $4.86, 363877, $5.35, $5.3769, $4.85
09/22/2020, $5.33, 242586, $5.45, $5.45, $5.25
09/21/2020, $5.42, 350845, $5.33, $5.42, $5.06
09/18/2020, $5.45, 451610, $5.19, $5.495, $5.1587
09/17/2020, $5.15, 252828, $5, $5.19, $4.87
