Date, Close/Last, Volume, Open, High, Low
01/20/2021, $10.84, 12221, $10.9, $10.9, $10.75
01/19/2021, $10.75, 3888, $10.93, $10.93, $10.75
01/15/2021, $11.03, 10474, $11.1, $11.1, $10.85
01/14/2021, $10.89, 73562, $10.8, $11.09, $10.7
01/13/2021, $10.71, 81677, $10.7, $10.85, $10.7
01/12/2021, $10.65, 1825, $10.83, $10.83, $10.6148
01/11/2021, $10.79, 1146, $10.73, $10.83, $10.73
01/08/2021, $10.85, 3283, $10.75, $10.85, $10.6501
01/07/2021, $10.7, 16776, $10.65, $10.7, $10.65
01/06/2021, $10.65, 21574, $10.65, $10.66, $10.625
01/05/2021, $10.65, 26548, $10.65, $10.73, $10.56
01/04/2021, $10.52, 35035, $10.538, $10.82, $10.445
12/31/2020, $10.49, 5442, $10.8, $10.84, $10.48
12/30/2020, $10.65, 53969, $10.59, $10.895, $10.55
12/29/2020, $10.57, 7762, $10.48, $10.58, $10.4599
12/28/2020, $10.54, 21429, $10.59, $10.6, $10.4001
12/24/2020, $10.45, 63031, $10.48, $10.48, $10.325
12/23/2020, $10.35, 22479, $10.35, $11.22, $10.3
12/22/2020, $10.46, 80231, $10.36, $11.106, $10.26
12/21/2020, $10.34, 10191, $10.39, $10.4, $10.29
12/18/2020, $10.25, 3533, $10.4, $10.4, $10.25
12/17/2020, $10.35, 41470, $10.27, $10.35, $10.27
12/16/2020, $10.29, 36065, $10.33, $10.33, $10.2
12/15/2020, $10.34, 2366, $10.35, $10.35, $10.21
12/14/2020, $10.25, 25819, $10.25, $10.25, $10.15
12/11/2020, $10.2, 147682, $10.11, $10.2, $10.11
12/10/2020, $10.11, 44785, $10.135, $10.15, $10.11
12/09/2020, $10.12, 4119, $10.115, $10.13, $10.115
12/08/2020, $10.13, 13784, $10.14, $10.14, $10.12
12/07/2020, $10.12, 1501, $10.14, $10.14, $10.115
12/04/2020, $10.15, 122732, $10.07, $10.15, $10.07
12/03/2020, $10.07, 54396, $10.05, $10.08, $10.05
12/02/2020, $10.09, 50600, $10.05, $10.09, $10.05
12/01/2020, $10.055, 66357, $10.05, $10.07, $10.0401
11/30/2020, $10.085, 722411, $10, $10.085, $10
11/27/2020, $10.0331, 550, $10, $10.0331, $10
11/25/2020, $10, 36302, $10, $10.05, $9.99
11/24/2020, $9.99, 43877, $9.99, $9.995, $9.97
11/23/2020, $9.99, 149351, $9.96, $10, $9.96
11/20/2020, $9.97, 94324, $9.975, $9.975, $9.96
11/19/2020, $9.98, 128752, $9.98, $9.99, $9.97
