Date, Close/Last, Volume, Open, High, Low
01/20/2021, $6.81, 3846841, $7.1, $7.25, $6.67
01/19/2021, $7.1, 3957952, $7.075, $7.33, $6.753
01/15/2021, $6.92, 4142528, $7.2, $7.21, $6.66
01/14/2021, $7.42, 3616290, $7.47, $7.61, $7.09
01/13/2021, $7.3, 13393220, $7, $8.06, $6.81
01/12/2021, $6.75, 7184695, $6.595, $6.92, $6.375
01/11/2021, $6.32, 6226355, $6.2, $6.79, $6.07
01/08/2021, $6.23, 5576310, $6.13, $6.4183, $5.88
01/07/2021, $6.14, 2923338, $6.13, $6.32, $6.03
01/06/2021, $6.08, 4581344, $6.17, $6.42, $5.91
01/05/2021, $6.21, 7828899, $5.71, $6.32, $5.71
01/04/2021, $5.7, 5299571, $5.5, $5.8811, $5.29
12/31/2020, $5.43, 4214795, $5.69, $5.7, $5.38
12/30/2020, $5.69, 2855611, $5.75, $5.7799, $5.57
12/29/2020, $5.75, 6989024, $6.11, $6.16, $5.62
12/28/2020, $6.15, 4260528, $6.05, $6.3, $6.05
12/24/2020, $6.01, 4290070, $6.63, $6.68, $5.97
12/23/2020, $6.47, 7786208, $6.22, $6.865, $6.16
12/22/2020, $6.24, 4471959, $6.29, $6.36, $5.95
12/21/2020, $6.29, 7811341, $5.927, $6.45, $5.7
12/18/2020, $5.81, 4384027, $5.85, $6.07, $5.67
12/17/2020, $5.81, 3827151, $6.01, $6.07, $5.75
12/16/2020, $6.02, 3710007, $6.29, $6.295, $5.86
12/15/2020, $6.24, 5010667, $5.94, $6.37, $5.88
12/14/2020, $5.93, 3224633, $5.96, $6.1, $5.77
12/11/2020, $5.92, 2930769, $6.018, $6.18, $5.86
12/10/2020, $6.01, 2679869, $6.02, $6.28, $5.95
12/09/2020, $6.09, 6182527, $6.41, $6.8, $5.88
12/08/2020, $6.39, 6150789, $5.98, $6.58, $5.85
12/07/2020, $6, 5825870, $6.56, $6.69, $5.97
12/04/2020, $6.62, 6776961, $6.08, $6.67, $6
12/03/2020, $6.04, 4868835, $5.87, $6.15, $5.8
12/02/2020, $5.77, 4542587, $5.9, $5.94, $5.62
12/01/2020, $5.99, 4907308, $6.2, $6.265, $5.9
11/30/2020, $6.13, 9225199, $6.71, $6.91, $5.41
11/27/2020, $6.69, 5906369, $7.3, $7.46, $6.5605
11/25/2020, $6.71, 4297506, $6.65, $6.91, $6.4639
11/24/2020, $6.81, 12390480, $7, $7.22, $6.1
11/23/2020, $6.79, 12264810, $6.13, $6.85, $5.81
11/20/2020, $5.9, 12479900, $5.88, $6.55, $5.76
11/19/2020, $5.62, 5884515, $5.65, $5.675, $5.27
